ele_ymd,prefecture,ele_ymd,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes
大津市議会議員選挙（2019年04月21日投票）,滋賀県,大津市議会議員選挙（2019年04月21日投票）,,,,,,,,,,,,,115654.998
大津市議会議員選挙（2015年04月26日投票）,滋賀県,大津市議会議員選挙（2015年04月26日投票）,0.6,0.4,0.0,0.7631578947368421,0.23684210526315788,0.0,0.6539186458266395,0.34608135417336056,,8.228015421604745e-06,0.017304067708668026,,121535.98999999999
大津市議会議員選挙（2011年04月24日投票）,滋賀県,大津市議会議員選挙（2011年04月24日投票）,0.6888888888888889,0.3111111111111111,0.0,0.7105263157894737,0.2894736842105263,0.0,0.6931239599632417,0.30687604003675834,,8.278899568669334e-06,0.02191971714548274,,120789.0
大津市議会議員選挙（2007年04月22日投票）,滋賀県,大津市議会議員選挙（2007年04月22日投票）,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,7.784524971549508e-06,,,128459.98999999999
大津市議会議員増員選挙（2006年04月16日投票）,滋賀県,大津市議会議員増員選挙（2006年04月16日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.125,,10179.0
大津市議会議員補欠選挙（2004年01月25日投票）,滋賀県,大津市議会議員補欠選挙（2004年01月25日投票）,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.7486188446145815,0.2513811553854185,,0.37430942230729075,0.2513811553854185,91952.0
大津市議会議員選挙（2003年04月27日投票）,滋賀県,大津市議会議員選挙（2003年04月27日投票）,0.7045454545454546,0.29545454545454547,0.0,0.7631578947368421,0.23684210526315788,0.0,0.7384703016650154,0.2615296983349847,,9.592593903580426e-06,0.02011766910269113,,104247.09
彦根市議会議員選挙（2019年04月21日投票）,滋賀県,彦根市議会議員選挙（2019年04月21日投票）,,,,,,,,,,,,,38794.998999999996
彦根市議会議員選挙（2015年04月26日投票）,滋賀県,彦根市議会議員選挙（2015年04月26日投票）,0.5625,0.34375,0.09375,0.625,0.2916666666666667,0.08333333333333333,0.6047021364957778,0.3095727008444465,0.08572516265977574,2.3072308615200038e-05,0.02814297280404059,0.028575054219925247,43342.0
彦根市議会議員選挙（2011年04月24日投票）,滋賀県,彦根市議会議員選挙（2011年04月24日投票）,0.72,0.24,0.04,0.7083333333333334,0.25,0.041666666666666664,0.6739896586319554,0.2701875337637949,0.055822807604249736,2.5724796130990664e-05,0.04503125562729915,0.055822807604249736,38873.0
彦根市議会議員選挙（2007年04月22日投票）,滋賀県,彦根市議会議員選挙（2007年04月22日投票）,0.7586206896551724,0.20689655172413793,0.034482758620689655,0.7857142857142857,0.17857142857142858,0.03571428571428571,0.7967565715851738,0.16693128097380502,0.036312147441021306,2.2837828579258687e-05,0.027821880162300836,0.036312147441021306,43787.0
長浜市議会議員選挙（2018年07月22日投票）,滋賀県,長浜市議会議員選挙（2018年07月22日投票）,0.6206896551724138,0.3448275862068966,0.034482758620689655,0.6923076923076923,0.2692307692307692,0.038461538461538464,0.6688010899182562,0.2959355131698456,0.035263396911898275,2.270663033605813e-05,0.029593551316984563,0.035263396911898275,44040.0
長浜市議会議員選挙（2014年07月27日投票）,滋賀県,長浜市議会議員選挙（2014年07月27日投票）,0.5,0.4411764705882353,0.058823529411764705,0.5769230769230769,0.38461538461538464,0.038461538461538464,0.5267499616091236,0.4375833065482176,0.03566673184265881,1.837323589834853e-05,0.029172220436547838,0.017833365921329405,54426.994000000006
長浜市議会議員選挙（2010年07月25日投票）,滋賀県,長浜市議会議員選挙（2010年07月25日投票）,0.7,0.3,0.0,0.6,0.4,0.0,0.6479216412455533,0.35207835875444665,,1.624352289524552e-05,0.02933986322953722,,61563.0
長浜市議会議員増員選挙（2010年02月14日投票）,滋賀県,長浜市議会議員増員選挙（2010年02月14日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.07142857142857142,,23198.0
長浜市議会議員選挙（2006年07月30日投票）,滋賀県,長浜市議会議員選挙（2006年07月30日投票）,0.6904761904761905,0.30952380952380953,0.0,0.75,0.25,0.0,0.7037266433410259,0.2962733566589742,,2.4814511526340603e-05,0.022790258204536475,,40299.0
近江八幡市議会議員選挙（2019年04月21日投票）,滋賀県,近江八幡市議会議員選挙（2019年04月21日投票）,0.48148148148148145,0.4074074074074074,0.1111111111111111,0.5,0.375,0.125,0.40389474943150094,0.43037783019153447,0.16572742037696456,2.981781582888891e-05,0.0391252572901395,0.05524247345898819,33536.997
