ele_ymd,election,prefecture,municipality,district,name_kanji,name_kana,age,gen,status,job,circle,win,n_votes,voting_ymd,year,month,day,kokuji_ymd,e_voting_rate,e_seats_target,e_n_candidates,e_competitive_ratio,e_all_voter,e_male_all_voter,e_female_all_voter,e_change_all_voter,e_reason,e_pre_v_rate,e_pre_seats_t,e_pre_n_cand,e_pre_compe_rate,d_voting_rate,d_seats_target,d_n_candidates,d_competitive_ratio,d_all_voter,d_male_all_voter,d_female_all_voter,d_change_all_voter,d_reason,d_pre_v_rate,d_pre_seats_t,d_pre_n_cand,d_pre_compe_rate
名古屋市議会議員補欠選挙（南区選挙区）（2021年05月23日投票）,名古屋市議会議員補欠選挙,愛知県,名古屋市,名古屋市,すずき 和夫,スズキ カズオ,59,男,新人,会社員,自由民主党,True,10733.0,20210523,2021,5,23,20210514,21.65,1,5,5.0,110754,56423,54331,48749,辞職/現職議員の市長選出馬に伴う辞職による,16.45,nan,nan,nan,21.65,1,5,5.0,110754,56423,54331,48749,辞職/現職議員の市長選出馬に伴う辞職による,16.45,nan,nan,nan
名古屋市議会議員補欠選挙（南区選挙区）（2021年05月23日投票）,名古屋市議会議員補欠選挙,愛知県,名古屋市,名古屋市,安藤 のぶあき,アンドウ ノブアキ,42,男,新人,無職,減税日本,False,5869.0,20210523,2021,5,23,20210514,21.65,1,5,5.0,110754,56423,54331,48749,辞職/現職議員の市長選出馬に伴う辞職による,16.45,nan,nan,nan,21.65,1,5,5.0,110754,56423,54331,48749,辞職/現職議員の市長選出馬に伴う辞職による,16.45,nan,nan,nan
名古屋市議会議員補欠選挙（南区選挙区）（2021年05月23日投票）,名古屋市議会議員補欠選挙,愛知県,名古屋市,名古屋市,高橋 ゆうすけ,タカハシ ユウスケ,42,男,元職,政党職員　元市議,日本共産党,False,4627.0,20210523,2021,5,23,20210514,21.65,1,5,5.0,110754,56423,54331,48749,辞職/現職議員の市長選出馬に伴う辞職による,16.45,nan,nan,nan,21.65,1,5,5.0,110754,56423,54331,48749,辞職/現職議員の市長選出馬に伴う辞職による,16.45,nan,nan,nan
名古屋市議会議員補欠選挙（南区選挙区）（2021年05月23日投票）,名古屋市議会議員補欠選挙,愛知県,名古屋市,名古屋市,山下 俊輔,ヤマシタ シュンスケ,59,男,新人,自営業,無所属,False,1338.0,20210523,2021,5,23,20210514,21.65,1,5,5.0,110754,56423,54331,48749,辞職/現職議員の市長選出馬に伴う辞職による,16.45,nan,nan,nan,21.65,1,5,5.0,110754,56423,54331,48749,辞職/現職議員の市長選出馬に伴う辞職による,16.45,nan,nan,nan
名古屋市議会議員補欠選挙（南区選挙区）（2021年05月23日投票）,名古屋市議会議員補欠選挙,愛知県,名古屋市,名古屋市,いしぐろ 明,イシグロ アキラ,73,男,新人,自営業,無所属,False,964.0,20210523,2021,5,23,20210514,21.65,1,5,5.0,110754,56423,54331,48749,辞職/現職議員の市長選出馬に伴う辞職による,16.45,nan,nan,nan,21.65,1,5,5.0,110754,56423,54331,48749,辞職/現職議員の市長選出馬に伴う辞職による,16.45,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 千種区,伊神 邦彦,イカミ クニヒコ,72,男,現職,名古屋市議会議員,自由民主党,True,9229.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,30.53,5,6,1.2,127287,nan,nan,2615,任期満了,35.57,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 千種区,手塚 まさゆき,テヅカ マサユキ,42,男,現職,名古屋市議会議員,減税日本,True,7776.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,30.53,5,6,1.2,127287,nan,nan,2615,任期満了,35.57,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 千種区,たなべ 雄一,タナベ ユウイチ,49,男,現職,名古屋市議会議員,公明党,True,6381.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,30.53,5,6,1.2,127287,nan,nan,2615,任期満了,35.57,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 千種区,さいとう まこと,サイトウ マコト,59,男,現職,名古屋市議会議員,立憲民主党,True,5511.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,30.53,5,6,1.2,127287,nan,nan,2615,任期満了,35.57,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 千種区,山田 昌弘,ヤマダ マサヒロ,48,男,現職,名古屋市議会議員,国民民主党,True,4802.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,30.53,5,6,1.2,127287,nan,nan,2615,任期満了,35.57,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 千種区,酒井 ケンタロー,サカイ ケンタロー,33,男,新人,政党職員,日本共産党,False,4541.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,30.53,5,6,1.2,127287,nan,nan,2615,任期満了,35.57,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 東区,中川 たかもと,ナカガワ タカモト,52,男,現職,名古屋市議会議員,自由民主党,True,7819.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,32.13,2,4,2.0,63001,nan,nan,3399,任期満了,35.65,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 東区,佐藤 ゆうこ,サトウ ユウコ,56,女,元職,無職,減税日本,True,7313.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,32.13,2,4,2.0,63001,nan,nan,3399,任期満了,35.65,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 東区,国政 直記,クニマサ ナオキ,29,男,現職,名古屋市議会議員,立憲民主党,False,3672.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,32.13,2,4,2.0,63001,nan,nan,3399,任期満了,35.65,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 東区,むらせ 和弘,ムラセ カズヒロ,48,男,新人,政党職員,日本共産党,False,1211.0,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,32.13,2,4,2.0,63001,nan,nan,3399,任期満了,35.65,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 北区,岡田 ゆき子,オカダ ユキコ,54,女,現職,名古屋市議会議員,日本共産党,True,nan,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,無投票,5,5,1.0,nan,nan,nan,nan,任期満了,37.85,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 北区,はっとり 将也,ハットリ マサヤ,50,男,現職,名古屋市議会議員,立憲民主党,True,nan,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,無投票,5,5,1.0,nan,nan,nan,nan,任期満了,37.85,nan,nan,nan
名古屋市議会議員選挙（2019年04月07日投票）,名古屋市議会議員選挙,愛知県,名古屋市, 北区,田山 ひろゆき,タヤマ ヒロユキ,60,男,現職,名古屋市議会議員,減税日本,True,nan,20190407,2019,4,7,20190329,32.87,68,99,1.4558823529411764,1711629,nan,nan,-74080,任期満了,36.57,nan,nan,nan,無投票,5,5,1.0,nan,nan,nan,nan,任期満了,37.85,nan,nan,nan
