"","","","","/項目 コード","H8101","H8102","H8103","H810401","H810402","H810407","H810408","H810409"
"調査年 コード","調査年","地域 コード","地域","/項目","H8101_都市計画区域指定面積【ｈａ】","H8102_市街化調整区域面積【ｈａ】","H8103_市街化区域面積【ｈａ】","H810401_住居専用地域面積【ｈａ】","H810402_住居地域面積【ｈａ】","H810407_工業専用地域面積【ｈａ】","H810408_商業・近隣商業地域面積【ｈａ】","H810409_工業・準工業地域面積【ｈａ】"
"2017100000","2017年度","40305","（旧）福岡県 那珂川町","","1902","1336","566","287.1","217.3","0.0","14.6","47.0"
"2016100000","2016年度","40305","（旧）福岡県 那珂川町","","1902","1336","566","287.1","217.3","0.0","14.6","47.0"
"2015100000","2015年度","04423","（旧）宮城県 富谷町","","4913","3790","1123","700.2","179.6","15.4","42.0","185.3"
"2015100000","2015年度","40305","（旧）福岡県 那珂川町","","1902","1336","566","287.1","217.3","0.0","14.6","47.0"
"2014100000","2014年度","04423","（旧）宮城県 富谷町","","4913","3790","1123","700.2","179.6","15.4","42.0","185.3"
"2014100000","2014年度","40305","（旧）福岡県 那珂川町","","1902","1336","566","287.1","217.3","0.0","14.6","47.0"
"2013100000","2013年度","04423","（旧）宮城県 富谷町","","4913","3818","1095","705.6","174.2","0.0","42.0","173.1"
"2013100000","2013年度","40305","（旧）福岡県 那珂川町","","1902","1336","566","287.0","217.0","0.0","15.0","47.0"
"2012100000","2012年度","03305","（旧）岩手県 滝沢村","","6470","5772","698","358.0","290.0","0.0","0.0","50.0"
"2012100000","2012年度","04423","（旧）宮城県 富谷町","","4913","3818","1095","705.6","174.2","0.0","42.0","173.1"
"2012100000","2012年度","40305","（旧）福岡県 那珂川町","","1902","1336","566","287.1","217.3","0.0","14.6","47.0"
"2011100000","2011年度","03305","（旧）岩手県 滝沢村","","6470","5775","695","355.0","290.0","0.0","0.0","50.0"
"2011100000","2011年度","04423","（旧）宮城県 富谷町","","4913","3818","1095","705.6","174.2","0.0","42.0","173.1"
"2011100000","2011年度","12402","（旧）千葉県 大網白里町","","5806","5174","632","368.0","208.0","0.0","20.4","36.0"
"2011100000","2011年度","40305","（旧）福岡県 那珂川町","","1902","1336","566","287.0","217.0","0.0","15.0","47.0"
"2010100000","2010年度","03305","（旧）岩手県 滝沢村","","6470","5779","691","355.0","286.0","0.0","0.0","50.0"
"2010100000","2010年度","04423","（旧）宮城県 富谷町","","4913","3818","1095","705.4","174.2","0.0","42.0","173.3"
"2010100000","2010年度","12402","（旧）千葉県 大網白里町","","5806","5174","632","368.0","208.0","0.0","20.4","36.0"
"2010100000","2010年度","17344","（旧）石川県 野々市町","","1356","406","950","255.0","356.0","0.0","52.0","287.0"
"2010100000","2010年度","23304","（旧）愛知県 長久手町","","2154","1428","726","391.0","243.0","0.0","5.1","87.0"
"2010100000","2010年度","40305","（旧）福岡県 那珂川町","","1902","1336","566","287.1","217.3","0.0","14.6","47.0"
"2009100000","2009年度","03305","（旧）岩手県 滝沢村","","6470","5787","683","351.0","286.0","0.0","0.0","46.0"
"2009100000","2009年度","04423","（旧）宮城県 富谷町","","4913","3857","1056","666.4","174.2","0.0","42.0","173.1"
"2009100000","2009年度","12402","（旧）千葉県 大網白里町","","5806","5174","632","364.0","208.0","0.0","20.4","40.0"
"2009100000","2009年度","17344","（旧）石川県 野々市町","","1356","406","950","255.0","356.0","0.0","52.0","287.0"
"2009100000","2009年度","23304","（旧）愛知県 長久手町","","2154","1428","726","391.0","243.0","0.0","5.1","87.0"
"2009100000","2009年度","40305","（旧）福岡県 那珂川町","","1902","1336","566","287.1","217.3","0.0","14.6","47.0"
"2008100000","2008年度","03305","（旧）岩手県 滝沢村","","6470","5787","683","351.0","286.0","0.0","0.0","46.0"
"2008100000","2008年度","04423","（旧）宮城県 富谷町","","4913","3857","1056","666.4","174.2","0.0","42.0","173.1"
"2008100000","2008年度","12402","（旧）千葉県 大網白里町","","5806","5174","632","364.0","208.0","0.0","20.4","40.0"
"2008100000","2008年度","17344","（旧）石川県 野々市町","","1356","406","950","255.0","356.0","0.0","52.0","287.0"
"2008100000","2008年度","23304","（旧）愛知県 長久手町","","2154","1428","726","391.0","243.0","0.0","5.1","87.0"
"2008100000","2008年度","40305","（旧）福岡県 那珂川町","","1902","1336","566","287.1","217.3","0.0","14.6","47.0"
"2007100000","2007年度","03305","（旧）岩手県 滝沢村","","6470","5787","683","351.0","286.0","0.0","0.0","46.0"
"2007100000","2007年度","04423","（旧）宮城県 富谷町","","4913","3857","1056","666.4","174.2","0.0","42.0","173.1"
