"","","","","/項目 コード","H8101","H8102","H8103","H810401","H810402","H810407","H810408","H810409"
"調査年 コード","調査年","地域 コード","地域","/項目","H8101_都市計画区域指定面積【ｈａ】","H8102_市街化調整区域面積【ｈａ】","H8103_市街化区域面積【ｈａ】","H810401_住居専用地域面積【ｈａ】","H810402_住居地域面積【ｈａ】","H810407_工業専用地域面積【ｈａ】","H810408_商業・近隣商業地域面積【ｈａ】","H810409_工業・準工業地域面積【ｈａ】"
"2009100000","2009年度","01439","（旧）北海道 幌加内町","","0","0","0","0.0","0.0","0.0","0.0","0.0"
"2009100000","2009年度","01488","（旧）北海道 幌延町","","0","0","0","0.0","0.0","0.0","0.0","0.0"
"2008100000","2008年度","01439","（旧）北海道 幌加内町","","0","0","0","0.0","0.0","0.0","0.0","0.0"
"2008100000","2008年度","01488","（旧）北海道 幌延町","","0","0","0","0.0","0.0","0.0","0.0","0.0"
"2007100000","2007年度","01439","（旧）北海道 幌加内町","","0","0","0","0.0","0.0","0.0","0.0","0.0"
"2007100000","2007年度","01488","（旧）北海道 幌延町","","0","0","0","0.0","0.0","0.0","0.0","0.0"
"2006100000","2006年度","01439","（旧）北海道 幌加内町","","0","0","0","0.0","0.0","0.0","0.0","0.0"
"2006100000","2006年度","01488","（旧）北海道 幌延町","","0","0","0","0.0","0.0","0.0","0.0","0.0"
"2005100000","2005年度","01439","（旧）北海道 幌加内町","","0","0","0","0.0","0.0","0.0","0.0","0.0"
"2005100000","2005年度","01488","（旧）北海道 幌延町","","0","0","0","0.0","0.0","0.0","0.0","0.0"
"2004100000","2004年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"2004100000","2004年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"2003100000","2003年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"2003100000","2003年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"2002100000","2002年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"2002100000","2002年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"2001100000","2001年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"2001100000","2001年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"2000100000","2000年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"2000100000","2000年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1999100000","1999年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1999100000","1999年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1998100000","1998年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1998100000","1998年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1997100000","1997年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1997100000","1997年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1996100000","1996年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1996100000","1996年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1995100000","1995年度","01439","（旧）北海道 幌加内町","","***","0","***","-","-","-","-","-"
"1995100000","1995年度","01488","（旧）北海道 幌延町","","***","0","***","-","-","-","-","-"
"1994100000","1994年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1994100000","1994年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1993100000","1993年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1993100000","1993年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1992100000","1992年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1992100000","1992年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1991100000","1991年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1991100000","1991年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1990100000","1990年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1990100000","1990年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1989100000","1989年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1989100000","1989年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1988100000","1988年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1988100000","1988年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1987100000","1987年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1987100000","1987年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1986100000","1986年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1986100000","1986年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1985100000","1985年度","01439","（旧）北海道 幌加内町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
"1985100000","1985年度","01488","（旧）北海道 幌延町","","***","0","***","0.0","0.0","0.0","0.0","0.0"
