"","","","","/項目 コード","C120110","C120120","C120130"
"調査年 コード","調査年","地域 コード","地域","/項目","C120110_課税対象所得【千円】","C120120_納税義務者数（所得割）【人】","C120130_納税義務者数（均等割）【人】"
"2013100000","2013年度","09367","（旧）栃木県 岩舟町","","21313655","7837","8858"
"2012100000","2012年度","09367","（旧）栃木県 岩舟町","","20972750","7755","8752"
"2011100000","2011年度","03422","（旧）岩手県 藤沢町","","6272287","2780","3429"
"2011100000","2011年度","09321","（旧）栃木県 西方町","","7280908","2771","3224"
"2011100000","2011年度","09367","（旧）栃木県 岩舟町","","20931326","7706","8711"
"2011100000","2011年度","11226","（旧）埼玉県 鳩ヶ谷市","","89725539","28116","29269"
"2011100000","2011年度","32304","（旧）島根県 東出雲町","","16009400","6397","7183"
"2011100000","2011年度","32401","（旧）島根県 斐川町","","30567171","12222","13857"
"2010100000","2010年度","03422","（旧）岩手県 藤沢町","","6412906","2884","3521"
"2010100000","2010年度","09321","（旧）栃木県 西方町","","7347310","2795","3249"
"2010100000","2010年度","09367","（旧）栃木県 岩舟町","","20423238","7658","8677"
"2010100000","2010年度","11226","（旧）埼玉県 鳩ヶ谷市","","89506342","28174","29370"
"2010100000","2010年度","23481","（旧）愛知県 一色町","","36598045","11077","12299"
"2010100000","2010年度","23482","（旧）愛知県 吉良町","","31168574","10118","11256"
"2010100000","2010年度","23483","（旧）愛知県 幡豆町","","16138324","5681","6342"
"2010100000","2010年度","32304","（旧）島根県 東出雲町","","15857882","6352","7120"
"2010100000","2010年度","32401","（旧）島根県 斐川町","","29893076","12014","13730"
"2009100000","2009年度","03422","（旧）岩手県 藤沢町","","6908668","3039","***"
"2009100000","2009年度","09321","（旧）栃木県 西方町","","8287250","2981","***"
"2009100000","2009年度","09367","（旧）栃木県 岩舟町","","22829125","8103","***"
"2009100000","2009年度","11226","（旧）埼玉県 鳩ヶ谷市","","95272639","28716","***"
"2009100000","2009年度","23481","（旧）愛知県 一色町","","41482795","11513","***"
"2009100000","2009年度","23482","（旧）愛知県 吉良町","","34901374","10450","***"
"2009100000","2009年度","23483","（旧）愛知県 幡豆町","","18377784","5904","***"
"2009100000","2009年度","32304","（旧）島根県 東出雲町","","16448692","6419","***"
"2009100000","2009年度","32401","（旧）島根県 斐川町","","31418315","12339","***"
"2008100000","2008年度","03422","（旧）岩手県 藤沢町","","7158622","3120","***"
"2008100000","2008年度","09321","（旧）栃木県 西方町","","8362381","3030","***"
"2008100000","2008年度","09367","（旧）栃木県 岩舟町","","23233680","8185","***"
"2008100000","2008年度","11226","（旧）埼玉県 鳩ヶ谷市","","97829959","28430","***"
"2008100000","2008年度","23481","（旧）愛知県 一色町","","40606811","11514","***"
"2008100000","2008年度","23482","（旧）愛知県 吉良町","","36761055","10468","***"
"2008100000","2008年度","23483","（旧）愛知県 幡豆町","","19260108","6024","***"
"2008100000","2008年度","32304","（旧）島根県 東出雲町","","16586122","6410","***"
