"","","","","/項目 コード","F1101","F110101","F110102","F1107","F1108","F2201","F2211","F2221","F2401","F2402","F2409","F2410","F2411","F2705","F2803"
"調査年 コード","調査年","地域 コード","地域","/項目","F1101_労働力人口【人】","F110101_労働力人口（男）【人】","F110102_労働力人口（女）【人】","F1107_完全失業者数【人】","F1108_非労働力人口【人】","F2201_第1次産業就業者数【人】","F2211_第2次産業就業者数【人】","F2221_第3次産業就業者数【人】","F2401_雇用者数（国勢調査結果）【人】","F2402_役員数【人】","F2409_雇用者数（正規の職員・従業員）【人】","F2410_雇用者数（労働者派遣事業所の派遣社員）【人】","F2411_雇用者数（パート・アルバイト・その他）【人】","F2705_他市区町村への通勤者数【人】","F2803_他市区町村からの通勤者数【人】"
"2010100000","2010年度","03422","（旧）岩手県 藤沢町","","4949","2909","2040","322","3121","1305","1523","1797","3058","133","2186","65","807","1401","1143"
"2010100000","2010年度","09321","（旧）栃木県 西方町","","3556","2088","1468","194","2113","481","1069","1799","2410","168","1630","54","726","1926","1835"
"2010100000","2010年度","09367","（旧）栃木県 岩舟町","","9956","6034","3922","676","6029","727","3457","5052","7190","473","4699","237","2254","5487","3423"
"2010100000","2010年度","11226","（旧）埼玉県 鳩ヶ谷市","","31629","19387","12242","2242","17954","127","7524","19961","23521","1852","15822","774","6925","20181","7136"
"2010100000","2010年度","23481","（旧）愛知県 一色町","","13152","7572","5580","793","7243","1738","4771","5824","8756","594","5954","185","2617","6297","2421"
"2010100000","2010年度","23482","（旧）愛知県 吉良町","","12202","7189","5013","491","6655","1139","4610","5672","8744","504","5909","217","2618","6259","4781"
"2010100000","2010年度","23483","（旧）愛知県 幡豆町","","6896","3889","3007","296","3781","404","2834","3275","4945","311","3263","128","1554","3704","1547"
"2010100000","2010年度","32304","（旧）島根県 東出雲町","","7630","4285","3345","451","4168","328","2123","4714","5905","379","4097","109","1699","4340","3031"
"2010100000","2010年度","32401","（旧）島根県 斐川町","","14630","8337","6293","661","8462","1086","4467","7967","11034","575","7678","552","2804","6264","6998"
"2005100000","2005年度","03422","（旧）岩手県 藤沢町","","5462","3182","2280","253","3230","1439","1872","1897","3436","119","***","***","***","1626","1108"
"2005100000","2005年度","09321","（旧）栃木県 西方町","","3865","2238","1627","181","2135","621","1230","1831","2588","141","***","***","***","2013","1833"
"2005100000","2005年度","09367","（旧）栃木県 岩舟町","","10534","6473","4061","471","5953","856","4010","5148","7535","513","***","***","***","5745","3604"
"2005100000","2005年度","11226","（旧）埼玉県 鳩ヶ谷市","","31379","19464","11915","1852","17644","146","9119","19476","23595","1543","***","***","***","20062","7638"
"2005100000","2005年度","23481","（旧）愛知県 一色町","","13702","7801","5901","517","6793","2058","5211","5891","8840","589","***","***","***","6240","2349"
"2005100000","2005年度","23482","（旧）愛知県 吉良町","","12581","7329","5252","399","6122","1446","4867","5780","8722","479","***","***","***","6189","4420"
"2005100000","2005年度","23483","（旧）愛知県 幡豆町","","7374","4124","3250","260","3599","530","3233","3301","5040","288","***","***","***","3878","1553"
"2005100000","2005年度","32304","（旧）島根県 東出雲町","","7616","4307","3309","361","3953","414","2299","4506","5801","390","***","***","***","4158","2909"
"2005100000","2005年度","32401","（旧）島根県 斐川町","","15008","8560","6448","604","7862","1516","4629","8173","10865","586","***","***","***","6250","7040"
"2000100000","2000年度","03422","（旧）岩手県 藤沢町","","5767","3360","2407","152","3221","1482","2280","1853","3756","140","***","***","***","1675","1027"
"2000100000","2000年度","09321","（旧）栃木県 西方町","","3881","2212","1669","104","2033","671","1301","1791","2555","134","***","***","***","1900","1611"
"2000100000","2000年度","09367","（旧）栃木県 岩舟町","","10542","6468","4074","394","6010","854","4330","4905","7375","453","***","***","***","5486","3149"
"2000100000","2000年度","11226","（旧）埼玉県 鳩ヶ谷市","","29766","18735","11031","1580","16685","171","10192","17507","21586","1751","***","***","***","18281","7270"
"2000100000","2000年度","23481","（旧）愛知県 一色町","","13898","7949","5949","410","6618","2283","5472","5712","8626","629","***","***","***","5896","2230"
"2000100000","2000年度","23482","（旧）愛知県 吉良町","","12576","7267","5309","340","5766","1692","5023","5514","8406","520","***","***","***","5898","3836"
"2000100000","2000年度","23483","（旧）愛知県 幡豆町","","7566","4234","3332","239","3456","540","3444","3341","5025","340","***","***","***","3610","1487"
"2000100000","2000年度","32304","（旧）島根県 東出雲町","","6739","3916","2823","237","3573","402","2513","3549","5059","355","***","***","***","3407","2693"
"2000100000","2000年度","32401","（旧）島根県 斐川町","","15076","8562","6514","387","7213","1640","5453","7521","10902","665","***","***","***","5875","7460"
"1995100000","1995年度","03422","（旧）岩手県 藤沢町","","6112","***","***","134","***","1873","2322","1779","3725","120","***","***","***","1501","746"
"1995100000","1995年度","09321","（旧）栃木県 西方町","","3706","***","***","83","***","739","1294","1577","2350","168","***","***","***","1617","1311"
"1995100000","1995年度","09367","（旧）栃木県 岩舟町","","10810","***","***","383","***","1009","4740","4674","7381","636","***","***","***","5359","2652"
"1995100000","1995年度","11226","（旧）埼玉県 鳩ヶ谷市","","32178","***","***","1777","***","222","12127","17866","23179","1952","***","***","***","19578","7507"
"1995100000","1995年度","23481","（旧）愛知県 一色町","","14167","***","***","362","***","2570","5830","5391","8465","663","***","***","***","5622","2113"
"1995100000","1995年度","23482","（旧）愛知県 吉良町","","12554","***","***","284","***","1850","5126","5282","8103","497","***","***","***","5505","3400"
"1995100000","1995年度","23483","（旧）愛知県 幡豆町","","7791","***","***","183","***","577","3757","3272","5050","358","***","***","***","3465","1379"
"1995100000","1995年度","32304","（旧）島根県 東出雲町","","6511","***","***","168","***","556","2641","3140","4822","361","***","***","***","2763","2793"
"1995100000","1995年度","32401","（旧）島根県 斐川町","","14576","***","***","283","***","2113","5500","6673","9959","653","***","***","***","5359","5031"
"1990100000","1990年度","03422","（旧）岩手県 藤沢町","","6238","***","***","41","***","2296","2296","1605","3321","100","***","***","***","1215","605"
"1990100000","1990年度","09321","（旧）栃木県 西方町","","3755","***","***","70","***","885","1339","1459","2255","101","***","***","***","1489","1193"
"1990100000","1990年度","09367","（旧）栃木県 岩舟町","","10224","***","***","156","***","1129","4996","3938","6884","337","***","***","***","4978","2107"
"1990100000","1990年度","11226","（旧）埼玉県 鳩ヶ谷市","","31298","***","***","953","***","244","13276","16631","22965","2234","***","***","***","19361","7169"
"1990100000","1990年度","23481","（旧）愛知県 一色町","","13698","***","***","201","***","2762","5804","4913","7789","498","***","***","***","5031","1735"
"1990100000","1990年度","23482","（旧）愛知県 吉良町","","12074","***","***","158","***","1934","5102","4876","7549","412","***","***","***","5033","2346"
"1990100000","1990年度","23483","（旧）愛知県 幡豆町","","7727","***","***","147","***","606","3879","3092","4847","264","***","***","***","3209","1143"
"1990100000","1990年度","32304","（旧）島根県 東出雲町","","6291","***","***","129","***","604","2584","2970","4519","309","***","***","***","2509","2429"
"1990100000","1990年度","32401","（旧）島根県 斐川町","","13860","***","***","207","***","2380","5428","5822","9092","493","***","***","***","4805","3713"
"1985100000","1985年度","03422","（旧）岩手県 藤沢町","","6474","***","***","77","***","3066","1820","1509","2795","71","***","***","***","1039","308"
"1985100000","1985年度","09321","（旧）栃木県 西方町","","3620","***","***","67","***","1053","1231","1268","2004","87","***","***","***","1308","975"
"1985100000","1985年度","09367","（旧）栃木県 岩舟町","","9424","***","***","175","***","1372","4373","3491","5867","359","***","***","***","4065","1540"
"1985100000","1985年度","11226","（旧）埼玉県 鳩ヶ谷市","","28813","***","***","921","***","251","12743","14825","20767","1575","***","***","***","16728","6399"
"1985100000","1985年度","23481","（旧）愛知県 一色町","","13516","***","***","172","***","3127","5588","4617","7164","361","***","***","***","4460","1429"
"1985100000","1985年度","23482","（旧）愛知県 吉良町","","11717","***","***","133","***","2346","4655","4581","6896","273","***","***","***","4446","1907"
"1985100000","1985年度","23483","（旧）愛知県 幡豆町","","7602","***","***","114","***","709","3824","2952","4520","191","***","***","***","2876","895"
"1985100000","1985年度","32304","（旧）島根県 東出雲町","","6226","***","***","128","***","722","2604","2771","4394","253","***","***","***","2142","2265"
"1985100000","1985年度","32401","（旧）島根県 斐川町","","13848","***","***","192","***","3117","4990","5535","8437","431","***","***","***","4574","2495"
"1980100000","1980年度","03422","（旧）岩手県 藤沢町","","6554","***","***","65","***","3244","1726","1515","2557","48","***","***","***","898","290"
"1980100000","1980年度","09321","（旧）栃木県 西方町","","3627","***","***","58","***","1179","1123","1265","1832","68","***","***","***","1163","654"
"1980100000","1980年度","09367","（旧）栃木県 岩舟町","","9141","***","***","173","***","1721","4062","3183","5057","275","***","***","***","3587","1000"
"1980100000","1980年度","11226","（旧）埼玉県 鳩ヶ谷市","","26498","***","***","601","***","321","12210","13336","18164","1336","***","***","***","14654","5236"
"1980100000","1980年度","23481","（旧）愛知県 一色町","","13346","***","***","107","***","3472","5276","4482","6483","319","***","***","***","3982","1274"
"1980100000","1980年度","23482","（旧）愛知県 吉良町","","11350","***","***","100","***","2682","4273","4286","6078","217","***","***","***","3946","1542"
"1980100000","1980年度","23483","（旧）愛知県 幡豆町","","7366","***","***","74","***","789","3599","2901","4219","154","***","***","***","2547","722"
"1980100000","1980年度","32304","（旧）島根県 東出雲町","","5979","***","***","92","***","864","2609","2414","4031","186","***","***","***","1667","2266"
"1980100000","1980年度","32401","（旧）島根県 斐川町","","13407","***","***","122","***","3654","4378","5252","7573","340","***","***","***","4279","1293"
