"","","","","/項目 コード","B1101","B1102","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】"
"2013100000","2013年度","09367","（旧）栃木県 岩舟町","","4674","4674","3377"
"2012100000","2012年度","09367","（旧）栃木県 岩舟町","","4674","4674","3377"
"2011100000","2011年度","09367","（旧）栃木県 岩舟町","","4674","4674","3377"
"2011100000","2011年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","622","622"
"2010100000","2010年度","03422","（旧）岩手県 藤沢町","","12315","12315","5093"
"2010100000","2010年度","09321","（旧）栃木県 西方町","","3200","3200","1823"
"2010100000","2010年度","09367","（旧）栃木県 岩舟町","","4674","4674","3129"
"2010100000","2010年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","622","622"
"2010100000","2010年度","23481","（旧）愛知県 一色町","","2253","2253","2196"
"2010100000","2010年度","23482","（旧）愛知県 吉良町","","3598","3598","2794"
"2010100000","2010年度","23483","（旧）愛知県 幡豆町","","2605","2605","1190"
"2010100000","2010年度","32304","（旧）島根県 東出雲町","","4264","4264","1403"
"2010100000","2010年度","32401","（旧）島根県 斐川町","","8064","8064","5150"
"2009100000","2009年度","03422","（旧）岩手県 藤沢町","","12315","12315","5093"
"2009100000","2009年度","09321","（旧）栃木県 西方町","","3200","3200","1823"
"2009100000","2009年度","09367","（旧）栃木県 岩舟町","","4674","4674","3129"
"2009100000","2009年度","11226","（旧）埼玉県 鳩ヶ谷市","","622","622","622"
"2009100000","2009年度","23481","（旧）愛知県 一色町","","2253","2253","2196"
"2009100000","2009年度","23482","（旧）愛知県 吉良町","","3598","3598","2794"
"2009100000","2009年度","23483","（旧）愛知県 幡豆町","","2605","2605","1190"
"2009100000","2009年度","32304","（旧）島根県 東出雲町","","4264","4264","1403"
"2009100000","2009年度","32401","（旧）島根県 斐川町","","8064","8064","5150"
"2008100000","2008年度","03422","（旧）岩手県 藤沢町","","12315","12315","5093"
