"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"2013100000","2013年度","09367","（旧）栃木県 岩舟町","","7165233","2039170","78567","3800","1631987","45550","650851","313335","8157","748","719929","352524","141534","899786","6893","3336047","298660"
"2012100000","2012年度","09367","（旧）栃木県 岩舟町","","6154101","2030170","82578","4111","1670474","45368","438335","392577","13859","1173","317723","341865","146379","396446","8550","2925078","172935"
"2011100000","2011年度","09367","（旧）栃木県 岩舟町","","6253118","2047800","88166","4721","1680074","41432","482427","441071","4110","630","137630","357092","138808","547732","26670","2755127","121978"
"2010100000","2010年度","03422","（旧）岩手県 藤沢町","","6827186","604675","144002","1670","3076360","76678","311184","344640","37400","4865","159430","1310390","75594","503661","18069","2323980","94347"
"2010100000","2010年度","09321","（旧）栃木県 西方町","","3540147","1033127","49842","2133","984277","53959","261800","150899","12948","2427","145403","161235","137730","391400","15207","1554152","293642"
"2010100000","2010年度","09367","（旧）栃木県 岩舟町","","5994165","2010194","89553","6108","1637944","45248","597150","331285","6981","1000","30374","385515","74390","475100","30975","2586197","134396"
"2010100000","2010年度","11226","（旧）埼玉県 鳩ヶ谷市","","21367572","8633550","114309","25288","2019926","365343","2975815","1135886","5494","407","734862","846331","845013","2950951","121703","11512397","454490"
"2010100000","2010年度","23481","（旧）愛知県 一色町","","8385672","3001095","96609","15810","1537685","206155","595897","321781","16282","800","516162","456423","279501","981308","48544","4504168","557938"
"2010100000","2010年度","23482","（旧）愛知県 吉良町","","8545222","3511465","156922","13665","768568","184903","469912","328940","54019","8921","1003561","478457","227095","919100","61543","5492919","163069"
"2010100000","2010年度","23483","（旧）愛知県 幡豆町","","4694916","1581567","71278","7075","1000468","95714","349082","182160","73542","3772","321805","204950","203436","389900","28461","2510595","78150"
"2010100000","2010年度","32304","（旧）島根県 東出雲町","","9434078","1568098","67955","6152","1898506","153492","1679967","517566","53768","3845","486363","244360","67903","2360700","28993","2733787","127683"
"2010100000","2010年度","32401","（旧）島根県 斐川町","","12019268","3357396","608623","11771","3415574","186245","1095176","785261","76235","2406","93560","157046","519902","946293","47521","4792828","333816"
"2009100000","2009年度","03422","（旧）岩手県 藤沢町","","6585198","624210","146418","2234","2894388","80800","1450856","465644","24095","5723","56109","322824","86125","259289","11941","1250934","77927"
"2009100000","2009年度","09321","（旧）栃木県 西方町","","3649467","1016263","51481","2512","838803","40923","521299","213743","8859","2400","313583","165631","82211","236400","15514","1636962","215264"
"2009100000","2009年度","09367","（旧）栃木県 岩舟町","","6342778","2103500","92433","7088","1519481","43330","789133","311728","5869","500","363344","390589","78465","322600","29687","3024006","235182"
"2009100000","2009年度","11226","（旧）埼玉県 鳩ヶ谷市","","20429213","8847699","117580","27745","1721021","359549","2112026","1088107","12631","344","562660","1941893","527936","2387769","125869","12331415","410118"
"2009100000","2009年度","23481","（旧）愛知県 一色町","","8035195","3286329","99572","16245","1127289","207811","1157756","415575","8680","1148","253857","325562","277446","482592","54750","4388980","366460"
"2009100000","2009年度","23482","（旧）愛知県 吉良町","","8418858","3790077","161568","14230","360735","193744","1075162","419859","17307","2025","828782","382601","235478","498700","63628","5475389","354135"
"2009100000","2009年度","23483","（旧）愛知県 幡豆町","","4770850","1662359","73620","7383","819844","97177","463247","231660","39638","3322","283620","372647","185037","308000","31152","2672921","128704"
"2009100000","2009年度","32304","（旧）島根県 東出雲町","","7041842","1550825","69876","6134","1751438","164244","1186430","354965","29953","1972","49614","221274","51657","1281000","30384","2218116","128505"
"2009100000","2009年度","32401","（旧）島根県 斐川町","","11891384","3332257","559042","11653","3002651","192026","1567452","868134","23853","6566","0","120919","582788","858553","52586","4642378","165363"
"2008100000","2008年度","03422","（旧）岩手県 藤沢町","","5429246","677240","156066","2328","2788229","86430","556657","226915","48124","6094","26363","101858","165481","406906","9695","1168062","394342"
"2008100000","2008年度","09321","（旧）栃木県 西方町","","2880031","1109775","55032","3144","766064","33855","97270","129923","46585","250","177453","92179","36156","177900","12787","1502955","96126"
"2008100000","2008年度","09367","（旧）栃木県 岩舟町","","5384529","2204537","96232","8644","1444511","63909","329697","310457","9441","6629","35016","273431","78850","207766","23640","2708332","124380"
"2008100000","2008年度","11226","（旧）埼玉県 鳩ヶ谷市","","19763240","8949792","124444","33289","1788312","326909","2707115","1540827","11493","471","400761","908709","550107","1658428","149945","11234149","374438"
"2008100000","2008年度","23481","（旧）愛知県 一色町","","6890919","3315400","106039","18814","1167638","219915","245481","408515","13689","11607","86762","321241","305174","290300","40342","4295066","132621"
"2008100000","2008年度","23482","（旧）愛知県 吉良町","","6716322","3830990","172266","16367","433095","200957","280955","383005","24296","1045","72016","280279","228092","329700","37657","4663674","112481"
