"","","","","/項目 コード","D3203","D320301","D320302","D320303","D320304","D320305","D320306","D320307","D320308","D320309","D320310","D320311","D320312","D320401","D320402","D320403","D320404","D320405","D320406","D320407","D320408","D320410","D320411","D320412"
"調査年 コード","調査年","地域 コード","地域","/項目","D3203_歳出決算総額（市町村財政）【千円】","D320301_議会費（市町村財政）【千円】","D320302_総務費（市町村財政）【千円】","D320303_民生費（市町村財政）【千円】","D320304_衛生費（市町村財政）【千円】","D320305_労働費（市町村財政）【千円】","D320306_農林水産業費（市町村財政）【千円】","D320307_商工費（市町村財政）【千円】","D320308_土木費（市町村財政）【千円】","D320309_消防費（市町村財政）【千円】","D320310_教育費（市町村財政）【千円】","D320311_災害復旧費（市町村財政）【千円】","D320312_公債費（市町村財政）（目的別歳出内訳）【千円】","D320401_人件費（市町村財政）【千円】","D320402_物件費（市町村財政）【千円】","D320403_維持補修費（市町村財政）【千円】","D320404_扶助費（市町村財政）【千円】","D320405_補助費等（市町村財政）【千円】","D320406_普通建設事業費（市町村財政）【千円】","D320407_災害復旧事業費（市町村財政）【千円】","D320408_失業対策事業費（市町村財政）【千円】","D320410_積立金（市町村財政）【千円】","D320411_投資及び出資金（市町村財政）【千円】","D320412_貸付金（市町村財政）【千円】"
"2013100000","2013年度","09367","（旧）栃木県 岩舟町","","6786898","101822","1287121","1762570","446217","958","155217","82204","802454","323776","1207231","0","617328","1128759","863423","50165","807479","660349","1452290","0","0","236733","15200","34000"
"2012100000","2012年度","09367","（旧）栃木県 岩舟町","","5801577","108174","863150","1773697","471352","2534","241522","84764","659359","292306","672434","0","632285","1201218","811339","31098","830642","720143","641867","0","0","835","14000","44000"
"2011100000","2011年度","09367","（旧）栃木県 岩舟町","","5911253","112756","903071","1950212","492961","18098","168288","81436","663400","242036","617589","3012","658394","1267557","772079","54577","861992","628744","728277","3012","0","89307","15000","44000"
"2010100000","2010年度","03422","（旧）岩手県 藤沢町","","5406190","46473","675869","956633","706873","55189","1389212","31593","202383","190690","526995","790","623490","893370","448949","79767","408945","1680872","604036","790","0","154099","0","18000"
"2010100000","2010年度","09321","（旧）栃木県 西方町","","3208393","54987","421417","557679","198878","0","296894","103912","347766","140596","802660","0","283604","674645","503720","17381","223533","427071","536907","0","0","233402","22755","0"
"2010100000","2010年度","09367","（旧）栃木県 岩舟町","","5637073","84544","1099985","1619492","459649","11620","150226","85030","696937","231406","539928","0","658256","1325445","707378","50920","832652","595264","445762","0","0","169404","14000","59000"
"2010100000","2010年度","11226","（旧）埼玉県 鳩ヶ谷市","","20409033","187475","3038412","7676858","1414877","81228","36190","236366","2972871","804204","1955884","0","2004668","3765748","2421095","293630","4181505","1308758","2566151","0","0","1169728","271900","428360"
"2010100000","2010年度","23481","（旧）愛知県 一色町","","8032596","105500","1841108","2242477","656815","20149","257449","153418","654881","375944","1153770","0","567673","2345237","1041914","89397","952337","1174054","996292","0","0","1239","3071","50000"
"2010100000","2010年度","23482","（旧）愛知県 吉良町","","8182072","90719","1233628","2655484","517931","14131","451185","200530","1198013","427533","827137","0","565781","1751364","1031857","143676","916325","1558485","1294487","0","0","16540","0","53000"
"2010100000","2010年度","23483","（旧）愛知県 幡豆町","","4346761","68516","1085830","1177035","284911","7752","223611","100022","437319","259396","423847","0","278522","1134605","681995","28116","489040","702432","452511","0","0","26558","0","35000"
"2010100000","2010年度","32304","（旧）島根県 東出雲町","","8982441","80697","1542119","1725269","1246153","0","288597","90511","772972","308857","1986519","0","940747","885341","885628","118025","857167","729219","3900100","0","0","19399","0","15000"
"2010100000","2010年度","32401","（旧）島根県 斐川町","","11650991","92875","1166891","3062773","598546","80843","1499353","946609","911879","444153","1141102","3097","1702870","1619813","1705408","78574","1884444","1524907","841195","3097","0","148416","0","432660"
"2009100000","2009年度","03422","（旧）岩手県 藤沢町","","5274808","38365","650669","832828","583880","100208","1447176","53189","119435","203272","545282","2195","698309","847274","395575","174876","303861","1541660","631433","2195","***","231077","0","17000"
"2009100000","2009年度","09321","（旧）栃木県 西方町","","3388232","54681","589304","501122","238503","0","394344","100954","497477","132115","574705","0","305027","712538","436296","23140","158742","570114","759464","0","***","106219","19649","0"
"2009100000","2009年度","09367","（旧）栃木県 岩舟町","","5957263","88065","1237476","1443571","476326","6648","191239","75325","807971","232466","724658","0","673518","1353607","615551","70565","635627","910990","596797","0","***","171380","12000","99000"
"2009100000","2009年度","11226","（旧）埼玉県 鳩ヶ谷市","","19582882","197517","3362123","6189750","2321676","92528","38570","230315","2559800","729937","1740715","0","2080957","3915117","2188432","145974","3056282","2258833","3135799","0","***","525240","74300","163300"
"2009100000","2009年度","23481","（旧）愛知県 一色町","","7578772","100449","1341823","1931136","865245","6659","313724","160173","746609","377929","1123948","0","604294","1684707","1131711","85435","654792","1499550","1113031","0","***","4368","6070","51000"
"2009100000","2009年度","23482","（旧）愛知県 吉良町","","7940401","91569","2019077","1912260","558821","10550","515514","160055","688438","412104","1008126","1489","562398","1632777","981741","123075","637201","1440011","929384","1489","***","813688","0","53000"
"2009100000","2009年度","23483","（旧）愛知県 幡豆町","","4565900","69906","1001643","1088156","318874","8030","214014","111514","490221","254533","734716","0","274293","878906","678795","22870","344717","802423","788109","0","***","204823","0","35000"
"2009100000","2009年度","32304","（旧）島根県 東出雲町","","6797482","81398","1172571","1324292","943629","0","277273","122697","469756","274324","1209215","1390","920937","876620","759710","39612","627704","904837","1556957","1390","***","449494","0","30000"
"2009100000","2009年度","32401","（旧）島根県 斐川町","","11734338","90148","1491292","2741338","555596","52398","1963070","863526","866628","334522","900701","7300","1867819","1643909","1459230","52488","1531289","2373314","674397","7300","***","3921","0","443132"
"2008100000","2008年度","03422","（旧）岩手県 藤沢町","","5106422","38014","576742","953050","510520","530","1128015","31786","65519","170471","827895","4519","799361","865051","381704","79922","306047","1584181","511518","4519","***","122424","200","17000"
"2008100000","2008年度","09321","（旧）栃木県 西方町","","2624400","56170","524765","488306","245850","0","167545","90447","221114","133153","349842","4391","342817","739053","328310","17555","148340","441185","260116","4391","***","25711","21413","0"
"2008100000","2008年度","09367","（旧）栃木県 岩舟町","","4993940","97114","863379","1377482","468327","1081","160606","80691","598033","222839","454584","0","669804","1393151","603415","48496","579586","600739","262243","0","***","25695","23100","34000"
"2008100000","2008年度","11226","（旧）埼玉県 鳩ヶ谷市","","17821347","197094","2662752","5389860","1611861","51493","38489","229829","3129662","689704","1637722","0","2143138","4013947","2127161","145415","2724939","1283493","2579525","0","***","726887","175800","162430"
"2008100000","2008年度","23481","（旧）愛知県 一色町","","6565357","100629","922214","1898485","815813","199","294327","137250","583945","394882","801551","0","602943","1757614","1063580","86102","635278","1056844","536331","0","***","15940","7449","51000"
"2008100000","2008年度","23482","（旧）愛知県 吉良町","","6333721","94082","845233","1856553","511860","152","475377","147431","576418","398964","874764","0","552887","1678320","916864","95483","622829","1014399","583620","0","***","54270","1100","53000"
"2008100000","2008年度","23483","（旧）愛知県 幡豆町","","4250419","70755","869438","1090009","288007","0","195081","117690","408379","262011","650267","526","298256","900411","595306","12441","343462","574433","659887","526","***","331927","700","35000"
"2008100000","2008年度","32304","（旧）島根県 東出雲町","","5315427","81838","513694","1231955","417998","0","311652","72108","732209","255173","729295","6770","962735","866834","676122","58953","576375","682738","506215","6770","***","2893","1500","30000"
"2008100000","2008年度","32401","（旧）島根県 斐川町","","10536377","89065","1440748","2462169","535718","2347","1356502","735189","833683","324092","786298","0","1970566","1549055","1185342","42944","1489679","1412985","467137","0","***","426727","6250","454777"
"2007100000","2007年度","03422","（旧）岩手県 藤沢町","","4753839","54838","431759","819237","537898","575","1234171","33672","113718","173526","503482","9498","841465","864975","400216","56613","311707","1680564","277065","9498","***","14846","0","17000"
"2007100000","2007年度","09321","（旧）栃木県 西方町","","2422533","66823","480623","473776","227234","0","132754","87315","170979","139654","316504","0","326871","758268","329660","12593","151285","376934","129450","0","***","2121","19897","0"
"2007100000","2007年度","09367","（旧）栃木県 岩舟町","","4930890","102769","865267","1364049","447791","1173","141741","76932","613773","203686","453315","0","660394","1467647","614499","40504","566715","555173","286050","0","***","3037","2400","34000"
"2007100000","2007年度","11226","（旧）埼玉県 鳩ヶ谷市","","16590853","194792","2141991","5131180","1437189","48677","38324","276306","2917719","673441","1593146","0","2097735","4209519","2210467","117135","2493172","1086696","1801535","0","***","395699","241650","205890"
"2007100000","2007年度","23481","（旧）愛知県 一色町","","6688769","106064","903782","1834839","792075","211","387718","107352","671638","384506","933997","0","554070","1762954","1125907","89639","594371","1100116","693716","0","***","8536","6815","50086"
"2007100000","2007年度","23482","（旧）愛知県 吉良町","","6365749","93428","806519","1854623","546011","150","523808","137938","611669","399151","850728","0","541724","1698186","942508","95147","600665","1004797","620763","0","***","19142","0","53000"
"2007100000","2007年度","23483","（旧）愛知県 幡豆町","","4350807","70545","790394","1131964","317801","0","258000","101114","465032","260273","658959","0","296725","926554","633911","15255","332875","581804","733985","0","***","190046","0","35000"
"2007100000","2007年度","32304","（旧）島根県 東出雲町","","5485674","83334","508523","1210140","376284","0","313000","60903","829954","213909","813411","17821","1058395","917767","653678","50502","518119","671546","572738","17821","***","4379","0","20000"
"2007100000","2007年度","32401","（旧）島根県 斐川町","","10402693","95102","925650","2278532","569070","897","1276412","671165","1013336","347565","800152","68330","2356482","1574485","1323695","42297","1251214","1226743","524185","68330","***","43864","0","461777"
"2006100000","2006年度","03422","（旧）岩手県 藤沢町","","4996716","66348","466120","889249","534207","606","1230096","44885","101343","181235","467706","89024","925897","936582","431948","37456","289638","1827790","177775","89024","***","37251","0","17000"
"2006100000","2006年度","09321","（旧）栃木県 西方町","","2373209","63446","512003","483377","219840","0","140428","103200","162419","124098","280033","0","284365","783377","306679","16561","140554","388934","90701","0","***","215","18932","0"
"2006100000","2006年度","09367","（旧）栃木県 岩舟町","","4791488","99608","884488","1267432","476693","1502","149309","109719","586888","188366","449295","0","578188","1418879","576450","41751","522914","543769","275773","0","***","108228","50","65000"
"2006100000","2006年度","11226","（旧）埼玉県 鳩ヶ谷市","","16618099","209446","2050634","4882156","1388370","87945","38697","199275","3321051","667385","1705100","0","2027351","4157856","2102100","105011","2315786","1049741","2289702","0","***","364032","249600","164860"
"2006100000","2006年度","23481","（旧）愛知県 一色町","","6818153","119163","1111179","1808293","814277","226","366330","106447","577970","416897","990534","0","488151","1771510","1073128","94159","552950","1060550","1099301","0","***","13256","6702","51000"
"2006100000","2006年度","23482","（旧）愛知県 吉良町","","6215698","110774","1051931","1653779","548353","151","587106","136082","488606","373534","748319","0","517063","1698904","835566","81499","515272","993973","519524","0","***","301188","0","53000"
"2006100000","2006年度","23483","（旧）愛知県 幡豆町","","3916400","78436","623558","1003339","322265","0","247688","107734","394491","286630","584271","0","267988","977261","585924","16061","305237","582867","525911","0","***","107905","0","35000"
"2006100000","2006年度","32304","（旧）島根県 東出雲町","","4768242","81807","525812","983966","320516","0","298866","67075","553599","206045","750600","18214","961742","955727","541112","28850","368385","703771","445400","18214","***","10473","0","20750"
"2006100000","2006年度","32401","（旧）島根県 斐川町","","10836085","110812","1145704","2132794","559785","12692","1694266","819848","815291","659829","811101","35492","2038471","1710278","1296336","53916","1159708","1295426","1166873","35492","***","150451","0","482877"
"2005100000","2005年度","03422","（旧）岩手県 藤沢町","","5322034","73677","567631","785733","516285","725","1401621","162472","96912","209188","421994","13646","1062155","992849","507771","44838","290716","1344935","709256","13646","***","17607","7141","13000"
"2005100000","2005年度","09321","（旧）栃木県 西方町","","2277730","65834","494530","464044","200568","0","121986","97875","158057","121689","284089","0","269058","791783","296873","11298","140652","358667","81700","0","***","16483","21598","0"
"2005100000","2005年度","09367","（旧）栃木県 岩舟町","","5457024","94744","752431","1289743","444023","1950","515929","111342","799160","173420","719870","0","554412","1413799","548882","52758","545776","512633","1127128","0","***","333","50","65000"
"2005100000","2005年度","11226","（旧）埼玉県 鳩ヶ谷市","","16173031","211789","2198306","4705151","1590241","102403","38488","198165","2939419","653168","1633854","0","1860968","4217883","2017600","112998","2176213","1212475","1805920","0","***","547252","282050","166260"
"2005100000","2005年度","23481","（旧）愛知県 一色町","","7906095","120741","1113715","1866779","808151","241","1175473","101943","855403","367697","1016634","0","455262","1825006","1009568","84268","534427","1054540","2167119","0","***","18759","6592","50600"
"2005100000","2005年度","23482","（旧）愛知県 吉良町","","6248039","112187","804252","1790307","552376","155","599445","137205","500876","389425","842632","0","519179","1654814","879252","103933","490572","1022347","777942","0","***","50679","0","53000"
"2005100000","2005年度","23483","（旧）愛知県 幡豆町","","3923511","78751","681409","1071502","314130","0","238864","104477","425784","340558","436898","0","231138","984090","611962","20210","294778","571567","459551","0","***","143335","0","35000"
"2005100000","2005年度","32304","（旧）島根県 東出雲町","","4791433","85807","530914","979186","287241","0","305522","80779","534833","183769","851594","9209","942579","975540","498101","39176","348536","690591","547855","9209","***","20607","0","18468"
"2005100000","2005年度","32401","（旧）島根県 斐川町","","11518285","112640","1043002","2072971","597099","35403","1883963","916696","1481074","331962","978738","27092","2037645","1777819","1484118","105073","1099142","1276499","1132998","27092","***","2038","2200","1173494"
"2004100000","2004年度","03422","（旧）岩手県 藤沢町","","5761811","82922","648288","778464","500423","12677","1513620","104685","189801","228762","477481","140381","1053675","1146766","475488","64545","280236","1073182","1031098","140381","***","35542","20175","13000"
"2004100000","2004年度","09321","（旧）栃木県 西方町","","2569362","66188","575358","465827","191963","0","144202","91471","215100","129033","422915","0","267305","801583","336378","8854","131576","366910","286116","0","***","37167","25118","0"
"2004100000","2004年度","09367","（旧）栃木県 岩舟町","","5972231","103804","905121","1315801","396529","2222","388649","112863","1306709","198405","733300","0","508828","1523984","634305","9081","557799","473056","1477985","0","***","110387","0","65000"
"2004100000","2004年度","11226","（旧）埼玉県 鳩ヶ谷市","","15556479","214779","2066678","4507238","1511386","107896","41578","219879","2698939","645558","1751245","0","1749667","4434958","2062656","74525","2147660","1106526","1581722","0","***","187232","264300","165100"
"2004100000","2004年度","23481","（旧）愛知県 一色町","","6841809","125401","943492","1880995","804407","256","395383","103566","876980","369309","854551","0","471224","1843936","1037696","79819","527921","1050092","1047803","0","***","71425","6484","50000"
"2004100000","2004年度","23482","（旧）愛知県 吉良町","","6275449","114016","760184","1595495","542544","6161","848602","155732","495625","394526","861254","1339","499971","1669199","836061","114757","485866","996270","977955","1339","***","461","0","59000"
"2004100000","2004年度","23483","（旧）愛知県 幡豆町","","3797115","87684","712378","967869","314037","0","256496","82129","454360","258931","405880","35198","222153","1009883","616869","24732","289841","551971","305044","35198","***","178202","0","35000"
"2004100000","2004年度","32304","（旧）島根県 東出雲町","","4680240","86549","641878","1057733","306838","0","292877","89929","530756","184429","551538","0","937713","1047315","552874","31021","352158","776796","200051","0","***","71073","0","15718"
"2004100000","2004年度","32401","（旧）島根県 斐川町","","13172139","119605","2022865","2082842","775513","33592","2040544","944002","1633150","300562","1289476","0","1929988","1806766","1230010","85043","1106312","1901852","1745410","0","***","369564","20","1506925"
"2003100000","2003年度","03422","（旧）岩手県 藤沢町","","6782444","98049","730732","755538","570715","26096","1712408","104948","154381","219728","535738","810809","1063302","1118095","495293","37192","274879","1065960","1362726","810769","***","106660","22623","13000"
"2003100000","2003年度","09321","（旧）栃木県 西方町","","3548537","65912","613313","497009","249637","0","241926","85791","263475","120061","1156739","0","254674","805610","353274","12936","120764","422172","1118571","0","***","94813","25635","0"
"2003100000","2003年度","09367","（旧）栃木県 岩舟町","","6485951","103353","878862","1173858","415885","1922","362590","75519","2206998","183988","559479","0","523497","1495873","547136","18586","497287","547040","2187825","0","***","50520","0","35000"
"2003100000","2003年度","11226","（旧）埼玉県 鳩ヶ谷市","","16792079","219222","1938174","4461346","1485373","108469","41739","260764","3977678","622235","1863001","0","1771875","4363231","2193231","108772","1991116","1092308","2782817","0","***","122997","240710","198060"
"2003100000","2003年度","23481","（旧）愛知県 一色町","","7167565","124215","1061849","1624686","788115","21075","460248","98792","1226168","434534","828092","0","481834","1815744","1092603","93247","473368","1103275","1240671","0","***","160977","6377","71000"
"2003100000","2003年度","23482","（旧）愛知県 吉良町","","7437720","111219","792993","1728359","625607","6162","927614","151191","811951","417348","1310275","0","555001","1623339","822654","147987","453365","1260873","1883129","0","***","220","0","59000"
"2003100000","2003年度","23483","（旧）愛知県 幡豆町","","3675100","88797","707066","924379","315639","0","246773","90526","392309","280786","406944","0","221881","1023161","601621","17607","280574","579789","410267","0","***","143958","0","35000"
"2003100000","2003年度","32304","（旧）島根県 東出雲町","","5126090","89099","621538","938268","304026","0","307705","141751","686451","175389","961679","0","900184","1108696","609797","58669","265619","602322","819027","0","***","20540","200","8900"
