"","","","","/項目 コード","D1202","D2201","D2202","D2203","D2204","D2205","D2206","D2209","D2210","D2211","D2212","D3205","D420102","D420202"
"調査年 コード","調査年","地域 コード","地域","/項目","D1202_一般行政部門職員数（市区町村）【人】","D2201_財政力指数（市町村財政）【‐】","D2202_実質収支比率（市町村財政）【％】","D2203_経常収支比率（市町村財政）【％】","D2204_公債費比率（市町村財政）【％】","D2205_基準財政収入額（市町村財政）【千円】","D2206_基準財政需要額（市町村財政）【千円】","D2209_一般財源（市町村財政）【千円】","D2210_投資的経費（市町村財政）【千円】","D2211_実質公債費比率（市町村財政）【％】","D2212_将来負担比率（市町村財政）【％】","D3205_地方債現在高（市町村財政）【千円】","D420102_市町村民税【千円】","D420202_固定資産税（市町村税）【千円】"
"2014100000","2014年度","09367","（旧）栃木県 岩舟町","","103","***","***","***","***","***","***","***","***","***","***","***","***","***"
"2013100000","2013年度","09367","（旧）栃木県 岩舟町","","104","0.54","9.0","87.2","***","1845684","3340162","3756617","1452290","-","-","5395959","***","***"
"2012100000","2012年度","09367","（旧）栃木県 岩舟町","","107","0.54","8.2","90.0","***","1794305","3323130","3791772","641867","10.6","67.1","5057864","***","***"
"2011100000","2011年度","03422","（旧）岩手県 藤沢町","","78","***","***","***","***","***","***","***","***","***","***","***","***","***"
"2011100000","2011年度","09321","（旧）栃木県 西方町","","56","***","***","***","***","***","***","***","***","***","***","***","***","***"
"2011100000","2011年度","09367","（旧）栃木県 岩舟町","","111","0.56","7.4","90.2","***","1827291","3361146","3842710","731289","10.9","67.4","5232902","***","***"
"2011100000","2011年度","11226","（旧）埼玉県 鳩ヶ谷市","","272","***","***","***","***","***","***","***","***","***","***","***","***","***"
"2011100000","2011年度","32304","（旧）島根県 東出雲町","","75","***","***","***","***","***","***","***","***","***","***","***","***","***"
"2011100000","2011年度","32401","（旧）島根県 斐川町","","128","***","***","***","***","***","***","***","***","***","***","***","***","***"
"2010100000","2010年度","03422","（旧）岩手県 藤沢町","","81","0.22","9.8","80.0","***","685091","3492869","3843106","604826","20.6","***","4453034","***","***"
"2010100000","2010年度","09321","（旧）栃木県 西方町","","55","0.57","12.0","77.2","***","891109","1739507","2082453","536907","13.6","***","2843393","***","***"
"2010100000","2010年度","09367","（旧）栃木県 岩舟町","","114","0.58","7.8","87.6","***","1824699","3308932","3768666","445762","10.9","***","5278061","***","***"
"2010100000","2010年度","11226","（旧）埼玉県 鳩ヶ谷市","","281","0.80","8.1","91.5","***","6408730","8185030","10889488","2566151","6.3","***","20588061","3818298","3585654"
"2010100000","2010年度","23481","（旧）愛知県 一色町","","170","0.71","6.8","87.5","***","2566687","3883310","4683933","996292","-","***","6222621","***","***"
"2010100000","2010年度","23482","（旧）愛知県 吉良町","","169","0.90","7.2","85.4","***","3117722","3652880","4498498","1294487","-","***","5373343","***","***"
"2010100000","2010年度","23483","（旧）愛知県 幡豆町","","96","0.66","11.6","89.0","***","1411595","2254090","2681774","452511","-","***","3398519","***","***"
"2010100000","2010年度","32304","（旧）島根県 東出雲町","","76","0.47","3.5","94.7","***","1364128","2990666","3563552","3900100","-","***","9746723","***","***"
"2010100000","2010年度","32401","（旧）島根県 斐川町","","130","0.56","2.4","91.4","***","3094712","6184073","7429114","844292","22.7","***","13789883","***","***"
"2009100000","2009年度","03422","（旧）岩手県 藤沢町","","80","0.23","5.6","85.5","***","723934","3386382","3676957","633628","22.2","***","***","***","***"
