"","","","","/項目 コード","C120110","C120120","C120130"
"調査年 コード","調査年","地域 コード","地域","/項目","C120110_課税対象所得【千円】","C120120_納税義務者数（所得割）【人】","C120130_納税義務者数（均等割）【人】"
"2019100000","2019年度","13101","東京都 千代田区","","412894018","38175","45028"
"2019100000","2019年度","13102","東京都 中央区","","670370026","97135","101506"
"2019100000","2019年度","13103","東京都 港区","","1762150325","144792","150334"
"2019100000","2019年度","13104","東京都 新宿区","","1026190031","186919","195193"
"2019100000","2019年度","13105","東京都 文京区","","773666417","124042","128696"
"2019100000","2019年度","13106","東京都 台東区","","479526036","110656","115782"
"2019100000","2019年度","13107","東京都 墨田区","","580134059","149901","155912"
"2019100000","2019年度","13108","東京都 江東区","","1236401045","277767","287981"
"2019100000","2019年度","13109","東京都 品川区","","1141412901","229658","238206"
"2019100000","2019年度","13110","東京都 目黒区","","1034837629","162446","168748"
"2019100000","2019年度","13111","東京都 大田区","","1775178038","406937","421913"
"2019100000","2019年度","13112","東京都 世田谷区","","2835025128","498244","517340"
"2019100000","2019年度","13113","東京都 渋谷区","","1163227113","133245","139279"
"2019100000","2019年度","13114","東京都 中野区","","790509699","188777","195301"
"2019100000","2019年度","13115","東京都 杉並区","","1521304572","321907","333268"
"2019100000","2019年度","13116","東京都 豊島区","","725687410","161507","168120"
"2019100000","2019年度","13117","東京都 北区","","698842227","186500","194085"
"2019100000","2019年度","13118","東京都 荒川区","","413849510","110749","115544"
"2019100000","2019年度","13119","東京都 板橋区","","1106682838","296924","308856"
"2019100000","2019年度","13120","東京都 練馬区","","1570669147","376923","391335"
"2019100000","2019年度","13121","東京都 足立区","","1167125382","336457","351119"
"2019100000","2019年度","13122","東京都 葛飾区","","814746927","230060","240220"
"2019100000","2019年度","13123","東京都 江戸川区","","1279556407","348537","361890"
"2018100000","2018年度","13101","東京都 千代田区","","362690825","36299","43359"
"2018100000","2018年度","13102","東京都 中央区","","604855042","93465","97764"
"2018100000","2018年度","13103","東京都 港区","","1592760255","141396","146794"
"2018100000","2018年度","13104","東京都 新宿区","","994411782","182956","191265"
"2018100000","2018年度","13105","東京都 文京区","","738614951","120604","125204"
"2018100000","2018年度","13106","東京都 台東区","","453906868","107318","112455"
"2018100000","2018年度","13107","東京都 墨田区","","555077580","146435","152248"
"2018100000","2018年度","13108","東京都 江東区","","1180594120","271463","281594"
"2018100000","2018年度","13109","東京都 品川区","","1073975422","223213","231473"
"2018100000","2018年度","13110","東京都 目黒区","","982732740","159730","165882"
"2018100000","2018年度","13111","東京都 大田区","","1700157096","398541","413124"
"2018100000","2018年度","13112","東京都 世田谷区","","2708792374","488851","507509"
"2018100000","2018年度","13113","東京都 渋谷区","","1119013391","131459","137362"
"2018100000","2018年度","13114","東京都 中野区","","773328860","186104","192705"
"2018100000","2018年度","13115","東京都 杉並区","","1506956630","316904","328388"
"2018100000","2018年度","13116","東京都 豊島区","","694560663","158352","164859"
"2018100000","2018年度","13117","東京都 北区","","673724395","182683","190060"
"2018100000","2018年度","13118","東京都 荒川区","","398826151","108046","112895"
"2018100000","2018年度","13119","東京都 板橋区","","1063855797","291470","303013"
"2018100000","2018年度","13120","東京都 練馬区","","1553721978","369893","383790"
"2018100000","2018年度","13121","東京都 足立区","","1124479043","330037","344277"
"2018100000","2018年度","13122","東京都 葛飾区","","783877161","226172","236018"
"2018100000","2018年度","13123","東京都 江戸川区","","1256864412","342840","355739"
"2017100000","2017年度","13101","東京都 千代田区","","333664476","35326","42329"
"2017100000","2017年度","13102","東京都 中央区","","562306834","88613","92655"
"2017100000","2017年度","13103","東京都 港区","","1541982291","138285","143546"
"2017100000","2017年度","13104","東京都 新宿区","","926402861","178642","186547"
"2017100000","2017年度","13105","東京都 文京区","","718111843","117718","121915"
"2017100000","2017年度","13106","東京都 台東区","","433617929","104003","108751"
"2017100000","2017年度","13107","東京都 墨田区","","526774130","141848","147428"
"2017100000","2017年度","13108","東京都 江東区","","1123594742","265318","274817"
"2017100000","2017年度","13109","東京都 品川区","","1011051510","218407","226334"
"2017100000","2017年度","13110","東京都 目黒区","","945905092","157123","162929"
"2017100000","2017年度","13111","東京都 大田区","","1648342738","389974","403592"
"2017100000","2017年度","13112","東京都 世田谷区","","2620976315","480953","498242"
"2017100000","2017年度","13113","東京都 渋谷区","","1029439108","128501","134274"
"2017100000","2017年度","13114","東京都 中野区","","748424622","181231","187448"
"2017100000","2017年度","13115","東京都 杉並区","","1443707240","310345","321065"
"2017100000","2017年度","13116","東京都 豊島区","","663702757","154706","160908"
"2017100000","2017年度","13117","東京都 北区","","658834551","178827","185836"
"2017100000","2017年度","13118","東京都 荒川区","","381267820","105306","109990"
"2017100000","2017年度","13119","東京都 板橋区","","1030999559","285739","296672"
"2017100000","2017年度","13120","東京都 練馬区","","1505429630","363578","376880"
"2017100000","2017年度","13121","東京都 足立区","","1092439739","322298","335904"
"2017100000","2017年度","13122","東京都 葛飾区","","761907030","221861","231370"
"2017100000","2017年度","13123","東京都 江戸川区","","1202944874","336191","348416"
"2016100000","2016年度","13101","東京都 千代田区","","314359478","34324","41403"
"2016100000","2016年度","13102","東京都 中央区","","519672356","84102","88116"
"2016100000","2016年度","13103","東京都 港区","","1491292024","134140","139114"
"2016100000","2016年度","13104","東京都 新宿区","","903117163","173675","181735"
"2016100000","2016年度","13105","東京都 文京区","","675207185","114988","119429"
"2016100000","2016年度","13106","東京都 台東区","","411199391","100256","105133"
"2016100000","2016年度","13107","東京都 墨田区","","508562962","137367","142997"
"2016100000","2016年度","13108","東京都 江東区","","1090826516","259063","268647"
"2016100000","2016年度","13109","東京都 品川区","","1014502096","214218","222175"
"2016100000","2016年度","13110","東京都 目黒区","","901550984","154144","159392"
"2016100000","2016年度","13111","東京都 大田区","","1599152603","381690","395537"
"2016100000","2016年度","13112","東京都 世田谷区","","2570417129","471659","489141"
"2016100000","2016年度","13113","東京都 渋谷区","","973640937","125990","131679"
"2016100000","2016年度","13114","東京都 中野区","","722530223","176765","183226"
"2016100000","2016年度","13115","東京都 杉並区","","1398811854","304254","314988"
"2016100000","2016年度","13116","東京都 豊島区","","635761103","149894","156090"
"2016100000","2016年度","13117","東京都 北区","","624660181","173399","180550"
