"","","","","/項目 コード","F1101","F110101","F110102","F1102","F110201","F110202","F1107","F1108","F2116","F2201","F2211","F2221","F2401","F2402","F2409","F2410","F2411","F2705","F2803"
"調査年 コード","調査年","地域 コード","地域","/項目","F1101_労働力人口【人】","F110101_労働力人口（男）【人】","F110102_労働力人口（女）【人】","F1102_就業者数【人】","F110201_就業者数（男）【人】","F110202_就業者数（女）【人】","F1107_完全失業者数【人】","F1108_非労働力人口【人】","F2116_就業者数（65歳以上）【人】","F2201_第1次産業就業者数【人】","F2211_第2次産業就業者数【人】","F2221_第3次産業就業者数【人】","F2401_雇用者数（国勢調査結果）【人】","F2402_役員数【人】","F2409_雇用者数（正規の職員・従業員）【人】","F2410_雇用者数（労働者派遣事業所の派遣社員）【人】","F2411_雇用者数（パート・アルバイト・その他）【人】","F2705_他市区町村への通勤者数【人】","F2803_他市区町村からの通勤者数【人】"
"2015100000","2015年度","01100","北海道 札幌市","","892932","489685","403247","844313","460571","383742","48619","651052","82247","3790","118503","645868","675398","44420","420944","23390","231064","403594","408899"
"2015100000","2015年度","01101","北海道 札幌市 中央区","","108064","57113","50951","102279","54121","48158","5785","68920","9581","269","8532","80236","74708","7385","50227","2810","21671","25909","169370"
"2015100000","2015年度","01102","北海道 札幌市 北区","","129316","71331","57985","122701","67275","55426","6615","95273","12341","664","19520","91745","98203","6305","59824","3166","35213","59261","43111"
"2015100000","2015年度","01103","北海道 札幌市 東区","","121080","67234","53846","114463","63154","51309","6617","84208","10664","541","18195","85283","92061","5721","56991","3092","31978","51585","39156"
"2015100000","2015年度","01104","北海道 札幌市 白石区","","99569","54404","45165","93850","50998","42852","5719","60364","8639","310","15008","67905","74069","4393","45976","2992","25101","44083","43922"
"2015100000","2015年度","01105","北海道 札幌市 豊平区","","101892","54823","47069","96299","51534","44765","5593","68167","8830","331","10626","74802","76201","4625","47983","3043","25175","53251","25565"
"2015100000","2015年度","01106","北海道 札幌市 南区","","62332","34715","27617","59135","32690","26445","3197","55341","7701","485","6720","47690","47641","3282","28752","1620","17269","27996","11495"
"2015100000","2015年度","01107","北海道 札幌市 西区","","97581","53363","44218","91945","49925","42020","5636","73958","8765","331","13427","71428","75066","4624","47996","2385","24685","47704","29184"
"2015100000","2015年度","01108","北海道 札幌市 厚別区","","58573","32155","26418","55077","30058","25019","3496","50893","5240","267","7574","44032","47124","2530","28525","1679","16920","32001","22017"
"2015100000","2015年度","01109","北海道 札幌市 手稲区","","62443","35164","27279","58860","32913","25947","3583","53987","5556","256","11164","44659","49727","2662","30249","1431","18047","33495","12885"
"2015100000","2015年度","01110","北海道 札幌市 清田区","","52082","29383","22699","49704","27903","21801","2378","39941","4930","336","7737","38088","40598","2893","24421","1172","15005","28309","12194"
"2015100000","2015年度","01202","北海道 函館市","","123676","66690","56986","117125","62636","54489","6551","103553","15961","4137","19490","86480","91460","6193","57527","1987","31946","9133","14730"
"2015100000","2015年度","01203","北海道 小樽市","","54397","29314","25083","51317","27330","23987","3080","53928","7484","710","8909","39508","41823","2905","25424","836","15563","8625","10442"
"2015100000","2015年度","01204","北海道 旭川市","","160082","87034","73048","152385","82441","69944","7697","128509","19051","4069","26028","116152","124734","8159","78813","2650","43271","8861","9938"
"2015100000","2015年度","01205","北海道 室蘭市","","39243","23418","15825","37286","22145","15141","1957","37414","5036","351","9384","26169","31378","1779","20671","613","10094","4146","11256"
"2015100000","2015年度","01206","北海道 釧路市","","78388","43784","34604","74840","41632","33208","3548","66161","8637","1679","13682","54775","61003","3728","38524","1165","21314","5894","6086"
"2015100000","2015年度","01207","北海道 帯広市","","82977","45895","37082","79840","44102","35738","3137","55718","9343","3923","14264","56126","62546","4524","39628","2010","20908","10714","16282"
"2015100000","2015年度","01208","北海道 北見市","","58274","32427","25847","55971","31001","24970","2303","41549","7626","3903","9632","38336","42634","2957","26520","1011","15103","3005","2410"
"2015100000","2015年度","01209","北海道 夕張市","","3938","2207","1731","3721","2049","1672","217","4395","744","582","815","2315","2811","170","1683","42","1086","309","610"
"2015100000","2015年度","01210","北海道 岩見沢市","","39807","22106","17701","37845","20877","16968","1962","33547","5134","3308","6710","26484","29937","1863","18622","845","10470","8089","5436"
"2015100000","2015年度","01211","北海道 網走市","","18606","10635","7971","17955","10232","7723","651","14472","2338","2230","2875","12170","13914","913","8894","226","4794","1042","1447"
"2015100000","2015年度","01212","北海道 留萌市","","11347","6539","4808","10813","6173","4640","534","8488","1497","358","2200","8213","9179","553","6084","93","3002","669","926"
"2015100000","2015年度","01213","北海道 苫小牧市","","80217","47332","32885","76793","45241","31552","3424","58140","8038","1273","19105","50802","63477","3424","41004","1820","20653","6156","7188"
"2015100000","2015年度","01214","北海道 稚内市","","17815","10539","7276","16928","9972","6956","887","11562","2358","1287","3390","11267","12864","971","8460","159","4245","226","340"
"2015100000","2015年度","01215","北海道 美唄市","","10562","5902","4660","10047","5539","4508","515","10191","1668","1436","2097","6276","7418","466","4574","191","2653","1930","1828"
"2015100000","2015年度","01216","北海道 芦別市","","6480","3499","2981","6152","3283","2869","328","7006","1105","642","1691","3778","4849","299","3127","63","1659","987","681"
"2015100000","2015年度","01217","北海道 江別市","","55757","31355","24402","53086","29622","23464","2671","47566","5216","1439","9540","39322","44684","2308","25875","1373","17436","24818","10255"
"2015100000","2015年度","01218","北海道 赤平市","","4742","2550","2192","4474","2360","2114","268","5471","758","207","1219","2994","3572","203","2244","84","1244","1092","1770"
"2015100000","2015年度","01219","北海道 紋別市","","11668","6468","5200","11270","6212","5058","398","8143","1855","1017","2877","6940","8805","602","5781","149","2875","546","480"
"2015100000","2015年度","01220","北海道 士別市","","9820","5507","4313","9507","5316","4191","313","7773","1691","1730","1655","5805","6728","468","4303","146","2279","771","897"
"2015100000","2015年度","01221","北海道 名寄市","","14828","8599","6229","14377","8310","6067","451","10132","1950","1666","1612","10652","11220","567","7484","157","3579","881","932"
"2015100000","2015年度","01222","北海道 三笠市","","3647","2074","1573","3400","1905","1495","247","4719","570","310","667","2413","2803","165","1664","85","1054","1161","1418"
"2015100000","2015年度","01223","北海道 根室市","","14418","8119","6299","13876","7766","6110","542","8907","2181","2768","3162","7751","9745","734","6484","83","3178","153","355"
"2015100000","2015年度","01224","北海道 千歳市","","47948","29116","18832","46015","27907","18108","1933","29641","3561","1303","8253","34047","40093","1299","26211","1189","12693","8105","12777"
"2015100000","2015年度","01225","北海道 滝川市","","19610","10959","8651","18850","10458","8392","760","15751","2526","926","3385","13819","15268","915","9690","249","5329","4950","3563"
"2015100000","2015年度","01226","北海道 砂川市","","8064","4425","3639","7740","4210","3530","324","7444","1132","463","1755","5339","6258","408","4129","102","2027","2395","3334"
"2015100000","2015年度","01227","北海道 歌志内市","","1421","818","603","1306","732","574","115","1947","173","34","329","940","1148","60","722","15","411","662","381"
"2015100000","2015年度","01228","北海道 深川市","","10300","5572","4728","10006","5389","4617","294","9414","1718","1743","1267","6885","7242","506","4616","73","2553","1389","1519"
"2015100000","2015年度","01229","北海道 富良野市","","12277","6640","5637","11843","6354","5489","434","7598","1805","2401","1586","7584","8549","501","5145","151","3253","1056","1644"
"2015100000","2015年度","01230","北海道 登別市","","22277","12751","9526","21048","11957","9091","1229","20246","2593","258","5055","15380","18038","1042","11636","281","6121","9296","3110"
