"","","","","/項目 コード","B1101","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1103_可住地面積【ｈａ】"
"2017100000","2017年度","40305","（旧）福岡県 那珂川町","","7495","2047"
"2016100000","2016年度","40305","（旧）福岡県 那珂川町","","7495","2047"
"2015100000","2015年度","40305","（旧）福岡県 那珂川町","","7495","2006"
"2014100000","2014年度","40305","（旧）福岡県 那珂川町","","7495","2006"
"2013100000","2013年度","40305","（旧）福岡県 那珂川町","","7499","2010"
"2012100000","2012年度","40305","（旧）福岡県 那珂川町","","7499","2010"
"2011100000","2011年度","40305","（旧）福岡県 那珂川町","","7499","2010"
"2010100000","2010年度","40305","（旧）福岡県 那珂川町","","7499","1953"
"2009100000","2009年度","40305","（旧）福岡県 那珂川町","","7499","1953"
"2008100000","2008年度","40305","（旧）福岡県 那珂川町","","7499","1953"
"2007100000","2007年度","40305","（旧）福岡県 那珂川町","","7499","1953"
"2006100000","2006年度","40305","（旧）福岡県 那珂川町","","7499","1953"
"2005100000","2005年度","40305","（旧）福岡県 那珂川町","","7499","1953"
"2004100000","2004年度","40305","（旧）福岡県 那珂川町","","7499","1953"
"2003100000","2003年度","40305","（旧）福岡県 那珂川町","","7499","1953"
"2002100000","2002年度","40305","（旧）福岡県 那珂川町","","7499","1953"
"2001100000","2001年度","40305","（旧）福岡県 那珂川町","","7499","1953"
"2000100000","2000年度","40305","（旧）福岡県 那珂川町","","7499","1953"
"1999100000","1999年度","40305","（旧）福岡県 那珂川町","","7499","1883"
"1998100000","1998年度","40305","（旧）福岡県 那珂川町","","7499","1883"
"1997100000","1997年度","40305","（旧）福岡県 那珂川町","","7499","1883"
"1996100000","1996年度","40305","（旧）福岡県 那珂川町","","7499","1883"
"1995100000","1995年度","40305","（旧）福岡県 那珂川町","","7499","1883"
"1994100000","1994年度","40305","（旧）福岡県 那珂川町","","7499","1883"
"1993100000","1993年度","40305","（旧）福岡県 那珂川町","","7499","1883"
"1992100000","1992年度","40305","（旧）福岡県 那珂川町","","7499","1883"
"1991100000","1991年度","40305","（旧）福岡県 那珂川町","","7499","1883"
"1990100000","1990年度","40305","（旧）福岡県 那珂川町","","7499","1883"
"1989100000","1989年度","40305","（旧）福岡県 那珂川町","","7499","1740"
"1988100000","1988年度","40305","（旧）福岡県 那珂川町","","7499","1740"
"1987100000","1987年度","40305","（旧）福岡県 那珂川町","","7417","1658"
"1986100000","1986年度","40305","（旧）福岡県 那珂川町","","7417","1658"
"1985100000","1985年度","40305","（旧）福岡県 那珂川町","","7417","1658"
"1984100000","1984年度","40305","（旧）福岡県 那珂川町","","7417","1658"
"1983100000","1983年度","40305","（旧）福岡県 那珂川町","","7417","1658"
"1982100000","1982年度","40305","（旧）福岡県 那珂川町","","7417","1908"
"1981100000","1981年度","40305","（旧）福岡県 那珂川町","","7417","1908"
