"","","","","/項目 コード","B1101","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1103_可住地面積【ｈａ】"
"2019100000","2019年度","01100","北海道 札幌市","","112126","43898"
"2019100000","2019年度","01202","北海道 函館市","","67787","12334"
"2019100000","2019年度","01203","北海道 小樽市","","24383","8009"
"2019100000","2019年度","01204","北海道 旭川市","","74766","35194"
"2019100000","2019年度","01205","北海道 室蘭市","","8101","4340"
"2019100000","2019年度","01206","北海道 釧路市","","136329","30949"
"2019100000","2019年度","01207","北海道 帯広市","","61934","38281"
"2019100000","2019年度","01208","北海道 北見市","","142741","42515"
"2019100000","2019年度","01209","北海道 夕張市","","76307","11165"
"2019100000","2019年度","01210","北海道 岩見沢市","","48102","31831"
"2019100000","2019年度","01211","北海道 網走市","","47100","21594"
"2019100000","2019年度","01212","北海道 留萌市","","29784","5202"
"2019100000","2019年度","01213","北海道 苫小牧市","","56157","20182"
"2019100000","2019年度","01214","北海道 稚内市","","76147","31932"
"2019100000","2019年度","01215","北海道 美唄市","","27769","15776"
"2019100000","2019年度","01216","北海道 芦別市","","86504","13704"
"2019100000","2019年度","01217","北海道 江別市","","18738","16763"
"2019100000","2019年度","01218","北海道 赤平市","","12988","3669"
"2019100000","2019年度","01219","北海道 紋別市","","83067","17451"
"2019100000","2019年度","01220","北海道 士別市","","111922","27978"
"2019100000","2019年度","01221","北海道 名寄市","","53520","19852"
"2019100000","2019年度","01222","北海道 三笠市","","30252","5678"
"2019100000","2019年度","01223","北海道 根室市","","41141","20785"
"2019100000","2019年度","01224","北海道 千歳市","","59450","19623"
"2019100000","2019年度","01225","北海道 滝川市","","11590","10206"
"2019100000","2019年度","01226","北海道 砂川市","","7868","4884"
"2019100000","2019年度","01227","北海道 歌志内市","","5595","1398"
"2019100000","2019年度","01228","北海道 深川市","","52942","21452"
"2019100000","2019年度","01229","北海道 富良野市","","60071","19740"
"2019100000","2019年度","01230","北海道 登別市","","21221","3744"
"2019100000","2019年度","01231","北海道 恵庭市","","29465","9736"
"2019100000","2019年度","01233","北海道 伊達市","","44421","13092"
"2019100000","2019年度","01234","北海道 北広島市","","11905","7400"
"2019100000","2019年度","01235","北海道 石狩市","","72242","21533"
"2019100000","2019年度","01236","北海道 北斗市","","39744","9835"
"2019100000","2019年度","01303","北海道 当別町","","42286","15932"
"2019100000","2019年度","01304","北海道 新篠津村","","7804","7589"
"2019100000","2019年度","01331","北海道 松前町","","29325","2363"
"2019100000","2019年度","01332","北海道 福島町","","18728","1641"
"2019100000","2019年度","01333","北海道 知内町","","19675","3113"
"2019100000","2019年度","01334","北海道 木古内町","","22187","2221"
"2019100000","2019年度","01337","北海道 七飯町","","21675","8211"
"2019100000","2019年度","01343","北海道 鹿部町","","11063","2133"
"2019100000","2019年度","01345","北海道 森町","","36879","9003"
"2019100000","2019年度","01346","北海道 八雲町","","95608","17811"
"2019100000","2019年度","01347","北海道 長万部町","","31076","8222"
"2019100000","2019年度","01361","北海道 江差町","","10948","2685"
"2019100000","2019年度","01362","北海道 上ノ国町","","54771","4284"
"2019100000","2019年度","01363","北海道 厚沢部町","","46058","8924"
"2019100000","2019年度","01364","北海道 乙部町","","16259","2521"
"2019100000","2019年度","01367","北海道 奥尻町","","14299","1967"
"2019100000","2019年度","01370","北海道 今金町","","56825","12155"
"2019100000","2019年度","01371","北海道 せたな町","","63868","13859"
"2019100000","2019年度","01391","北海道 島牧村","","43718","6960"
"2019100000","2019年度","01392","北海道 寿都町","","9525","1472"
"2019100000","2019年度","01393","北海道 黒松内町","","34565","7285"
"2019100000","2019年度","01394","北海道 蘭越町","","44978","7125"
"2019100000","2019年度","01395","北海道 ニセコ町","","19713","5154"
"2019100000","2019年度","01396","北海道 真狩村","","11425","3609"
"2019100000","2019年度","01397","北海道 留寿都村","","11984","4541"
"2019100000","2019年度","01398","北海道 喜茂別町","","18941","3324"
"2019100000","2019年度","01399","北海道 京極町","","23149","3738"
"2019100000","2019年度","01400","北海道 倶知安町","","26134","6889"
"2019100000","2019年度","01401","北海道 共和町","","30492","8671"
"2019100000","2019年度","01402","北海道 岩内町","","7060","1357"
"2019100000","2019年度","01403","北海道 泊村","","8227","546"
"2019100000","2019年度","01404","北海道 神恵内村","","14779","973"
"2019100000","2019年度","01405","北海道 積丹町","","23813","5074"
"2019100000","2019年度","01406","北海道 古平町","","18836","2682"
"2019100000","2019年度","01407","北海道 仁木町","","16796","4067"
"2019100000","2019年度","01408","北海道 余市町","","14059","4388"
"2019100000","2019年度","01409","北海道 赤井川村","","28009","1727"
"2019100000","2019年度","01423","北海道 南幌町","","8136","7994"
