"","","","","/項目 コード","A1101","A110101","A110102","A1102","A110201","A110202","A1231"
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","A110101_総人口（男）【人】","A110102_総人口（女）【人】","A1102_日本人人口【人】","A110201_日本人人口（男）【人】","A110202_日本人人口（女）【人】","A1231_年齢中位数【歳】"
"2015100000","2015年度","01100","北海道 札幌市","","1952356","910614","1041742","1937785","903535","1034250","46.4"
"2015100000","2015年度","01101","北海道 札幌市 中央区","","237627","107756","129871","235280","106503","128777","44.2"
"2015100000","2015年度","01102","北海道 札幌市 北区","","285321","134534","150787","281851","132881","148970","45.8"
"2015100000","2015年度","01103","北海道 札幌市 東区","","261912","124649","137263","259619","123457","136162","45.0"
"2015100000","2015年度","01104","北海道 札幌市 白石区","","209584","99020","110564","207888","98316","109572","44.8"
"2015100000","2015年度","01105","北海道 札幌市 豊平区","","218652","101482","117170","217089","100717","116372","44.9"
"2015100000","2015年度","01106","北海道 札幌市 南区","","141190","65305","75885","140507","65000","75507","52.8"
"2015100000","2015年度","01107","北海道 札幌市 西区","","213578","98648","114930","212670","98165","114505","47.2"
"2015100000","2015年度","01108","北海道 札幌市 厚別区","","127767","58312","69455","127344","58118","69226","50.1"
"2015100000","2015年度","01109","北海道 札幌市 手稲区","","140999","66284","74715","140298","65975","74323","48.8"
"2015100000","2015年度","01110","北海道 札幌市 清田区","","115726","54624","61102","115239","54403","60836","48.1"
"2015100000","2015年度","01202","北海道 函館市","","265979","120376","145603","264537","119819","144718","52.7"
"2015100000","2015年度","01203","北海道 小樽市","","121924","54985","66939","121415","54722","66693","56.5"
"2015100000","2015年度","01204","北海道 旭川市","","339605","156402","183203","335678","154716","180962","51.9"
"2015100000","2015年度","01205","北海道 室蘭市","","88564","43143","45421","88203","42935","45268","52.5"
"2015100000","2015年度","01206","北海道 釧路市","","174742","82185","92557","174120","81942","92178","51.4"
"2015100000","2015年度","01207","北海道 帯広市","","169327","80994","88333","168800","80736","88064","47.6"
"2015100000","2015年度","01208","北海道 北見市","","121226","58020","63206","120936","57884","63052","50.9"
"2015100000","2015年度","01209","北海道 夕張市","","8843","4092","4751","8755","4089","4666","64.4"
"2015100000","2015年度","01210","北海道 岩見沢市","","84499","39319","45180","84215","39201","45014","53.3"
"2015100000","2015年度","01211","北海道 網走市","","39077","19819","19258","38807","19726","19081","48.3"
"2015100000","2015年度","01212","北海道 留萌市","","22221","10516","11705","22106","10498","11608","54.2"
"2015100000","2015年度","01213","北海道 苫小牧市","","172737","84605","88132","172161","84301","87860","47.0"
"2015100000","2015年度","01214","北海道 稚内市","","36380","17809","18571","36082","17721","18361","50.5"
"2015100000","2015年度","01215","北海道 美唄市","","23035","10753","12282","23000","10736","12264","57.8"
