"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"1988100000","1988年度","29203","奈良県 大和郡山市","","19143091","11236658","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29204","奈良県 天理市","","16419564","5973637","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29205","奈良県 橿原市","","28701885","10535402","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29206","奈良県 桜井市","","15423050","5412999","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29207","奈良県 五條市","","13975074","2789256","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29208","奈良県 御所市","","15457653","2380706","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29209","奈良県 生駒市","","21276627","12491692","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29210","奈良県 香芝市","","11070235","4806261","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29211","奈良県 葛城市","","7167096","3053581","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29212","奈良県 宇陀市","","15235998","2506452","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29322","奈良県 山添村","","3057768","358569","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29342","奈良県 平群町","","5504118","1826632","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29343","奈良県 三郷町","","7262831","1894568","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29344","奈良県 斑鳩町","","5591055","2470056","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29345","奈良県 安堵町","","2574696","593011","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29361","奈良県 川西町","","3439920","967595","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","29362","奈良県 三宅町","","2522937","532921","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
