"","","","","/項目 コード","D1202","D2201","D2202","D2203","D2204","D2205","D2206","D2209","D2210","D2211","D2212","D2213","D2214","D2215","D3205","D420102","D420202"
"調査年 コード","調査年","地域 コード","地域","/項目","D1202_一般行政部門職員数（市区町村）【人】","D2201_財政力指数（市町村財政）【‐】","D2202_実質収支比率（市町村財政）【％】","D2203_経常収支比率（市町村財政）【％】","D2204_公債費比率（市町村財政）【％】","D2205_基準財政収入額（市町村財政）【千円】","D2206_基準財政需要額（市町村財政）【千円】","D2209_一般財源（市町村財政）【千円】","D2210_投資的経費（市町村財政）【千円】","D2211_実質公債費比率（市町村財政）【％】","D2212_将来負担比率（市町村財政）【％】","D2213_標準財政規模（市町村財政）【千円】","D2214_実質赤字比率（市町村財政）【％】","D2215_連結実質赤字比率（市町村財政）【％】","D3205_地方債現在高（市町村財政）【千円】","D420102_市町村民税【千円】","D420202_固定資産税（市町村税）【千円】"
"1989100000","1989年度","29203","奈良県 大和郡山市","","***","0.91","-9.3","***","19.5","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29204","奈良県 天理市","","***","0.65","8.2","***","14.8","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29205","奈良県 橿原市","","***","0.69","4.4","***","15.6","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29206","奈良県 桜井市","","***","0.59","6.8","***","17.1","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29207","奈良県 五條市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29208","奈良県 御所市","","***","0.39","-3.6","***","18.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29209","奈良県 生駒市","","***","0.93","1.2","***","10.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29210","奈良県 香芝市","","***","0.72","4.8","***","14.7","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29211","奈良県 葛城市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29212","奈良県 宇陀市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29322","奈良県 山添村","","***","0.25","16.0","***","12.4","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29342","奈良県 平群町","","***","0.52","1.1","***","15.6","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29343","奈良県 三郷町","","***","0.51","8.6","***","14.8","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29344","奈良県 斑鳩町","","***","0.59","4.3","***","15.8","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29345","奈良県 安堵町","","***","0.38","36.7","***","12.5","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29361","奈良県 川西町","","***","0.50","11.5","***","12.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29362","奈良県 三宅町","","***","0.35","24.3","***","9.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29363","奈良県 田原本町","","***","0.57","11.2","***","16.4","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29385","奈良県 曽爾村","","***","0.13","21.6","***","14.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29386","奈良県 御杖村","","***","0.11","6.6","***","12.4","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29401","奈良県 高取町","","***","0.38","0.3","***","11.6","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29402","奈良県 明日香村","","***","0.23","4.6","***","11.9","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29424","奈良県 上牧町","","***","0.51","2.3","***","13.7","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29425","奈良県 王寺町","","***","0.64","1.3","***","9.5","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29426","奈良県 広陵町","","***","0.59","2.5","***","10.4","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29427","奈良県 河合町","","***","0.60","10.0","***","13.9","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29441","奈良県 吉野町","","***","0.36","6.9","***","14.6","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29442","奈良県 大淀町","","***","0.48","6.3","***","11.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29443","奈良県 下市町","","***","0.28","1.8","***","12.9","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29444","奈良県 黒滝村","","***","0.12","12.2","***","11.3","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29446","奈良県 天川村","","***","0.14","13.2","***","11.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29447","奈良県 野迫川村","","***","0.16","22.8","***","12.0","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29449","奈良県 十津川村","","***","0.37","8.1","***","4.4","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29450","奈良県 下北山村","","***","0.27","9.6","***","7.1","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29451","奈良県 上北山村","","***","0.14","15.8","***","13.4","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29452","奈良県 川上村","","***","0.13","33.4","***","6.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","29453","奈良県 東吉野村","","***","0.13","24.2","***","8.1","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30201","和歌山県 和歌山市","","***","0.94","3.2","***","16.6","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30202","和歌山県 海南市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30203","和歌山県 橋本市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30204","和歌山県 有田市","","***","0.73","5.1","***","10.4","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30205","和歌山県 御坊市","","***","0.75","4.3","***","13.8","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30206","和歌山県 田辺市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30207","和歌山県 新宮市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30208","和歌山県 紀の川市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30209","和歌山県 岩出市","","***","0.54","0.3","***","19.3","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30304","和歌山県 紀美野町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30341","和歌山県 かつらぎ町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30343","和歌山県 九度山町","","***","0.25","2.3","***","14.5","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30344","和歌山県 高野町","","***","0.21","4.0","***","12.1","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30361","和歌山県 湯浅町","","***","0.32","1.8","***","15.2","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30362","和歌山県 広川町","","***","0.25","0.1","***","10.0","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30366","和歌山県 有田川町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30381","和歌山県 美浜町","","***","0.32","5.9","***","9.1","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30382","和歌山県 日高町","","***","0.23","5.7","***","9.6","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30383","和歌山県 由良町","","***","0.32","3.5","***","12.7","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30390","和歌山県 印南町","","***","0.26","1.6","***","11.8","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30391","和歌山県 みなべ町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30392","和歌山県 日高川町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30401","和歌山県 白浜町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30404","和歌山県 上富田町","","***","0.41","0.6","***","14.8","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30406","和歌山県 すさみ町","","***","0.19","1.3","***","10.9","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30421","和歌山県 那智勝浦町","","***","0.41","3.8","***","13.3","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30422","和歌山県 太地町","","***","0.27","5.0","***","11.8","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","30424","和歌山県 古座川町","","***","0.12","7.1","***","14.3","***","***","***","***","***","***","***","***","***","***","***","***"
