,municipality_id,municipality,munici_English,Total population (Both sexes),Total population (0-14),Total population (15-64),Total population (65 and over),Foreigners (Total),Densely inhabited districts population,Live births,Deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,No. of nuclear families with household members 65 years of age and over,No. of aged-couple households (Only aged couple),No. of aged-single-person households (Aged 65 and over),Marriages,Divorces,Total land area (Excl. the northern territories and Takeshima),Inhabitable area,Taxable income,Tax debtor (per income),Number of establishments,Number of establishments (Secondary industry),Number of establishments (Tertiary industry),Number of persons engaged,Number of persons engaged (Secondary industry),Number of persons engaged (Tertiary industry),Cultivated land area,"Value of manufactured goods shipments, etc.",Number of manufacturing employees,Annual sales of commercial goods,Number of establishments (Wholesale and retail trade),Number of employees (Wholesale and retail trade),Financial strength index (municipalities),Real term balance of revenue to expenditure (municipalities),Ratio of net cost of bonds (municipalities),Settlement of total revenue (municipalities),Settlement of total expenditure (municipalities),Local taxes (municipalities),Number of kindergartens,Number of Kindergarten students,Number of elementary schools,Number of elementary school teachers,Elementary school students,Number of lower secondary schools,Number of lower secondary school teachers,Lower secondary school students,Number of upper secondary schools,Upper secondary school students,Population in labour force,Employed persons,Unemployed persons,Persons employed in primary industry,Persons employed in secondary industry,Persons employed in tertiary industry,No. of employees,"No. of board member of company, etc.","No. of self-employed, employing others","No. of self-employed, not employing others",No. of family employees (Total),Population working in the same municipalities,Commuters to other municipality,Employed persons based on workplace,Workers commuting from other municipalities,No. of public halls,No. of libraries,Number of dwellings with occupying households,No. of owned houses,No. of rented houses,Area of floor space per dwelling,Population covered by waste processing service,Garbage planned collection population,Total volume of waste matter (Total),Rate of recycled,No. of retail stores,No. of eating and drinking places,No. of large-scale retail stores,No. of department stores and general merchandise store,General hospitals,Medical clinics,Dental clinic,Physicians,Dentists,No. of pharmacists,No. of elderly nursing facilities,No. of child welfare institutions (Excl. midwifery home and children's playground),Number of nursery centers,Number of infants enrolled in nursery centers,Persons insured by national health insurance
JP_var,JP,市区町村,Municipalities,総人口,"15歳未満
人口","15～64歳
人口","65歳以上
人口",外国人人口,"人口集中
地区人口",出生数,死亡数,転入者数,転出者数,昼間人口,世帯数,一般世帯数,"核家族
世帯数",単独世帯数,"65歳以上の世帯員の
いる核家族世帯数","高齢夫婦
世帯数","高齢単身
世帯数",婚姻件数,離婚件数,"総面積
(北方地域
及び竹島を除く)",可住地面積,"課税対象
所得","納税義務
者数
（所得割）",事業所数,第２次産業事業所数,第３次産業事業所数,従業者数,第２次産業従業者数,第３次産業従業者数,耕地面積,"製造品
出荷額等","製造業
従業者数","商業年間
商品販売額","商業
事業所数","商業
従業者数","財政力
指数
(市町村財政)","実質収支
比率
(市町村財政)","実質公債費
比率
(市町村財政)","歳入
決算総額
(市町村財政)","歳出
決算総額
(市町村財政)","地方税
(市町村財政)",幼稚園数,"幼稚園
在園者数",小学校数,"小学校
教員数","小学校
児童数",中学校数,"中学校
教員数","中学校
生徒数","高等
学校数","高等学校
生徒数",労働力人口,就業者数,"完全
失業者数",第１次産業就業者数,第２次産業就業者数,第３次産業就業者数,雇用者数,役員数,"雇人の
ある
業主数","雇人の
ない
業主数","家族
従業者数","自市区町村で従業している
就業者数","他市区町村
への
通勤者数","従業地
による
就業者数","他市区町村
からの
通勤者数",公民館数,図書館数,"居住世帯
あり
住宅数",持ち家数,借家数,"１住宅
当たり
延べ面積","非水洗化
人口","ごみ計画
収集人口","ごみ
総排出量","ごみの
リサイクル
率",小売店数,飲食店数,"大型
小売店数","百貨店，
総合
スーパー数",一般病院数,"一般
診療所数","歯科
診療所数",医師数,歯科医師数,薬剤師数,"介護老人
福祉施設数","児童福祉
施設等数
（助産施設・児童遊園を除く）",保育所等数,"保育所等
在所児数",国民健康保険被保険者数
var_no,No,,,A1101,A1301,A1302,A1303,A1700,A1801,A4101,A4200,A5101,A5102,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C120110,C120120,C2107,C2111,C2112,C2207,C2211,C2212,C3107,C3401,C3404,C3501,C3502,C3503,D2201,D2202,D2211,D3201,D3203,D320101,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,F1101,F1102,F1107,F2201,F2211,F2221,F2401,F2402,F2403,F2404,F2405,F2701,F2705,F2801,F2803,G1201,G1401,H1101,H1310,H1320,H2130,H550701,H5608,H5609,H5614,H6130,H6131,H6132,H6133,I510120,I5102,I5103,I6100,I6200,I6300,J230121,J2501,J2503,J2506,J4101
unit,unit,,,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,世帯:household,世帯:household,世帯:household,世帯:household,世帯:household,世帯:household,世帯:household,組:pairs,組:pairs,k㎡,k㎡,百万円:million yen,人:persons,事業所:number of establishments,事業所:number of establishments,事業所:number of establishments,人:persons,人:persons,人:persons,k㎡,百万円:million yen,人:persons,百万円:million yen,事業所:number of establishments,人:person,－,％,％,百万円:million yen,百万円:million yen,百万円:million yen,園:number of kindergartens,人:persons,校:school,人:person,人:person,校:school,人:persons,人:person,校:school,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,人:person,館:number of community centers,館:number of community centers,住宅:dwellings,住宅:dwellings,住宅:dwellings,㎡,人:person,人:person,t,％,事業所:number of establishments,事業所:number of establishments,事業所:number of establishments,事業所:number of establishments,施設:number of facilities,施設:number of facilities,施設:number of facilities,人:person,人:person,人:person,所:number of establishments,所:number of establishments,所:number of establishments,人:person,人:person
year,year,,,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2014,2014,2014,2014,2014,2014,2017,2016,2017,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2013,2013,2013,2013,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2016,2016,2016,2016
0,1.0,北海道　　　,Hokkaido,5381733,608296,3190804,1558387,21676,4047281,34040,62417,241056,247625,5378786,2444810,2438206,1363818,909106,558618,327509,319408,23960,10147,78420.78,22372.38,6722968,2297502,242707,34058,204052,2445372,391589,2009602,11450,6057594,167770,17999617,46282,390952,...,...,...,3185841,3129791,706457,438,51182,1061,19078,245504,611,11907,131051,283,126799,2553043,2435098,117945,170336,411569,1718253,1908362,123311,49460,146713,97755,1638304,682164,2431843,678909,396,149,2345700,1353900,945900,93.08,371269,5363769,1902079,24.3,40615,26585,823,78,493,3380,2968,13309,4440,11321,345,1421,908,70119,1252180
1,1100.0,札幌市　　　　,Sapporo-shi,1952356,221013,1235516,483534,8820,1899081,13821,18668,119314,110535,1959740,921837,920415,493644,375242,178246,98660,104650,10134,4003,1121.26,438.98,2679886,865057,76604,9321,67178,912841,99922,811574,26,534597,27029,9956011,14167,153927,0.73,1.4,3.7,921026,911331,288106,116,20461,205,4887,90138,107,3001,45781,52,44201,892932,844313,48619,3790,118503,645868,675398,44420,11380,40148,9624,372730,403594,849618,408899,1,11,861030,424290,401600,81.36,7107,1947127,645436,26.9,11197,8502,355,30,178,1329,1232,6614,2113,5398,64,452,273,25742,405820
2,1101.0,  中央区　　　　,  Chuo-ku,237627,23997,160339,50536,1891,235356,1772,2002,20542,18736,386602,132006,131819,52695,73164,16633,9542,14403,1654,530,46.42,26.85,...,...,23138,1132,21971,322215,17188,304264,...,22254,1853,4979870,4126,43496,...,...,...,...,...,...,14,1706,17,480,9640,11,273,4306,8,6545,108064,102279,5785,269,8532,80236,74708,7385,2158,4945,1258,63991,25909,245740,169370,0,1,116500,47300,61450,68.62,...,...,...,...,3234,4105,69,9,34,354,286,1988,420,1576,5,54,28,2256,...
3,1102.0,  北区　　　　　,  Kita-ku,285321,32916,178950,68960,2023,275495,1877,2540,15347,14134,273734,133662,133477,70121,55247,25763,14221,14688,1261,587,63.57,63.19,...,...,9331,1440,7883,111486,11950,99468,...,21359,1513,806281,1613,17358,...,...,...,...,...,...,15,2840,31,761,14631,16,492,7674,9,7752,129316,122701,6615,664,19520,91745,98203,6305,1671,6307,1660,53893,59261,106551,43111,0,1,121600,61520,55270,85.29,...,...,...,...,1376,917,50,2,19,172,169,1148,646,672,7,71,43,3912,...
4,1103.0,  東区　　　　　,  Higashi-ku,261912,30716,168302,61448,1121,255507,2137,2413,15088,14088,247799,124425,124251,65606,51879,22696,12156,14050,1486,576,56.97,56.96,...,...,8964,1726,7232,103048,17278,85745,...,99478,4779,1014912,1901,21866,...,...,...,...,...,...,11,2325,28,657,12006,15,411,6188,6,5548,121080,114463,6617,541,18195,85283,92061,5721,1439,5415,1318,53959,51585,102034,39156,0,1,115940,49580,61640,81.44,...,...,...,...,1329,580,46,5,22,138,139,744,177,647,8,61,45,4311,...
5,1104.0,  白石区　　　　,  Shiroishi-ku,209584,23590,136879,47879,595,205645,1737,2074,13817,13257,206604,104608,104464,51433,47852,17108,8994,11906,1490,510,34.47,34.41,...,...,8276,1432,6837,94048,16407,77565,...,106854,5608,1180012,1763,18517,...,...,...,...,...,...,7,1734,20,477,8679,8,277,4398,3,2442,99569,93850,5719,310,15008,67905,74069,4393,1059,4279,938,40041,44083,93689,43922,0,1,102250,40440,56680,71.26,...,...,...,...,1041,554,27,1,18,112,116,495,166,499,7,52,38,3468,...
