,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_NHKから自国民を守る党,得票数_されど我町まえばし,得票数_公明党,得票数_公民,得票数_大泉町の行政を考える会,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_NHKから自国民を守る党,得票率_されど我町まえばし,得票率_公明党,得票率_公民,得票率_大泉町の行政を考える会,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_NHKから自国民を守る党,一人あたり得票率_されど我町まえばし,一人あたり得票率_公明党,一人あたり得票率_公民,一人あたり得票率_大泉町の行政を考える会,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_NHKから自国民を守る党,立候補者数_されど我町まえばし,立候補者数_公明党,立候補者数_公民,立候補者数_大泉町の行政を考える会,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_NHKから自国民を守る党,当選者数_されど我町まえばし,当選者数_公明党,当選者数_公民,当選者数_大泉町の行政を考える会,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
みどり市議会議員補欠選挙（2014年04月13日投票）,みどり市議会議員補欠選挙,群馬県,みどり市,20140413.0,2014.0,4.0,13.0,20140406.0,27.37,3.0,4.0,1.3333333333333333,,,,,その他,,,,,みどり市議会議員補欠選挙（2014年04月13日投票）,1.0,4.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,10937.0,1.0,49.25,9.522998477370455,36.0,43.5,49.5,55.25,62.0,50.333333333333336,10.780641085864152,36.0,44.5,53.0,57.5,62.0,,,,,,,,,,,10937.0,,,,10937.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.25,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,3.0,,,
みどり市議会議員選挙（2007年04月22日投票）,みどり市議会議員選挙,群馬県,みどり市,20070422.0,2007.0,4.0,22.0,20070415.0,70.09,22.0,29.0,1.318181818181818,41712.0,,,,任期満了,,,,,みどり市議会議員選挙（2007年04月22日投票）,1.0,29.0,22.0,1.3181818181818181,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,0.20689655172413793,0.10344827586206896,0.6818181818181818,0.18181818181818182,0.13636363636363635,0.6749822100936129,0.1752993194929013,0.1497184704134858,0.03374911050468064,0.029216553248816887,0.04990615680449526,28948.999999999996,3.0,59.37931034482759,9.053152596646587,25.0,57.0,61.0,64.0,71.0,57.22727272727273,9.238908919159714,25.0,54.5,59.0,62.75,70.0,,,,2636.0,,,,885.0,,,25428.0,,,,28949.0,,,,0.09105668589588586,,,,0.030571004179764414,,,0.8783723099243497,,,,1.0,,,,0.04552834294794293,,,,0.030571004179764414,,,0.03378355038170576,,,,,,,2.0,,,,1.0,,,26.0,,,,,,,2.0,,,,1.0,,,19.0,,,
みどり市議会議員選挙（2011年04月24日投票）,みどり市議会議員選挙,群馬県,みどり市,20110424.0,2011.0,4.0,24.0,20110417.0,無投票,20.0,20.0,1.0,,,,,任期満了,70.09,,,,みどり市議会議員選挙（2011年04月24日投票）,1.0,20.0,20.0,1.0,1.0,1.0,0.0,0.1,0.1,0.75,0.2,0.05,0.75,0.2,0.05,,,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,17.0,,,,,,,2.0,,,,1.0,,,17.0,,,
みどり市議会議員選挙（2015年04月26日投票）,みどり市議会議員選挙,群馬県,みどり市,20150426.0,2015.0,4.0,26.0,20150419.0,47.84,20.0,21.0,1.05,,,,,任期満了,,,,,みどり市議会議員選挙（2015年04月26日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.14285714285714285,0.1,0.8571428571428571,0.14285714285714285,0.0,0.9,0.1,0.0,0.9574698422517786,0.04253015774822146,,0.0531927690139877,0.014176719249407154,,19398.0,3.0,62.38095238095238,8.593885924507418,37.0,58.0,65.0,68.0,73.0,62.2,8.766983517721474,37.0,58.0,64.0,68.25,73.0,,,,2339.0,,,,996.0,,,16063.0,,,,19398.0,,,,0.12057944117950305,,,,0.05134549953603464,,,0.8280750592844623,,,,1.0,,,,0.06028972058975152,,,,0.05134549953603464,,,0.046004169960247907,,,,,,,2.0,,,,1.0,,,18.0,,,,,,,2.0,,,,1.0,,,17.0,,,
みどり市議会議員選挙（2019年04月21日投票）,みどり市議会議員選挙,群馬県,みどり市,20190421.0,2019.0,4.0,21.0,20190414.0,53.83,18.0,29.0,1.6111111111111112,41554.0,,,,任期満了,47.84,,,,みどり市議会議員選挙（2019年04月21日投票）,1.0,29.0,18.0,1.6111111111111112,0.0,0.0,0.0,0.20689655172413793,0.3333333333333333,0.5862068965517241,0.41379310344827586,0.0,0.7222222222222222,0.2777777777777778,0.0,0.6429097208832729,0.35709027911672714,,0.03781821887548664,0.02975752325972726,,22109.997,4.0,60.89655172413793,11.232173086599255,32.0,58.0,62.0,69.0,76.0,63.166666666666664,9.770988804733236,40.0,59.0,62.5,71.0,76.0,,,,2087.108,,,376.0,776.0,,,18870.889,,,,22109.997,,,,0.09439657544955797,,,0.017005881999893533,0.035097245829567504,,,0.853500296720981,,,,1.0,,,,0.047198287724778985,,,0.017005881999893533,0.035097245829567504,,,0.03414001186883924,,,,,,,2.0,,,1.0,1.0,,,25.0,,,,,,,2.0,,,0.0,1.0,,,15.0,,,
みなかみ町議会議員補欠選挙（2013年10月20日投票）,みなかみ町議会議員補欠選挙,群馬県,みなかみ町,20131020.0,2013.0,10.0,20.0,20131015.0,25.56,1.0,2.0,2.0,,,,,辞職,,,,,みなかみ町議会議員補欠選挙（2013年10月20日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.6084421641791045,0.39155783582089554,,0.6084421641791045,0.39155783582089554,4288.0,2.0,65.0,1.0,64.0,64.5,65.0,65.5,66.0,64.0,0.0,64.0,64.0,64.0,64.0,64.0,,,,,,,,2609.0,,,1679.0,,,,4288.0,,,,,,,,0.6084421641791045,,,0.39155783582089554,,,,1.0,,,,,,,,0.6084421641791045,,,0.39155783582089554,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,0.0,,,
みなかみ町議会議員選挙（2006年04月23日投票）,みなかみ町議会議員選挙,群馬県,みなかみ町,20060423.0,2006.0,4.0,23.0,20060418.0,,0.0,29.0,,19555.0,,,,任期満了,,,,,みなかみ町議会議員選挙（2006年04月23日投票）,3.0,29.0,23.0,1.2608695652173914,0.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.3793103448275862,0.0,0.6086956521739131,0.391304347826087,0.0,0.61059375,0.38940625,,0.033921875000000004,0.035400568181818186,,15360.0,2.0,56.724137931034484,9.787030657171933,38.0,50.0,57.0,65.0,77.0,55.69565217391305,9.742041490404162,38.0,49.5,56.0,64.5,71.0,,,,,,,,1487.0,,,13873.0,,,,15360.0,,,,,,,,0.09680989583333334,,,0.9031901041666667,,,,1.0,,,,,,,,0.03226996527777778,,,0.03473808092948718,,,,,,,,,,,3.0,,,26.0,,,,,,,,,,,2.0,,,21.0,,,
みなかみ町議会議員選挙（2010年04月18日投票）,みなかみ町議会議員選挙,群馬県,みなかみ町,20100418.0,2010.0,4.0,18.0,20100418.0,,18.0,22.0,1.2222222222222223,,,,,任期満了,,,,,みなかみ町議会議員選挙（2010年04月18日投票）,1.0,22.0,18.0,1.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.13636363636363635,0.13636363636363635,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.7579748668341656,0.1579751442268684,0.08404998893896598,0.04737342917713535,0.05265838140895613,0.028016662979655327,14419.99,2.0,58.0,8.691688820100184,42.0,53.75,59.5,63.75,72.0,56.388888888888886,8.320916675522454,42.0,48.5,58.5,62.5,70.0,,,,,,,,817.0,,,13602.99,,,,14419.99,,,,,,,,0.0566574595405406,,,0.9433425404594594,,,,1.0,,,,,,,,0.0566574595405406,,,0.04492107335521235,,,,,,,,,,,1.0,,,21.0,,,,,,,,,,,1.0,,,17.0,,,
みなかみ町議会議員選挙（2014年04月20日投票）,みなかみ町議会議員選挙,群馬県,みなかみ町,20140420.0,2014.0,4.0,20.0,20140415.0,74.39,18.0,21.0,1.1666666666666667,,,,,任期満了,,,,,みなかみ町議会議員選挙（2014年04月20日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.047619047619047616,0.05555555555555555,0.7142857142857143,0.19047619047619047,0.09523809523809523,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.6977933201378048,0.23271187546654462,0.0694948043956505,0.046519554675853655,0.058177968866636155,0.03474740219782525,12964.998,3.0,59.285714285714285,7.69132385126475,46.0,52.0,61.0,65.0,74.0,59.27777777777778,7.4892927685355914,46.0,52.25,60.5,64.75,74.0,,,,819.1089999999999,,,,1218.631,,,10927.258,,,,12964.998,,,,0.06317849027049599,,,,0.09399392117144947,,,0.8428275885580545,,,,1.0,,,,0.06317849027049599,,,,0.04699696058572474,,,0.046823754919891915,,,,,,,1.0,,,,2.0,,,18.0,,,,,,,1.0,,,,2.0,,,15.0,,,
みなかみ町議会議員選挙（2018年04月22日投票）,みなかみ町議会議員選挙,群馬県,みなかみ町,20180422.0,2018.0,4.0,22.0,20180417.0,66.77,18.0,20.0,1.1111111111111112,,,,,任期満了,74.39,,,,みなかみ町議会議員選挙（2018年04月22日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.1,0.1111111111111111,0.55,0.35,0.1,0.6111111111111112,0.3333333333333333,0.05555555555555555,0.6882115726073245,0.259720203142272,0.05206822425040353,0.06256468841884767,0.03710288616318171,0.026034112125201764,11023.998000000001,3.0,60.5,10.092076099594175,32.0,55.5,64.0,66.5,72.0,61.5,7.804912982645397,41.0,56.25,64.0,66.0,72.0,,,,980.0,,,,816.0,,,9227.998000000001,,,,11023.998000000001,,,,0.08889696823239626,,,,0.07402033273228097,,,0.8370826990353227,,,,1.0,,,,0.08889696823239626,,,,0.03701016636614048,,,0.04924015876678369,,,,,,,1.0,,,,2.0,,,17.0,,,,,,,1.0,,,,2.0,,,15.0,,,
