,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_NHKから自国民を守る党,得票数_さいたま未来,得票数_しょぼい政党,得票数_はにゅう市民ネットワーク,得票数_みんなの党,得票数_よしかわ市民ネットワーク,得票数_オリーブの木,得票数_スーパークレイジー君党,得票数_チームはんのう,得票数_テレビ改革党,得票数_ネクスト草加,得票数_ネットワーク三芳,得票数_人生ひゃくねん党,得票数_住民自治を進める街づくり会議,得票数_公募型競争入札を促進する会,得票数_公明党,得票数_創健の会,得票数_創建の会,得票数_国民会議,得票数_国民民主党,得票数_地域政党蓮田から変える会,得票数_富士見市民ネットワーク,得票数_少子化対策党,得票数_市民ネットワーク・かわぐち,得票数_市民ネットワーク所沢,得票数_市民ネットワーク鶴ヶ島,得票数_平和の党,得票数_平成改新,得票数_幸福実現党,得票数_愛煙党,得票数_新党・市民の力,得票数_新党市民の力,得票数_新社会党,得票数_日本を元気にする会,得票数_日本共産党,得票数_日本創新党,得票数_日本労働党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_無所属,得票数_生き活きネットワーク鴻巣／吹上,得票数_生活者ネットワーク さいたま市,得票数_生活者ネットワークさいたま市,得票数_社会民主党,得票数_税金のムダづかいをなくす党,得票数_立憲民主党,得票数_維新の党,得票数_自由党,得票数_自由大丈夫党,得票数_自由民主党,得票数_見沼区の未来を創る会,得票数_議席を減らします党,得票数_越谷市民ネットワーク,得票数_青年自由,得票数_青年自由党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_NHKから自国民を守る党,得票率_さいたま未来,得票率_しょぼい政党,得票率_はにゅう市民ネットワーク,得票率_みんなの党,得票率_よしかわ市民ネットワーク,得票率_オリーブの木,得票率_スーパークレイジー君党,得票率_チームはんのう,得票率_テレビ改革党,得票率_ネクスト草加,得票率_ネットワーク三芳,得票率_人生ひゃくねん党,得票率_住民自治を進める街づくり会議,得票率_公募型競争入札を促進する会,得票率_公明党,得票率_創健の会,得票率_創建の会,得票率_国民会議,得票率_国民民主党,得票率_地域政党蓮田から変える会,得票率_富士見市民ネットワーク,得票率_少子化対策党,得票率_市民ネットワーク・かわぐち,得票率_市民ネットワーク所沢,得票率_市民ネットワーク鶴ヶ島,得票率_平和の党,得票率_平成改新,得票率_幸福実現党,得票率_愛煙党,得票率_新党・市民の力,得票率_新党市民の力,得票率_新社会党,得票率_日本を元気にする会,得票率_日本共産党,得票率_日本創新党,得票率_日本労働党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_無所属,得票率_生き活きネットワーク鴻巣／吹上,得票率_生活者ネットワーク さいたま市,得票率_生活者ネットワークさいたま市,得票率_社会民主党,得票率_税金のムダづかいをなくす党,得票率_立憲民主党,得票率_維新の党,得票率_自由党,得票率_自由大丈夫党,得票率_自由民主党,得票率_見沼区の未来を創る会,得票率_議席を減らします党,得票率_越谷市民ネットワーク,得票率_青年自由,得票率_青年自由党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_NHKから自国民を守る党,一人あたり得票率_さいたま未来,一人あたり得票率_しょぼい政党,一人あたり得票率_はにゅう市民ネットワーク,一人あたり得票率_みんなの党,一人あたり得票率_よしかわ市民ネットワーク,一人あたり得票率_オリーブの木,一人あたり得票率_スーパークレイジー君党,一人あたり得票率_チームはんのう,一人あたり得票率_テレビ改革党,一人あたり得票率_ネクスト草加,一人あたり得票率_ネットワーク三芳,一人あたり得票率_人生ひゃくねん党,一人あたり得票率_住民自治を進める街づくり会議,一人あたり得票率_公募型競争入札を促進する会,一人あたり得票率_公明党,一人あたり得票率_創健の会,一人あたり得票率_創建の会,一人あたり得票率_国民会議,一人あたり得票率_国民民主党,一人あたり得票率_地域政党蓮田から変える会,一人あたり得票率_富士見市民ネットワーク,一人あたり得票率_少子化対策党,一人あたり得票率_市民ネットワーク・かわぐち,一人あたり得票率_市民ネットワーク所沢,一人あたり得票率_市民ネットワーク鶴ヶ島,一人あたり得票率_平和の党,一人あたり得票率_平成改新,一人あたり得票率_幸福実現党,一人あたり得票率_愛煙党,一人あたり得票率_新党・市民の力,一人あたり得票率_新党市民の力,一人あたり得票率_新社会党,一人あたり得票率_日本を元気にする会,一人あたり得票率_日本共産党,一人あたり得票率_日本創新党,一人あたり得票率_日本労働党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_生き活きネットワーク鴻巣／吹上,一人あたり得票率_生活者ネットワーク さいたま市,一人あたり得票率_生活者ネットワークさいたま市,一人あたり得票率_社会民主党,一人あたり得票率_税金のムダづかいをなくす党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由党,一人あたり得票率_自由大丈夫党,一人あたり得票率_自由民主党,一人あたり得票率_見沼区の未来を創る会,一人あたり得票率_議席を減らします党,一人あたり得票率_越谷市民ネットワーク,一人あたり得票率_青年自由,一人あたり得票率_青年自由党,立候補者数_NHKから国民を守る党,立候補者数_NHKから自国民を守る党,立候補者数_さいたま未来,立候補者数_しょぼい政党,立候補者数_はにゅう市民ネットワーク,立候補者数_みんなの党,立候補者数_よしかわ市民ネットワーク,立候補者数_オリーブの木,立候補者数_スーパークレイジー君党,立候補者数_チームはんのう,立候補者数_テレビ改革党,立候補者数_ネクスト草加,立候補者数_ネットワーク三芳,立候補者数_人生ひゃくねん党,立候補者数_住民自治を進める街づくり会議,立候補者数_公募型競争入札を促進する会,立候補者数_公明党,立候補者数_創健の会,立候補者数_創建の会,立候補者数_国民会議,立候補者数_国民民主党,立候補者数_地域政党蓮田から変える会,立候補者数_富士見市民ネットワーク,立候補者数_少子化対策党,立候補者数_市民ネットワーク・かわぐち,立候補者数_市民ネットワーク所沢,立候補者数_市民ネットワーク鶴ヶ島,立候補者数_平和の党,立候補者数_平成改新,立候補者数_幸福実現党,立候補者数_愛煙党,立候補者数_新党・市民の力,立候補者数_新党市民の力,立候補者数_新社会党,立候補者数_日本を元気にする会,立候補者数_日本共産党,立候補者数_日本創新党,立候補者数_日本労働党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_無所属,立候補者数_生き活きネットワーク鴻巣／吹上,立候補者数_生活者ネットワーク さいたま市,立候補者数_生活者ネットワークさいたま市,立候補者数_社会民主党,立候補者数_税金のムダづかいをなくす党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由党,立候補者数_自由大丈夫党,立候補者数_自由民主党,立候補者数_見沼区の未来を創る会,立候補者数_議席を減らします党,立候補者数_越谷市民ネットワーク,立候補者数_青年自由,立候補者数_青年自由党,当選者数_NHKから国民を守る党,当選者数_NHKから自国民を守る党,当選者数_さいたま未来,当選者数_しょぼい政党,当選者数_はにゅう市民ネットワーク,当選者数_みんなの党,当選者数_よしかわ市民ネットワーク,当選者数_オリーブの木,当選者数_スーパークレイジー君党,当選者数_チームはんのう,当選者数_テレビ改革党,当選者数_ネクスト草加,当選者数_ネットワーク三芳,当選者数_人生ひゃくねん党,当選者数_住民自治を進める街づくり会議,当選者数_公募型競争入札を促進する会,当選者数_公明党,当選者数_創健の会,当選者数_創建の会,当選者数_国民会議,当選者数_国民民主党,当選者数_地域政党蓮田から変える会,当選者数_富士見市民ネットワーク,当選者数_少子化対策党,当選者数_市民ネットワーク・かわぐち,当選者数_市民ネットワーク所沢,当選者数_市民ネットワーク鶴ヶ島,当選者数_平和の党,当選者数_平成改新,当選者数_幸福実現党,当選者数_愛煙党,当選者数_新党・市民の力,当選者数_新党市民の力,当選者数_新社会党,当選者数_日本を元気にする会,当選者数_日本共産党,当選者数_日本創新党,当選者数_日本労働党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_無所属,当選者数_生き活きネットワーク鴻巣／吹上,当選者数_生活者ネットワーク さいたま市,当選者数_生活者ネットワークさいたま市,当選者数_社会民主党,当選者数_税金のムダづかいをなくす党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由党,当選者数_自由大丈夫党,当選者数_自由民主党,当選者数_見沼区の未来を創る会,当選者数_議席を減らします党,当選者数_越谷市民ネットワーク,当選者数_青年自由,当選者数_青年自由党
さいたま市議会議員増員選挙（2005年05月15日投票）,さいたま市議会議員増員選挙,埼玉県,さいたま市,20050515.0,2005.0,5.0,15.0,20050506.0,52.13,7.0,17.0,2.4285714285714284,89129.0,,,,その他,,,,,さいたま市議会議員増員選挙（2005年05月15日投票）,1.0,17.0,7.0,2.4285714285714284,0.0,0.0,0.0,0.11764705882352941,0.2857142857142857,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.058823529411764705,,45824.0,5.0,54.470588235294116,9.127319347842972,36.0,49.0,59.0,61.0,68.0,57.142857142857146,5.248906591678239,46.0,55.5,59.0,61.0,62.0,,,,,,,,,,,,,,,,,7068.0,,,,,,,,,,,,,,,,,,,3300.0,,,,,,,22426.0,,,,2688.0,,,,,,10342.0,,,,,,45824.0,,,,,,,,,,,,,,,,,0.1542423184357542,,,,,,,,,,,,,,,,,,,0.07201466480446927,,,,,,,0.4893942039106145,,,,0.05865921787709497,,,,,,0.22568959497206703,,,,,,1.0,,,,,,,,,,,,,,,,,0.1542423184357542,,,,,,,,,,,,,,,,,,,0.07201466480446927,,,,,,,0.04449038217369223,,,,0.05865921787709497,,,,,,0.07522986499068901,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,0.0,,,,,,2.0,,,,,
さいたま市議会議員補欠選挙（2004年12月26日投票）,さいたま市議会議員補欠選挙,埼玉県,さいたま市,20041226.0,2004.0,12.0,26.0,20041217.0,13.95,2.0,3.0,1.5,129481.0,,,,その他,,,,,さいたま市議会議員補欠選挙（2004年12月26日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,,0.519772420009013,,,0.2598862100045065,,17752.0,2.0,43.0,6.164414002968976,36.0,39.0,42.0,46.5,51.0,39.0,3.0,36.0,37.5,39.0,40.5,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8525.0,,,,,,,9227.0,,,,,,,,,,,,,,,,17752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4802275799909869,,,,,,,0.519772420009013,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4802275799909869,,,,,,,0.2598862100045065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
さいたま市議会議員補欠選挙（2005年05月15日投票）,さいたま市議会議員補欠選挙,埼玉県,さいたま市,20050515.0,2005.0,5.0,15.0,20050506.0,39.49,1.0,4.0,4.0,110373.0,,,-19108.0,その他,13.95,,,,さいたま市議会議員補欠選挙（2005年05月15日投票）,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.25,0.0,1.0,0.0,,0.7728299528982024,0.22717004710179756,,0.2576099842994008,0.22717004710179756,41612.0,4.0,48.5,15.819292019556375,30.0,36.0,46.5,59.0,71.0,38.0,0.0,38.0,38.0,38.0,38.0,38.0,,,,,,,,,,,,,,,,2079.0,,,,,,,,,,,,,,,,,,,,7273.0,,,,22807.0,,,9453.0,,,,,,,,,,,,,,,,41612.0,,,,,,,,,,,,,,,,0.04996154955301355,,,,,,,,,,,,,,,,,,,,0.1747813130827646,,,,0.5480870902624243,,,0.22717004710179756,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.04996154955301355,,,,,,,,,,,,,,,,,,,,0.1747813130827646,,,,0.5480870902624243,,,0.22717004710179756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,0.0,,,,,,,,,,,,,,,
さいたま市議会議員補欠選挙（2009年05月24日投票）,さいたま市議会議員補欠選挙,埼玉県,さいたま市,20090524.0,2009.0,5.0,24.0,20090515.0,,2.0,6.0,3.0,173371.0,,,62998.0,その他,39.49,,,,さいたま市議会議員補欠選挙（2009年05月24日投票）,2.0,6.0,2.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,,0.4817093131103715,0.5182906868896284,,0.12042732827759288,0.2591453434448142,73316.0,2.0,53.833333333333336,8.254628331359863,43.0,47.0,54.0,58.75,67.0,49.0,4.0,45.0,47.0,49.0,51.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15970.0,,,,,,,57346.0,,,,,,,,,,,,,,,,73316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21782421299579902,,,,,,,0.782175787004201,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10891210649789951,,,,,,,0.19554394675105025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,
さいたま市議会議員補欠選挙（2013年05月19日投票）,さいたま市議会議員補欠選挙,埼玉県,さいたま市,20130519.0,2013.0,5.0,19.0,20130510.0,39.17,1.0,4.0,4.0,,,,,その他,,,,,さいたま市議会議員補欠選挙（2013年05月19日投票）,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,46028.0,4.0,46.25,12.457427503300993,25.0,43.75,52.0,54.5,56.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10812.0,,,,,,,6583.0,,,,,,,,,,21680.0,6953.0,,,,,46028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23490049535065613,,,,,,,0.1430216390023464,,,,,,,,,,0.4710176414356479,0.15106022421134963,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23490049535065613,,,,,,,0.1430216390023464,,,,,,,,,,0.4710176414356479,0.15106022421134963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,1.0,0.0,,,,
さいたま市議会議員選挙（2003年04月13日投票）,さいたま市議会議員選挙,埼玉県,さいたま市,20030413.0,2003.0,4.0,13.0,20030404.0,47.15,0.0,96.0,,815112.0,,,,任期満了,,,,,さいたま市議会議員選挙（2003年04月13日投票）,9.0,96.0,64.0,1.5,0.0,0.0,0.0,0.1875,0.171875,0.6979166666666666,0.25,0.052083333333333336,0.828125,0.125,0.046875,0.7670789190034236,0.17889103252597255,0.05403004847060387,0.011448939089603337,0.007453793021915523,0.010806009694120775,377141.99,8.0,52.739583333333336,9.577800712744837,31.0,45.75,54.0,59.0,75.0,53.265625,9.211477533999364,31.0,48.0,54.0,59.0,72.0,,,,,,,,,,,,,,,,,60793.0,,,,,,,,,,,,,,,,,,,43658.0,,,,22536.0,,,161463.96000000002,,1633.0,2620.0,8881.35,,,,,,75556.68,,,,,,377141.99,,,,,,,,,,,,,,,,,0.16119393122998582,,,,,,,,,,,,,,,,,,,0.11576011464541512,,,,0.0597546828450473,,,0.42812512072707687,,0.0043299341979926445,0.006946985669773869,0.023549088235971818,,,,,,0.2003401424487366,,,,,,1.0,,,,,,,,,,,,,,,,,0.014653993748180529,,,,,,,,,,,,,,,,,,,0.01052364678594683,,,,0.014938670711261825,,,0.00951389157171282,,0.0043299341979926445,0.006946985669773869,0.0058872720589929544,,,,,,0.010544218023617716,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,11.0,,,,4.0,,,45.0,,1.0,1.0,4.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,8.0,,,,4.0,,,27.0,,0.0,0.0,0.0,,,,,,14.0,,,,,
さいたま市議会議員選挙（2007年04月08日投票）,さいたま市議会議員選挙,埼玉県,さいたま市,20070408.0,2007.0,4.0,8.0,20070330.0,47.44,0.0,96.0,,935848.0,,,120736.0,任期満了,47.15,,,,さいたま市議会議員選挙（2007年04月08日投票）,10.0,96.0,64.0,1.5,0.0,0.0,0.0,0.20833333333333334,0.203125,0.625,0.23958333333333334,0.13541666666666666,0.734375,0.140625,0.125,0.6944865627092615,0.19491375862470886,0.1105996786660298,0.011574776045154358,0.00847451124455256,0.008507667589694599,437551.0,6.0,52.802083333333336,10.218059779611893,26.0,46.75,55.0,60.0,76.0,53.15625,10.719752139741852,26.0,46.0,56.0,60.0,74.0,,,,,,,,,,,,,,,,,64027.0,,,,,,,,,,,,,,,,,,,52656.0,,,,83143.0,,,95821.70999999999,,,2543.0,,,,,,,139360.29,,,,,,437551.0,,,,,,,,,,,,,,,,,0.14633037063108073,,,,,,,,,,,,,,,,,,,0.12034254292642457,,,,0.19001899207178136,,,0.218995522807627,,,0.00581189392779356,,,,,,,0.31850067763529283,,,,,,1.0,,,,,,,,,,,,,,,,,0.013302760966461885,,,,,,,,,,,,,,,,,,,0.010940231175129506,,,,0.019001899207178135,,,0.007064371703471839,,,0.00581189392779356,,,,,,,0.009953146176102901,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,11.0,,,,10.0,,,31.0,,,1.0,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,8.0,,,,10.0,,,13.0,,,0.0,,,,,,,22.0,,,,,
さいたま市議会議員選挙（2011年04月10日投票）,さいたま市議会議員選挙,埼玉県,さいたま市,20110410.0,2011.0,4.0,10.0,20110401.0,43.6,60.0,90.0,1.5,971314.0,,,35466.0,任期満了,47.44,,,,さいたま市議会議員選挙（2011年04月10日投票）,10.0,90.0,60.0,1.5,0.0,0.0,0.0,0.16666666666666666,0.2,0.5111111111111111,0.4222222222222222,0.06666666666666667,0.6833333333333333,0.2833333333333333,0.03333333333333333,0.6080107232423395,0.3403812708387382,0.0516080059189223,0.013217624418311728,0.008957401864177322,0.008601334319820382,416292.0,7.0,50.84444444444444,10.7029706272097,28.0,43.25,51.5,60.0,78.0,51.8,10.351811435686026,28.0,44.0,52.0,60.25,78.0,,,9600.0,,,14537.0,,,,,,,,,,,62798.0,,,,,,,,,,,,,,,,,,,43311.0,,,,89590.0,,,88667.0,,,,,,,,,,107789.0,,,,,,416292.0,,,0.023060736214003633,,,0.03492020024405946,,,,,,,,,,,0.15085084507989585,,,,,,,,,,,,,,,,,,,0.10403995272549076,,,,0.2152095163971443,,,0.21299232269656876,,,,,,,,,,0.2589264266428372,,,,,,1.0,,,0.007686912071334544,,,0.008730050061014865,,,,,,,,,,,0.01371371318908144,,,,,,,,,,,,,,,,,,,0.00945817752049916,,,,0.011956084244285795,,,0.008874680112357031,,,,,,,,,,0.013627706665412485,,,,,,,,3.0,,,4.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,11.0,,,,18.0,,,24.0,,,,,,,,,,19.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,7.0,,,,13.0,,,8.0,,,,,,,,,,19.0,,,,,
さいたま市議会議員選挙（2015年04月12日投票）,さいたま市議会議員選挙,埼玉県,さいたま市,20150412.0,2015.0,4.0,12.0,20150403.0,41.11,60.0,82.0,1.3666666666666667,884635.0,,,-86679.0,任期満了,43.6,,,,さいたま市議会議員選挙（2015年04月12日投票）,10.0,81.0,60.0,1.35,0.08641975308641975,0.1,0.0,0.18518518518518517,0.16666666666666666,0.5925925925925926,0.37037037037037035,0.037037037037037035,0.75,0.21666666666666667,0.03333333333333333,0.6524592214763574,0.3179345894568645,0.02960618906677812,0.0155347433684847,0.01059781964856215,0.01480309453338906,351717.0,6.0,49.074074074074076,11.763909841542697,25.0,40.0,51.0,56.0,70.0,50.53333333333333,10.752467417088766,27.0,43.0,52.0,56.25,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400.0,,,,,,,,,,,,3400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,11.0,,,,12.0,,,24.0,,,,1.0,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,8.0,,,,12.0,,,7.0,,,,0.0,,,,,,22.0,,,,,
さいたま市議会議員選挙（2019年04月07日投票）,さいたま市議会議員選挙,埼玉県,さいたま市,20190407.0,2019.0,4.0,7.0,20190329.0,38.16,60.0,79.0,1.3166666666666669,,,,,任期満了,41.11,,,,さいたま市議会議員選挙（2019年04月07日投票）,10.0,79.0,60.0,1.3166666666666667,0.0,0.0,0.0,0.189873417721519,0.2,0.6455696202531646,0.34177215189873417,0.012658227848101266,0.8333333333333334,0.16666666666666666,0.0,0.7830263929323608,0.20971674588656247,0.007256861181076804,0.01535345868494825,0.007767286884687499,0.007256861181076804,397417.0,9.0,52.29113924050633,11.569440211323835,27.0,44.0,55.0,60.0,74.0,53.016666666666666,11.421458848247989,27.0,46.0,55.0,60.0,74.0,,,,,,,,,,,,,,,,,61140.0,,,,15913.0,,,,,,,,,1032.0,,,,,,48068.0,,,7219.0,,,,41188.0,,,,4430.0,,74070.0,,,,144357.0,,,,,,397417.0,,,,,,,,,,,,,,,,,0.15384344403988756,,,,0.04004106517838945,,,,,,,,,0.0025967686334505066,,,,,,0.1209510413495145,,,0.018164799190774426,,,,0.10363925045984444,,,,0.011146981633900915,,0.18637853941829363,,,,0.3632381100959446,,,,,,1.0,,,,,,,,,,,,,,,,,0.013985767639989778,,,,0.013347021726129817,,,,,,,,,0.0012983843167252533,,,,,,0.010995549213592228,,,0.006054933063591475,,,,0.00797225003537265,,,,0.011146981633900915,,0.016943503583481238,,,,0.015134921253997692,,,,,,,,,,,,,,,,,,,,,,11.0,,,,3.0,,,,,,,,,2.0,,,,,,11.0,,,3.0,,,,13.0,,,,1.0,,11.0,,,,24.0,,,,,,,,,,,,,,,,,,,,,,11.0,,,,3.0,,,,,,,,,0.0,,,,,,7.0,,,0.0,,,,4.0,,,,1.0,,11.0,,,,23.0,,,,,
