,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_HAGE党,得票数_NHKから国民を守る党,得票数_いちはら市民ネット ワーク,得票数_いちはら市民ネットワーク,得票数_さくら・市民ネットワーク,得票数_たちあがれ日本,得票数_みどりの未来・のだ,得票数_みんなの党,得票数_コロナワクチン拒絶党,得票数_デモクラティア,得票数_ホリエモン新党,得票数_不登校を考える党,得票数_九十九里ネット・ニューウェーヴ,得票数_佐倉市民オンブズマン,得票数_公明党,得票数_公民党,得票数_動物愛護推進党,得票数_千葉の風21,得票数_千葉を元気にする会,得票数_国民主権党,得票数_国民会議,得票数_国民民主党,得票数_地球環境を育てる会,得票数_子供の未来を守る党,得票数_市民オンブズマン,得票数_市民オンブズマン館山行政監視局,得票数_市民ネットワ ーク・かしわ,得票数_市民ネットワーク,得票数_市民ネットワークちば,得票数_市民ネットワーク・かしわ,得票数_市民ネットワーク・のだ,得票数_市民ネットワーク・ふなばし,得票数_市民ネットワーク千葉県,得票数_市民ネットワーク四街道,得票数_希望の党,得票数_幸福実現党,得票数_新社会党,得票数_日本を元気にする会,得票数_日本共産党,得票数_日本維新の会,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_環境と行政を考える会,得票数_社,得票数_社会民主党,得票数_社民党,得票数_立憲民主党,得票数_維新の党,得票数_習志野みんなの改革,得票数_自由党,得票数_自由民主党,得票数_茂原市民に５万円支給する党,得票数_虐待から子供を守る党,得票数_諸,得票数_議席を減らします党,得票数_闘う改革の会千葉,得票数_青年自由,得票数_sum_v,得票率_HAGE党,得票率_NHKから国民を守る党,得票率_いちはら市民ネット ワーク,得票率_いちはら市民ネットワーク,得票率_さくら・市民ネットワーク,得票率_たちあがれ日本,得票率_みどりの未来・のだ,得票率_みんなの党,得票率_コロナワクチン拒絶党,得票率_デモクラティア,得票率_ホリエモン新党,得票率_不登校を考える党,得票率_九十九里ネット・ニューウェーヴ,得票率_佐倉市民オンブズマン,得票率_公明党,得票率_公民党,得票率_動物愛護推進党,得票率_千葉の風21,得票率_千葉を元気にする会,得票率_国民主権党,得票率_国民会議,得票率_国民民主党,得票率_地球環境を育てる会,得票率_子供の未来を守る党,得票率_市民オンブズマン,得票率_市民オンブズマン館山行政監視局,得票率_市民ネットワ ーク・かしわ,得票率_市民ネットワーク,得票率_市民ネットワークちば,得票率_市民ネットワーク・かしわ,得票率_市民ネットワーク・のだ,得票率_市民ネットワーク・ふなばし,得票率_市民ネットワーク千葉県,得票率_市民ネットワーク四街道,得票率_希望の党,得票率_幸福実現党,得票率_新社会党,得票率_日本を元気にする会,得票率_日本共産党,得票率_日本維新の会,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_環境と行政を考える会,得票率_社,得票率_社会民主党,得票率_社民党,得票率_立憲民主党,得票率_維新の党,得票率_習志野みんなの改革,得票率_自由党,得票率_自由民主党,得票率_茂原市民に５万円支給する党,得票率_虐待から子供を守る党,得票率_諸,得票率_議席を減らします党,得票率_闘う改革の会千葉,得票率_青年自由,得票率_sum_v,一人あたり得票率_HAGE党,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_いちはら市民ネット ワーク,一人あたり得票率_いちはら市民ネットワーク,一人あたり得票率_さくら・市民ネットワーク,一人あたり得票率_たちあがれ日本,一人あたり得票率_みどりの未来・のだ,一人あたり得票率_みんなの党,一人あたり得票率_コロナワクチン拒絶党,一人あたり得票率_デモクラティア,一人あたり得票率_ホリエモン新党,一人あたり得票率_不登校を考える党,一人あたり得票率_九十九里ネット・ニューウェーヴ,一人あたり得票率_佐倉市民オンブズマン,一人あたり得票率_公明党,一人あたり得票率_公民党,一人あたり得票率_動物愛護推進党,一人あたり得票率_千葉の風21,一人あたり得票率_千葉を元気にする会,一人あたり得票率_国民主権党,一人あたり得票率_国民会議,一人あたり得票率_国民民主党,一人あたり得票率_地球環境を育てる会,一人あたり得票率_子供の未来を守る党,一人あたり得票率_市民オンブズマン,一人あたり得票率_市民オンブズマン館山行政監視局,一人あたり得票率_市民ネットワ ーク・かしわ,一人あたり得票率_市民ネットワーク,一人あたり得票率_市民ネットワークちば,一人あたり得票率_市民ネットワーク・かしわ,一人あたり得票率_市民ネットワーク・のだ,一人あたり得票率_市民ネットワーク・ふなばし,一人あたり得票率_市民ネットワーク千葉県,一人あたり得票率_市民ネットワーク四街道,一人あたり得票率_希望の党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本を元気にする会,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_環境と行政を考える会,一人あたり得票率_社,一人あたり得票率_社会民主党,一人あたり得票率_社民党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_習志野みんなの改革,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_茂原市民に５万円支給する党,一人あたり得票率_虐待から子供を守る党,一人あたり得票率_諸,一人あたり得票率_議席を減らします党,一人あたり得票率_闘う改革の会千葉,一人あたり得票率_青年自由,立候補者数_HAGE党,立候補者数_NHKから国民を守る党,立候補者数_いちはら市民ネット ワーク,立候補者数_いちはら市民ネットワーク,立候補者数_さくら・市民ネットワーク,立候補者数_たちあがれ日本,立候補者数_みどりの未来・のだ,立候補者数_みんなの党,立候補者数_コロナワクチン拒絶党,立候補者数_デモクラティア,立候補者数_ホリエモン新党,立候補者数_不登校を考える党,立候補者数_九十九里ネット・ニューウェーヴ,立候補者数_佐倉市民オンブズマン,立候補者数_公明党,立候補者数_公民党,立候補者数_動物愛護推進党,立候補者数_千葉の風21,立候補者数_千葉を元気にする会,立候補者数_国民主権党,立候補者数_国民会議,立候補者数_国民民主党,立候補者数_地球環境を育てる会,立候補者数_子供の未来を守る党,立候補者数_市民オンブズマン,立候補者数_市民オンブズマン館山行政監視局,立候補者数_市民ネットワ ーク・かしわ,立候補者数_市民ネットワーク,立候補者数_市民ネットワークちば,立候補者数_市民ネットワーク・かしわ,立候補者数_市民ネットワーク・のだ,立候補者数_市民ネットワーク・ふなばし,立候補者数_市民ネットワーク千葉県,立候補者数_市民ネットワーク四街道,立候補者数_希望の党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本を元気にする会,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_環境と行政を考える会,立候補者数_社,立候補者数_社会民主党,立候補者数_社民党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_習志野みんなの改革,立候補者数_自由党,立候補者数_自由民主党,立候補者数_茂原市民に５万円支給する党,立候補者数_虐待から子供を守る党,立候補者数_諸,立候補者数_議席を減らします党,立候補者数_闘う改革の会千葉,立候補者数_青年自由,当選者数_HAGE党,当選者数_NHKから国民を守る党,当選者数_いちはら市民ネット ワーク,当選者数_いちはら市民ネットワーク,当選者数_さくら・市民ネットワーク,当選者数_たちあがれ日本,当選者数_みどりの未来・のだ,当選者数_みんなの党,当選者数_コロナワクチン拒絶党,当選者数_デモクラティア,当選者数_ホリエモン新党,当選者数_不登校を考える党,当選者数_九十九里ネット・ニューウェーヴ,当選者数_佐倉市民オンブズマン,当選者数_公明党,当選者数_公民党,当選者数_動物愛護推進党,当選者数_千葉の風21,当選者数_千葉を元気にする会,当選者数_国民主権党,当選者数_国民会議,当選者数_国民民主党,当選者数_地球環境を育てる会,当選者数_子供の未来を守る党,当選者数_市民オンブズマン,当選者数_市民オンブズマン館山行政監視局,当選者数_市民ネットワ ーク・かしわ,当選者数_市民ネットワーク,当選者数_市民ネットワークちば,当選者数_市民ネットワーク・かしわ,当選者数_市民ネットワーク・のだ,当選者数_市民ネットワーク・ふなばし,当選者数_市民ネットワーク千葉県,当選者数_市民ネットワーク四街道,当選者数_希望の党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本を元気にする会,当選者数_日本共産党,当選者数_日本維新の会,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_環境と行政を考える会,当選者数_社,当選者数_社会民主党,当選者数_社民党,当選者数_立憲民主党,当選者数_維新の党,当選者数_習志野みんなの改革,当選者数_自由党,当選者数_自由民主党,当選者数_茂原市民に５万円支給する党,当選者数_虐待から子供を守る党,当選者数_諸,当選者数_議席を減らします党,当選者数_闘う改革の会千葉,当選者数_青年自由
いすみ市議会議員補欠選挙（2013年12月01日投票）,いすみ市議会議員補欠選挙,千葉県,いすみ市,20131201.0,2013.0,12.0,1.0,20131124.0,,1.0,3.0,3.0,,,,,その他,,,,,いすみ市議会議員補欠選挙（2013年12月01日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.6287955833212262,0.3712044166787738,,0.3143977916606131,0.3712044166787738,6883.0,1.0,,,,,,,,41.0,0.0,41.0,41.0,41.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6883.0,,,,,,,,,,,,,,,,6883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
いすみ市議会議員補欠選挙（2017年11月26日投票）,いすみ市議会議員補欠選挙,千葉県,いすみ市,20171126.0,2017.0,11.0,26.0,20171119.0,,1.0,3.0,3.0,33668.0,,,,その他/君塚正芳議員の千葉県議選挙出馬による自動失職のため,,,,,いすみ市議会議員補欠選挙（2017年11月26日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,9818.0,0.0,58.0,9.41629792788369,47.0,52.0,57.0,63.5,70.0,47.0,0.0,47.0,47.0,47.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
いすみ市議会議員選挙（2006年11月12日投票）,いすみ市議会議員選挙,千葉県,いすみ市,20061112.0,2006.0,11.0,12.0,20061105.0,76.21,26.0,34.0,1.3076923076923077,36241.0,,,,任期満了,,,,,いすみ市議会議員選挙（2006年11月12日投票）,1.0,34.0,26.0,1.3076923076923077,0.0,0.0,0.0,0.058823529411764705,0.038461538461538464,0.7647058823529411,0.23529411764705882,0.0,0.8076923076923077,0.19230769230769232,0.0,0.7993471087104957,0.20065289128950423,,0.0307441195657883,0.025081611411188028,,27342.99,5.0,62.23529411764706,7.320634911107786,44.0,57.25,62.0,65.75,79.0,61.26923076923077,7.793279611344105,44.0,56.25,62.0,64.75,79.0,,,,,,,,,,,,,,,2210.6,,,,,,,,,,,,,,,,,,,,,,,,1314.3899999999999,,,198.0,,22719.39,,,900.61,,,,,,,,,,,,,27342.989999999998,,,,,,,,,,,,,,,0.08084704708592587,,,,,,,,,,,,,,,,,,,,,,,,0.04807045608399081,,,0.007241344125130427,,0.8309036429446817,,,0.03293750976027128,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.040423523542962934,,,,,,,,,,,,,,,,,,,,,,,,0.024035228041995406,,,0.007241344125130427,,0.029675130105167202,,,0.03293750976027128,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,28.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,22.0,,,1.0,,,,,,,,,,,,
いすみ市議会議員選挙（2010年11月14日投票）,いすみ市議会議員選挙,千葉県,いすみ市,20101114.0,2010.0,11.0,14.0,20101107.0,68.38,20.0,23.0,1.15,35605.0,,,-636.0,任期満了,76.21,,,,いすみ市議会議員選挙（2010年11月14日投票）,1.0,23.0,20.0,1.15,0.0,0.0,0.0,0.043478260869565216,0.05,0.9130434782608695,0.08695652173913043,0.0,0.9,0.1,0.0,0.9033737944795478,0.0966262055204523,,0.043017799737121325,0.04831310276022615,,24056.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2324.44,,,,,,,,,,,,,,,,,,,,,,,,1232.0,,,,,19534.559999999998,,,965.0,,,,,,,,,,,,,24056.0,,,,,,,,,,,,,,,0.09662620552045229,,,,,,,,,,,,,,,,,,,,,,,,0.05121383438643166,,,,,0.8120452278017957,,,0.04011473229132025,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.04831310276022614,,,,,,,,,,,,,,,,,,,,,,,,0.05121383438643166,,,,,0.04273922251588398,,,0.04011473229132025,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,19.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,16.0,,,1.0,,,,,,,,,,,,
いすみ市議会議員選挙（2014年11月16日投票）,いすみ市議会議員選挙,千葉県,いすみ市,20141116.0,2014.0,11.0,16.0,20141109.0,,18.0,22.0,1.2222222222222223,,,,,任期満了,68.38,,,,いすみ市議会議員選挙（2014年11月16日投票）,1.0,22.0,18.0,1.2222222222222223,0.0,0.0,0.0,0.045454545454545456,0.05555555555555555,0.7272727272727273,0.22727272727272727,0.045454545454545456,0.8888888888888888,0.1111111111111111,0.0,0.7892068606083578,0.17653747749455131,0.034255661897090874,0.04932542878802236,0.03530749549891026,0.034255661897090874,21106.0,4.0,61.40909090909091,8.87109243508011,41.0,56.25,64.0,68.5,74.0,62.05555555555556,9.501299456286214,41.0,57.5,64.0,69.75,74.0,,,,,,,,,,,,,,,2115.0,,,,,,,,,,,,,,,,,,,,,,,,1089.0,,,,,16835.0,,,1067.0,,,,,,,,,,,,,21106.0,,,,,,,,,,,,,,,0.10020847152468493,,,,,,,,,,,,,,,,,,,,,,,,0.05159670235951862,,,,,0.7976404813797024,,,0.050554344736094,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.050104235762342464,,,,,,,,,,,,,,,,,,,,,,,,0.05159670235951862,,,,,0.044313360076650134,,,0.050554344736094,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,18.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,14.0,,,1.0,,,,,,,,,,,,
いすみ市議会議員選挙（2018年11月11日投票）,いすみ市議会議員選挙,千葉県,いすみ市,20181111.0,2018.0,11.0,11.0,20181104.0,59.98,18.0,21.0,1.1666666666666667,,,,,任期満了,,,,,いすみ市議会議員選挙（2018年11月11日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.0,0.7222222222222222,0.2777777777777778,0.0,0.7047278191132342,0.2952721808867658,,0.05033770136523102,0.042181740126680835,,19716.998,3.0,62.523809523809526,8.78103501665486,45.0,57.0,61.0,69.0,76.0,63.05555555555556,8.676098855938921,45.0,58.5,63.5,68.75,76.0,,,,,,,,,,,,,,,1837.0,,,,,,,,,,,,,,,,,,,,,,,,1065.9560000000001,,,,,16814.042,,,,,,,,,,,,,,,,19716.998,,,,,,,,,,,,,,,0.09316834134689267,,,,,,,,,,,,,,,,,,,,,,,,0.05406279394053801,,,,,0.8527688647125694,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.046584170673446335,,,,,,,,,,,,,,,,,,,,,,,,0.05406279394053801,,,,,0.04737604803958719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,15.0,,,,,,,,,,,,,,,
一宮町議会議員選挙（2006年10月29日投票）,一宮町議会議員選挙,千葉県,一宮町,20061029.0,2006.0,10.0,29.0,20061024.0,75.16,16.0,17.0,1.0625,9982.0,,,,任期満了,,,,,一宮町議会議員選挙（2006年10月29日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.8125,0.125,0.0625,0.7780075593952483,0.16489200863930886,0.05710043196544277,0.05984673533809603,0.05496400287976962,0.05710043196544277,7408.0,2.0,59.705882352941174,5.570560283177278,52.0,57.0,58.0,64.0,73.0,59.8125,5.72515010720243,52.0,56.25,58.0,64.25,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.48,,,,,6547.52,,,,,,,,,,,,,,,,7408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11615550755939526,,,,,0.8838444924406048,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05807775377969763,,,,,0.05892296616270699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,14.0,,,,,,,,,,,,,,,
一宮町議会議員選挙（2010年10月24日投票）,一宮町議会議員選挙,千葉県,一宮町,20101024.0,2010.0,10.0,24.0,20101019.0,73.45,16.0,21.0,1.3125,10282.0,,,300.0,任期満了,75.16,,,,一宮町議会議員選挙（2010年10月24日投票）,1.0,21.0,16.0,1.3125,0.0,0.0,0.0,0.047619047619047616,0.0625,0.5238095238095238,0.47619047619047616,0.0,0.625,0.375,0.0,0.5529065095097777,0.44709349049022235,,0.050264228137252516,0.04470934904902223,,7466.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,6766.0,,,,,,,,,,,,,,,,7466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375837128315029,,,,,0.9062416287168498,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046879185641575144,,,,,0.04769692782720262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,14.0,,,,,,,,,,,,,,,
一宮町議会議員選挙（2014年10月19日投票）,一宮町議会議員選挙,千葉県,一宮町,20141019.0,2014.0,10.0,19.0,20141014.0,66.97,16.0,18.0,1.125,,,,,任期満了,73.45,,,,一宮町議会議員選挙（2014年10月19日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.16666666666666666,0.1875,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.75,0.1875,0.0625,0.7143283137021023,0.253314447592068,0.03235723870582973,0.05494833182323863,0.063328611898017,0.03235723870582973,6707.0,2.0,60.05555555555556,8.8661166635319,39.0,55.25,62.0,66.0,72.0,59.5,9.117291264405235,39.0,54.25,62.0,66.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.0,,,,,6126.0,,,,,,,,,,,,,,,,6707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08662591322498882,,,,,0.9133740867750112,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04331295661249441,,,,,0.0570858804234382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,14.0,,,,,,,,,,,,,,,
一宮町議会議員選挙（2018年10月21日投票）,一宮町議会議員選挙,千葉県,一宮町,20181021.0,2018.0,10.0,21.0,20181016.0,65.83,14.0,20.0,1.4285714285714286,,,,,任期満了,66.97,,,,一宮町議会議員選挙（2018年10月21日投票）,1.0,20.0,14.0,1.4285714285714286,0.0,0.0,0.0,0.15,0.07142857142857142,0.7,0.3,0.0,0.7142857142857143,0.2857142857142857,0.0,0.7389287070403073,0.2610712929596927,,0.05278062193145052,0.043511882159948785,,6683.998,2.0,62.9,7.898734075787082,43.0,58.5,65.0,69.0,73.0,62.285714285714285,7.786697185663796,43.0,57.5,63.0,69.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.0,,,,,6243.998,,,,,,,,,,,,,,,,6683.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06582886470043828,,,,,0.9341711352995618,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03291443235021914,,,,,0.051898396405531205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,14.0,,,,,,,,,,,,,,,
