,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_　,得票数_あたらしい党,得票数_みんなの党,得票数_みんなの改革,得票数_オリーブの木,得票数_ネットワーク横浜,得票数_ヨコハマから日本を変える会,得票数_ヨコハマ維新の会,得票数_公明党,得票数_厚木市民グループ,得票数_国民新党,得票数_国民民主党,得票数_地域政党いざ鎌倉,得票数_市民の,得票数_市民のための教育委員会,得票数_市民の党,得票数_市民連合・かわさき,得票数_希望の党,得票数_平和市民,得票数_幸福実現党,得票数_新しい川崎の会,得票数_新社会党,得票数_日本を元気にする会,得票数_日本共産党,得票数_日本列島に本当の民主主義を根付かせる会,得票数_日本創新党,得票数_日本第一党,得票数_日本維新の会,得票数_栄区の環境を守る会,得票数_横浜自由クラブ,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_無党派知事をつくろう会,得票数_無所属,得票数_無私の会,得票数_社会民主党,得票数_社民主,得票数_神奈川ネット,得票数_神奈川ネットワーク,得票数_神奈川ネットワーク運動,得票数_立憲民主党,得票数_維新の党,得票数_維新政・新風,得票数_自由党,得票数_自由民主党,得票数_青年自由党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_　,得票率_あたらしい党,得票率_みんなの党,得票率_みんなの改革,得票率_オリーブの木,得票率_ネットワーク横浜,得票率_ヨコハマから日本を変える会,得票率_ヨコハマ維新の会,得票率_公明党,得票率_厚木市民グループ,得票率_国民新党,得票率_国民民主党,得票率_地域政党いざ鎌倉,得票率_市民の,得票率_市民のための教育委員会,得票率_市民の党,得票率_市民連合・かわさき,得票率_希望の党,得票率_平和市民,得票率_幸福実現党,得票率_新しい川崎の会,得票率_新社会党,得票率_日本を元気にする会,得票率_日本共産党,得票率_日本列島に本当の民主主義を根付かせる会,得票率_日本創新党,得票率_日本第一党,得票率_日本維新の会,得票率_栄区の環境を守る会,得票率_横浜自由クラブ,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_無党派知事をつくろう会,得票率_無所属,得票率_無私の会,得票率_社会民主党,得票率_社民主,得票率_神奈川ネット,得票率_神奈川ネットワーク,得票率_神奈川ネットワーク運動,得票率_立憲民主党,得票率_維新の党,得票率_維新政・新風,得票率_自由党,得票率_自由民主党,得票率_青年自由党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_　,一人あたり得票率_あたらしい党,一人あたり得票率_みんなの党,一人あたり得票率_みんなの改革,一人あたり得票率_オリーブの木,一人あたり得票率_ネットワーク横浜,一人あたり得票率_ヨコハマから日本を変える会,一人あたり得票率_ヨコハマ維新の会,一人あたり得票率_公明党,一人あたり得票率_厚木市民グループ,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党いざ鎌倉,一人あたり得票率_市民の,一人あたり得票率_市民のための教育委員会,一人あたり得票率_市民の党,一人あたり得票率_市民連合・かわさき,一人あたり得票率_希望の党,一人あたり得票率_平和市民,一人あたり得票率_幸福実現党,一人あたり得票率_新しい川崎の会,一人あたり得票率_新社会党,一人あたり得票率_日本を元気にする会,一人あたり得票率_日本共産党,一人あたり得票率_日本列島に本当の民主主義を根付かせる会,一人あたり得票率_日本創新党,一人あたり得票率_日本第一党,一人あたり得票率_日本維新の会,一人あたり得票率_栄区の環境を守る会,一人あたり得票率_横浜自由クラブ,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無党派知事をつくろう会,一人あたり得票率_無所属,一人あたり得票率_無私の会,一人あたり得票率_社会民主党,一人あたり得票率_社民主,一人あたり得票率_神奈川ネット,一人あたり得票率_神奈川ネットワーク,一人あたり得票率_神奈川ネットワーク運動,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_維新政・新風,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_青年自由党,立候補者数_NHKから国民を守る党,立候補者数_　,立候補者数_あたらしい党,立候補者数_みんなの党,立候補者数_みんなの改革,立候補者数_オリーブの木,立候補者数_ネットワーク横浜,立候補者数_ヨコハマから日本を変える会,立候補者数_ヨコハマ維新の会,立候補者数_公明党,立候補者数_厚木市民グループ,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_地域政党いざ鎌倉,立候補者数_市民の,立候補者数_市民のための教育委員会,立候補者数_市民の党,立候補者数_市民連合・かわさき,立候補者数_希望の党,立候補者数_平和市民,立候補者数_幸福実現党,立候補者数_新しい川崎の会,立候補者数_新社会党,立候補者数_日本を元気にする会,立候補者数_日本共産党,立候補者数_日本列島に本当の民主主義を根付かせる会,立候補者数_日本創新党,立候補者数_日本第一党,立候補者数_日本維新の会,立候補者数_栄区の環境を守る会,立候補者数_横浜自由クラブ,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_無党派知事をつくろう会,立候補者数_無所属,立候補者数_無私の会,立候補者数_社会民主党,立候補者数_社民主,立候補者数_神奈川ネット,立候補者数_神奈川ネットワーク,立候補者数_神奈川ネットワーク運動,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_維新政・新風,立候補者数_自由党,立候補者数_自由民主党,立候補者数_青年自由党,当選者数_NHKから国民を守る党,当選者数_　,当選者数_あたらしい党,当選者数_みんなの党,当選者数_みんなの改革,当選者数_オリーブの木,当選者数_ネットワーク横浜,当選者数_ヨコハマから日本を変える会,当選者数_ヨコハマ維新の会,当選者数_公明党,当選者数_厚木市民グループ,当選者数_国民新党,当選者数_国民民主党,当選者数_地域政党いざ鎌倉,当選者数_市民の,当選者数_市民のための教育委員会,当選者数_市民の党,当選者数_市民連合・かわさき,当選者数_希望の党,当選者数_平和市民,当選者数_幸福実現党,当選者数_新しい川崎の会,当選者数_新社会党,当選者数_日本を元気にする会,当選者数_日本共産党,当選者数_日本列島に本当の民主主義を根付かせる会,当選者数_日本創新党,当選者数_日本第一党,当選者数_日本維新の会,当選者数_栄区の環境を守る会,当選者数_横浜自由クラブ,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_無党派知事をつくろう会,当選者数_無所属,当選者数_無私の会,当選者数_社会民主党,当選者数_社民主,当選者数_神奈川ネット,当選者数_神奈川ネットワーク,当選者数_神奈川ネットワーク運動,当選者数_立憲民主党,当選者数_維新の党,当選者数_維新政・新風,当選者数_自由党,当選者数_自由民主党,当選者数_青年自由党
三浦市議会議員補欠選挙（2009年06月21日投票）,三浦市議会議員補欠選挙,神奈川県,三浦市,20090621.0,2009.0,6.0,21.0,20090614.0,無投票,1.0,1.0,1.0,42114.0,,,,その他,,,,,三浦市議会議員補欠選挙（2009年06月21日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
三浦市議会議員補欠選挙（2013年06月16日投票）,三浦市議会議員補欠選挙,神奈川県,三浦市,20130616.0,2013.0,6.0,16.0,20130609.0,22.52,1.0,2.0,2.0,,,,,その他,,,,,三浦市議会議員補欠選挙（2013年06月16日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,8649.0,1.0,34.0,6.0,28.0,31.0,34.0,37.0,40.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8649.0,,,,,,,,,,,,,8649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
三浦市議会議員補欠選挙（2021年06月20日投票）,三浦市議会議員補欠選挙,神奈川県,三浦市,20210620.0,2021.0,6.0,20.0,20210613.0,無投票,1.0,1.0,1.0,37468.0,18047.0,19421.0,,その他,22.52,,,,三浦市議会議員補欠選挙（2021年06月20日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,52.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,52.0,52.0,52.0,52.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
三浦市議会議員選挙（1999年04月25日投票）,三浦市議会議員選挙,神奈川県,三浦市,19990425.0,1999.0,4.0,25.0,19990418.0,65.06,21.0,24.0,1.1428571428571428,42290.0,,,,任期満了,,,,,三浦市議会議員選挙（1999年04月25日投票）,1.0,24.0,21.0,1.1428571428571428,0.0,0.0,0.0,0.16666666666666666,0.19047619047619047,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6615290624647341,0.338470937535266,,0.04134556640404588,0.04230886719190825,,27203.989999999998,4.0,54.958333333333336,9.149130954479896,41.0,47.0,56.5,59.0,80.0,54.285714285714285,7.868822487954522,41.0,47.0,57.0,59.0,69.0,,,,,,,,,,2697.56,,,,,,,,,,,,,,,5282.77,,,,,,,,,,,15997.43,,,,,,,,,,,3226.23,,27203.99,,,,,,,,,,0.09916045403633804,,,,,,,,,,,,,,,0.19419099918798677,,,,,,,,,,,0.5880545464102875,,,,,,,,,,,0.11859400036538757,,1.0,,,,,,,,,,0.04958022701816902,,,,,,,,,,,,,,,0.04854774979699669,,,,,,,,,,,0.0392036364273525,,,,,,,,,,,0.03953133345512919,,,,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,15.0,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,12.0,,,,,,,,,,,3.0,
三浦市議会議員選挙（2003年04月27日投票）,三浦市議会議員選挙,神奈川県,三浦市,20030427.0,2003.0,4.0,27.0,20030420.0,64.36,18.0,24.0,1.3333333333333333,42166.0,,,-124.0,任期満了,65.06,,,,三浦市議会議員選挙（2003年04月27日投票）,1.0,24.0,18.0,1.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.75,0.25,0.0,0.7777777777777778,0.2222222222222222,0.0,0.7364288108450336,0.2635711891549663,,0.04091271171361298,0.043928531525827715,,26851.0,3.0,56.875,7.253232038202004,45.0,51.0,58.0,62.0,73.0,57.166666666666664,7.833333333333332,45.0,50.5,59.0,62.0,73.0,,,,,,,,,,2962.31,,,,,,,,,,,,,,,4696.75,,,,,,,,,,,19191.94,,,,,,,,,,,,,26851.0,,,,,,,,,,0.11032401027894678,,,,,,,,,,,,,,,0.17491899743026332,,,,,,,,,,,0.7147569922907898,,,,,,,,,,,,,1.0,,,,,,,,,,0.05516200513947339,,,,,,,,,,,,,,,0.04372974935756583,,,,,,,,,,,0.03970872179393277,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,13.0,,,,,,,,,,,,
三浦市議会議員選挙（2007年04月22日投票）,三浦市議会議員選挙,神奈川県,三浦市,20070422.0,2007.0,4.0,22.0,20070415.0,60.09,18.0,20.0,1.1111111111111112,41644.0,,,-522.0,任期満了,64.36,,,,三浦市議会議員選挙（2007年04月22日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.15,0.16666666666666666,0.5,0.3,0.2,0.5,0.2777777777777778,0.2222222222222222,0.47361195235210984,0.34157076519281243,0.18481728245507772,0.047361195235210984,0.05692846086546874,0.04620432061376943,24765.0,4.0,55.85,7.7863662898684645,36.0,49.75,55.0,63.0,67.0,55.72222222222222,8.170445082093519,36.0,49.25,54.5,63.0,67.0,,,,,,,,,,3182.0,,,,,,,,,,,,,,,4900.0,,,,,,,,1858.0,,,14825.0,,,,,,,,,,,,,24765.0,,,,,,,,,,0.12848778518069856,,,,,,,,,,,,,,,0.19785988289925296,,,,,,,,0.07502523722996164,,,0.5986270946900868,,,,,,,,,,,,,1.0,,,,,,,,,,0.06424389259034928,,,,,,,,,,,,,,,0.06595329429975098,,,,,,,,0.03751261861498082,,,0.0460482380530836,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,12.0,,,,,,,,,,,,
三浦市議会議員選挙（2011年04月24日投票）,三浦市議会議員選挙,神奈川県,三浦市,20110424.0,2011.0,4.0,24.0,20110417.0,53.33,15.0,18.0,1.2,,,,,任期満了,60.09,,,,三浦市議会議員選挙（2011年04月24日投票）,1.0,18.0,15.0,1.2,0.0,0.0,0.0,0.16666666666666666,0.2,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.8101051909444318,0.11090784358563915,0.0789869654699291,0.05786465649603084,0.036969281195213054,0.0789869654699291,21865.0,4.0,55.72222222222222,11.497852724920016,26.0,53.0,55.0,65.0,70.0,58.266666666666666,8.559335384375485,37.0,53.0,56.0,66.0,70.0,,,,,,,,,,3408.0,,,,,,,,,,,,,,,4429.0,,,,,,,,1028.0,,,13000.0,,,,,,,,,,,,,21865.0,,,,,,,,,,0.1558655385319003,,,,,,,,,,,,,,,0.2025611708209467,,,,,,,,0.047015778641664764,,,0.5945575120054882,,,,,,,,,,,,,1.0,,,,,,,,,,0.07793276926595015,,,,,,,,,,,,,,,0.06752039027364891,,,,,,,,0.023507889320832382,,,0.05405068290958984,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,0.0,,,10.0,,,,,,,,,,,,
三浦市議会議員選挙（2015年04月26日投票）,三浦市議会議員選挙,神奈川県,三浦市,20150426.0,2015.0,4.0,26.0,20150419.0,46.13,13.0,14.0,1.0769230769230769,39705.0,,,,任期満了,53.33,,,,三浦市議会議員選挙（2015年04月26日投票）,1.0,14.0,13.0,1.0769230769230769,0.0,0.0,0.0,0.2857142857142857,0.3076923076923077,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.6714380457610257,0.246380015474743,0.08218193876423124,0.07460422730678064,0.06159500386868575,0.08218193876423124,18094.0,4.0,54.357142857142854,11.74495115149571,30.0,47.25,57.0,58.75,74.0,56.23076923076923,9.970370305242861,37.0,57.0,57.0,59.0,74.0,,,,,,,,,,2380.0,,,,,,,,,,,,,,,4017.0,,,,,,,,,,,7539.0,,,,,,,,,,,4158.0,,18094.0,,,,,,,,,,0.1315353155742235,,,,,,,,,,,,,,,0.22200729523598983,,,,,,,,,,,0.41665745551011385,,,,,,,,,,,0.22979993367967283,,1.0,,,,,,,,,,0.1315353155742235,,,,,,,,,,,,,,,0.07400243174532994,,,,,,,,,,,0.059522493644301976,,,,,,,,,,,0.07659997789322427,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,7.0,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,6.0,,,,,,,,,,,3.0,
三浦市議会議員選挙（2019年04月21日投票）,三浦市議会議員選挙,神奈川県,三浦市,20190421.0,2019.0,4.0,21.0,20190414.0,45.37,13.0,16.0,1.2307692307692308,,,,,任期満了,46.13,,,,三浦市議会議員選挙（2019年04月21日投票）,1.0,16.0,13.0,1.2307692307692308,0.0,0.0,0.0,0.25,0.23076923076923078,0.6875,0.3125,0.0,0.6923076923076923,0.3076923076923077,0.0,0.7945526998446055,0.20544730015539447,,0.07223206362223687,0.0410894600310789,,17035.999,4.0,57.375,9.205127647132331,41.0,51.0,61.0,62.0,73.0,58.30769230769231,8.569935062895665,41.0,56.0,61.0,62.0,73.0,,,,,,,,,,2305.0,,,,,,,,,,,,,,,3775.0,,,,,,,,,,,4940.0,,,,,,,,,,,6015.999,,17035.999,,,,,,,,,,0.1353017219594812,,,,,,,,,,,,,,,0.2215895880247469,,,,,,,,,,,0.28997418936218533,,,,,,,,,,,0.35313450065358654,,1.0,,,,,,,,,,0.1353017219594812,,,,,,,,,,,,,,,0.07386319600824896,,,,,,,,,,,0.0414248841945979,,,,,,,,,,,0.0706269001307173,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,7.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,5.0,,,,,,,,,,,5.0,
中井町議会議員選挙（1999年04月25日投票）,中井町議会議員選挙,神奈川県,中井町,19990425.0,1999.0,4.0,25.0,19990420.0,82.09,16.0,19.0,1.1875,7922.0,,,,任期満了,,,,,中井町議会議員選挙（1999年04月25日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.05263157894736842,0.0625,0.47368421052631576,0.5263157894736842,0.0,0.5,0.5,0.0,0.4967476280422599,0.5032523719577401,,0.05519418089358444,0.05032523719577401,,6442.99,2.0,57.1578947368421,9.01614433811714,33.0,50.5,57.0,63.5,71.0,57.8125,7.324776020466428,48.0,50.75,56.5,63.25,71.0,,,,,,,,,,,,,,,,,,,,,,,,,333.0,,,,,,,,,,,6109.99,,,,,,,,,,,,,6442.99,,,,,,,,,,,,,,,,,,,,,,,,,0.05168407835492528,,,,,,,,,,,0.9483159216450747,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.05168407835492528,,,,,,,,,,,0.05268421786917082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,15.0,,,,,,,,,,,,
