,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_たちあがれ日本,得票数_公明党,得票数_公民党,得票数_国民民主党,得票数_地域政党日本新生,得票数_妙高はね馬クラブ,得票数_幸福実現党,得票数_日本共産党,得票数_次世代の党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_緑の党グリーンズジャパン,得票数_緑・にいがた,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_たちあがれ日本,得票率_公明党,得票率_公民党,得票率_国民民主党,得票率_地域政党日本新生,得票率_妙高はね馬クラブ,得票率_幸福実現党,得票率_日本共産党,得票率_次世代の党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_緑の党グリーンズジャパン,得票率_緑・にいがた,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_たちあがれ日本,一人あたり得票率_公明党,一人あたり得票率_公民党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党日本新生,一人あたり得票率_妙高はね馬クラブ,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_緑の党グリーンズジャパン,一人あたり得票率_緑・にいがた,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_たちあがれ日本,立候補者数_公明党,立候補者数_公民党,立候補者数_国民民主党,立候補者数_地域政党日本新生,立候補者数_妙高はね馬クラブ,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_次世代の党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_緑の党グリーンズジャパン,立候補者数_緑・にいがた,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_たちあがれ日本,当選者数_公明党,当選者数_公民党,当選者数_国民民主党,当選者数_地域政党日本新生,当選者数_妙高はね馬クラブ,当選者数_幸福実現党,当選者数_日本共産党,当選者数_次世代の党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_緑の党グリーンズジャパン,当選者数_緑・にいがた,当選者数_自由民主党
三条市議会議員補欠選挙（2020年11月08日投票）,三条市議会議員補欠選挙,新潟県,三条市,20201108.0,2020.0,11.0,8.0,20201101.0,無投票,4.0,4.0,1.0,,,,,その他/名古屋豊氏の辞職他,,,,,三条市議会議員補欠選挙（2020年11月08日投票）,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,49.75,13.5531361684298,37.0,40.0,45.0,54.75,72.0,49.75,13.5531361684298,37.0,40.0,45.0,54.75,72.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,
三条市議会議員選挙（2006年04月23日投票）,三条市議会議員選挙,新潟県,三条市,20060423.0,2006.0,4.0,23.0,20060416.0,71.34,30.0,34.0,1.1333333333333333,86188.0,,,,任期満了,,,,,三条市議会議員選挙（2006年04月23日投票）,1.0,34.0,30.0,1.1333333333333333,0.0,0.0,0.0,0.08823529411764706,0.06666666666666667,0.8529411764705882,0.14705882352941177,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8142715072856345,0.18572849271436556,,0.02807832783743567,0.03714569854287311,,60794.979999999996,5.0,56.3235294117647,8.202297340434548,38.0,52.0,56.0,62.75,72.0,55.43333333333333,8.065082489073225,38.0,51.25,56.0,61.75,67.0,,,4716.389999999999,,,,,,5131.68,,1805.0,45958.08,,,,,,3183.83,60794.98,,,0.07757860928649042,,,,,,0.08440960092428684,,0.029689951374274652,0.755951889448767,,,,,,0.052369948966181086,1.0,,,0.03878930464324521,,,,,,0.02110240023107171,,0.029689951374274652,0.03023807557795068,,,,,,0.026184974483090543,,,2.0,,,,,,4.0,,1.0,25.0,,,,,,2.0,,,2.0,,,,,,3.0,,1.0,22.0,,,,,,2.0
三条市議会議員選挙（2010年04月25日投票）,三条市議会議員選挙,新潟県,三条市,20100425.0,2010.0,4.0,25.0,20100418.0,67.5,26.0,29.0,1.1153846153846154,85255.0,,,-933.0,任期満了,71.34,,,,三条市議会議員選挙（2010年04月25日投票）,1.0,29.0,26.0,1.1153846153846154,0.0,0.0,0.0,0.10344827586206896,0.11538461538461539,0.7241379310344828,0.20689655172413793,0.0,0.7307692307692307,0.23076923076923078,0.0,0.7220424324874161,0.21952810161909228,,0.034382972975591244,0.03658801693651538,,56871.99,5.0,,,,,,,,,,,,,,,,,,4395.0,,,,,6171.0,,1419.0,42986.65000000001,,,,,,1900.34,56871.990000000005,,,,0.07727881510740173,,,,,0.10850684141701389,,0.02495077102102458,0.7558492326363119,,,,,,0.03341433981824796,1.0,,,,0.038639407553700864,,,,,0.027126710354253472,,0.02495077102102458,0.035992820601729134,,,,,,0.03341433981824796,,,,2.0,,,,,4.0,,1.0,21.0,,,,,,1.0,,,,2.0,,,,,2.0,,0.0,21.0,,,,,,1.0
三条市議会議員選挙（2014年04月27日投票）,三条市議会議員選挙,新潟県,三条市,20140427.0,2014.0,4.0,27.0,20140420.0,,26.0,28.0,1.0769230769230769,,,,,任期満了,67.5,,,,三条市議会議員選挙（2014年04月27日投票）,1.0,28.0,26.0,1.0769230769230769,0.0,0.0,0.0,0.07142857142857142,0.07692307692307693,0.7142857142857143,0.21428571428571427,0.03571428571428571,0.7307692307692307,0.19230769230769232,0.038461538461538464,0.759106181895786,0.16281306855393587,0.04017540477912938,0.0379553090947893,0.02713551142565598,0.04017540477912938,47644.996,4.0,60.785714285714285,11.396607085498056,29.0,56.25,63.5,65.0,83.0,59.92307692307692,11.03464152609714,29.0,54.75,63.5,65.0,83.0,,,,4401.612999999999,,,,,5474.157,,,35750.225999999995,,,,,,2019.0,47644.99599999999,,,,0.09238353173542087,,,,,0.11489468904562404,,,0.7503458705296145,,,,,,0.042375908689340644,1.0,,,,0.046191765867710434,,,,,0.03829822968187468,,,0.034106630478618845,,,,,,0.042375908689340644,,,,2.0,,,,,3.0,,,22.0,,,,,,1.0,,,,2.0,,,,,3.0,,,20.0,,,,,,1.0
三条市議会議員選挙（2018年04月22日投票）,三条市議会議員選挙,新潟県,三条市,20180422.0,2018.0,4.0,22.0,20180415.0,54.21,22.0,25.0,1.1363636363636365,,,,,任期満了,,,,,三条市議会議員選挙（2018年04月22日投票）,1.0,25.0,22.0,1.1363636363636365,0.0,0.0,0.0,0.04,0.045454545454545456,0.8,0.16,0.04,0.9090909090909091,0.045454545454545456,0.045454545454545456,0.9015382457205351,0.06671002481926853,0.03175172946019638,0.045076912286026755,0.016677506204817134,0.03175172946019638,44595.996,0.0,63.6,10.740577265678041,33.0,57.0,67.0,69.0,86.0,63.0,10.255818747511979,33.0,57.25,67.5,69.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上越市議会議員増員選挙（2005年02月13日投票）,上越市議会議員増員選挙,新潟県,上越市,20050213.0,2005.0,2.0,13.0,20050206.0,,0.0,45.0,,61682.0,,,,その他,,,,,上越市議会議員増員選挙（2005年02月13日投票）,13.0,45.0,18.0,2.5,0.022222222222222223,0.07692307692307693,0.07692307692307693,0.06666666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.022727272727272728,,44503.990000000005,2.0,58.48888888888889,5.483803312066554,48.0,55.0,58.0,63.0,69.0,59.888888888888886,5.665577237325317,49.0,56.0,60.5,64.75,69.0,,,,,,,,,2956.0,,,,,,,,,,2956.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,2.0,,,43.0,,,,,,,,,,,,,,,1.0,,,17.0,,,,,,
上越市議会議員選挙（2000年04月23日投票）,上越市議会議員選挙,新潟県,上越市,20000423.0,2000.0,4.0,23.0,20000416.0,73.1,30.0,34.0,1.1333333333333333,102967.0,,,,任期満了,,,,,上越市議会議員選挙（2000年04月23日投票）,1.0,34.0,30.0,1.1333333333333333,0.0,0.0,0.0,0.08823529411764706,0.1,0.6176470588235294,0.3235294117647059,0.058823529411764705,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.6366393221800155,0.2863920094830141,0.07696866833697029,0.030316158199048357,0.02603563722572855,0.038484334168485144,74238.0,3.0,54.38235294117647,7.463695291532492,38.0,50.0,55.0,59.0,74.0,54.1,7.8670197660867744,38.0,49.25,54.5,59.0,74.0,,,4434.0,,,,,,3838.0,,,65966.0,,,,,,,74238.0,,,0.05972682453729896,,,,,,0.05169859101807699,,,0.888574584444624,,,,,,,1.0,,,0.02986341226864948,,,,,,0.025849295509038497,,,0.0296191528148208,,,,,,,,,2.0,,,,,,2.0,,,30.0,,,,,,,,,2.0,,,,,,2.0,,,26.0,,,,,,
上越市議会議員選挙（2004年04月25日投票）,上越市議会議員選挙,新潟県,上越市,20040425.0,2004.0,4.0,25.0,20040418.0,66.28,30.0,33.0,1.1,104824.0,,,1857.0,任期満了,73.1,,,,上越市議会議員選挙（2004年04月25日投票）,1.0,33.0,30.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.06666666666666667,0.6666666666666666,0.30303030303030304,0.030303030303030304,0.6666666666666666,0.3,0.03333333333333333,0.6773666317705624,0.28620609350435194,0.03642727472508563,0.030789392353207382,0.028620609350435193,0.03642727472508563,68574.99,3.0,54.878787878787875,6.093998914767415,37.0,52.0,54.0,59.0,64.0,55.03333333333333,6.342887530314741,37.0,51.5,54.0,59.75,64.0,,,4551.0,,,,,,4059.0,,,59964.990000000005,,,,,,,68574.99,,,0.06636530315206754,,,,,,0.05919067578427645,,,0.874444021063656,,,,,,,1.0,,,0.03318265157603377,,,,,,0.029595337892138224,,,0.03015324210564331,,,,,,,,,2.0,,,,,,2.0,,,29.0,,,,,,,,,2.0,,,,,,2.0,,,26.0,,,,,,
上越市議会議員選挙（2012年04月22日投票）,上越市議会議員選挙,新潟県,上越市,20120422.0,2012.0,4.0,22.0,20120415.0,61.07,32.0,41.0,1.28125,164185.0,,,-2243.0,任期満了,,,,,上越市議会議員選挙（2012年04月22日投票）,1.0,41.0,32.0,1.28125,0.0,0.0,0.0,0.04878048780487805,0.0625,0.7317073170731707,0.21951219512195122,0.04878048780487805,0.8125,0.125,0.0625,0.7922582925942386,0.16174619207304755,0.04599551533271383,0.02640860975314129,0.017971799119227506,0.022997757666356915,99004.0,3.0,58.63414634146341,10.228501779904573,29.0,55.0,61.0,64.0,71.0,59.125,8.630433071404934,34.0,55.0,61.5,64.0,71.0,,,5575.0,,,,,,8495.0,,,84934.0,,,,,,,99004.0,,,0.05631085612702517,,,,,,0.08580461395499171,,,0.8578845299179831,,,,,,,1.0,,,0.028155428063512584,,,,,,0.028601537984997236,,,0.023830125831055086,,,,,,,,,2.0,,,,,,3.0,,,36.0,,,,,,,,,2.0,,,,,,3.0,,,27.0,,,,,,
上越市議会議員選挙（2016年04月24日投票）,上越市議会議員選挙,新潟県,上越市,20160424.0,2016.0,4.0,24.0,20160417.0,54.55,32.0,34.0,1.0625,160005.0,,,-4180.0,任期満了,61.07,,,,上越市議会議員選挙（2016年04月24日投票）,1.0,34.0,32.0,1.0625,0.0,0.0,0.0,0.029411764705882353,0.03125,0.6470588235294118,0.29411764705882354,0.058823529411764705,0.65625,0.28125,0.0625,0.65941316674449,0.2727952599472572,0.0677915733082528,0.02997332576111318,0.027279525994725717,0.0338957866541264,87355.99,0.0,60.5,9.236277579707735,38.0,58.0,62.0,66.0,75.0,60.375,9.46622284757759,38.0,57.5,62.0,66.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
