,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_政策チーム光,得票数_日本から世界平和党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_政策チーム光,得票率_日本から世界平和党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_政策チーム光,一人あたり得票率_日本から世界平和党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_政策チーム光,立候補者数_日本から世界平和党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_自由党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_政策チーム光,当選者数_日本から世界平和党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_自由党,当選者数_自由民主党
上市町議会議員選挙（2001年09月30日投票）,上市町議会議員選挙,富山県,上市町,20010930.0,2001.0,9.0,30.0,20010925.0,無投票,18.0,18.0,1.0,,,,,任期満了,,,,,上市町議会議員選挙（2001年09月30日投票）,1.0,18.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,10.0,1.0,,5.0,,,,,,,2.0,,,,10.0,1.0,,5.0
上市町議会議員選挙（2005年10月09日投票）,上市町議会議員選挙,富山県,上市町,20051009.0,2005.0,10.0,9.0,20051004.0,75.32,16.0,19.0,1.1875,19193.0,,,,任期満了,,,,,上市町議会議員選挙（2005年10月09日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.05263157894736842,,,14328.980000000001,4.0,,,,,,,,,,,,,,,,,,,,,1432.0,,,,7126.02,575.78,,5195.18,14328.980000000001,,,,,,,0.09993732980295875,,,,0.4973152310911174,0.04018290206281256,,0.3625645370431112,1.0,,,,,,,0.04996866490147937,,,,0.05525724789901305,0.04018290206281256,,0.0517949338633016,,,,,,,2.0,,,,9.0,1.0,,7.0,,,,,,,1.0,,,,8.0,0.0,,7.0
上市町議会議員選挙（2009年10月04日投票）,上市町議会議員選挙,富山県,上市町,20091004.0,2009.0,10.0,4.0,20090929.0,65.86,12.0,13.0,1.0833333333333333,18677.0,,,-516.0,任期満了,75.32,,,,上市町議会議員選挙（2009年10月04日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.15384615384615385,0.16666666666666666,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.9166666666666666,0.0,0.08333333333333333,0.8536397270410261,0.027460330510564828,0.11889994244840911,0.07760361154918419,0.027460330510564828,0.11889994244840911,12163.0,4.0,64.0,5.777942140988899,52.0,62.0,64.0,67.0,75.0,64.0,6.013872850889571,52.0,62.0,64.5,67.0,75.0,,,,,,,1233.0,,,,5581.02,1446.18,,3902.8,12163.0,,,,,,,0.10137301652552824,,,,0.4588522568445285,0.11889994244840911,,0.3208747841815342,1.0,,,,,,,0.10137301652552824,,,,0.06555032240636122,0.11889994244840911,,0.08021869604538355,,,,,,,1.0,,,,7.0,1.0,,4.0,,,,,,,1.0,,,,6.0,1.0,,4.0
上市町議会議員選挙（2013年10月06日投票）,上市町議会議員選挙,富山県,上市町,20131006.0,2013.0,10.0,6.0,20131001.0,68.87,12.0,15.0,1.25,,,,,任期満了,65.86,,,,上市町議会議員選挙（2013年10月06日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.13333333333333333,0.16666666666666666,0.6,0.3333333333333333,0.06666666666666667,0.75,0.16666666666666666,0.08333333333333333,0.6680716543730242,0.23701061846478075,0.09491772716219503,0.07423018381922492,0.04740212369295615,0.09491772716219503,12337.0,4.0,64.4,9.031795687089767,40.0,59.5,66.0,70.0,79.0,64.16666666666667,9.34374419360652,40.0,59.75,66.0,70.0,79.0,,,,,,,1028.0,,,,6344.0,1046.93,,3918.0699999999997,12337.0,,,,,,,0.08332657858474507,,,,0.5142255005268704,0.08486098727405367,,0.3175869336143308,1.0,,,,,,,0.08332657858474507,,,,0.057136166725207826,0.08486098727405367,,0.0793967334035827,,,,,,,1.0,,,,9.0,1.0,,4.0,,,,,,,1.0,,,,6.0,1.0,,4.0
上市町議会議員選挙（2017年10月01日投票）,上市町議会議員選挙,富山県,上市町,20171001.0,2017.0,10.0,1.0,20170926.0,,12.0,14.0,1.1666666666666667,18000.0,,,,任期満了,68.87,,,,上市町議会議員選挙（2017年10月01日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.6428571428571429,0.35714285714285715,0.0,0.75,0.25,0.0,0.7480710568813924,0.2519289431186076,,0.08311900632015472,0.05038578862372152,,11146.0,0.0,64.28571428571429,9.307666359578242,44.0,60.0,66.5,70.75,75.0,63.083333333333336,9.482073730056216,44.0,59.75,63.5,70.25,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入善町議会議員補欠選挙（2014年08月03日投票）,入善町議会議員補欠選挙,富山県,入善町,20140803.0,2014.0,8.0,3.0,20140729.0,77.33,2.0,3.0,1.5,,,,,その他,,,,,入善町議会議員補欠選挙（2014年08月03日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.8841726156022895,0.11582738439771047,,0.4420863078011448,0.11582738439771047,15549.0,2.0,55.666666666666664,8.576453553512405,45.0,50.5,56.0,61.0,66.0,50.5,5.5,45.0,47.75,50.5,53.25,56.0,,,,,,,5999.0,,,,9550.0,,,,15549.0,,,,,,,0.3858125924496752,,,,0.6141874075503247,,,,1.0,,,,,,,0.3858125924496752,,,,0.3070937037751624,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,1.0,,,,1.0,,,
入善町議会議員選挙（2001年10月14日投票）,入善町議会議員選挙,富山県,入善町,20011014.0,2001.0,10.0,14.0,20011009.0,87.72,18.0,19.0,1.0555555555555556,22931.0,,,,任期満了,,,,,入善町議会議員選挙（2001年10月14日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.05263157894736842,,,19658.0,4.0,,,,,,,,,,,,,,,,,,,,,2045.0,,,,9668.0,1308.0,,6637.0,19658.0,,,,,,,0.10402889408892053,,,,0.49180995014752266,0.06653779631702106,,0.33762335944653576,1.0,,,,,,,0.05201444704446027,,,,0.04918099501475227,0.06653779631702106,,0.05627055990775596,,,,,,,2.0,,,,10.0,1.0,,6.0,,,,,,,2.0,,,,9.0,1.0,,6.0
入善町議会議員選挙（2005年10月16日投票）,入善町議会議員選挙,富山県,入善町,20051016.0,2005.0,10.0,16.0,20051011.0,82.17,14.0,20.0,1.4285714285714286,22732.0,,,-199.0,任期満了,87.72,,,,入善町議会議員選挙（2005年10月16日投票）,1.0,20.0,14.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.05,,,18452.0,3.0,,,,,,,,,,,,,,,,,,,,,1929.0,,,,9203.0,,,7320.0,18452.0,,,,,,,0.10454151311510948,,,,0.4987535226533709,,,0.39670496423151963,1.0,,,,,,,0.05227075655755474,,,,0.04987535226533709,,,0.049588120528939954,,,,,,,2.0,,,,10.0,,,8.0,,,,,,,2.0,,,,6.0,,,6.0
入善町議会議員選挙（2009年10月18日投票）,入善町議会議員選挙,富山県,入善町,20091018.0,2009.0,10.0,18.0,20091013.0,79.93,14.0,17.0,1.2142857142857142,22308.0,,,-424.0,任期満了,82.17,,,,入善町議会議員選挙（2009年10月18日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.11764705882352941,0.14285714285714285,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.6852175388967469,0.23845997171145686,0.07632248939179632,0.0571014615747289,0.059614992927864215,0.07632248939179632,17675.0,3.0,60.1764705882353,6.382285171773574,47.0,54.0,61.0,66.0,69.0,60.642857142857146,6.661264818305293,47.0,54.5,62.0,66.75,69.0,,,,,,,1630.0,,,,12013.78,,,4031.2200000000003,17675.0,,,,,,,0.09222065063649222,,,,0.6797046676096181,,,0.2280746817538897,1.0,,,,,,,0.04611032531824611,,,,0.06179133341905619,,,0.057018670438472425,,,,,,,2.0,,,,11.0,,,4.0,,,,,,,2.0,,,,8.0,,,4.0
入善町議会議員選挙（2013年10月20日投票）,入善町議会議員選挙,富山県,入善町,20131020.0,2013.0,10.0,20.0,20131015.0,,14.0,16.0,1.1428571428571428,,,,,任期満了,79.93,,,,入善町議会議員選挙（2013年10月20日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.0625,0.07142857142857142,0.625,0.3125,0.0625,0.7142857142857143,0.2857142857142857,0.0,0.6953180302641703,0.2934611438830469,0.011220825852782765,0.06953180302641702,0.05869222877660938,0.011220825852782765,15596.0,3.0,60.5,9.81707695803593,35.0,57.75,63.5,68.25,72.0,61.357142857142854,9.408257337171904,35.0,58.0,63.5,68.75,72.0,,,,,,,1368.0,,,,9336.82,,,4891.18,15596.0,,,,,,,0.0877147986663247,,,,0.5986676070787381,,,0.3136175942549372,1.0,,,,,,,0.04385739933316235,,,,0.06651862300874868,,,0.06272351885098744,,,,,,,2.0,,,,9.0,,,5.0,,,,,,,1.0,,,,8.0,,,5.0
