,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_みんなの党,得票数_みんなの市政をつくる会,得票数_公明党,得票数_国民の党・民主国民連合,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_みんなの党,得票率_みんなの市政をつくる会,得票率_公明党,得票率_国民の党・民主国民連合,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_みんなの党,一人あたり得票率_みんなの市政をつくる会,一人あたり得票率_公明党,一人あたり得票率_国民の党・民主国民連合,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_みんなの党,立候補者数_みんなの市政をつくる会,立候補者数_公明党,立候補者数_国民の党・民主国民連合,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_みんなの党,当選者数_みんなの市政をつくる会,当選者数_公明党,当選者数_国民の党・民主国民連合,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
かほく市議会議員補欠選挙（2016年03月20日投票）,かほく市議会議員補欠選挙,石川県,かほく市,20160320.0,2016.0,3.0,20.0,20160313.0,無投票,1.0,1.0,1.0,,,,,任期満了/欠員,,,,,かほく市議会議員補欠選挙（2016年03月20日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
かほく市議会議員補欠選挙（2020年03月22日投票）,かほく市議会議員補欠選挙,石川県,かほく市,20200322.0,2020.0,3.0,22.0,20200315.0,無投票,1.0,1.0,1.0,,,,,死亡/別宗明敏市議の死去に伴う,,,,,かほく市議会議員補欠選挙（2020年03月22日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,
かほく市議会議員選挙（2009年04月19日投票）,かほく市議会議員選挙,石川県,かほく市,20090419.0,2009.0,4.0,19.0,20090412.0,77.76,18.0,20.0,1.1111111111111112,28005.0,,,,任期満了,,,,,かほく市議会議員選挙（2009年04月19日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.7,0.15,0.15,0.7777777777777778,0.05555555555555555,0.16666666666666666,0.7525855107439551,0.081871258179793,0.1655432310762519,0.053756107910282507,0.027290419393264334,0.0551810770254173,21547.0,4.0,56.65,8.014206136605171,36.0,54.75,58.0,62.25,67.0,57.22222222222222,6.4338994185793,42.0,56.0,58.0,61.75,66.0,,,,,,,1470.0,809.96,,18396.58,,,870.46,21547.0,,,,,,,0.06822295447162018,0.037590383812131624,,0.853788462430965,,,0.040398199285283334,1.0,,,,,,,0.06822295447162018,0.037590383812131624,,0.05022285073123323,,,0.040398199285283334,,,,,,,1.0,1.0,,17.0,,,1.0,,,,,,,1.0,1.0,,15.0,,,1.0
かほく市議会議員選挙（2013年04月21日投票）,かほく市議会議員選挙,石川県,かほく市,20130421.0,2013.0,4.0,21.0,20130414.0,無投票,15.0,15.0,1.0,,,,,任期満了,77.76,,,,かほく市議会議員選挙（2013年04月21日投票）,1.0,15.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0,0.9333333333333333,0.06666666666666667,0.0,,,,,,,0.0,3.0,61.0,5.876506898943736,46.0,60.0,62.0,64.5,70.0,61.0,5.876506898943736,46.0,60.0,62.0,64.5,70.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,13.0,,,,,,,,,,1.0,1.0,,13.0,,,
かほく市議会議員選挙（2017年04月16日投票）,かほく市議会議員選挙,石川県,かほく市,20170416.0,2017.0,4.0,16.0,20170409.0,67.13,15.0,16.0,1.0666666666666669,28682.0,,,,任期満了,,,,,かほく市議会議員選挙（2017年04月16日投票）,1.0,16.0,15.0,1.0666666666666667,0.0,0.0,0.0,0.0625,0.06666666666666667,0.8125,0.1875,0.0,0.8,0.2,0.0,0.7651932253159246,0.2348067746840753,,0.0588610173319942,0.07826892489469177,,19071.0,0.0,62.0625,8.196559872897897,42.0,62.0,64.5,66.5,71.0,61.46666666666667,8.122944184359648,42.0,61.0,64.0,66.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
かほく市議会議員選挙（2021年04月18日投票）,かほく市議会議員選挙,石川県,かほく市,20210418.0,2021.0,4.0,18.0,20210411.0,無投票,15.0,15.0,1.0,29613.0,14189.0,15424.0,931.0,任期満了,67.13,,,,かほく市議会議員選挙（2021年04月18日投票）,1.0,15.0,15.0,1.0,1.0,1.0,0.0,0.06666666666666667,0.06666666666666667,0.8666666666666667,0.13333333333333333,0.0,0.8666666666666667,0.13333333333333333,0.0,,,,,,,0.0,4.0,62.53333333333333,8.585776351359005,46.0,55.5,66.0,69.5,74.0,62.53333333333333,8.585776351359005,46.0,55.5,66.0,69.5,74.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,10.0,,,3.0,,,1.0,,,,1.0,,,10.0,,,3.0
七尾市議会議員補欠選挙（2007年04月22日投票）,七尾市議会議員補欠選挙,石川県,七尾市,20070422.0,2007.0,4.0,22.0,20070415.0,77.51,1.0,2.0,2.0,6057.0,,,,その他,,,,,七尾市議会議員補欠選挙（2007年04月22日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,1.0,,,0.5,4617.0,1.0,64.0,7.0,57.0,60.5,64.0,67.5,71.0,71.0,0.0,71.0,71.0,71.0,71.0,71.0,,,,,,,,,,4617.0,,,,4617.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,
七尾市議会議員補欠選挙（2008年10月26日投票）,七尾市議会議員補欠選挙,石川県,七尾市,20081026.0,2008.0,10.0,26.0,20081019.0,69.44,2.0,5.0,2.5,36461.0,,,30404.0,その他,77.51,,,,七尾市議会議員補欠選挙（2008年10月26日投票）,1.0,5.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.5,0.5,,0.5632313916561534,0.4367686083438465,,0.1877437972187178,0.21838430417192325,22987.0,1.0,59.0,5.0990195135927845,52.0,57.0,57.0,62.0,67.0,54.5,2.5,52.0,53.25,54.5,55.75,57.0,,,,,,,,,,22987.0,,,,22987.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,0.2,,,,,,,,,,,,,5.0,,,,,,,,,,,,,2.0,,,
七尾市議会議員補欠選挙（2012年10月28日投票）,七尾市議会議員補欠選挙,石川県,七尾市,20121028.0,2012.0,10.0,28.0,20121021.0,61.58,1.0,2.0,2.0,48016.0,,,11555.0,その他,69.44,,,,七尾市議会議員補欠選挙（2012年10月28日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,25741.0,1.0,54.5,16.5,38.0,46.25,54.5,62.75,71.0,38.0,0.0,38.0,38.0,38.0,38.0,38.0,,,,,,,,,,25741.0,,,,25741.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,
七尾市議会議員選挙（2005年10月23日投票）,七尾市議会議員選挙,石川県,七尾市,20051023.0,2005.0,10.0,23.0,20051016.0,77.84,0.0,39.0,,51376.0,,,,その他,,,,,七尾市議会議員選挙（2005年10月23日投票）,4.0,39.0,30.0,1.3,0.0,0.0,0.0,0.02564102564102564,0.03333333333333333,0.8717948717948718,0.1282051282051282,0.0,0.8666666666666667,0.13333333333333333,0.0,0.8697060721639193,0.13029392783608068,,0.025579590357762333,0.026058785567216136,,41170.99,4.0,57.205128205128204,9.293448166838683,36.0,51.0,55.0,65.0,72.0,57.96666666666667,10.222469803765081,36.0,51.0,60.5,66.75,72.0,,,1701.96,,,,1209.0,,,29989.079999999998,,,8270.95,41170.990000000005,,,0.04133881648218806,,,,0.029365337097796283,,,0.728403179034558,,,0.20089266738545758,1.0,,,0.04133881648218806,,,,0.029365337097796283,,,0.0242801059678186,,,0.028698952483636797,,,1.0,,,,1.0,,,30.0,,,7.0,,,1.0,,,,1.0,,,21.0,,,7.0
