,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公共,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_無所属,得票数_福井県をよくする会,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_公共,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_無所属,得票率_福井県をよくする会,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公共,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_福井県をよくする会,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_公共,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_無所属,立候補者数_福井県をよくする会,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_公共,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_無所属,当選者数_福井県をよくする会,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
あわら市議会議員補欠選挙（2015年04月26日投票）,あわら市議会議員補欠選挙,福井県,あわら市,20150426.0,2015.0,4.0,26.0,20150419.0,62.08,1.0,2.0,2.0,,,,,その他,,,,,あわら市議会議員補欠選挙（2015年04月26日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,13093.0,1.0,51.0,18.0,33.0,42.0,51.0,60.0,69.0,69.0,0.0,69.0,69.0,69.0,69.0,69.0,,,,,,,,,13093.0,,,,,13093.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,
あわら市議会議員選挙（2009年06月21日投票）,あわら市議会議員選挙,福井県,あわら市,20090621.0,2009.0,6.0,21.0,20090614.0,78.47,18.0,21.0,1.1666666666666667,24970.0,,,,任期満了,,,,,あわら市議会議員選挙（2009年06月21日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.047619047619047616,0.05555555555555555,0.7619047619047619,0.23809523809523808,0.0,0.7222222222222222,0.2777777777777778,0.0,0.730901834287248,0.26909816571275214,,0.045681364642953,0.05381963314255043,,19412.989999999998,4.0,60.904761904761905,7.1307834466037665,39.0,60.0,61.0,65.0,74.0,60.111111111111114,7.286889969808708,39.0,57.0,61.0,63.75,74.0,,1005.0,,,936.29,707.0,,,16764.7,,,,,19412.99,,0.0517694595216914,,,0.048230076871208394,0.036418913315259524,,,0.8635815502918406,,,,,1.0,,0.0517694595216914,,,0.048230076871208394,0.036418913315259524,,,0.04797675279399114,,,,,,1.0,,,1.0,1.0,,,18.0,,,,,,1.0,,,1.0,1.0,,,15.0,,,,
あわら市議会議員選挙（2013年06月16日投票）,あわら市議会議員選挙,福井県,あわら市,20130616.0,2013.0,6.0,16.0,20130609.0,70.61,18.0,20.0,1.1111111111111112,,,,,任期満了,78.47,,,,あわら市議会議員選挙（2013年06月16日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.05,0.05555555555555555,0.8,0.2,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8386214470991448,0.16137855290085515,,0.05241384044369655,0.04034463822521379,,16989.99,3.0,61.1,10.568348972285122,31.0,56.75,64.0,66.25,78.0,63.611111111111114,7.402243570468565,43.0,60.75,64.5,66.75,78.0,,1058.0,,,614.8,,,,15317.189999999999,,,,,16989.989999999998,,0.062271961313691185,,,0.03618601305827726,,,,0.9015420256280315,,,,,1.0,,0.062271961313691185,,,0.03618601305827726,,,,0.0500856680904462,,,,,,1.0,,,1.0,,,,18.0,,,,,,1.0,,,1.0,,,,16.0,,,,
あわら市議会議員選挙（2017年06月18日投票）,あわら市議会議員選挙,福井県,あわら市,20170618.0,2017.0,6.0,18.0,20170611.0,69.06,18.0,22.0,1.2222222222222223,24159.0,,,,任期満了,70.61,,,,あわら市議会議員選挙（2017年06月18日投票）,1.0,22.0,18.0,1.2222222222222223,0.0,0.0,0.0,0.09090909090909091,0.1111111111111111,0.7727272727272727,0.22727272727272727,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8119051948839183,0.1880948051160817,,0.04775912911081873,0.03761896102321634,,16497.0,0.0,65.22727272727273,9.539067126972771,35.0,64.0,68.0,69.75,82.0,66.88888888888889,5.791650013298733,47.0,64.75,68.0,69.75,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あわら市議会議員選挙（2021年06月20日投票）,あわら市議会議員選挙,福井県,あわら市,20210620.0,2021.0,6.0,20.0,20210613.0,63.98,16.0,19.0,1.1875,23185.0,10952.0,12233.0,-974.0,任期満了,69.06,,,,あわら市議会議員選挙（2021年06月20日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.10526315789473684,0.125,0.631578947368421,0.3684210526315789,0.0,0.6875,0.3125,0.0,0.6478210461706335,0.3521789538293664,,0.05398508718088613,0.05031127911848092,,14663.0,3.0,64.3157894736842,11.374267502517979,39.0,63.0,69.0,72.0,77.0,65.375,10.427577618987067,40.0,64.0,69.0,72.0,77.0,,850.0,,,614.0,,,,13199.0,,,,,14663.0,,0.05796903771397395,,,0.04187410488985883,,,,0.9001568573961672,,,,,1.0,,0.05796903771397395,,,0.04187410488985883,,,,0.05295040337624513,,,,,,1.0,,,1.0,,,,17.0,,,,,,1.0,,,1.0,,,,14.0,,,,
おおい町議会議員補欠選挙（2014年03月23日投票）,おおい町議会議員補欠選挙,福井県,おおい町,20140323.0,2014.0,3.0,23.0,20140318.0,81.09,2.0,3.0,1.5,,,,,その他,,,,,おおい町議会議員補欠選挙（2014年03月23日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.7400823353293413,0.2599176646706587,,0.37004116766467066,0.2599176646706587,5344.0,1.0,53.333333333333336,9.533566430716727,43.0,47.0,51.0,58.5,66.0,47.0,4.0,43.0,45.0,47.0,49.0,51.0,,,,,,,,,5344.0,,,,,5344.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,
おおい町議会議員補欠選挙（2018年03月25日投票）,おおい町議会議員補欠選挙,福井県,おおい町,20180325.0,2018.0,3.0,25.0,20180320.0,無投票,14.0,1.0,0.07142857142857142,,,,,その他,81.09,,,,おおい町議会議員補欠選挙（2018年03月25日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,0.0,0.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
おおい町議会議員選挙（2007年04月22日投票）,おおい町議会議員選挙,福井県,おおい町,20070422.0,2007.0,4.0,22.0,20070417.0,89.44,14.0,18.0,1.2857142857142858,7160.0,,,,任期満了,,,,,おおい町議会議員選挙（2007年04月22日投票）,1.0,18.0,14.0,1.2857142857142858,0.0,0.0,0.0,0.05555555555555555,0.07142857142857142,0.7777777777777778,0.2222222222222222,0.0,0.7142857142857143,0.2857142857142857,0.0,0.768503937007874,0.231496062992126,,0.05489313835770528,0.0578740157480315,,6350.0,2.0,62.333333333333336,6.641619615057091,46.0,59.75,64.0,66.5,71.0,61.92857142857143,7.459072000057434,46.0,58.25,64.0,67.75,71.0,,,,,318.0,,,,6032.0,,,,,6350.0,,,,,0.05007874015748032,,,,0.9499212598425197,,,,,1.0,,,,,0.05007874015748032,,,,0.055877721167207045,,,,,,,,,1.0,,,,17.0,,,,,,,,,1.0,,,,13.0,,,,
おおい町議会議員選挙（2011年04月24日投票）,おおい町議会議員選挙,福井県,おおい町,20110424.0,2011.0,4.0,24.0,20110419.0,83.56,14.0,15.0,1.0714285714285714,6978.0,,,-182.0,任期満了,89.44,,,,おおい町議会議員選挙（2011年04月24日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.5333333333333333,0.4,0.06666666666666667,0.5,0.42857142857142855,0.07142857142857142,0.4667040358744394,0.44360986547085207,0.08968609865470852,0.05833800448430493,0.07393497757847535,0.08968609865470852,5798.0,2.0,,,,,,,,,,,,,,,,,,,266.95,,,,5531.05,,,,,5798.0,,,,,0.046041738530527766,,,,0.9539582614694723,,,,,1.0,,,,,0.046041738530527766,,,,0.06813987581924802,,,,,,,,,1.0,,,,14.0,,,,,,,,,1.0,,,,13.0,,,,
おおい町議会議員選挙（2015年04月26日投票）,おおい町議会議員選挙,福井県,おおい町,20150426.0,2015.0,4.0,26.0,20150421.0,,14.0,16.0,1.1428571428571428,,,,,任期満了,83.56,,,,おおい町議会議員選挙（2015年04月26日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.125,0.14285714285714285,0.75,0.25,0.0,0.7142857142857143,0.2857142857142857,0.0,0.6840228245363766,0.3159771754636234,,0.05700190204469805,0.07899429386590585,,5608.0,2.0,60.875,10.129628571670336,36.0,55.0,65.5,67.0,72.0,61.5,10.547511554864494,36.0,57.75,66.0,67.0,72.0,,,,,214.0,,,,5394.0,,,,,5608.0,,,,,0.03815977175463623,,,,0.9618402282453637,,,,,1.0,,,,,0.03815977175463623,,,,0.06412268188302425,,,,,,,,,1.0,,,,15.0,,,,,,,,,0.0,,,,14.0,,,,
