,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_みんなの党,得票数_上野原市民オンブズマン,得票数_全国市民連合会,得票数_公明党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_甲斐市の明日を考える会,得票数_社会民主党,得票数_自由民主党,得票数_通信・放送と医療を考える市民の会,得票数_sum_v,得票率_みんなの党,得票率_上野原市民オンブズマン,得票率_全国市民連合会,得票率_公明党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_甲斐市の明日を考える会,得票率_社会民主党,得票率_自由民主党,得票率_通信・放送と医療を考える市民の会,得票率_sum_v,一人あたり得票率_みんなの党,一人あたり得票率_上野原市民オンブズマン,一人あたり得票率_全国市民連合会,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_甲斐市の明日を考える会,一人あたり得票率_社会民主党,一人あたり得票率_自由民主党,一人あたり得票率_通信・放送と医療を考える市民の会,立候補者数_みんなの党,立候補者数_上野原市民オンブズマン,立候補者数_全国市民連合会,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_甲斐市の明日を考える会,立候補者数_社会民主党,立候補者数_自由民主党,立候補者数_通信・放送と医療を考える市民の会,当選者数_みんなの党,当選者数_上野原市民オンブズマン,当選者数_全国市民連合会,当選者数_公明党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_甲斐市の明日を考える会,当選者数_社会民主党,当選者数_自由民主党,当選者数_通信・放送と医療を考える市民の会
上野原市議会議員補欠選挙（2017年02月19日投票）,上野原市議会議員補欠選挙,山梨県,上野原市,20170219.0,2017.0,2.0,19.0,20170212.0,68.59,1.0,2.0,2.0,20970.0,,,,その他,,,,,上野原市議会議員補欠選挙（2017年02月19日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,13508.0,0.0,56.0,3.0,53.0,54.5,56.0,57.5,59.0,53.0,0.0,53.0,53.0,53.0,53.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上野原市議会議員選挙（2007年01月21日投票）,上野原市議会議員選挙,山梨県,上野原市,20070121.0,2007.0,1.0,21.0,20070114.0,80.98,20.0,21.0,1.05,22774.0,,,,任期満了,,,,,上野原市議会議員選挙（2007年01月21日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.047619047619047616,,18216.0,4.0,62.23809523809524,5.639189083080937,53.0,58.0,64.0,66.0,73.0,62.05,5.713799086422273,53.0,57.5,62.5,66.25,73.0,,,,970.0,,777.0,,14168.380000000001,,,,2300.62,18216.0,,,,0.053249890206411944,,0.042654808959156784,,0.7777986385595081,,,,0.12629666227492314,1.0,,,,0.053249890206411944,,0.042654808959156784,,0.04321103547552823,,,,0.12629666227492314,,,,1.0,,1.0,,18.0,,,,1.0,,,,1.0,,1.0,,17.0,,,,1.0
上野原市議会議員選挙（2011年01月30日投票）,上野原市議会議員選挙,山梨県,上野原市,20110130.0,2011.0,1.0,30.0,20110123.0,79.4,18.0,23.0,1.2777777777777777,22114.0,,,-660.0,任期満了,80.98,,,,上野原市議会議員選挙（2011年01月30日投票）,1.0,23.0,18.0,1.2777777777777777,0.0,0.0,0.0,0.043478260869565216,0.05555555555555555,0.5217391304347826,0.4782608695652174,0.0,0.6111111111111112,0.3888888888888889,0.0,0.5607127604316963,0.43928723956830384,,0.04672606336930802,0.03993520359711853,,17327.0,4.0,,,,,,,,,,,,,,,,749.89,,916.47,,446.0,,15214.64,,,,,17327.0,,0.04327869798580251,,0.0528925953713857,,0.025740174294453744,,0.878088532348358,,,,,1.0,,0.04327869798580251,,0.0528925953713857,,0.025740174294453744,,0.043904426617417905,,,,,,1.0,,1.0,,1.0,,20.0,,,,,,1.0,,1.0,,0.0,,16.0,,,,
上野原市議会議員選挙（2015年01月25日投票）,上野原市議会議員選挙,山梨県,上野原市,20150125.0,2015.0,1.0,25.0,20150118.0,72.6,16.0,17.0,1.0625,,,,,任期満了,79.4,,,,上野原市議会議員選挙（2015年01月25日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.11764705882352941,0.125,0.8823529411764706,0.11764705882352941,0.0,0.875,0.125,0.0,0.8729605263157895,0.12703947368421054,,0.05819736842105263,0.06351973684210527,,15200.0,4.0,67.05882352941177,6.235294117647058,55.0,63.0,66.0,72.0,78.0,66.75,6.299801584177076,55.0,62.5,66.0,72.25,78.0,,663.05,,776.0,,1155.0,,12605.949999999999,,,,,15199.999999999998,,0.04362171052631579,,0.05105263157894738,,0.07598684210526317,,0.8293388157894737,,,,,1.0,,0.04362171052631579,,0.05105263157894738,,0.07598684210526317,,0.05923848684210526,,,,,,1.0,,1.0,,1.0,,14.0,,,,,,1.0,,1.0,,1.0,,13.0,,,,
上野原市議会議員選挙（2019年01月27日投票）,上野原市議会議員選挙,山梨県,上野原市,20190127.0,2019.0,1.0,27.0,20190120.0,無投票,16.0,16.0,1.0,,,,,任期満了,72.6,,,,上野原市議会議員選挙（2019年01月27日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0625,0.0625,0.8125,0.1875,0.0,0.8125,0.1875,0.0,,,,,,,0.0,4.0,68.1875,9.850245872565822,41.0,64.0,68.5,76.25,82.0,68.1875,9.850245872565822,41.0,64.0,68.5,76.25,82.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,13.0,,,,,,1.0,,1.0,,1.0,,13.0,,,,
中央市議会議員補欠選挙（2010年03月21日投票）,中央市議会議員補欠選挙,山梨県,中央市,20100321.0,2010.0,3.0,21.0,20100314.0,26.58,1.0,2.0,2.0,23549.0,,,,その他,,,,,中央市議会議員補欠選挙（2010年03月21日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,6130.0,2.0,46.5,20.5,26.0,36.25,46.5,56.75,67.0,67.0,0.0,67.0,67.0,67.0,67.0,67.0,,,,,,1885.0,,4245.0,,,,,6130.0,,,,,,0.3075040783034258,,0.6924959216965743,,,,,1.0,,,,,,0.3075040783034258,,0.6924959216965743,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.0,,1.0,,,,
中央市議会議員補欠選挙（2014年03月23日投票）,中央市議会議員補欠選挙,山梨県,中央市,20140323.0,2014.0,3.0,23.0,20140316.0,,3.0,4.0,1.3333333333333333,,,,,その他,26.58,,,,中央市議会議員補欠選挙（2014年03月23日投票）,1.0,4.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,,0.5594490274729433,0.44055097252705666,,0.27972451373647167,0.22027548626352833,13213.0,1.0,,,,,,,,,,,,,,,,,,,,,,13213.0,,,,,13213.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.25,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,
中央市議会議員選挙（2007年01月21日投票）,中央市議会議員選挙,山梨県,中央市,20070121.0,2007.0,1.0,21.0,20070114.0,76.58,22.0,28.0,1.2727272727272727,23404.0,,,,任期満了,,,,,中央市議会議員選挙（2007年01月21日投票）,1.0,28.0,22.0,1.2727272727272727,0.0,0.0,0.0,0.14285714285714285,0.13636363636363635,0.9285714285714286,0.07142857142857142,0.0,0.9545454545454546,0.045454545454545456,0.0,0.9369589259213279,0.06304107407867207,,0.03603688176620492,0.031520537039336036,,17559.98,2.0,60.285714285714285,7.8004447806205395,42.0,54.75,58.5,66.5,74.0,60.77272727272727,7.147356906143813,50.0,54.25,59.0,65.75,74.0,,,,2000.0,,,,15559.98,,,,,17559.98,,,,0.1138953461222621,,,,0.8861046538777378,,,,,1.0,,,,0.05694767306113105,,,,0.03408094822606684,,,,,,,,2.0,,,,26.0,,,,,,,,2.0,,,,20.0,,,,
中央市議会議員選挙（2011年01月30日投票）,中央市議会議員選挙,山梨県,中央市,20110130.0,2011.0,1.0,30.0,20110123.0,64.91,18.0,19.0,1.0555555555555556,23673.0,,,269.0,任期満了,76.58,,,,中央市議会議員選挙（2011年01月30日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.15789473684210525,0.16666666666666666,0.8421052631578947,0.15789473684210525,0.0,0.8333333333333334,0.16666666666666666,0.0,0.785841878928217,0.214158121071783,,0.04911511743301356,0.071386040357261,,15115.0,3.0,61.8421052631579,10.403760240740576,27.0,58.0,62.0,68.0,78.0,60.94444444444444,9.94692706440996,27.0,58.0,61.5,67.75,73.0,,,,2183.0,,961.0,,11971.0,,,,,15115.0,,,,0.1444260668210387,,0.06357922593450215,,0.7919947072444592,,,,,1.0,,,,0.07221303341051935,,0.06357922593450215,,0.0494996692027787,,,,,,,,2.0,,1.0,,16.0,,,,,,,,2.0,,1.0,,15.0,,,,
中央市議会議員選挙（2015年01月25日投票）,中央市議会議員選挙,山梨県,中央市,20150125.0,2015.0,1.0,25.0,20150118.0,61.06,18.0,19.0,1.0555555555555556,23886.0,,,213.0,任期満了,64.91,,,,中央市議会議員選挙（2015年01月25日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.10526315789473684,0.1111111111111111,0.7368421052631579,0.10526315789473684,0.15789473684210525,0.7222222222222222,0.1111111111111111,0.16666666666666666,0.7280933417173199,0.1224620973939775,0.1494445608887026,0.052006667265522846,0.06123104869698875,0.04981485362956753,14313.0,3.0,61.94736842105263,10.070664454169668,31.0,58.0,63.0,71.0,73.0,61.388888888888886,10.056169410360814,31.0,58.0,62.5,70.0,73.0,,,,1761.29,,681.0,,11870.71,,,,,14313.0,,,,0.12305526444491022,,0.0475791238734018,,0.8293656116816879,,,,,1.0,,,,0.06152763222245511,,0.0475791238734018,,0.05183535073010549,,,,,,,,2.0,,1.0,,16.0,,,,,,,,2.0,,1.0,,15.0,,,,
