,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_公共,得票数_公明党,得票数_幸福実現党,得票数_日本共産党,得票数_日本社会党,得票数_日本維新の会,得票数_松本市行革110番,得票数_民主党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_公共,得票率_公明党,得票率_幸福実現党,得票率_日本共産党,得票率_日本社会党,得票率_日本維新の会,得票率_松本市行革110番,得票率_民主党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_公共,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本社会党,一人あたり得票率_日本維新の会,一人あたり得票率_松本市行革110番,一人あたり得票率_民主党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_公共,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本社会党,立候補者数_日本維新の会,立候補者数_松本市行革110番,立候補者数_民主党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_公共,当選者数_公明党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本社会党,当選者数_日本維新の会,当選者数_松本市行革110番,当選者数_民主党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
上松町議会議員補欠選挙（2017年03月26日投票）,上松町議会議員補欠選挙,長野県,上松町,20170326.0,2017.0,3.0,26.0,20170321.0,無投票,2.0,2.0,1.0,,,,,退職,,,,,上松町議会議員補欠選挙（2017年03月26日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,60.5,2.5,58.0,59.25,60.5,61.75,63.0,60.5,2.5,58.0,59.25,60.5,61.75,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上松町議会議員選挙（2007年04月22日投票）,上松町議会議員選挙,長野県,上松町,20070422.0,2007.0,4.0,22.0,20070417.0,79.86,10.0,13.0,1.3,4658.0,,,,任期満了,,,,,上松町議会議員選挙（2007年04月22日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.07692307692307693,0.0,0.9230769230769231,0.07692307692307693,0.0,0.9,0.1,0.0,0.8804672643303451,0.11953273566965499,,0.07337227202752876,0.11953273566965499,,3681.0,2.0,59.61538461538461,10.506689894746998,31.0,57.0,62.0,65.0,76.0,60.4,5.678027826631356,50.0,57.75,61.0,64.75,69.0,,,,,277.0,,,,,,3404.0,,,,3681.0,,,,,0.07525129041021461,,,,,,0.9247487095897854,,,,1.0,,,,,0.07525129041021461,,,,,,0.07706239246581545,,,,,,,,1.0,,,,,,12.0,,,,,,,,1.0,,,,,,9.0,,,
上松町議会議員選挙（2011年04月24日投票）,上松町議会議員選挙,長野県,上松町,20110424.0,2011.0,4.0,24.0,20110419.0,無投票,10.0,10.0,1.0,4468.0,,,-190.0,任期満了,79.86,,,,上松町議会議員選挙（2011年04月24日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7,0.2,0.1,0.7,0.2,0.1,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,9.0,,,,,,,,1.0,,,,,,9.0,,,
上松町議会議員選挙（2015年04月26日投票）,上松町議会議員選挙,長野県,上松町,20150426.0,2015.0,4.0,26.0,20150421.0,無投票,10.0,10.0,1.0,,,,,任期満了,,,,,上松町議会議員選挙（2015年04月26日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.1,0.1,0.6,0.4,0.0,0.6,0.4,0.0,,,,,,,0.0,1.0,62.8,5.095095681142799,55.0,58.5,63.0,65.75,73.0,62.8,5.095095681142799,55.0,58.5,63.0,65.75,73.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,10.0,,,
上松町議会議員選挙（2019年04月21日投票）,上松町議会議員選挙,長野県,上松町,20190421.0,2019.0,4.0,21.0,20190416.0,無投票,10.0,10.0,1.0,,,,,任期満了,,,,,上松町議会議員選挙（2019年04月21日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.2,0.2,0.7,0.2,0.1,0.7,0.2,0.1,,,,,,,0.0,1.0,63.0,5.403702434442518,49.0,62.0,64.5,65.0,69.0,63.0,5.403702434442518,49.0,62.0,64.5,65.0,69.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,10.0,,,
上田市議会議員選挙（2006年04月09日投票）,上田市議会議員選挙,長野県,上田市,20060409.0,2006.0,4.0,9.0,20060402.0,,0.0,46.0,,128556.0,,,,その他,,,,,上田市議会議員選挙（2006年04月09日投票）,2.0,46.0,34.0,1.3529411764705883,0.0,0.0,0.0,0.13043478260869565,0.08823529411764706,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.021739130434782608,,81403.98999999999,3.0,58.23913043478261,7.904827316015843,36.0,52.25,58.0,65.0,74.0,58.44117647058823,8.544661823310534,36.0,52.25,58.5,65.75,74.0,,,4942.0,,9401.0,,,,,,67060.99,,,,81403.99,,,0.06070955490019592,,0.11548573970391376,,,,,,0.8238047053958903,,,,1.0,,,0.03035477745009796,,0.023097147940782752,,,,,,0.0211231975742536,,,,,,2.0,,5.0,,,,,,39.0,,,,,,2.0,,4.0,,,,,,28.0,,,
上田市議会議員選挙（2010年03月28日投票）,上田市議会議員選挙,長野県,上田市,20100328.0,2010.0,3.0,28.0,20100321.0,102.34,31.0,36.0,1.1612903225806452,77883.0,,,-50673.0,任期満了,,,,,上田市議会議員選挙（2010年03月28日投票）,1.0,36.0,31.0,1.1612903225806452,0.0,0.0,0.0,0.08333333333333333,0.06451612903225806,0.6388888888888888,0.3611111111111111,0.0,0.7419354838709677,0.25806451612903225,0.0,0.7293326822711865,0.2706673177288134,,0.031710116620486374,0.020820562902216417,,77882.99,4.0,57.55555555555556,9.432345191015283,31.0,52.0,59.0,66.0,72.0,58.03225806451613,8.767549666766033,40.0,52.0,59.0,67.0,72.0,,,11225.0,,9889.0,,,,4615.75,,52153.24,,,,77882.98999999999,,,0.14412646458488562,,0.12697252635010547,,,,0.059265187430528804,,0.6696358216344802,,,,1.0,,,0.036031616146221405,,0.03174313158752637,,,,0.029632593715264402,,0.02575522390901847,,,,,,4.0,,4.0,,,,2.0,,26.0,,,,,,4.0,,4.0,,,,2.0,,21.0,,,
上田市議会議員選挙（2014年03月30日投票）,上田市議会議員選挙,長野県,上田市,20140330.0,2014.0,3.0,30.0,20140323.0,56.87,30.0,37.0,1.2333333333333334,,,,,任期満了,102.34,,,,上田市議会議員選挙（2014年03月30日投票）,1.0,37.0,30.0,1.2333333333333334,0.0,0.0,0.0,0.05405405405405406,0.06666666666666667,0.5945945945945946,0.40540540540540543,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6379113251646717,0.36208867483532825,,0.028995969325666896,0.024139244989021882,,70595.0,5.0,53.567567567567565,13.377149820739682,25.0,48.0,57.0,63.0,74.0,55.666666666666664,11.010096376609162,27.0,50.0,57.5,63.0,74.0,,,10538.0,,8302.0,,,,2094.0,,48588.0,1073.0,,,70595.0,,,0.14927402790565905,,0.11760039662865641,,,,0.029662157376584744,,0.6882640413627027,0.015199376726397054,,,1.0,,,0.03731850697641476,,0.029400099157164104,,,,0.029662157376584744,,0.02549126079121121,0.015199376726397054,,,,,4.0,,4.0,,,,1.0,,27.0,1.0,,,,,4.0,,4.0,,,,1.0,,21.0,0.0,,
上田市議会議員選挙（2018年03月25日投票）,上田市議会議員選挙,長野県,上田市,20180325.0,2018.0,3.0,25.0,20180318.0,58.13,30.0,33.0,1.1,129529.0,,,,任期満了,56.87,,,,上田市議会議員選挙（2018年03月25日投票）,1.0,33.0,30.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.1,0.7272727272727273,0.2727272727272727,0.0,0.7666666666666667,0.23333333333333334,0.0,0.7428972051676491,0.2571027948323509,,0.030954050215318715,0.02856697720359454,,73457.0,0.0,55.484848484848484,12.519369749170165,29.0,52.0,59.0,65.0,76.0,54.63333333333333,12.820513076923074,29.0,48.25,56.0,64.25,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下條村議会議員補欠選挙（2016年07月10日投票）,下條村議会議員補欠選挙,長野県,下條村,20160710.0,2016.0,7.0,10.0,20160705.0,84.56,1.0,2.0,2.0,3134.0,,,,退職,,,,,下條村議会議員補欠選挙（2016年07月10日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,2439.0,0.0,71.0,6.0,65.0,68.0,71.0,74.0,77.0,65.0,0.0,65.0,65.0,65.0,65.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
