,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_　,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_　,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_　,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_　,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_　,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
七宗町議会議員補欠選挙（2005年03月20日投票）,七宗町議会議員補欠選挙,岐阜県,七宗町,20050320.0,2005.0,3.0,20.0,20050315.0,無投票,1.0,1.0,1.0,4281.0,,,,その他,,,,,七宗町議会議員補欠選挙（2005年03月20日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,68.0,0.0,68.0,68.0,68.0,68.0,68.0,68.0,0.0,68.0,68.0,68.0,68.0,68.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
七宗町議会議員補欠選挙（2013年03月17日投票）,七宗町議会議員補欠選挙,岐阜県,七宗町,20130317.0,2013.0,3.0,17.0,20130312.0,78.73,1.0,2.0,2.0,3808.0,,,-473.0,その他,,,,,七宗町議会議員補欠選挙（2013年03月17日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,2862.0,1.0,63.0,5.0,58.0,60.5,63.0,65.5,68.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,,,,,,,,,2862.0,,,,,2862.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,
七宗町議会議員補欠選挙（2021年03月21日投票）,七宗町議会議員補欠選挙,岐阜県,七宗町,20210321.0,2021.0,3.0,21.0,20210316.0,無投票,2.0,2.0,1.0,3223.0,1524.0,1699.0,-585.0,その他,78.73,,,,七宗町議会議員補欠選挙（2021年03月21日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,,,,,,,0.0,1.0,60.5,15.5,45.0,52.75,60.5,68.25,76.0,60.5,15.5,45.0,52.75,60.5,68.25,76.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,
七宗町議会議員選挙（1999年06月27日投票）,七宗町議会議員選挙,岐阜県,七宗町,19990627.0,1999.0,6.0,27.0,19990622.0,92.06,13.0,14.0,1.0769230769230769,4482.0,,,,任期満了,,,,,七宗町議会議員選挙（1999年06月27日投票）,1.0,14.0,13.0,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.5714285714285714,0.07142857142857142,0.38461538461538464,0.5384615384615384,0.07692307692307693,0.34237429482462595,0.5889477557027226,0.06867794947265146,0.0684748589649252,0.07361846946284033,0.06867794947265146,4077.0,1.0,61.57142857142857,4.624689730353899,55.0,58.0,61.5,64.75,71.0,61.53846153846154,4.7976818860039,55.0,58.0,61.0,65.0,71.0,,,,,,,,,4077.0,,,,,4077.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.07142857142857142,,,,,,,,,,,,,14.0,,,,,,,,,,,,,13.0,,,,
七宗町議会議員選挙（2003年06月29日投票）,七宗町議会議員選挙,岐阜県,七宗町,20030629.0,2003.0,6.0,29.0,20030624.0,90.85,12.0,14.0,1.1666666666666667,4352.0,,,-130.0,任期満了,92.06,,,,七宗町議会議員選挙（2003年06月29日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.75,0.25,0.0,0.6878647959183675,0.31213520408163264,,0.06878647959183674,0.07803380102040816,,3919.9999999999995,1.0,63.357142857142854,7.751563370951536,41.0,62.0,64.0,68.0,75.0,62.75,8.206958429690422,41.0,61.25,63.0,68.25,75.0,,,,,,,,,3919.9999999999995,,,,,3919.9999999999995,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.07142857142857142,,,,,,,,,,,,,14.0,,,,,,,,,,,,,12.0,,,,
七宗町議会議員選挙（2007年06月24日投票）,七宗町議会議員選挙,岐阜県,七宗町,20070624.0,2007.0,6.0,24.0,20070619.0,83.51,8.0,9.0,1.125,4190.0,,,-162.0,任期満了,90.85,,,,七宗町議会議員選挙（2007年06月24日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0,0.75,0.25,0.0,0.7996907514450866,0.20030924855491328,,0.11424153592072665,0.10015462427745664,,3460.0,1.0,65.11111111111111,4.6772367066331535,57.0,62.0,66.0,69.0,72.0,64.25,4.235268586524354,57.0,61.5,64.5,67.5,70.0,,,,,,,,,3460.0,,,,,3460.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,9.0,,,,,,,,,,,,,8.0,,,,
七宗町議会議員選挙（2011年06月26日投票）,七宗町議会議員選挙,岐阜県,七宗町,20110626.0,2011.0,6.0,26.0,20110621.0,無投票,8.0,8.0,1.0,3988.0,,,-202.0,任期満了,83.51,,,,七宗町議会議員選挙（2011年06月26日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.375,0.5,0.125,0.375,0.5,0.125,,,,,,,0.0,1.0,64.0,4.527692569068709,58.0,60.5,64.0,66.25,73.0,64.0,4.527692569068709,58.0,60.5,64.0,66.25,73.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,8.0,,,,
七宗町議会議員選挙（2015年06月28日投票）,七宗町議会議員選挙,岐阜県,七宗町,20150628.0,2015.0,6.0,28.0,20150623.0,82.38,8.0,11.0,1.375,,,,,任期満了,,,,,七宗町議会議員選挙（2015年06月28日投票）,1.0,11.0,8.0,1.375,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.45454545454545453,0.0,0.5,0.5,0.0,0.5316752136752138,0.4683247863247863,,0.08861253561253563,0.09366495726495726,,2925.0,1.0,62.27272727272727,5.0827857267252226,48.0,62.0,63.0,64.0,68.0,63.0,2.1213203435596424,60.0,62.0,63.0,63.0,68.0,,,,,,,,,2925.0,,,,,2925.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,11.0,,,,,,,,,,,,,8.0,,,,
七宗町議会議員選挙（2019年06月30日投票）,七宗町議会議員選挙,岐阜県,七宗町,20190630.0,2019.0,6.0,30.0,20190625.0,無投票,8.0,8.0,1.0,,,,,任期満了,82.38,,,,七宗町議会議員選挙（2019年06月30日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.125,0.125,0.875,0.125,0.0,0.875,0.125,0.0,,,,,,,0.0,1.0,67.625,2.6896793489187516,64.0,66.0,67.0,68.25,72.0,67.625,2.6896793489187516,64.0,66.0,67.0,68.25,72.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,8.0,,,,
下呂市議会議員補欠選挙（2007年09月16日投票）,下呂市議会議員補欠選挙,岐阜県,下呂市,20070916.0,2007.0,9.0,16.0,20070909.0,無投票,1.0,1.0,1.0,31363.0,,,,その他,,,,,下呂市議会議員補欠選挙（2007年09月16日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,54.0,0.0,54.0,54.0,54.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,54.0,54.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
