,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_たちあがれ日本,得票数_はなまる組,得票数_みんなの党,得票数_公明党,得票数_公明政治連盟,得票数_国民民主党,得票数_地域産業を発展させる会・イノベーション静岡,得票数_幸福実現党,得票数_新社会党,得票数_新自由クラブ,得票数_日本共産党,得票数_日本民主党,得票数_日本社会党,得票数_日本維新の会,得票数_民主党,得票数_民社党,得票数_浜松ハッピーネットワーク,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_緑の党 Greens Japan,得票数_緑の党 グリーンズジャパン,得票数_自由党,得票数_自由民主党,得票数_青年自由,得票数_sum_v,得票率_たちあがれ日本,得票率_はなまる組,得票率_みんなの党,得票率_公明党,得票率_公明政治連盟,得票率_国民民主党,得票率_地域産業を発展させる会・イノベーション静岡,得票率_幸福実現党,得票率_新社会党,得票率_新自由クラブ,得票率_日本共産党,得票率_日本民主党,得票率_日本社会党,得票率_日本維新の会,得票率_民主党,得票率_民社党,得票率_浜松ハッピーネットワーク,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_緑の党 Greens Japan,得票率_緑の党 グリーンズジャパン,得票率_自由党,得票率_自由民主党,得票率_青年自由,得票率_sum_v,一人あたり得票率_たちあがれ日本,一人あたり得票率_はなまる組,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_公明政治連盟,一人あたり得票率_国民民主党,一人あたり得票率_地域産業を発展させる会・イノベーション静岡,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_新自由クラブ,一人あたり得票率_日本共産党,一人あたり得票率_日本民主党,一人あたり得票率_日本社会党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民社党,一人あたり得票率_浜松ハッピーネットワーク,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_緑の党 Greens Japan,一人あたり得票率_緑の党 グリーンズジャパン,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_青年自由,立候補者数_たちあがれ日本,立候補者数_はなまる組,立候補者数_みんなの党,立候補者数_公明党,立候補者数_公明政治連盟,立候補者数_国民民主党,立候補者数_地域産業を発展させる会・イノベーション静岡,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_新自由クラブ,立候補者数_日本共産党,立候補者数_日本民主党,立候補者数_日本社会党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民社党,立候補者数_浜松ハッピーネットワーク,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_緑の党 Greens Japan,立候補者数_緑の党 グリーンズジャパン,立候補者数_自由党,立候補者数_自由民主党,立候補者数_青年自由,当選者数_たちあがれ日本,当選者数_はなまる組,当選者数_みんなの党,当選者数_公明党,当選者数_公明政治連盟,当選者数_国民民主党,当選者数_地域産業を発展させる会・イノベーション静岡,当選者数_幸福実現党,当選者数_新社会党,当選者数_新自由クラブ,当選者数_日本共産党,当選者数_日本民主党,当選者数_日本社会党,当選者数_日本維新の会,当選者数_民主党,当選者数_民社党,当選者数_浜松ハッピーネットワーク,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_緑の党 Greens Japan,当選者数_緑の党 グリーンズジャパン,当選者数_自由党,当選者数_自由民主党,当選者数_青年自由
三島市議会議員選挙（1999年04月25日投票）,三島市議会議員選挙,静岡県,三島市,19990425.0,1999.0,4.0,25.0,19990418.0,58.34,26.0,32.0,1.2307692307692308,86678.0,,,,任期満了,,,,,三島市議会議員選挙（1999年04月25日投票）,1.0,32.0,26.0,1.2307692307692308,0.0,0.0,0.0,0.125,0.11538461538461539,0.59375,0.40625,0.0,0.6538461538461539,0.34615384615384615,0.0,0.5803082002662311,0.41969179973376886,,0.030542536856117426,0.03228398459490529,,49888.99,6.0,54.125,10.200337004236674,26.0,47.5,54.0,62.0,74.0,55.61538461538461,9.401623931235429,39.0,48.25,55.5,62.75,74.0,,,,8573.25,,,,,1396.0,,4118.0,,,,,,,32459.55,2889.19,,,,,,,453.0,49888.990000000005,,,,0.17184653367406313,,,,,0.027982125915958608,,0.08254326255151687,,,,,,,0.6506355410281907,0.057912377059547604,,,,,,,0.009080159770722959,1.0,,,,0.042961633418515784,,,,,0.027982125915958608,,0.027514420850505622,,,,,,,0.03098264481086622,0.028956188529773802,,,,,,,0.009080159770722959,,,,4.0,,,,,1.0,,3.0,,,,,,,21.0,2.0,,,,,,,1.0,,,,4.0,,,,,1.0,,3.0,,,,,,,16.0,2.0,,,,,,,0.0
三島市議会議員選挙（2003年04月27日投票）,三島市議会議員選挙,静岡県,三島市,20030427.0,2003.0,4.0,27.0,20030420.0,61.02,18.0,31.0,1.7222222222222223,87296.0,,,618.0,任期満了,58.34,,,,三島市議会議員選挙（2003年04月27日投票）,1.0,31.0,26.0,1.1923076923076923,0.0,0.0,0.0,0.06451612903225806,0.07692307692307693,0.6774193548387096,0.3225806451612903,0.0,0.7307692307692307,0.2692307692307692,0.0,0.7291138350437096,0.2708861649562904,,0.03471970643065284,0.02708861649562904,,52620.0,4.0,55.774193548387096,8.23332989280943,32.0,51.0,57.0,61.5,70.0,55.65384615384615,8.389289452319122,32.0,50.5,57.5,61.75,70.0,,,,8792.0,,,,,1460.0,,4020.0,,,,,,,38348.0,,,,,,,,,52620.0,,,,0.1670847586469023,,,,,0.02774610414291144,,0.07639680729760548,,,,,,,0.7287723299125808,,,,,,,,,1.0,,,,0.04177118966172558,,,,,0.02774610414291144,,0.02546560243253516,,,,,,,0.03168575347446003,,,,,,,,,,,,4.0,,,,,1.0,,3.0,,,,,,,23.0,,,,,,,,,,,,4.0,,,,,1.0,,3.0,,,,,,,18.0,,,,,,,,
三島市議会議員選挙（2007年04月22日投票）,三島市議会議員選挙,静岡県,三島市,20070422.0,2007.0,4.0,22.0,20070415.0,55.06,24.0,26.0,1.0833333333333333,89385.0,,,2089.0,任期満了,61.02,,,,三島市議会議員選挙（2007年04月22日投票）,1.0,26.0,24.0,1.0833333333333333,0.0,0.0,0.0,0.19230769230769232,0.16666666666666666,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.038461538461538464,,,48574.0,3.0,58.46153846153846,8.106174138987987,36.0,52.5,58.5,63.75,72.0,57.916666666666664,7.952550254827413,36.0,51.75,58.5,63.25,70.0,,,,7325.0,,,,,,,4579.0,,,,,,,36670.0,,,,,,,,,48574.0,,,,0.15080083995553176,,,,,,,0.09426853872442047,,,,,,,0.7549306213200477,,,,,,,,,1.0,,,,0.05026694665184392,,,,,,,0.03142284624147349,,,,,,,0.037746531066002384,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,20.0,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,18.0,,,,,,,,
三島市議会議員選挙（2011年04月24日投票）,三島市議会議員選挙,静岡県,三島市,20110424.0,2011.0,4.0,24.0,20110417.0,51.69,24.0,35.0,1.4583333333333333,91531.0,,,2146.0,任期満了,55.06,,,,三島市議会議員選挙（2011年04月24日投票）,1.0,35.0,24.0,1.4583333333333333,0.0,0.0,0.0,0.2,0.16666666666666666,0.45714285714285713,0.5142857142857142,0.02857142857142857,0.625,0.375,0.0,0.5584962230872755,0.4343742948128629,0.007129482099861564,0.03490601394295472,0.024131905267381272,0.007129482099861564,46707.45999999999,5.0,55.51428571428571,10.43447973532647,35.0,50.0,56.0,63.0,72.0,54.083333333333336,10.123885398183623,35.0,47.5,55.0,62.25,71.0,,,948.0,6457.0,,,,,,,3175.91,,,,1540.0,,,34586.549999999996,,,,,,,,,46707.45999999999,,,0.02029654363564193,0.138243441197616,,,,,,,0.0679957762635776,,,,0.03297117847984027,,,0.7404930604233243,,,,,,,,,1.0,,,0.02029654363564193,0.046081147065872,,,,,,,0.022665258754525866,,,,0.03297117847984027,,,0.027425668904567567,,,,,,,,,,,1.0,3.0,,,,,,,3.0,,,,1.0,,,27.0,,,,,,,,,,,0.0,3.0,,,,,,,2.0,,,,1.0,,,18.0,,,,,,,,
三島市議会議員選挙（2015年04月26日投票）,三島市議会議員選挙,静岡県,三島市,20150426.0,2015.0,4.0,26.0,20150419.0,49.87,22.0,26.0,1.181818181818182,,,,,任期満了,51.69,,,,三島市議会議員選挙（2015年04月26日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.23076923076923078,0.18181818181818182,0.6153846153846154,0.34615384615384615,0.038461538461538464,0.7272727272727273,0.2727272727272727,0.0,0.662105,0.3156904545454545,0.022204545454545456,0.0413815625,0.03507671717171717,0.022204545454545456,43999.99999999999,4.0,55.38461538461539,9.055711852734897,38.0,49.25,57.0,62.0,68.0,55.0,9.405027668994146,38.0,47.75,57.0,62.0,68.0,,,,6308.0,,,,,,,3107.0,,,,1774.0,,,32811.0,,,,,,,,,44000.0,,,,0.14336363636363636,,,,,,,0.07061363636363636,,,,0.040318181818181816,,,0.7457045454545455,,,,,,,,,1.0,,,,0.04778787878787879,,,,,,,0.03530681818181818,,,,0.040318181818181816,,,0.037285227272727275,,,,,,,,,,,,3.0,,,,,,,2.0,,,,1.0,,,20.0,,,,,,,,,,,,3.0,,,,,,,2.0,,,,1.0,,,16.0,,,,,,,,
三島市議会議員選挙（2019年04月21日投票）,三島市議会議員選挙,静岡県,三島市,20190421.0,2019.0,4.0,21.0,20190414.0,46.83,22.0,26.0,1.181818181818182,90486.0,,,,任期満了,49.87,,,,三島市議会議員選挙（2019年04月21日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.2692307692307692,0.2727272727272727,,,,,,,,,,,,,41863.998999999996,5.0,55.46153846153846,9.834127270459621,39.0,47.25,57.5,63.0,71.0,55.04545454545455,9.392827402415646,39.0,47.25,57.5,63.0,71.0,,,,5986.0,,,,,,,2500.0,,,,,,,29845.999,,1508.0,,,,,2024.0,,41863.998999999996,,,,0.14298681786228784,,,,,,,0.059717180864637426,,,,,,,0.712927568147515,,0.036021403497549294,,,,,0.048347029628010456,,1.0,,,,0.047662272620762614,,,,,,,0.029858590432318713,,,,,,,0.03752250358671132,,0.036021403497549294,,,,,0.048347029628010456,,,,,3.0,,,,,,,2.0,,,,,,,19.0,,1.0,,,,,1.0,,,,,3.0,,,,,,,2.0,,,,,,,15.0,,1.0,,,,,1.0,
下田市議会議員選挙（1999年04月25日投票）,下田市議会議員選挙,静岡県,下田市,19990425.0,1999.0,4.0,25.0,19990418.0,76.2,20.0,23.0,1.15,22943.0,,,,任期満了,,,,,下田市議会議員選挙（1999年04月25日投票）,1.0,23.0,20.0,1.15,0.0,0.0,0.0,0.043478260869565216,0.05,0.6086956521739131,0.34782608695652173,0.043478260869565216,0.6,0.35,0.05,0.6771385681293302,0.29555196304849884,0.0273094688221709,0.04836704058066644,0.036943995381062356,0.0273094688221709,17320.0,3.0,56.30434782608695,9.625305337262748,30.0,52.0,57.0,61.5,73.0,56.55,7.539728111808808,35.0,52.0,57.0,61.25,70.0,,,,1384.0,,,,,,,900.0,,,,,,,15036.0,,,,,,,,,17320.0,,,,0.07990762124711316,,,,,,,0.05196304849884527,,,,,,,0.8681293302540416,,,,,,,,,1.0,,,,0.07990762124711316,,,,,,,0.05196304849884527,,,,,,,0.04133949191685912,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,21.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,18.0,,,,,,,,
下田市議会議員選挙（2003年04月27日投票）,下田市議会議員選挙,静岡県,下田市,20030427.0,2003.0,4.0,27.0,20030420.0,77.53,18.0,24.0,1.3333333333333333,22541.0,,,-402.0,任期満了,76.2,,,,下田市議会議員選挙（2003年04月27日投票）,1.0,24.0,18.0,1.3333333333333333,0.0,0.0,0.0,0.041666666666666664,0.0,0.7083333333333334,0.2916666666666667,0.0,0.6111111111111112,0.3888888888888889,0.0,0.632811223107839,0.3671887768921611,,0.037224189594578766,0.052455539556023015,,17314.989999999998,3.0,58.333333333333336,6.433419688539595,39.0,55.0,58.0,62.0,71.0,57.72222222222222,4.407135067838611,51.0,55.0,56.5,61.0,66.0,,,,1867.01,,,,,,,1555.0,,,,,,,13892.979999999998,,,,,,,,,17314.989999999998,,,,0.10782622456033762,,,,,,,0.08980657799975629,,,,,,,0.802367197439906,,,,,,,,,1.0,,,,0.05391311228016881,,,,,,,0.044903288999878145,,,,,,,0.0401183598719953,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,20.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,14.0,,,,,,,,
下田市議会議員選挙（2007年04月22日投票）,下田市議会議員選挙,静岡県,下田市,20070422.0,2007.0,4.0,22.0,20070415.0,69.16,14.0,17.0,1.2142857142857142,22020.0,,,-521.0,任期満了,77.53,,,,下田市議会議員選挙（2007年04月22日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.058823529411764705,0.07142857142857142,0.7058823529411765,0.17647058823529413,0.11764705882352941,0.7857142857142857,0.07142857142857142,0.14285714285714285,0.7472080212762705,0.15521148312382552,0.097580495599904,0.062267335106355876,0.051737161041275175,0.048790247799952,15043.99,3.0,57.411764705882355,8.409090484003968,38.0,56.0,59.0,61.0,71.0,59.57142857142857,6.565214453186318,43.0,56.5,59.5,61.75,71.0,,,,1607.57,,,,,,,1005.0,,,,,,,12431.42,,,,,,,,,15043.99,,,,0.10685795457189216,,,,,,,0.06680408588413048,,,,,,,0.8263379595439774,,,,,,,,,1.0,,,,0.10685795457189216,,,,,,,0.06680408588413048,,,,,,,0.055089197302931825,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,15.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,12.0,,,,,,,,
下田市議会議員選挙（2011年04月24日投票）,下田市議会議員選挙,静岡県,下田市,20110424.0,2011.0,4.0,24.0,20110417.0,63.07,14.0,16.0,1.1428571428571428,20972.0,,,-1048.0,任期満了,69.16,,,,下田市議会議員選挙（2011年04月24日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.0625,0.07142857142857142,0.6875,0.1875,0.125,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.6167536979712044,0.26875755652452193,0.11448874550427367,0.05606851799738222,0.08958585217484065,0.057244372752136834,13092.989999999998,3.0,,,,,,,,,,,,,,,,,,1365.28,,,,,,,763.0,,,,,,,10964.71,,,,,,,,,13092.989999999998,,,,0.10427564673920932,,,,,,,0.05827545885240882,,,,,,,0.837448894408382,,,,,,,,,1.0,,,,0.10427564673920932,,,,,,,0.05827545885240882,,,,,,,0.05981777817202728,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,14.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,12.0,,,,,,,,
