,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_とうごうの未来を創る会,得票数_みんなの党,得票数_公明党,得票数_公民,得票数_国民新党,得票数_国民民主党,得票数_女性党,得票数_女性党（光岡）,得票数_幸福実現党,得票数_改革尾張旭,得票数_新風をおこす会,得票数_日本一愛知の会,得票数_日本共産党,得票数_日本労働党,得票数_日本維新の会,得票数_次世代の党,得票数_民主党,得票数_減税尾張旭,得票数_減税日本,得票数_減税日本一,得票数_減税瀬戸,得票数_無所属,得票数_無所属の会,得票数_生活なごや,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_維新政党・新風,得票数_緑の党グリーンズジャパン,得票数_自由党,得票数_自由民主党,得票数_良識の風,得票数_sum_v,得票率_NHKから国民を守る党,得票率_とうごうの未来を創る会,得票率_みんなの党,得票率_公明党,得票率_公民,得票率_国民新党,得票率_国民民主党,得票率_女性党,得票率_女性党（光岡）,得票率_幸福実現党,得票率_改革尾張旭,得票率_新風をおこす会,得票率_日本一愛知の会,得票率_日本共産党,得票率_日本労働党,得票率_日本維新の会,得票率_次世代の党,得票率_民主党,得票率_減税尾張旭,得票率_減税日本,得票率_減税日本一,得票率_減税瀬戸,得票率_無所属,得票率_無所属の会,得票率_生活なごや,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_維新政党・新風,得票率_緑の党グリーンズジャパン,得票率_自由党,得票率_自由民主党,得票率_良識の風,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_とうごうの未来を創る会,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_公民,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_女性党,一人あたり得票率_女性党（光岡）,一人あたり得票率_幸福実現党,一人あたり得票率_改革尾張旭,一人あたり得票率_新風をおこす会,一人あたり得票率_日本一愛知の会,一人あたり得票率_日本共産党,一人あたり得票率_日本労働党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_減税尾張旭,一人あたり得票率_減税日本,一人あたり得票率_減税日本一,一人あたり得票率_減税瀬戸,一人あたり得票率_無所属,一人あたり得票率_無所属の会,一人あたり得票率_生活なごや,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_維新政党・新風,一人あたり得票率_緑の党グリーンズジャパン,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_良識の風,立候補者数_NHKから国民を守る党,立候補者数_とうごうの未来を創る会,立候補者数_みんなの党,立候補者数_公明党,立候補者数_公民,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_女性党,立候補者数_女性党（光岡）,立候補者数_幸福実現党,立候補者数_改革尾張旭,立候補者数_新風をおこす会,立候補者数_日本一愛知の会,立候補者数_日本共産党,立候補者数_日本労働党,立候補者数_日本維新の会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_減税尾張旭,立候補者数_減税日本,立候補者数_減税日本一,立候補者数_減税瀬戸,立候補者数_無所属,立候補者数_無所属の会,立候補者数_生活なごや,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_維新政党・新風,立候補者数_緑の党グリーンズジャパン,立候補者数_自由党,立候補者数_自由民主党,立候補者数_良識の風,当選者数_NHKから国民を守る党,当選者数_とうごうの未来を創る会,当選者数_みんなの党,当選者数_公明党,当選者数_公民,当選者数_国民新党,当選者数_国民民主党,当選者数_女性党,当選者数_女性党（光岡）,当選者数_幸福実現党,当選者数_改革尾張旭,当選者数_新風をおこす会,当選者数_日本一愛知の会,当選者数_日本共産党,当選者数_日本労働党,当選者数_日本維新の会,当選者数_次世代の党,当選者数_民主党,当選者数_減税尾張旭,当選者数_減税日本,当選者数_減税日本一,当選者数_減税瀬戸,当選者数_無所属,当選者数_無所属の会,当選者数_生活なごや,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_維新政党・新風,当選者数_緑の党グリーンズジャパン,当選者数_自由党,当選者数_自由民主党,当選者数_良識の風
あま市議会議員選挙（2011年04月24日投票）,あま市議会議員選挙,愛知県,あま市,20110424.0,2011.0,4.0,24.0,20110417.0,51.05,26.0,28.0,1.0769230769230769,68325.0,,,,任期満了,,,,,あま市議会議員選挙（2011年04月24日投票）,1.0,28.0,26.0,1.0769230769230769,0.0,0.0,0.0,0.03571428571428571,0.038461538461538464,0.9642857142857143,0.03571428571428571,0.0,1.0,0.0,0.0,0.9957382204852065,0.004261779514793483,,0.03687919335130395,0.004261779514793483,,34257.990000000005,3.0,59.285714285714285,8.589267151747094,43.0,53.0,61.5,66.25,73.0,58.96153846153846,8.829499372648351,43.0,51.0,60.5,66.75,73.0,,,,4604.0,,,,,,,,,,2962.5299999999997,,,,,,,,,26691.460000000003,,,,,,,,,,,34257.990000000005,,,,0.13439200606924107,,,,,,,,,,0.08647705250658312,,,,,,,,,0.7791309414241757,,,,,,,,,,,1.0,,,,0.04479733535641369,,,,,,,,,,0.02882568416886104,,,,,,,,,0.03541504279200799,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,22.0,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,21.0,,,,,,,,,,
あま市議会議員選挙（2015年04月26日投票）,あま市議会議員選挙,愛知県,あま市,20150426.0,2015.0,4.0,26.0,20150419.0,51.42,24.0,31.0,1.2916666666666667,,,,,任期満了,51.05,,,,あま市議会議員選挙（2015年04月26日投票）,1.0,31.0,24.0,1.2916666666666667,0.0,0.0,0.0,0.06451612903225806,0.041666666666666664,0.6451612903225806,0.2903225806451613,0.06451612903225806,0.6666666666666666,0.25,0.08333333333333333,0.6269812678042184,0.2953563721117601,0.07766236008402153,0.031349063390210916,0.03281737467908445,0.03883118004201076,34753.0,3.0,58.096774193548384,8.887667565535011,38.0,51.0,60.0,65.5,72.0,57.916666666666664,9.621662480511821,38.0,50.75,60.5,67.0,72.0,,,,3569.0,,,,,,,,,,3088.85,,,,,,,,,28095.149999999998,,,,,,,,,,,34753.0,,,,0.10269617011481023,,,,,,,,,,0.0888800966823008,,,,,,,,,0.8084237332028889,,,,,,,,,,,1.0,,,,0.034232056704936745,,,,,,,,,,0.02962669889410027,,,,,,,,,0.03233694932811555,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,25.0,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,19.0,,,,,,,,,,
あま市議会議員選挙（2019年04月21日投票）,あま市議会議員選挙,愛知県,あま市,20190421.0,2019.0,4.0,21.0,20190414.0,43.94,22.0,25.0,1.1363636363636365,71077.0,,,,任期満了,51.42,,,,あま市議会議員選挙（2019年04月21日投票）,1.0,25.0,22.0,1.1363636363636365,0.0,0.0,0.0,0.12,0.09090909090909091,,,,,,,,,,,,,30710.998,3.0,57.96,9.639419069632776,32.0,54.0,58.0,64.0,76.0,56.95454545454545,9.546428521738438,32.0,51.75,57.0,63.5,76.0,,,,4309.0,,,,,,,,,,2877.0,,,,,,,,,23524.998,,,,,,,,,,,30710.998,,,,0.14030804208967745,,,,,,,,,,0.09367979510141611,,,,,,,,,0.7660121628089064,,,,,,,,,,,1.0,,,,0.04676934736322582,,,,,,,,,,0.031226598367138703,,,,,,,,,0.04031642962152139,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,19.0,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,17.0,,,,,,,,,,
みよし市議会議員選挙（2011年04月24日投票）,みよし市議会議員選挙,愛知県,みよし市,20110424.0,2011.0,4.0,24.0,20110417.0,63.62,20.0,24.0,1.2,41588.0,,,,任期満了,,,,,みよし市議会議員選挙（2011年04月24日投票）,1.0,24.0,20.0,1.2,0.0,0.0,0.0,0.125,0.1,0.625,0.3333333333333333,0.041666666666666664,0.55,0.4,0.05,0.6446436268005737,0.3115529437253716,0.043803429474054606,0.042976241786704915,0.03894411796567145,0.043803429474054606,26031.980000000003,4.0,60.75,8.847080497731064,29.0,59.0,62.5,66.25,71.0,59.4,8.974408058473829,29.0,55.75,62.0,65.25,69.0,,,,2163.4,,,,,,,,,,690.0,,,,1730.3400000000001,,,,,21448.239999999994,,,,,,,,,,,26031.979999999996,,,,0.08310547257642333,,,,,,,,,,0.02650585933148382,,,,0.0664697806313619,,,,,0.8239188874607309,,,,,,,,,,,1.0,,,,0.04155273628821166,,,,,,,,,,0.02650585933148382,,,,0.03323489031568095,,,,,0.043364151971617415,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,2.0,,,,,19.0,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,1.0,,,,,17.0,,,,,,,,,,
みよし市議会議員選挙（2015年04月26日投票）,みよし市議会議員選挙,愛知県,みよし市,20150426.0,2015.0,4.0,26.0,20150419.0,60.05,20.0,22.0,1.1,,,,,任期満了,63.62,,,,みよし市議会議員選挙（2015年04月26日投票）,1.0,22.0,20.0,1.1,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.3181818181818182,0.09090909090909091,0.65,0.3,0.05,0.5924841262187663,0.3305354041054949,0.07698046967573877,0.04557570201682818,0.047219343443642134,0.03849023483786938,25612.99,4.0,60.36363636363637,9.359222260546764,33.0,55.25,61.5,66.75,73.0,60.25,9.33742469849155,33.0,55.75,61.5,66.25,73.0,,,,2445.0,,,,,,,,,,1045.0,,,,1587.0,,,,,20535.99,,,,,,,,,,,25612.99,,,,0.09545937432529353,,,,,,,,,,0.04079960988545265,,,,0.06196074726144819,,,,,0.8017802685278056,,,,,,,,,,,1.0,,,,0.047729687162646764,,,,,,,,,,0.04079960988545265,,,,0.06196074726144819,,,,,0.044543348251544754,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,1.0,,,,,18.0,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,1.0,,,,,16.0,,,,,,,,,,
みよし市議会議員選挙（2019年04月21日投票）,みよし市議会議員選挙,愛知県,みよし市,20190421.0,2019.0,4.0,21.0,20190414.0,無投票,20.0,20.0,1.0,,,,,任期満了,60.05,,,,みよし市議会議員選挙（2019年04月21日投票）,1.0,20.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,3.0,62.0,8.372574275573792,37.0,58.25,63.5,66.0,75.0,62.0,8.372574275573792,37.0,58.25,63.5,66.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,17.0,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,17.0,,,,,,,,,,
一宮市議会議員選挙（2007年04月22日投票）,一宮市議会議員選挙,愛知県,一宮市,20070422.0,2007.0,4.0,22.0,20070415.0,51.68,0.0,64.0,,296053.0,,,,任期満了,,,,,一宮市議会議員選挙（2007年04月22日投票）,3.0,64.0,44.0,1.4545454545454546,0.0,0.0,0.0,0.109375,0.09090909090909091,0.828125,0.171875,0.0,0.8181818181818182,0.18181818181818182,0.0,0.8112481645581795,0.1887518354418205,,0.01530656914260716,0.017159257767438228,,155957.0,5.0,57.4375,9.81210190275254,28.0,50.75,58.0,64.0,77.0,56.75,10.298113242902136,28.0,48.75,57.0,65.25,73.0,,,,13934.0,,,,,,,,,,11206.65,,,,3258.0,,,,,125581.35,,,,,,,,,1977.0,,155957.0,,,,0.08934514000654026,,,,,,,,,,0.07185730682175215,,,,0.020890373628628403,,,,,0.8052306084369409,,,,,,,,,0.012676571106138231,,1.0,,,,0.022336285001635064,,,,,,,,,,0.01437146136435043,,,,0.010445186814314202,,,,,0.01548520400840271,,,,,,,,,0.012676571106138231,,,,,4.0,,,,,,,,,,5.0,,,,2.0,,,,,52.0,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,4.0,,,,1.0,,,,,34.0,,,,,,,,,1.0,
一宮市議会議員選挙（2011年04月24日投票）,一宮市議会議員選挙,愛知県,一宮市,20110424.0,2011.0,4.0,24.0,20110417.0,49.24,40.0,50.0,1.25,301667.0,,,5614.0,任期満了,51.68,,,,一宮市議会議員選挙（2011年04月24日投票）,1.0,50.0,40.0,1.25,0.0,0.0,0.0,0.08,0.075,0.74,0.16,0.1,0.875,0.075,0.05,0.7887520603740685,0.12948684766173085,0.08176109196420057,0.021317623253353204,0.016185855957716357,0.016352218392840116,146818.0,6.0,57.76,10.5613635483303,28.0,50.25,58.5,66.0,75.0,58.675,10.294142752070227,32.0,50.75,58.0,68.0,75.0,,,,17113.55,,,,,,,,,,7153.0,,,,7184.0,,4674.0,,,105765.45,,,,,,,,,4928.0,,146818.0,,,,0.11656302360745957,,,,,,,,,,0.048720184173602694,,,,0.048931329945919436,,0.03183533354220872,,,0.7203847620863927,,,,,,,,,0.033565366644416894,,1.0,,,,0.023312604721491915,,,,,,,,,,0.012180046043400674,,,,0.01631044331530648,,0.03183533354220872,,,0.02001068783573313,,,,,,,,,0.033565366644416894,,,,,5.0,,,,,,,,,,4.0,,,,3.0,,1.0,,,36.0,,,,,,,,,1.0,,,,,5.0,,,,,,,,,,1.0,,,,2.0,,1.0,,,30.0,,,,,,,,,1.0,
一宮市議会議員選挙（2015年04月26日投票）,一宮市議会議員選挙,愛知県,一宮市,20150426.0,2015.0,4.0,26.0,20150419.0,46.32,38.0,53.0,1.3947368421052628,304052.0,,,2385.0,任期満了,49.24,,,,一宮市議会議員選挙（2015年04月26日投票）,1.0,53.0,38.0,1.394736842105263,0.0,0.0,0.0,0.1509433962264151,0.13157894736842105,0.5094339622641509,0.4339622641509434,0.05660377358490566,0.6578947368421053,0.2894736842105263,0.05263157894736842,0.5920282323798574,0.3529038114418992,0.05506795617824349,0.021926971569624348,0.015343643975734747,0.01835598539274783,138773.99,6.0,55.35849056603774,12.69689360259317,28.0,48.0,58.0,65.0,72.0,57.63157894736842,11.494669365523947,28.0,53.0,59.0,68.0,72.0,,,,15847.1,,,,,,980.0,,,,8706.0,,,,3358.29,,,,,105334.59999999999,,,,,,,,,4548.0,,138773.99,,,,0.11419358915889066,,,,,,0.007061842064208142,,,,0.06273509899081234,,,,0.024199707740622002,,,,,0.7590370500985091,,,,,,,,,0.032772711946957786,,1.0,,,,0.022838717831778134,,,,,,0.007061842064208142,,,,0.02091169966360411,,,,0.024199707740622002,,,,,0.01807231071663117,,,,,,,,,0.032772711946957786,,,,,5.0,,,,,,1.0,,,,3.0,,,,1.0,,,,,42.0,,,,,,,,,1.0,,,,,5.0,,,,,,0.0,,,,3.0,,,,1.0,,,,,28.0,,,,,,,,,1.0,
一宮市議会議員選挙（2019年04月21日投票）,一宮市議会議員選挙,愛知県,一宮市,20190421.0,2019.0,4.0,21.0,20190414.0,41.5,38.0,48.0,1.263157894736842,313060.0,,,9008.0,任期満了,46.32,,,,一宮市議会議員選挙（2019年04月21日投票）,1.0,48.0,38.0,1.263157894736842,0.0,0.0,0.0,0.1875,0.23684210526315788,0.6458333333333334,0.2916666666666667,0.0625,0.7368421052631579,0.23684210526315788,0.02631578947368421,0.6850114807089096,0.2623688472815842,0.05261967200950619,0.022097144538997086,0.018740631948684586,0.017539890669835394,128164.99500000001,6.0,57.395833333333336,12.049791808943793,27.0,51.0,57.5,66.25,76.0,56.05263157894737,12.279523753025115,27.0,47.25,57.0,64.75,76.0,,,,15241.0,,,,,,,,,,6543.18,,3609.0,,,,,,,82061.449,,,,6624.0,,,,,14086.366,,128164.995,,,,0.11891702566679771,,,,,,,,,,0.051052785512924186,,0.028159014869855847,,,,,,,0.6402797347278795,,,,0.05168337891325163,,,,,0.10990806030929116,,1.0,,,,0.023783405133359543,,,,,,,,,,0.017017595170974727,,0.028159014869855847,,,,,,,0.019402416203875134,,,,0.025841689456625815,,,,,0.02747701507732279,,,,,5.0,,,,,,,,,,3.0,,1.0,,,,,,,33.0,,,,2.0,,,,,4.0,,,,,5.0,,,,,,,,,,1.0,,1.0,,,,,,,25.0,,,,2.0,,,,,4.0,
