,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_NHK受信料を支払わない方法を教える党,得票数_いなべ市民の会,得票数_三重ヤマネコの会,得票数_三重民主連合,得票数_公明党,得票数_地域政党草の根運動いが,得票数_幸福実現党,得票数_日本共産,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自民、市民クラブ,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_NHK受信料を支払わない方法を教える党,得票率_いなべ市民の会,得票率_三重ヤマネコの会,得票率_三重民主連合,得票率_公明党,得票率_地域政党草の根運動いが,得票率_幸福実現党,得票率_日本共産,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自民、市民クラブ,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_NHK受信料を支払わない方法を教える党,一人あたり得票率_いなべ市民の会,一人あたり得票率_三重ヤマネコの会,一人あたり得票率_三重民主連合,一人あたり得票率_公明党,一人あたり得票率_地域政党草の根運動いが,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自民、市民クラブ,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_NHK受信料を支払わない方法を教える党,立候補者数_いなべ市民の会,立候補者数_三重ヤマネコの会,立候補者数_三重民主連合,立候補者数_公明党,立候補者数_地域政党草の根運動いが,立候補者数_幸福実現党,立候補者数_日本共産,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自民、市民クラブ,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_NHK受信料を支払わない方法を教える党,当選者数_いなべ市民の会,当選者数_三重ヤマネコの会,当選者数_三重民主連合,当選者数_公明党,当選者数_地域政党草の根運動いが,当選者数_幸福実現党,当選者数_日本共産,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自民、市民クラブ,当選者数_自由民主党
いなべ市議会議員補欠選挙（2011年11月27日投票）,いなべ市議会議員補欠選挙,三重県,いなべ市,20111127.0,2011.0,11.0,27.0,20111120.0,38.28,1.0,3.0,3.0,36217.0,,,,その他,,,,,いなべ市議会議員補欠選挙（2011年11月27日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.8450247104816699,0.15497528951833,,0.42251235524083497,0.15497528951833,13557.0,1.0,,,,,,,,37.0,0.0,37.0,37.0,37.0,37.0,37.0,,,,,,,,,,,,,13557.0,,,,,,13557.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,
いなべ市議会議員補欠選挙（2019年11月24日投票）,いなべ市議会議員補欠選挙,三重県,いなべ市,20191124.0,2019.0,11.0,24.0,20191117.0,25.25,1.0,2.0,2.0,36573.0,,,356.0,死亡/近藤英昭氏の死去による,38.28,,,,いなべ市議会議員補欠選挙（2019年11月24日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,8559.0,1.0,43.5,4.5,39.0,41.25,43.5,45.75,48.0,48.0,0.0,48.0,48.0,48.0,48.0,48.0,,,,,,,,,,,,,8559.0,,,,,,8559.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,
いなべ市議会議員選挙（2005年11月13日投票）,いなべ市議会議員選挙,三重県,いなべ市,20051113.0,2005.0,11.0,13.0,20051106.0,79.31,24.0,33.0,1.375,35829.0,,,,任期満了,,,,,いなべ市議会議員選挙（2005年11月13日投票）,1.0,33.0,24.0,1.375,0.0,0.0,0.0,0.18181818181818182,0.20833333333333334,0.8787878787878788,0.12121212121212122,0.0,0.9166666666666666,0.08333333333333333,0.0,0.8847396258563771,0.11526037414362288,,0.030508262960564726,0.02881509353590572,,28171.0,6.0,58.27272727272727,7.616858205692151,39.0,55.0,58.0,64.0,70.0,57.125,7.8756613478911515,39.0,51.5,58.0,63.25,68.0,,,1430.0,83.0,,1566.0,,,,1769.0,,841.0,22482.0,,,,,,28171.0,,,0.050761421319796954,0.0029462922863938094,,0.05558908096979163,,,,0.06279507294735721,,0.02985339533562884,0.7980547371410316,,,,,,1.0,,,0.01692047377326565,0.0029462922863938094,,0.05558908096979163,,,,0.03139753647367861,,0.02985339533562884,0.03192218948564127,,,,,,,,3.0,1.0,,1.0,,,,2.0,,1.0,25.0,,,,,,,,0.0,0.0,,1.0,,,,2.0,,1.0,20.0,,,,,
いなべ市議会議員選挙（2009年11月15日投票）,いなべ市議会議員選挙,三重県,いなべ市,20091115.0,2009.0,11.0,15.0,20091108.0,70.97,20.0,21.0,1.05,36219.0,,,390.0,任期満了,79.31,,,,いなべ市議会議員選挙（2009年11月15日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.14285714285714285,0.15,0.8571428571428571,0.09523809523809523,0.047619047619047616,0.85,0.1,0.05,0.8611490182190218,0.09957974265139889,0.03927123912957935,0.04784161212327899,0.049789871325699446,0.03927123912957935,25413.0,4.0,61.0,7.982122882685139,43.0,56.0,62.0,67.0,71.0,61.35,8.02044263117691,43.0,58.25,63.0,67.25,71.0,,,,,,1795.0,,,,2016.0,,1327.0,20275.0,,,,,,25413.0,,,,,,0.07063314051863219,,,,0.07932947703931059,,0.05221736906307795,0.7978200133789792,,,,,,1.0,,,,,,0.07063314051863219,,,,0.039664738519655296,,0.05221736906307795,0.0469305890222929,,,,,,,,,,,1.0,,,,2.0,,1.0,17.0,,,,,,,,,,,1.0,,,,2.0,,1.0,16.0,,,,,
いなべ市議会議員選挙（2013年11月17日投票）,いなべ市議会議員選挙,三重県,いなべ市,20131117.0,2013.0,11.0,17.0,20131110.0,無投票,20.0,20.0,1.0,,,,,任期満了,70.97,,,,いなべ市議会議員選挙（2013年11月17日投票）,1.0,20.0,20.0,1.0,1.0,1.0,0.0,0.25,0.25,0.7,0.25,0.05,0.7,0.25,0.05,,,,,,,0.0,3.0,60.05,10.56160499166675,38.0,54.0,60.5,67.25,75.0,60.05,10.56160499166675,38.0,54.0,60.5,67.25,75.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,17.0,,,,,,,,,,,1.0,,,,2.0,,,17.0,,,,,
いなべ市議会議員選挙（2017年11月19日投票）,いなべ市議会議員選挙,三重県,いなべ市,20171119.0,2017.0,11.0,19.0,20171112.0,61.56,20.0,23.0,1.15,36789.0,,,,任期満了,,,,,いなべ市議会議員選挙（2017年11月19日投票）,1.0,23.0,18.0,1.2777777777777777,0.0,0.0,0.0,0.2608695652173913,0.2777777777777778,0.6956521739130435,0.30434782608695654,0.0,0.7222222222222222,0.2777777777777778,0.0,0.7250156291863892,0.27498437081361077,,0.045313476824149324,0.03928348154480154,,22394.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亀山市議会議員補欠選挙（2009年02月01日投票）,亀山市議会議員補欠選挙,三重県,亀山市,20090201.0,2009.0,2.0,1.0,20090125.0,62.64,2.0,4.0,2.0,38478.0,,,,その他,,,,,亀山市議会議員補欠選挙（2009年02月01日投票）,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.25,0.0,0.5,0.5,,0.6743010241562595,0.3256989758437405,,0.2247670080520865,0.3256989758437405,23141.0,1.0,47.0,8.717797887081348,33.0,45.0,49.0,51.0,57.0,41.0,8.0,33.0,37.0,41.0,45.0,49.0,,,,,,,,,,,,,23141.0,,,,,,23141.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,2.0,,,,,
亀山市議会議員補欠選挙（2013年02月03日投票）,亀山市議会議員補欠選挙,三重県,亀山市,20130203.0,2013.0,2.0,3.0,20130127.0,19.18,1.0,2.0,2.0,39184.0,,,706.0,その他,62.64,,,,亀山市議会議員補欠選挙（2013年02月03日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,7027.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7027.0,,,,,,7027.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,
亀山市議会議員補欠選挙（2017年01月29日投票）,亀山市議会議員補欠選挙,三重県,亀山市,20170129.0,2017.0,1.0,29.0,20170122.0,49.99,1.0,2.0,2.0,39396.0,,,212.0,任期満了,19.18,,,,亀山市議会議員補欠選挙（2017年01月29日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,,0.2964599385742766,0.7035400614257233,,0.2964599385742766,0.7035400614257233,18559.0,1.0,57.5,10.5,47.0,52.25,57.5,62.75,68.0,47.0,0.0,47.0,47.0,47.0,47.0,47.0,,,,,,,,,,,,,18559.0,,,,,,18559.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,
亀山市議会議員選挙（2006年10月22日投票）,亀山市議会議員選挙,三重県,亀山市,20061022.0,2006.0,10.0,22.0,20061015.0,69.27,22.0,27.0,1.2272727272727273,37532.0,,,,任期満了,,,,,亀山市議会議員選挙（2006年10月22日投票）,1.0,27.0,22.0,1.2272727272727273,0.0,0.0,0.0,0.18518518518518517,0.13636363636363635,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.037037037037037035,,25766.0,3.0,58.22222222222222,9.03627804948776,36.0,54.5,61.0,64.5,76.0,58.63636363636363,8.987594756336772,36.0,55.25,61.0,63.5,76.0,,,,,,2755.5699999999997,,,,2387.0,,,20623.429999999997,,,,,,25765.999999999996,,,,,,0.10694597531630831,,,,0.09264146549716683,,,0.8004125591865249,,,,,,1.0,,,,,,0.053472987658154156,,,,0.046320732748583414,,,0.03480054605158804,,,,,,,,,,,2.0,,,,2.0,,,23.0,,,,,,,,,,,2.0,,,,2.0,,,18.0,,,,,
