,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_　,得票数_あたりまえの会,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_無所属,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_　,得票率_あたりまえの会,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_無所属,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_　,一人あたり得票率_あたりまえの会,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_　,立候補者数_あたりまえの会,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_維新の党,立候補者数_自由民主党,当選者数_　,当選者数_あたりまえの会,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_維新の党,当選者数_自由民主党
多賀町議会議員補欠選挙（2007年04月22日投票）,多賀町議会議員補欠選挙,滋賀県,多賀町,20070422.0,2007.0,4.0,22.0,20070417.0,無投票,3.0,3.0,1.0,6756.0,,,,その他,,,,,多賀町議会議員補欠選挙（2007年04月22日投票）,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,2.0,64.66666666666667,2.6246692913372702,61.0,63.5,66.0,66.5,67.0,64.66666666666667,2.6246692913372702,61.0,63.5,66.0,66.5,67.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,1.0,,,,2.0,,
多賀町議会議員選挙（2008年03月09日投票）,多賀町議会議員選挙,滋賀県,多賀町,20080309.0,2008.0,3.0,9.0,20080304.0,85.92,12.0,14.0,1.1666666666666667,6650.0,,,,任期満了,,,,,多賀町議会議員選挙（2008年03月09日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.07142857142857142,0.4166666666666667,0.5,0.08333333333333333,0.38417725988700563,0.5665607344632768,0.049262005649717514,0.06402954331450093,0.08093724778046811,0.049262005649717514,5664.0,2.0,62.285714285714285,4.494895063586363,55.0,59.0,62.5,66.0,70.0,62.583333333333336,4.751461763382811,55.0,58.75,63.5,66.25,70.0,,,,,,,446.0,,,,5218.0,,,5664.0,,,,,,,0.07874293785310735,,,,0.9212570621468926,,,1.0,,,,,,,0.07874293785310735,,,,0.07086592785745328,,,,,,,,,1.0,,,,13.0,,,,,,,,,1.0,,,,11.0,,
多賀町議会議員選挙（2012年03月11日投票）,多賀町議会議員選挙,滋賀県,多賀町,20120311.0,2012.0,3.0,11.0,20120306.0,無投票,12.0,12.0,1.0,6503.0,,,-147.0,任期満了,85.92,,,,多賀町議会議員選挙（2012年03月11日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.4166666666666667,0.08333333333333333,0.5,0.4166666666666667,0.08333333333333333,,,,,,,0.0,2.0,63.25,9.157192073264962,41.0,58.75,63.0,67.75,79.0,63.25,9.157192073264962,41.0,58.75,63.0,67.75,79.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,11.0,,,,,,,,,1.0,,,,11.0,,
多賀町議会議員選挙（2016年03月13日投票）,多賀町議会議員選挙,滋賀県,多賀町,20160313.0,2016.0,3.0,13.0,20160308.0,80.21,12.0,17.0,1.4166666666666667,6247.0,,,-256.0,任期満了,,,,,多賀町議会議員選挙（2016年03月13日投票）,1.0,17.0,12.0,1.4166666666666667,0.0,0.0,0.0,0.058823529411764705,0.0,0.6470588235294118,0.35294117647058826,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6482982171799028,0.35170178282009723,,0.05893620156180934,0.05861696380334954,,4936.0,0.0,66.29411764705883,8.144032141118485,45.0,62.0,67.0,69.0,83.0,64.41666666666667,7.330965526829024,45.0,61.75,66.5,69.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多賀町議会議員選挙（2020年03月15日投票）,多賀町議会議員選挙,滋賀県,多賀町,20200315.0,2020.0,3.0,15.0,20200310.0,72.8,12.0,13.0,1.0833333333333333,,,,,任期満了,80.21,,,,多賀町議会議員選挙（2020年03月15日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,0.6923076923076923,0.3076923076923077,0.0,0.75,0.25,0.0,0.7122048112999337,0.2877951887000662,,0.07913386792221486,0.07194879717501655,,4531.0,2.0,68.23076923076923,6.6581800025792,49.0,66.0,71.0,71.0,78.0,68.0,6.879922480183431,49.0,65.75,69.5,71.5,78.0,,,,,,,420.0,,,,4111.0,,,4531.0,,,,,,,0.09269476936658574,,,,0.9073052306334143,,,1.0,,,,,,,0.09269476936658574,,,,0.07560876921945119,,,,,,,,,1.0,,,,12.0,,,,,,,,,1.0,,,,11.0,,
大津市議会議員増員選挙（2006年04月16日投票）,大津市議会議員増員選挙,滋賀県,大津市,20060416.0,2006.0,4.0,16.0,20060409.0,56.45,3.0,8.0,2.6666666666666665,18298.0,,,,増員,,,,,大津市議会議員増員選挙（2006年04月16日投票）,1.0,8.0,3.0,2.6666666666666665,0.0,0.0,0.0,0.25,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.125,,10179.0,2.0,56.75,11.166355717063647,32.0,52.0,59.0,65.0,70.0,57.666666666666664,5.436502143433364,52.0,54.0,56.0,60.5,65.0,,,,,,,2083.0,,,,8096.0,,,10179.0,,,,,,,0.20463699774044602,,,,0.795363002259554,,,1.0,,,,,,,0.20463699774044602,,,,0.11362328603707915,,,,,,,,,1.0,,,,7.0,,,,,,,,,1.0,,,,2.0,,
大津市議会議員補欠選挙（2004年01月25日投票）,大津市議会議員補欠選挙,滋賀県,大津市,20040125.0,2004.0,1.0,25.0,20040118.0,42.46,1.0,3.0,3.0,230786.0,,,,その他,,,,,大津市議会議員補欠選挙（2004年01月25日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.7486188446145815,0.2513811553854185,,0.37430942230729075,0.2513811553854185,91952.0,2.0,46.333333333333336,12.11977264179856,30.0,40.0,50.0,54.5,59.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,,,,,,,23115.0,,,,68837.0,,,91952.0,,,,,,,0.2513811553854185,,,,0.7486188446145815,,,1.0,,,,,,,0.2513811553854185,,,,0.37430942230729075,,,,,,,,,1.0,,,,2.0,,,,,,,,,0.0,,,,1.0,,
大津市議会議員選挙（2003年04月27日投票）,大津市議会議員選挙,滋賀県,大津市,20030427.0,2003.0,4.0,27.0,20030420.0,46.63,38.0,44.0,1.1578947368421053,226573.0,,,,任期満了,,,,,大津市議会議員選挙（2003年04月27日投票）,1.0,44.0,38.0,1.1578947368421053,0.0,0.0,0.0,0.20454545454545456,0.18421052631578946,0.7045454545454546,0.29545454545454547,0.0,0.7631578947368421,0.23684210526315788,0.0,0.7384703016650154,0.2615296983349847,,0.023821622634355336,0.02011766910269113,,104247.09,5.0,56.18181818181818,8.194434716963613,38.0,52.5,57.0,60.25,79.0,56.31578947368421,8.360638552665115,38.0,53.0,57.0,60.75,79.0,,,,13673.630000000001,,,14042.0,,9333.0,,64536.119999999995,,2662.34,104247.09,,,,0.13116557977781443,,,0.13469920359407636,,0.08952767890211612,,0.6190687912727347,,0.025538746453258314,1.0,,,,0.026233115955562887,,,0.022449867265679394,,0.029842559634038705,,0.021347199699059818,,0.025538746453258314,,,,5.0,,,6.0,,3.0,,29.0,,1.0,,,,5.0,,,5.0,,3.0,,24.0,,1.0
大津市議会議員選挙（2007年04月22日投票）,大津市議会議員選挙,滋賀県,大津市,20070422.0,2007.0,4.0,22.0,20070415.0,51.08,40.0,55.0,1.375,254308.0,,,27735.0,任期満了,46.63,,,,大津市議会議員選挙（2007年04月22日投票）,1.0,55.0,40.0,1.375,0.0,0.0,0.0,0.09090909090909091,0.075,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.01818181818181818,,,128459.98999999999,5.0,53.472727272727276,9.583801761219142,27.0,47.5,57.0,60.0,69.0,52.575,9.764444428640063,27.0,46.0,56.0,60.0,67.0,,,,14661.98,,,15827.0,,12383.32,,80472.57,,5115.120000000001,128459.99,,,,0.11413654944235944,,,0.12320567672471405,,0.09639826377068844,,0.6264407306897658,,0.03981877937247232,1.0,,,,0.02282730988847189,,,0.02053427945411901,,0.02409956594267211,,0.016485282386572785,,0.01990938968623616,,,,5.0,,,6.0,,4.0,,38.0,,2.0,,,,5.0,,,6.0,,3.0,,24.0,,2.0
大津市議会議員選挙（2011年04月24日投票）,大津市議会議員選挙,滋賀県,大津市,20110424.0,2011.0,4.0,24.0,20110417.0,46.23,38.0,45.0,1.1842105263157894,264497.0,,,10189.0,任期満了,51.08,,,,大津市議会議員選挙（2011年04月24日投票）,1.0,45.0,38.0,1.1842105263157894,0.0,0.0,0.0,0.1111111111111111,0.13157894736842105,0.6888888888888889,0.3111111111111111,0.0,0.7105263157894737,0.2894736842105263,0.0,0.6931239599632417,0.30687604003675834,,0.02235883741816909,0.02191971714548274,,120789.0,6.0,,,,,,,,,,,,,,,,,4465.58,14453.28,,,15435.0,,10607.0,,67434.95,,8393.19,120789.0,,,0.036970088335858395,0.1196572535578571,,,0.12778481484241114,,0.08781428772487561,,0.5582871784682379,,0.06948637707075976,1.0,,,0.036970088335858395,0.02393145071157142,,,0.021297469140401856,,0.029271429241625204,,0.01993882780243707,,0.03474318853537988,,,1.0,5.0,,,6.0,,3.0,,28.0,,2.0,,,1.0,5.0,,,6.0,,3.0,,21.0,,2.0
