,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_みどり京都,得票数_みんなの党,得票数_京都党,得票数_公明党,得票数_北近畿の明日をつくる会,得票数_向日市・生活者ネットワーク,得票数_国民新党,得票数_国民民主党,得票数_地域政党ふくちやま,得票数_地域政党京都久御山党,得票数_地域政党京都党,得票数_地域政党京都宇治党,得票数_宇治維新21（片岡維新）,得票数_宇治維新の会,得票数_市民ネットワーク・きょうと,得票数_幸福実現党,得票数_政事公団太平会,得票数_新社会党,得票数_日本共産党,得票数_日本第一党,得票数_日本維新の会,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_みどり京都,得票率_みんなの党,得票率_京都党,得票率_公明党,得票率_北近畿の明日をつくる会,得票率_向日市・生活者ネットワーク,得票率_国民新党,得票率_国民民主党,得票率_地域政党ふくちやま,得票率_地域政党京都久御山党,得票率_地域政党京都党,得票率_地域政党京都宇治党,得票率_宇治維新21（片岡維新）,得票率_宇治維新の会,得票率_市民ネットワーク・きょうと,得票率_幸福実現党,得票率_政事公団太平会,得票率_新社会党,得票率_日本共産党,得票率_日本第一党,得票率_日本維新の会,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_みどり京都,一人あたり得票率_みんなの党,一人あたり得票率_京都党,一人あたり得票率_公明党,一人あたり得票率_北近畿の明日をつくる会,一人あたり得票率_向日市・生活者ネットワーク,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党ふくちやま,一人あたり得票率_地域政党京都久御山党,一人あたり得票率_地域政党京都党,一人あたり得票率_地域政党京都宇治党,一人あたり得票率_宇治維新21（片岡維新）,一人あたり得票率_宇治維新の会,一人あたり得票率_市民ネットワーク・きょうと,一人あたり得票率_幸福実現党,一人あたり得票率_政事公団太平会,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本第一党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_みどり京都,立候補者数_みんなの党,立候補者数_京都党,立候補者数_公明党,立候補者数_北近畿の明日をつくる会,立候補者数_向日市・生活者ネットワーク,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_地域政党ふくちやま,立候補者数_地域政党京都久御山党,立候補者数_地域政党京都党,立候補者数_地域政党京都宇治党,立候補者数_宇治維新21（片岡維新）,立候補者数_宇治維新の会,立候補者数_市民ネットワーク・きょうと,立候補者数_幸福実現党,立候補者数_政事公団太平会,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本第一党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_みどり京都,当選者数_みんなの党,当選者数_京都党,当選者数_公明党,当選者数_北近畿の明日をつくる会,当選者数_向日市・生活者ネットワーク,当選者数_国民新党,当選者数_国民民主党,当選者数_地域政党ふくちやま,当選者数_地域政党京都久御山党,当選者数_地域政党京都党,当選者数_地域政党京都宇治党,当選者数_宇治維新21（片岡維新）,当選者数_宇治維新の会,当選者数_市民ネットワーク・きょうと,当選者数_幸福実現党,当選者数_政事公団太平会,当選者数_新社会党,当選者数_日本共産党,当選者数_日本第一党,当選者数_日本維新の会,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由党,当選者数_自由民主党
与謝野町議会議員選挙（2006年04月16日投票）,与謝野町議会議員選挙,京都府,与謝野町,20060416.0,2006.0,4.0,16.0,20060411.0,81.55,18.0,27.0,1.5,20250.0,,,,任期満了,,,,,与謝野町議会議員選挙（2006年04月16日投票）,1.0,27.0,18.0,1.5,0.0,0.0,0.0,0.07407407407407407,0.05555555555555555,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.037037037037037035,,16311.0,2.0,57.96296296296296,9.488712520406787,27.0,56.0,59.0,65.0,71.0,58.5,8.434387285919996,38.0,55.25,58.0,65.75,71.0,,,,,,,,,,,,,,,,,,,,2281.0,,,,14030.0,,,,,,16311.0,,,,,,,,,,,,,,,,,,,,0.13984427686837103,,,,0.8601557231316289,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.04661475895612368,,,,0.03583982179715121,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,15.0,,,,,
与謝野町議会議員選挙（2010年04月11日投票）,与謝野町議会議員選挙,京都府,与謝野町,20100411.0,2010.0,4.0,11.0,20100406.0,75.89,18.0,20.0,1.1111111111111112,19643.0,,,-607.0,任期満了,81.55,,,,与謝野町議会議員選挙（2010年04月11日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.65,0.35,0.0,0.7222222222222222,0.2777777777777778,0.0,0.6950669581852965,0.3049330418147035,,0.053466689091176654,0.04356186311638621,,14636.0,3.0,,,,,,,,,,,,,,,,,,,1019.0,,,,,,,,,,,,,,,1940.0,,,,11677.0,,,,,,14636.0,,,,,0.06962284777261547,,,,,,,,,,,,,,,0.13254987701557802,,,,0.7978272752118065,,,,,,1.0,,,,,0.06962284777261547,,,,,,,,,,,,,,,0.044183292338526005,,,,0.04986420470073791,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,16.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,14.0,,,,,
与謝野町議会議員選挙（2014年04月06日投票）,与謝野町議会議員選挙,京都府,与謝野町,20140406.0,2014.0,4.0,6.0,20140401.0,,16.0,18.0,1.125,,,,,任期満了,75.89,,,,与謝野町議会議員選挙（2014年04月06日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.5625,0.4375,0.0,0.5611424276587749,0.4388575723412251,,0.05611424276587749,0.054857196542653135,,13305.0,3.0,63.27777777777778,9.078702523277917,39.0,61.5,65.5,68.75,77.0,62.625,9.426525075551435,39.0,59.5,65.0,68.25,77.0,,,,,1082.0,,,,,,,,,,,,,,,1940.0,,,,10283.0,,,,,,13305.0,,,,,0.0813228109733183,,,,,,,,,,,,,,,0.1458098459225855,,,,0.7728673431040962,,,,,,1.0,,,,,0.0813228109733183,,,,,,,,,,,,,,,0.04860328197419517,,,,0.055204810221721155,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,14.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,12.0,,,,,
与謝野町議会議員選挙（2018年04月08日投票）,与謝野町議会議員選挙,京都府,与謝野町,20180408.0,2018.0,4.0,8.0,20180403.0,67.81,16.0,18.0,1.125,,,,,任期満了,,,,,与謝野町議会議員選挙（2018年04月08日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.3888888888888889,0.05555555555555555,0.5625,0.375,0.0625,0.6004753811240273,0.36592356711388024,0.033601051762092424,0.06004753811240273,0.05227479530198289,0.033601051762092424,12201.999,3.0,59.888888888888886,13.91198080348529,36.0,50.75,64.0,71.25,81.0,59.1875,13.537996297458498,36.0,50.5,64.0,69.75,77.0,,,,,936.0,,,,,,,,,,,,,,,1909.0,,,,9356.999,,,,,,12201.999,,,,,0.07670874255931344,,,,,,,,,,,,,,,0.15644977515569375,,,,0.7668414822849928,,,,,,1.0,,,,,0.07670874255931344,,,,,,,,,,,,,,,0.052149925051897916,,,,0.0547743915917852,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,14.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,12.0,,,,,
久御山町議会議員補欠選挙（2000年08月20日投票）,久御山町議会議員補欠選挙,京都府,久御山町,20000820.0,2000.0,8.0,20.0,20000815.0,64.69,1.0,2.0,2.0,13816.0,,,,その他,,,,,久御山町議会議員補欠選挙（2000年08月20日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.5,,,8414.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3752.0,,,,4662.0,,,,,,8414.0,,,,,,,,,,,,,,,,,,,,0.4459234608985025,,,,0.5540765391014975,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.4459234608985025,,,,0.5540765391014975,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,
久御山町議会議員補欠選挙（2012年08月26日投票）,久御山町議会議員補欠選挙,京都府,久御山町,20120826.0,2012.0,8.0,26.0,20120821.0,無投票,1.0,1.0,1.0,13202.0,,,-614.0,その他,64.69,,,,久御山町議会議員補欠選挙（2012年08月26日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,44.0,0.0,44.0,44.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,44.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
久御山町議会議員選挙（1999年04月25日投票）,久御山町議会議員選挙,京都府,久御山町,19990425.0,1999.0,4.0,25.0,19990420.0,64.7,16.0,18.0,1.125,13814.0,,,,任期満了,,,,,久御山町議会議員選挙（1999年04月25日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.05555555555555555,,,8837.0,3.0,,,,,,,,,,,,,,,,,,,1101.0,,,,,,,,,,,,,,,1389.0,,,,6347.0,,,,,,8837.0,,,,,0.12458979291614801,,,,,,,,,,,,,,,0.15718003847459544,,,,0.7182301686092565,,,,,,1.0,,,,,0.062294896458074005,,,,,,,,,,,,,,,0.05239334615819848,,,,0.055248474508404345,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,13.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,12.0,,,,,
久御山町議会議員選挙（2003年04月27日投票）,久御山町議会議員選挙,京都府,久御山町,20030427.0,2003.0,4.0,27.0,20030422.0,無投票,16.0,16.0,1.0,13779.0,,,-35.0,任期満了,64.7,,,,久御山町議会議員選挙（2003年04月27日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,12.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,12.0,,,,,
久御山町議会議員選挙（2007年04月22日投票）,久御山町議会議員選挙,京都府,久御山町,20070422.0,2007.0,4.0,22.0,20070417.0,56.8,16.0,17.0,1.0625,13413.0,,,-366.0,任期満了,,,,,久御山町議会議員選挙（2007年04月22日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.17647058823529413,0.1875,0.6470588235294118,0.35294117647058826,0.0,0.6875,0.3125,0.0,0.6740455991516436,0.3259544008483563,,0.061276872650149423,0.05432573347472605,,7544.0,3.0,56.23529411764706,8.523527381967037,40.0,51.0,58.0,62.0,69.0,55.4375,8.146845631899502,40.0,50.25,58.0,60.5,69.0,,,,,1072.0,,,,,,,,,,,,,,,843.0,,,,5629.0,,,,,,7544.0,,,,,0.1420996818663839,,,,,,,,,,,,,,,0.11174443266171792,,,,0.7461558854718982,,,,,,1.0,,,,,0.07104984093319194,,,,,,,,,,,,,,,0.05587221633085896,,,,0.057396606574761394,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,13.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,12.0,,,,,
久御山町議会議員選挙（2011年04月24日投票）,久御山町議会議員選挙,京都府,久御山町,20110424.0,2011.0,4.0,24.0,20110419.0,56.69,14.0,16.0,1.1428571428571428,13090.0,,,-323.0,任期満了,56.8,,,,久御山町議会議員選挙（2011年04月24日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.1875,0.21428571428571427,0.8125,0.1875,0.0,0.7857142857142857,0.21428571428571427,0.0,0.7788958389991841,0.22110416100081587,,0.05991506453839878,0.07370138700027196,,7354.0,3.0,,,,,,,,,,,,,,,,,,,1059.0,,,,,,,,,,,,,,,786.0,,,,5509.0,,,,,,7354.0,,,,,0.14400326353005166,,,,,,,,,,,,,,,0.10688060919227631,,,,0.749116127277672,,,,,,1.0,,,,,0.07200163176502583,,,,,,,,,,,,,,,0.053440304596138154,,,,0.062426343939806,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,12.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,10.0,,,,,
