,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_　,得票数_ありが党,得票数_さやま維新の会,得票数_しょぼい政党,得票数_まずは議員と役人の高額給与をカットし、市民サービス向上への財源を確保する会,得票数_みんなの党,得票数_フレッシュ八尾,得票数_介護の党,得票数_令和泉州,得票数_公明党,得票数_公民,得票数_吹田いきいき市民ネットワーク,得票数_吹田・維新の会,得票数_吹田新選会,得票数_四條畷維新の会,得票数_国民新党,得票数_国民民主党,得票数_地域政党ええねん藤井寺議員報酬半減,得票数_大東維新の会,得票数_大阪再生ネットワーク,得票数_大阪狭山維新の会,得票数_大阪維新 ,得票数_大阪維新の会,得票数_大阪維新の会　四条畷,得票数_大阪維新の会　箕面,得票数_大阪維新の会いばらき,得票数_大阪維新の会高槻・島本,得票数_市役所を民・営・化する会,得票数_市民ファーストの会,得票数_幸福実現党,得票数_新社会党,得票数_日本デザイン連,得票数_日本共産党,得票数_日本労働党,得票数_日本第一党,得票数_日本維新の会,得票数_東大阪新風会,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_災害に強い街をつくる会,得票数_無所属,得票数_社会党,得票数_社会民主党,得票数_立憲民主党,得票数_維新の会東大阪,得票数_維新政党・新風,得票数_緑の党 グリーンズジャパン,得票数_緑の党グリーンズジャパン,得票数_自由党,得票数_自由民主党,得票数_西成大阪維新の会,得票数_見張り番、東大阪,得票数_闘う改革の会 大阪,得票数_高槻ご意見番,得票数_高槻維新の会,得票数_高槻繁盛連,得票数_龍馬プロジェクトx吹田新撰会,得票数_sum_v,得票率_NHKから国民を守る党,得票率_　,得票率_ありが党,得票率_さやま維新の会,得票率_しょぼい政党,得票率_まずは議員と役人の高額給与をカットし、市民サービス向上への財源を確保する会,得票率_みんなの党,得票率_フレッシュ八尾,得票率_介護の党,得票率_令和泉州,得票率_公明党,得票率_公民,得票率_吹田いきいき市民ネットワーク,得票率_吹田・維新の会,得票率_吹田新選会,得票率_四條畷維新の会,得票率_国民新党,得票率_国民民主党,得票率_地域政党ええねん藤井寺議員報酬半減,得票率_大東維新の会,得票率_大阪再生ネットワーク,得票率_大阪狭山維新の会,得票率_大阪維新 ,得票率_大阪維新の会,得票率_大阪維新の会　四条畷,得票率_大阪維新の会　箕面,得票率_大阪維新の会いばらき,得票率_大阪維新の会高槻・島本,得票率_市役所を民・営・化する会,得票率_市民ファーストの会,得票率_幸福実現党,得票率_新社会党,得票率_日本デザイン連,得票率_日本共産党,得票率_日本労働党,得票率_日本第一党,得票率_日本維新の会,得票率_東大阪新風会,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_災害に強い街をつくる会,得票率_無所属,得票率_社会党,得票率_社会民主党,得票率_立憲民主党,得票率_維新の会東大阪,得票率_維新政党・新風,得票率_緑の党 グリーンズジャパン,得票率_緑の党グリーンズジャパン,得票率_自由党,得票率_自由民主党,得票率_西成大阪維新の会,得票率_見張り番、東大阪,得票率_闘う改革の会 大阪,得票率_高槻ご意見番,得票率_高槻維新の会,得票率_高槻繁盛連,得票率_龍馬プロジェクトx吹田新撰会,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_　,一人あたり得票率_ありが党,一人あたり得票率_さやま維新の会,一人あたり得票率_しょぼい政党,一人あたり得票率_まずは議員と役人の高額給与をカットし、市民サービス向上への財源を確保する会,一人あたり得票率_みんなの党,一人あたり得票率_フレッシュ八尾,一人あたり得票率_介護の党,一人あたり得票率_令和泉州,一人あたり得票率_公明党,一人あたり得票率_公民,一人あたり得票率_吹田いきいき市民ネットワーク,一人あたり得票率_吹田・維新の会,一人あたり得票率_吹田新選会,一人あたり得票率_四條畷維新の会,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党ええねん藤井寺議員報酬半減,一人あたり得票率_大東維新の会,一人あたり得票率_大阪再生ネットワーク,一人あたり得票率_大阪狭山維新の会,一人あたり得票率_大阪維新 ,一人あたり得票率_大阪維新の会,一人あたり得票率_大阪維新の会　四条畷,一人あたり得票率_大阪維新の会　箕面,一人あたり得票率_大阪維新の会いばらき,一人あたり得票率_大阪維新の会高槻・島本,一人あたり得票率_市役所を民・営・化する会,一人あたり得票率_市民ファーストの会,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本デザイン連,一人あたり得票率_日本共産党,一人あたり得票率_日本労働党,一人あたり得票率_日本第一党,一人あたり得票率_日本維新の会,一人あたり得票率_東大阪新風会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_災害に強い街をつくる会,一人あたり得票率_無所属,一人あたり得票率_社会党,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の会東大阪,一人あたり得票率_維新政党・新風,一人あたり得票率_緑の党 グリーンズジャパン,一人あたり得票率_緑の党グリーンズジャパン,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_西成大阪維新の会,一人あたり得票率_見張り番、東大阪,一人あたり得票率_闘う改革の会 大阪,一人あたり得票率_高槻ご意見番,一人あたり得票率_高槻維新の会,一人あたり得票率_高槻繁盛連,一人あたり得票率_龍馬プロジェクトx吹田新撰会,立候補者数_NHKから国民を守る党,立候補者数_　,立候補者数_ありが党,立候補者数_さやま維新の会,立候補者数_しょぼい政党,立候補者数_まずは議員と役人の高額給与をカットし、市民サービス向上への財源を確保する会,立候補者数_みんなの党,立候補者数_フレッシュ八尾,立候補者数_介護の党,立候補者数_令和泉州,立候補者数_公明党,立候補者数_公民,立候補者数_吹田いきいき市民ネットワーク,立候補者数_吹田・維新の会,立候補者数_吹田新選会,立候補者数_四條畷維新の会,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_地域政党ええねん藤井寺議員報酬半減,立候補者数_大東維新の会,立候補者数_大阪再生ネットワーク,立候補者数_大阪狭山維新の会,立候補者数_大阪維新 ,立候補者数_大阪維新の会,立候補者数_大阪維新の会　四条畷,立候補者数_大阪維新の会　箕面,立候補者数_大阪維新の会いばらき,立候補者数_大阪維新の会高槻・島本,立候補者数_市役所を民・営・化する会,立候補者数_市民ファーストの会,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本デザイン連,立候補者数_日本共産党,立候補者数_日本労働党,立候補者数_日本第一党,立候補者数_日本維新の会,立候補者数_東大阪新風会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_災害に強い街をつくる会,立候補者数_無所属,立候補者数_社会党,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の会東大阪,立候補者数_維新政党・新風,立候補者数_緑の党 グリーンズジャパン,立候補者数_緑の党グリーンズジャパン,立候補者数_自由党,立候補者数_自由民主党,立候補者数_西成大阪維新の会,立候補者数_見張り番、東大阪,立候補者数_闘う改革の会 大阪,立候補者数_高槻ご意見番,立候補者数_高槻維新の会,立候補者数_高槻繁盛連,立候補者数_龍馬プロジェクトx吹田新撰会,当選者数_NHKから国民を守る党,当選者数_　,当選者数_ありが党,当選者数_さやま維新の会,当選者数_しょぼい政党,当選者数_まずは議員と役人の高額給与をカットし、市民サービス向上への財源を確保する会,当選者数_みんなの党,当選者数_フレッシュ八尾,当選者数_介護の党,当選者数_令和泉州,当選者数_公明党,当選者数_公民,当選者数_吹田いきいき市民ネットワーク,当選者数_吹田・維新の会,当選者数_吹田新選会,当選者数_四條畷維新の会,当選者数_国民新党,当選者数_国民民主党,当選者数_地域政党ええねん藤井寺議員報酬半減,当選者数_大東維新の会,当選者数_大阪再生ネットワーク,当選者数_大阪狭山維新の会,当選者数_大阪維新 ,当選者数_大阪維新の会,当選者数_大阪維新の会　四条畷,当選者数_大阪維新の会　箕面,当選者数_大阪維新の会いばらき,当選者数_大阪維新の会高槻・島本,当選者数_市役所を民・営・化する会,当選者数_市民ファーストの会,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本デザイン連,当選者数_日本共産党,当選者数_日本労働党,当選者数_日本第一党,当選者数_日本維新の会,当選者数_東大阪新風会,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_災害に強い街をつくる会,当選者数_無所属,当選者数_社会党,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の会東大阪,当選者数_維新政党・新風,当選者数_緑の党 グリーンズジャパン,当選者数_緑の党グリーンズジャパン,当選者数_自由党,当選者数_自由民主党,当選者数_西成大阪維新の会,当選者数_見張り番、東大阪,当選者数_闘う改革の会 大阪,当選者数_高槻ご意見番,当選者数_高槻維新の会,当選者数_高槻繁盛連,当選者数_龍馬プロジェクトx吹田新撰会
交野市議会議員補欠選挙（2006年09月03日投票）,交野市議会議員補欠選挙,大阪府,交野市,20060903.0,2006.0,9.0,3.0,20060827.0,44.18,1.0,2.0,2.0,61692.0,,,,その他,,,,,交野市議会議員補欠選挙（2006年09月03日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.5,,,25222.0,2.0,36.0,2.0,34.0,35.0,36.0,37.0,38.0,38.0,0.0,38.0,38.0,38.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13833.0,,,,,,,,,11389.0,,,,,,,,25222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5484497660772342,,,,,,,,,0.45155023392276583,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5484497660772342,,,,,,,,,0.45155023392276583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,
交野市議会議員選挙（2007年09月09日投票）,交野市議会議員選挙,大阪府,交野市,20070909.0,2007.0,9.0,9.0,20070902.0,58.28,1.0,23.0,23.0,61655.0,,,,任期満了,,,,,交野市議会議員選挙（2007年09月09日投票）,1.0,23.0,17.0,1.3529411764705883,0.0,0.0,0.0,0.2608695652173913,0.35294117647058826,0.6086956521739131,0.34782608695652173,0.043478260869565216,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.6752722035788913,0.2800066482013446,0.04472114821976418,0.048233728827063664,0.03500083102516807,0.04472114821976418,35016.99,5.0,52.08695652173913,10.462824639307124,32.0,42.0,55.0,60.0,67.0,53.529411764705884,9.33127345863691,34.0,52.0,55.0,60.0,67.0,,,,,,,,,,,7465.0,,,,,,,,,,,,,,,,,,,,,,,5106.0,,,,,,6621.0,,,,11620.99,,,,,,,,,4204.0,,,,,,,,35016.99,,,,,,,,,,,0.21318222954057445,,,,,,,,,,,,,,,,,,,,,,,0.14581493155179814,,,,,,0.18907964390999912,,,,0.3318671878993597,,,,,,,,,0.1200560070982686,,,,,,,,1.0,,,,,,,,,,,0.05329555738514361,,,,,,,,,,,,,,,,,,,,,,,0.04860497718393272,,,,,,0.06302654796999971,,,,0.03318671878993597,,,,,,,,,0.0400186690327562,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,10.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,5.0,,,,,,,,,2.0,,,,,,,
交野市議会議員選挙（2011年09月11日投票）,交野市議会議員選挙,大阪府,交野市,20110911.0,2011.0,9.0,11.0,20110904.0,53.63,15.0,20.0,1.3333333333333333,61801.0,,,146.0,任期満了,58.28,,,,交野市議会議員選挙（2011年09月11日投票）,1.0,20.0,15.0,1.3333333333333333,0.0,0.0,0.0,0.25,0.3333333333333333,0.65,0.3,0.05,0.7333333333333333,0.26666666666666666,0.0,0.7429025456101214,0.23903676313296457,0.018060691256914098,0.05714634966231703,0.03983946052216076,0.018060691256914098,32723.0,6.0,,,,,,,,,,,,,,,,,,,,,1560.0,,,,7249.0,,,,,,,,,,,,,,,,,,,,,,,5440.0,,,,,,6729.0,,,,7482.0,,,,,,,,,4263.0,,,,,,,,32723.0,,,,,,,0.047672890627387464,,,,0.2215261436909819,,,,,,,,,,,,,,,,,,,,,,,0.1662439262903768,,,,,,0.2056351801485194,,,,0.22864651773981604,,,,,,,,,0.13027534150291845,,,,,,,,1.0,,,,,,,0.047672890627387464,,,,0.07384204789699396,,,,,,,,,,,,,,,,,,,,,,,0.05541464209679226,,,,,,0.05140879503712985,,,,0.03810775295663601,,,,,,,,,0.043425113834306146,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,6.0,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,3.0,,,,,,,,,2.0,,,,,,,
交野市議会議員選挙（2015年09月13日投票）,交野市議会議員選挙,大阪府,交野市,20150913.0,2015.0,9.0,13.0,20150906.0,55.71,15.0,19.0,1.2666666666666666,,,,,任期満了,53.63,,,,交野市議会議員選挙（2015年09月13日投票）,1.0,19.0,15.0,1.2666666666666666,0.0,0.0,0.0,0.3684210526315789,0.4666666666666667,0.5263157894736842,0.47368421052631576,0.0,0.6,0.4,0.0,0.5132101013067097,0.4867898986932903,,0.051321010130670974,0.054087766521476704,,34055.0,6.0,49.36842105263158,15.156067141284897,28.0,35.0,48.0,62.5,81.0,46.06666666666667,12.3205338989654,28.0,35.0,42.0,60.0,63.0,,,,,,,,,,,6470.0,,,,,,,,,,,,,4806.0,,,,,,,,,,4847.0,,,,,,3286.0,,,,11274.630000000001,,,,,,,,,3371.37,,,,,,,,34055.0,,,,,,,,,,,0.189986786081339,,,,,,,,,,,,,0.14112465129936866,,,,,,,,,,0.1423285861107033,,,,,,0.09649097048891499,,,,0.3310712083394509,,,,,,,,,0.09899779768022317,,,,,,,,1.0,,,,,,,,,,,0.06332892869377967,,,,,,,,,,,,,0.07056232564968433,,,,,,,,,,0.047442862036901096,,,,,,0.048245485244457494,,,,0.047295886905635846,,,,,,,,,0.049498898840111584,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,2.0,,,,7.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,2.0,,,,3.0,,,,,,,,,2.0,,,,,,,
交野市議会議員選挙（2019年09月08日投票）,交野市議会議員選挙,大阪府,交野市,20190908.0,2019.0,9.0,8.0,20190901.0,48.85,15.0,19.0,1.2666666666666666,,,,,任期満了,55.71,,,,交野市議会議員選挙（2019年09月08日投票）,1.0,19.0,15.0,1.2666666666666666,0.0,0.0,0.0,0.3157894736842105,0.3333333333333333,0.5263157894736842,0.3684210526315789,0.10526315789473684,0.6,0.26666666666666666,0.13333333333333333,0.5617427030723996,0.23846352921060612,0.1997937677169943,0.05617427030723996,0.03406621845865802,0.09989688385849715,31031.999,7.0,46.73684210526316,11.382544832760647,31.0,39.0,45.0,53.0,71.0,45.8,9.579144011862438,32.0,40.0,45.0,50.5,64.0,466.0,,,,,,,,,,5902.0,,,,,,,1701.0,,,,,,4779.0,,,,,,,,,,4311.0,,,,,,,,,,11945.197,,,,,,,,,1927.8020000000001,,,,,,,,31031.999,0.01501675738001925,,,,,,,,,,0.19019077694608072,,,,,,,0.05481438691719473,,,,,,0.154002325148309,,,,,,,,,,0.1389211181658004,,,,,,,,,,0.38493159915350605,,,,,,,,,0.062123036289089856,,,,,,,,1.0,0.01501675738001925,,,,,,,,,,0.06339692564869358,,,,,,,0.05481438691719473,,,,,,0.051334108382769666,,,,,,,,,,0.04630703938860014,,,,,,,,,,0.05499022845050087,,,,,,,,,0.062123036289089856,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,1.0,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,7.0,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,3.0,,,,,,,1.0,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,
八尾市議会議員選挙（2003年04月27日投票）,八尾市議会議員選挙,大阪府,八尾市,20030427.0,2003.0,4.0,27.0,20030420.0,52.02,34.0,42.0,1.2352941176470589,212025.0,,,,任期満了,,,,,八尾市議会議員選挙（2003年04月27日投票）,1.0,42.0,34.0,1.2352941176470589,0.0,0.0,0.0,0.19047619047619047,0.20588235294117646,0.7380952380952381,0.23809523809523808,0.023809523809523808,0.8529411764705882,0.11764705882352941,0.029411764705882353,0.8302559231956558,0.1432982559852077,0.026445820819136552,0.026782449135343736,0.01432982559852077,0.026445820819136552,107720.98999999999,4.0,53.5,10.679865346038957,28.0,48.0,55.0,62.0,74.0,53.529411764705884,10.858001370953419,28.0,48.0,56.5,62.0,74.0,,,,,,,,,,,21818.0,,,,,,,,,,,,,,,,,,,,,,,19503.239999999998,,,,,,,,,,57538.75,,,,,,,,,8861.0,,,,,,,,107720.98999999999,,,,,,,,,,,0.20254177017868108,,,,,,,,,,,,,,,,,,,,,,,0.1810532933275121,,,,,,,,,,0.534146130665899,,,,,,,,,0.08225880582790783,,,,,,,,1.0,,,,,,,,,,,0.02893453859695444,,,,,,,,,,,,,,,,,,,,,,,0.022631661665939013,,,,,,,,,,0.023223744811560827,,,,,,,,,0.020564701456976957,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,23.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,18.0,,,,,,,,,3.0,,,,,,,
八尾市議会議員選挙（2007年04月22日投票）,八尾市議会議員選挙,大阪府,八尾市,20070422.0,2007.0,4.0,22.0,20070415.0,52.64,32.0,41.0,1.28125,212646.0,,,621.0,任期満了,52.02,,,,八尾市議会議員選挙（2007年04月22日投票）,1.0,41.0,32.0,1.28125,0.0,0.0,0.0,0.17073170731707318,0.21875,0.6585365853658537,0.3170731707317073,0.024390243902439025,0.78125,0.1875,0.03125,0.7544317850902738,0.2247743156668608,0.02079389924286546,0.027941917966306434,0.017290331974373907,0.02079389924286546,109888.0,6.0,54.1219512195122,10.93036745851247,27.0,47.0,55.0,63.0,78.0,55.28125,10.35686479768371,32.0,47.0,57.0,63.0,78.0,,,,,,,,,,,22347.0,,,,,,,,,,,,,,,,,,,,,,,20600.04,,,,,,2782.0,,,,53758.96,,524.0,,,,,,,9876.0,,,,,,,,109888.0,,,,,,,,,,,0.20336160454280722,,,,,,,,,,,,,,,,,,,,,,,0.18746396330809553,,,,,,0.025316686080372745,,,,0.48921592894583577,,0.0047684915550378565,,,,,,,0.08987332556785091,,,,,,,,1.0,,,,,,,,,,,0.029051657791829603,,,,,,,,,,,,,,,,,,,,,,,0.026780566186870792,,,,,,0.025316686080372745,,,,0.02223708767935617,,0.0047684915550378565,,,,,,,0.029957775189283636,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,1.0,,,,22.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,1.0,,,,15.0,,0.0,,,,,,,3.0,,,,,,,
八尾市議会議員選挙（2011年04月24日投票）,八尾市議会議員選挙,大阪府,八尾市,20110424.0,2011.0,4.0,24.0,20110417.0,47.62,28.0,33.0,1.1785714285714286,212205.0,,,-441.0,任期満了,52.64,,,,八尾市議会議員選挙（2011年04月24日投票）,1.0,33.0,28.0,1.1785714285714286,0.0,0.0,0.0,0.18181818181818182,0.21428571428571427,0.696969696969697,0.2727272727272727,0.030303030303030304,0.7857142857142857,0.21428571428571427,0.0,0.7515232372118794,0.22908062191447373,0.019396140873646946,0.032674923357038234,0.025453402434941527,0.019396140873646946,99194.98999999999,6.0,53.54545454545455,11.507812653415753,29.0,48.0,55.0,61.0,72.0,53.82142857142857,11.585254086333109,29.0,48.25,55.5,61.25,72.0,,,,,,,,1647.43,,,20980.0,,,,,,,,,,,,,,,,,,,,,,,16828.739999999998,,,,,,4183.0,,,,45896.82,,,,,,,,,9659.0,,,,,,,,99194.98999999999,,,,,,,,0.0166079960288317,,,0.21150261721887367,,,,,,,,,,,,,,,,,,,,,,,0.1696531246184913,,,,,,0.04216946843787171,,,,0.4626929243099879,,,,,,,,,0.09737386938594379,,,,,,,,1.0,,,,,,,,0.0166079960288317,,,0.035250436203145614,,,,,,,,,,,,,,,,,,,,,,,0.02827552076974855,,,,,,0.021084734218935856,,,,0.028918307769374242,,,,,,,,,0.048686934692971896,,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,2.0,,,,16.0,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,1.0,,,,13.0,,,,,,,,,2.0,,,,,,,
八尾市議会議員選挙（2015年04月26日投票）,八尾市議会議員選挙,大阪府,八尾市,20150426.0,2015.0,4.0,26.0,20150419.0,47.51,28.0,32.0,1.1428571428571428,,,,,任期満了,47.62,,,,八尾市議会議員選挙（2015年04月26日投票）,1.0,32.0,28.0,1.1428571428571428,0.0,0.0,0.0,0.1875,0.21428571428571427,0.65625,0.3125,0.03125,0.75,0.21428571428571427,0.03571428571428571,0.6985443537470117,0.28923476355694744,0.012220882696040825,0.0332640168450958,0.028923476355694745,0.012220882696040825,99910.95000000001,6.0,55.9375,12.791446116448288,26.0,45.0,57.5,65.25,76.0,55.57142857142857,12.096128576144197,26.0,46.5,57.5,65.0,74.0,,,,,,,,,,,19780.19,,,,,,,,,,,,,24297.0,,,,,,,,,,16394.05,,,,,,3123.0,,,,25700.53,,,,,,,,,10616.18,,,,,,,,99910.95000000001,,,,,,,,,,,0.19797819958673196,,,,,,,,,,,,,0.24318655762956912,,,,,,,,,,0.1640866191343391,,,,,,0.03125783510215847,,,,0.2572343672039951,,,,,,,,,0.10625642134320612,,,,,,,,1.0,,,,,,,,,,,0.03299636659778866,,,,,,,,,,,,,0.08106218587652304,,,,,,,,,,0.027347769855723184,,,,,,0.03125783510215847,,,,0.019787259015691932,,,,,,,,,0.03541880711440204,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,3.0,,,,,,,,,,6.0,,,,,,1.0,,,,13.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,3.0,,,,,,,,,,6.0,,,,,,1.0,,,,9.0,,,,,,,,,3.0,,,,,,,
八尾市議会議員選挙（2019年04月21日投票）,八尾市議会議員選挙,大阪府,八尾市,20190421.0,2019.0,4.0,21.0,20190414.0,48.69,28.0,39.0,1.3928571428571428,,,,,任期満了,47.51,,,,八尾市議会議員選挙（2019年04月21日投票）,1.0,39.0,28.0,1.3928571428571428,0.0,0.0,0.0,,,,,,,,,,,,,,,103809.99799999999,7.0,,,,,,,,,,,,,,,,,,,,,,,,,16929.0,,,,,,,,,,,,,35044.483,,,,,,,,,,13305.748,,600.0,,,,,,,,20444.0,,,2148.0,,,,,,15338.767,,,,,,,,103809.99799999999,,,,,,,,,,,0.16307677801901124,,,,,,,,,,,,,0.3375829272244086,,,,,,,,,,0.12817405121229267,,0.005779790112316542,,,,,,,,0.19693671509366564,,,0.020691648602093222,,,,,,0.14775808973621213,,,,,,,,1.0,,,,,,,,,,,0.02717946300316854,,,,,,,,,,,,,0.04219786590305107,,,,,,,,,,0.021362341868715443,,0.005779790112316542,,,,,,,,0.017903337735787787,,,0.020691648602093222,,,,,,0.024626348289368688,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,8.0,,,,,,,,,,6.0,,1.0,,,,,,,,11.0,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,8.0,,,,,,,,,,5.0,,0.0,,,,,,,,4.0,,,1.0,,,,,,4.0,,,,,,,
