,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_「人に優しく、自分に厳しく。」の会,得票数_こうべ未来フォーラム,得票数_さわやか神戸・フレッシュ市民の会,得票数_たちあがれ日本,得票数_みんなの党,得票数_三木新党8人のサムライ,得票数_住民投票党,得票数_公明党,得票数_参政党,得票数_国民民主党,得票数_地域ファースト丹波ささやま,得票数_地域政党たからづか,得票数_地域政党三田前進の会,得票数_市民力,得票数_幸福実現党,得票数_改革推進の会,得票数_新世代こうべ,得票数_新生宝塚,得票数_新社会党,得票数_日本共産党,得票数_日本創新党,得票数_日本維新の会,得票数_日本維新の党,得票数_民主党,得票数_民進党,得票数_河西維新の会,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_神戸市民クラブ,得票数_神戸志民党,得票数_神戸改革フォーラム,得票数_立憲民主党,得票数_維新の党,得票数_緑の党 グリーンズジャパン,得票数_緑の党グリーンズジャパン,得票数_自由党,得票数_自由民主党,得票数_蒼翠会,得票数_行革・市民の会,得票数_議員のたまご,得票数_sum_v,得票率_NHKから国民を守る党,得票率_「人に優しく、自分に厳しく。」の会,得票率_こうべ未来フォーラム,得票率_さわやか神戸・フレッシュ市民の会,得票率_たちあがれ日本,得票率_みんなの党,得票率_三木新党8人のサムライ,得票率_住民投票党,得票率_公明党,得票率_参政党,得票率_国民民主党,得票率_地域ファースト丹波ささやま,得票率_地域政党たからづか,得票率_地域政党三田前進の会,得票率_市民力,得票率_幸福実現党,得票率_改革推進の会,得票率_新世代こうべ,得票率_新生宝塚,得票率_新社会党,得票率_日本共産党,得票率_日本創新党,得票率_日本維新の会,得票率_日本維新の党,得票率_民主党,得票率_民進党,得票率_河西維新の会,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_神戸市民クラブ,得票率_神戸志民党,得票率_神戸改革フォーラム,得票率_立憲民主党,得票率_維新の党,得票率_緑の党 グリーンズジャパン,得票率_緑の党グリーンズジャパン,得票率_自由党,得票率_自由民主党,得票率_蒼翠会,得票率_行革・市民の会,得票率_議員のたまご,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_「人に優しく、自分に厳しく。」の会,一人あたり得票率_こうべ未来フォーラム,一人あたり得票率_さわやか神戸・フレッシュ市民の会,一人あたり得票率_たちあがれ日本,一人あたり得票率_みんなの党,一人あたり得票率_三木新党8人のサムライ,一人あたり得票率_住民投票党,一人あたり得票率_公明党,一人あたり得票率_参政党,一人あたり得票率_国民民主党,一人あたり得票率_地域ファースト丹波ささやま,一人あたり得票率_地域政党たからづか,一人あたり得票率_地域政党三田前進の会,一人あたり得票率_市民力,一人あたり得票率_幸福実現党,一人あたり得票率_改革推進の会,一人あたり得票率_新世代こうべ,一人あたり得票率_新生宝塚,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本創新党,一人あたり得票率_日本維新の会,一人あたり得票率_日本維新の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_河西維新の会,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_神戸市民クラブ,一人あたり得票率_神戸志民党,一人あたり得票率_神戸改革フォーラム,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_緑の党 グリーンズジャパン,一人あたり得票率_緑の党グリーンズジャパン,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_蒼翠会,一人あたり得票率_行革・市民の会,一人あたり得票率_議員のたまご,立候補者数_NHKから国民を守る党,立候補者数_「人に優しく、自分に厳しく。」の会,立候補者数_こうべ未来フォーラム,立候補者数_さわやか神戸・フレッシュ市民の会,立候補者数_たちあがれ日本,立候補者数_みんなの党,立候補者数_三木新党8人のサムライ,立候補者数_住民投票党,立候補者数_公明党,立候補者数_参政党,立候補者数_国民民主党,立候補者数_地域ファースト丹波ささやま,立候補者数_地域政党たからづか,立候補者数_地域政党三田前進の会,立候補者数_市民力,立候補者数_幸福実現党,立候補者数_改革推進の会,立候補者数_新世代こうべ,立候補者数_新生宝塚,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本創新党,立候補者数_日本維新の会,立候補者数_日本維新の党,立候補者数_民主党,立候補者数_民進党,立候補者数_河西維新の会,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_神戸市民クラブ,立候補者数_神戸志民党,立候補者数_神戸改革フォーラム,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_緑の党 グリーンズジャパン,立候補者数_緑の党グリーンズジャパン,立候補者数_自由党,立候補者数_自由民主党,立候補者数_蒼翠会,立候補者数_行革・市民の会,立候補者数_議員のたまご,当選者数_NHKから国民を守る党,当選者数_「人に優しく、自分に厳しく。」の会,当選者数_こうべ未来フォーラム,当選者数_さわやか神戸・フレッシュ市民の会,当選者数_たちあがれ日本,当選者数_みんなの党,当選者数_三木新党8人のサムライ,当選者数_住民投票党,当選者数_公明党,当選者数_参政党,当選者数_国民民主党,当選者数_地域ファースト丹波ささやま,当選者数_地域政党たからづか,当選者数_地域政党三田前進の会,当選者数_市民力,当選者数_幸福実現党,当選者数_改革推進の会,当選者数_新世代こうべ,当選者数_新生宝塚,当選者数_新社会党,当選者数_日本共産党,当選者数_日本創新党,当選者数_日本維新の会,当選者数_日本維新の党,当選者数_民主党,当選者数_民進党,当選者数_河西維新の会,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_神戸市民クラブ,当選者数_神戸志民党,当選者数_神戸改革フォーラム,当選者数_立憲民主党,当選者数_維新の党,当選者数_緑の党 グリーンズジャパン,当選者数_緑の党グリーンズジャパン,当選者数_自由党,当選者数_自由民主党,当選者数_蒼翠会,当選者数_行革・市民の会,当選者数_議員のたまご
たつの市議会議員選挙（2006年04月23日投票）,たつの市議会議員選挙,兵庫県,たつの市,20060423.0,2006.0,4.0,23.0,20060416.0,74.89,28.0,48.0,1.7142857142857142,65289.0,,,,その他,,,,,たつの市議会議員選挙（2006年04月23日投票）,1.0,48.0,28.0,1.7142857142857142,0.0,0.0,0.0,0.0625,0.0,0.875,0.125,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8748093964819963,0.12519060351800376,,0.020828795154333245,0.02086510058633396,,48352.99,4.0,58.041666666666664,9.162783268320943,28.0,55.0,58.0,63.25,80.0,58.82142857142857,7.025736216778645,42.0,54.75,58.0,63.25,73.0,,,,,,,,,3157.0,,,,,,,,,,,445.52,1440.29,,,,,,,,43310.18,,,,,,,,,,,,,,48352.99,,,,,,,,,0.06529068833178672,,,,,,,,,,,0.009213907971358131,0.0297869893878331,,,,,,,,0.895708414309022,,,,,,,,,,,,,,1.0,,,,,,,,,0.03264534416589336,,,,,,,,,,,0.009213907971358131,0.01489349469391655,,,,,,,,0.020830428239744698,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,0.0,,,,,,,,26.0,,,,,,,,,,,,,
たつの市議会議員選挙（2010年04月25日投票）,たつの市議会議員選挙,兵庫県,たつの市,20100425.0,2010.0,4.0,25.0,20100418.0,67.03,24.0,35.0,1.4583333333333333,65040.0,,,-249.0,任期満了,74.89,,,,たつの市議会議員選挙（2010年04月25日投票）,1.0,35.0,24.0,1.4583333333333333,0.0,0.0,0.0,0.02857142857142857,0.0,0.5714285714285714,0.2571428571428571,0.17142857142857143,0.75,0.20833333333333334,0.041666666666666664,0.6410204839121256,0.25952931078479136,0.09945020530308303,0.03205102419560628,0.02883659008719904,0.016575034217180505,43107.0,3.0,,,,,,,,,,,,,,,,,,,,,,,3403.0,,,,,,,,,,,,1340.0,,,,,,,,38364.0,,,,,,,,,,,,,,43107.0,,,,,,,,,0.07894309508896467,,,,,,,,,,,,0.031085438559862667,,,,,,,,0.8899714663511726,,,,,,,,,,,,,,1.0,,,,,,,,,0.03947154754448234,,,,,,,,,,,,0.031085438559862667,,,,,,,,0.027811608323474145,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,21.0,,,,,,,,,,,,,
たつの市議会議員選挙（2014年04月27日投票）,たつの市議会議員選挙,兵庫県,たつの市,20140427.0,2014.0,4.0,27.0,20140420.0,,22.0,26.0,1.181818181818182,,,,,任期満了,67.03,,,,たつの市議会議員選挙（2014年04月27日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.2692307692307692,0.15384615384615385,0.6363636363636364,0.22727272727272727,0.13636363636363635,0.5865155646172487,0.27949339677906365,0.1339910386036876,0.039101037641149916,0.039927628111294806,0.0334977596509219,39710.998999999996,3.0,58.38461538461539,9.131841684149956,35.0,55.5,60.0,64.75,75.0,58.95454545454545,8.423329468734021,37.0,55.5,60.0,65.0,75.0,,,,,,,,,3350.0,,,,,,,,,,,,998.0,,,,,,,,35362.998999999996,,,,,,,,,,,,,,39710.998999999996,,,,,,,,,0.08435949949282315,,,,,,,,,,,,0.025131576266817165,,,,,,,,0.8905089242403597,,,,,,,,,,,,,,1.0,,,,,,,,,0.042179749746411574,,,,,,,,,,,,0.025131576266817165,,,,,,,,0.038717779314798244,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,,,20.0,,,,,,,,,,,,,
たつの市議会議員選挙（2018年04月22日投票）,たつの市議会議員選挙,兵庫県,たつの市,20180422.0,2018.0,4.0,22.0,20180415.0,58.6,22.0,28.0,1.2727272727272727,,,,,任期満了,,,,,たつの市議会議員選挙（2018年04月22日投票）,1.0,28.0,22.0,1.2727272727272727,0.0,0.0,0.0,0.03571428571428571,0.045454545454545456,0.6071428571428571,0.32142857142857145,0.07142857142857142,0.7272727272727273,0.22727272727272727,0.045454545454545456,0.6741646121489298,0.26412704834343703,0.06170833950763328,0.03965674189111351,0.029347449815937447,0.03085416975381664,36987.998999999996,4.0,58.0,8.94427190999916,35.0,54.0,60.0,63.5,70.0,58.09090909090909,9.024759331513254,35.0,54.0,60.5,64.5,70.0,,,,,,,,,3399.0,,,,,,,1248.0,,,,,1393.0,,,,,,,,30947.999,,,,,,,,,,,,,,36987.998999999996,,,,,,,,,0.09189467102559401,,,,,,,0.03374067356279533,,,,,0.037660864000780364,,,,,,,,0.8367037914108304,,,,,,,,,,,,,,1.0,,,,,,,,,0.045947335512797005,,,,,,,0.03374067356279533,,,,,0.037660864000780364,,,,,,,,0.03486265797545127,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,18.0,,,,,,,,,,,,,
三木市議会議員増員選挙（2005年11月20日投票）,三木市議会議員増員選挙,兵庫県,三木市,20051120.0,2005.0,11.0,20.0,20051113.0,70.18,3.0,6.0,2.0,7070.0,,,,その他,,,,,三木市議会議員増員選挙（2005年11月20日投票）,1.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.16666666666666666,,4917.0,1.0,59.5,6.020797289396148,53.0,54.5,57.5,64.25,69.0,56.0,2.449489742783178,53.0,54.5,56.0,57.5,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4917.0,,,,,,,,,,,,,,4917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
三木市議会議員選挙（2003年04月27日投票）,三木市議会議員選挙,兵庫県,三木市,20030427.0,2003.0,4.0,27.0,20030420.0,55.94,23.0,25.0,1.0869565217391304,37013.0,,,,任期満了,,,,,三木市議会議員選挙（2003年04月27日投票）,1.0,25.0,23.0,1.0869565217391304,0.0,0.0,0.0,0.24,0.17391304347826086,0.84,0.16,0.0,0.8695652173913043,0.13043478260869565,0.0,0.8841961473056229,0.11580385269437707,,0.0421045784431249,0.028950963173594267,,35871.0,3.0,59.56,5.115310352266029,50.0,55.0,60.0,63.0,70.0,59.608695652173914,5.198152936462207,50.0,55.0,60.0,63.0,70.0,,,,,,,,,6466.0,,,,,,,,,,,,2720.0,,,,,,,,26685.0,,,,,,,,,,,,,,35871.0,,,,,,,,,0.1802570321429567,,,,,,,,,,,,0.07582726993950545,,,,,,,,0.7439156979175379,,,,,,,,,,,,,,1.0,,,,,,,,,0.060085677380985573,,,,,,,,,,,,0.037913634969752724,,,,,,,,0.037195784895876896,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,18.0,,,,,,,,,,,,,
三木市議会議員選挙（2007年04月22日投票）,三木市議会議員選挙,兵庫県,三木市,20070422.0,2007.0,4.0,22.0,20070415.0,60.58,20.0,27.0,1.35,67416.0,,,30403.0,任期満了,55.94,,,,三木市議会議員選挙（2007年04月22日投票）,1.0,27.0,20.0,1.35,0.0,0.0,0.0,0.18518518518518517,0.15,0.6296296296296297,0.37037037037037035,0.0,0.6,0.4,0.0,0.6207366309167017,0.3792633690832982,,0.036513919465688334,0.03792633690832982,,40373.0,3.0,56.851851851851855,9.509074432911161,28.0,54.5,58.0,62.0,70.0,55.3,8.59709253178073,28.0,54.0,57.5,60.0,66.0,,,,,,,,,6109.0,,,,,,,,,,,,2917.0,,,,,,,,31347.0,,,,,,,,,,,,,,40373.0,,,,,,,,,0.1513139969781785,,,,,,,,,,,,0.07225125702821192,,,,,,,,0.7764347459936096,,,,,,,,,,,,,,1.0,,,,,,,,,0.05043799899272616,,,,,,,,,,,,0.03612562851410596,,,,,,,,0.035292488454254985,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,15.0,,,,,,,,,,,,,
三木市議会議員選挙（2011年04月24日投票）,三木市議会議員選挙,兵庫県,三木市,20110424.0,2011.0,4.0,24.0,20110417.0,55.91,18.0,25.0,1.3888888888888888,66546.0,,,-870.0,任期満了,60.58,,,,三木市議会議員選挙（2011年04月24日投票）,1.0,25.0,18.0,1.3888888888888888,0.0,0.0,0.0,0.2,0.16666666666666666,0.68,0.32,0.0,0.7222222222222222,0.2777777777777778,0.0,0.6956805038959628,0.30431949610403713,,0.04092238258211546,0.03803993701300464,,36833.0,4.0,,,,,,,,,,,,,,,,,,,,,12166.0,,5614.0,,,,,,,,,,,,2404.0,,,,,,,,16649.0,,,,,,,,,,,,,,36833.0,,,,,,,0.3303016316889746,,0.15241766893818043,,,,,,,,,,,,0.06526755898243423,,,,,,,,0.4520131403904108,,,,,,,,,,,,,,1.0,,,,,,,0.04128770396112182,,0.05080588964606014,,,,,,,,,,,,0.03263377949121712,,,,,,,,0.0376677616992009,,,,,,,,,,,,,,,,,,,,8.0,,3.0,,,,,,,,,,,,2.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,6.0,,3.0,,,,,,,,,,,,2.0,,,,,,,,7.0,,,,,,,,,,,,,
三木市議会議員選挙（2015年04月26日投票）,三木市議会議員選挙,兵庫県,三木市,20150426.0,2015.0,4.0,26.0,20150419.0,51.5,16.0,19.0,1.1875,64801.0,,,-1745.0,任期満了,55.91,,,,三木市議会議員選挙（2015年04月26日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.10526315789473684,0.125,0.6842105263157895,0.3157894736842105,0.0,0.75,0.25,0.0,0.7520162512885816,0.24798374871141834,,0.05784740394527551,0.04133062478523639,,32982.0,4.0,54.73684210526316,11.955364817622158,27.0,48.5,61.0,64.5,68.0,53.4375,12.439698298190354,27.0,46.5,56.0,64.25,68.0,,,,,,,6411.0,,5169.0,,,,,,,,,,,,3142.0,,,,,,,,18260.0,,,,,,,,,,,,,,32982.0,,,,,,,0.19437875204657085,,0.15672184828088048,,,,,,,,,,,,0.09526408343945182,,,,,,,,0.5536353162330968,,,,,,,,,,,,,,1.0,,,,,,,0.06479291734885695,,0.07836092414044024,,,,,,,,,,,,0.04763204171972591,,,,,,,,0.04613627635275807,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,9.0,,,,,,,,,,,,,
三木市議会議員選挙（2019年04月21日投票）,三木市議会議員選挙,兵庫県,三木市,20190421.0,2019.0,4.0,21.0,20190414.0,45.81,16.0,17.0,1.0625,,,,,任期満了,51.5,,,,三木市議会議員選挙（2019年04月21日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.11764705882352941,0.125,0.9411764705882353,0.058823529411764705,0.0,0.9375,0.0625,0.0,0.9468397676802186,0.05316023231978135,,0.05917748548001366,0.05316023231978135,,29270.0,3.0,57.529411764705884,12.073878693808497,31.0,52.0,59.0,68.0,72.0,58.25,12.085631965271821,31.0,52.75,62.0,68.25,72.0,,,,,,,,,5210.0,,,,,,,,,,,,2719.0,,,,,,,,21341.0,,,,,,,,,,,,,,29270.0,,,,,,,,,0.17799795011957636,,,,,,,,,,,,0.09289374786470789,,,,,,,,0.7291083020157157,,,,,,,,,,,,,,1.0,,,,,,,,,0.08899897505978818,,,,,,,,,,,,0.046446873932353944,,,,,,,,0.0560852540012089,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,12.0,,,,,,,,,,,,,
