,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_なら分権の会,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_地域政党 やまとの会,得票数_地域政党やまとの会,得票数_奈良維新の会,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_根っこから真改革,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_無所属,得票数_生駒維新の会,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_なら分権の会,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_地域政党 やまとの会,得票率_地域政党やまとの会,得票率_奈良維新の会,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_根っこから真改革,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_無所属,得票率_生駒維新の会,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_なら分権の会,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党 やまとの会,一人あたり得票率_地域政党やまとの会,一人あたり得票率_奈良維新の会,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_根っこから真改革,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_生駒維新の会,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_なら分権の会,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_地域政党 やまとの会,立候補者数_地域政党やまとの会,立候補者数_奈良維新の会,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_根っこから真改革,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_無所属,立候補者数_生駒維新の会,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_なら分権の会,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_地域政党 やまとの会,当選者数_地域政党やまとの会,当選者数_奈良維新の会,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_根っこから真改革,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_無所属,当選者数_生駒維新の会,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
三宅町議会議員補欠選挙（2008年07月20日投票）,三宅町議会議員補欠選挙,奈良県,三宅町,20080720.0,2008.0,7.0,20.0,20080715.0,69.8,2.0,3.0,1.5,6347.0,,,,その他,,,,,三宅町議会議員補欠選挙（2008年07月20日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,,0.5919811320754716,0.4080188679245283,,0.2959905660377358,0.4080188679245283,3816.0,1.0,67.33333333333333,8.73053390247253,58.0,61.5,65.0,72.0,79.0,61.5,3.5,58.0,59.75,61.5,63.25,65.0,,,,,,,,,,,,,,,,,3816.0,,,,,,3816.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
三宅町議会議員補欠選挙（2016年07月10日投票）,三宅町議会議員補欠選挙,奈良県,三宅町,20160710.0,2016.0,7.0,10.0,20160705.0,74.55,2.0,4.0,2.0,6094.0,,,-253.0,その他,69.8,,,,三宅町議会議員補欠選挙（2016年07月10日投票）,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,1.0,0.0,,0.8052425281724644,0.19475747182753553,,0.26841417605748813,0.19475747182753553,4082.0,1.0,57.5,8.986100377805714,51.0,52.5,53.0,58.0,73.0,53.0,0.0,53.0,53.0,53.0,53.0,53.0,,,,,,,,,,,,,,,,,4082.0,,,,,,4082.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
三宅町議会議員選挙（2003年04月27日投票）,三宅町議会議員選挙,奈良県,三宅町,20030427.0,2003.0,4.0,27.0,20030422.0,77.14,14.0,15.0,1.0714285714285714,6505.0,,,,任期満了,,,,,三宅町議会議員選挙（2003年04月27日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.7857142857142857,0.21428571428571427,0.0,0.845392077607114,0.154607922392886,,0.07044933980059283,0.051535974130962,,4948.0,2.0,62.6,5.1613951602255765,51.0,60.0,62.0,64.5,73.0,62.785714285714285,5.293912561053651,51.0,60.25,62.5,64.75,73.0,,,,,,,,,,299.0,,,,,,,4649.0,,,,,,4948.0,,,,,,,,,,0.06042845594179466,,,,,,,0.9395715440582053,,,,,,1.0,,,,,,,,,,0.06042845594179466,,,,,,,0.06711225314701466,,,,,,,,,,,,,,,1.0,,,,,,,14.0,,,,,,,,,,,,,,,1.0,,,,,,,13.0,,,,,
三宅町議会議員選挙（2007年04月22日投票）,三宅町議会議員選挙,奈良県,三宅町,20070422.0,2007.0,4.0,22.0,20070417.0,75.26,10.0,13.0,1.3,6387.0,,,-118.0,任期満了,77.14,,,,三宅町議会議員選挙（2007年04月22日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.3076923076923077,0.0,0.7,0.3,0.0,0.6699049630411826,0.3300950369588173,,0.07443388478235363,0.08252375923970433,,4735.0,2.0,63.38461538461539,6.72010143625894,41.0,64.0,65.0,66.0,69.0,62.8,7.493997598078078,41.0,63.5,65.0,65.75,69.0,,,,,,,,,,332.0,,,,,,,4403.0,,,,,,4735.0,,,,,,,,,,0.07011615628299894,,,,,,,0.9298838437170011,,,,,,1.0,,,,,,,,,,0.07011615628299894,,,,,,,0.07749032030975009,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,,,,
三宅町議会議員選挙（2011年04月24日投票）,三宅町議会議員選挙,奈良県,三宅町,20110424.0,2011.0,4.0,24.0,20110419.0,61.18,10.0,11.0,1.1,6265.0,,,-122.0,任期満了,75.26,,,,三宅町議会議員選挙（2011年04月24日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.1,0.6363636363636364,0.36363636363636365,0.0,0.6,0.4,0.0,0.5966760299625468,0.4033239700374532,,0.08523943285179239,0.1008309925093633,,4272.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,256.0,,,,,,,4016.0,,,,,,4272.0,,,,,,,,,,0.0599250936329588,,,,,,,0.9400749063670412,,,,,,1.0,,,,,,,,,,0.0599250936329588,,,,,,,0.09400749063670412,,,,,,,,,,,,,,,1.0,,,,,,,10.0,,,,,,,,,,,,,,,0.0,,,,,,,10.0,,,,,
三宅町議会議員選挙（2015年04月26日投票）,三宅町議会議員選挙,奈良県,三宅町,20150426.0,2015.0,4.0,26.0,20150421.0,71.73,10.0,14.0,1.4,,,,,任期満了,61.18,,,,三宅町議会議員選挙（2015年04月26日投票）,1.0,14.0,10.0,1.4,0.0,0.0,0.0,0.07142857142857142,0.1,0.42857142857142855,0.5,0.07142857142857142,0.3,0.6,0.1,0.34665964415622896,0.5959689536067567,0.05737140223701443,0.05777660735937149,0.08513842194382239,0.05737140223701443,4252.99,2.0,62.857142857142854,13.46878477314513,30.0,53.5,70.5,72.75,74.0,61.1,14.257980221616245,30.0,52.0,68.5,71.0,73.0,,,,,,,,,,244.0,,,,,,,4008.9900000000002,,,,,,4252.99,,,,,,,,,,0.05737140223701443,,,,,,,0.9426285977629857,,,,,,1.0,,,,,,,,,,0.05737140223701443,,,,,,,0.07250989213561429,,,,,,,,,,,,,,,1.0,,,,,,,13.0,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,,,,
三宅町議会議員選挙（2019年04月21日投票）,三宅町議会議員選挙,奈良県,三宅町,20190421.0,2019.0,4.0,21.0,20190416.0,無投票,10.0,10.0,1.0,,,,,任期満了,71.73,,,,三宅町議会議員選挙（2019年04月21日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.1,0.1,,,,,,,,,,,,,0.0,2.0,60.7,8.379140767405689,48.0,54.5,58.5,67.75,74.0,60.7,8.379140767405689,48.0,54.5,58.5,67.75,74.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,,,,
三郷町議会議員補欠選挙（2014年05月25日投票）,三郷町議会議員補欠選挙,奈良県,三郷町,20140525.0,2014.0,5.0,25.0,20140520.0,25.58,1.0,2.0,2.0,,,,,その他,,,,,三郷町議会議員補欠選挙（2014年05月25日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,,0.4534216335540839,0.5465783664459161,,0.4534216335540839,0.5465783664459161,4530.0,2.0,42.0,1.0,41.0,41.5,42.0,42.5,43.0,41.0,0.0,41.0,41.0,41.0,41.0,41.0,,,,,,,,,,2054.0,,,,,,,2476.0,,,,,,4530.0,,,,,,,,,,0.4534216335540839,,,,,,,0.5465783664459161,,,,,,1.0,,,,,,,,,,0.4534216335540839,,,,,,,0.5465783664459161,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,
三郷町議会議員選挙（2007年04月22日投票）,三郷町議会議員選挙,奈良県,三郷町,20070422.0,2007.0,4.0,22.0,20070417.0,58.81,13.0,15.0,1.1538461538461535,18793.0,,,,任期満了,,,,,三郷町議会議員選挙（2007年04月22日投票）,1.0,15.0,13.0,1.1538461538461537,0.0,0.0,0.0,0.13333333333333333,0.15384615384615385,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.7891832229580574,0.1309786607799853,0.07983811626195732,0.07891832229580574,0.032744665194996324,0.07983811626195732,10872.0,2.0,59.733333333333334,7.252279335185287,42.0,57.0,61.0,64.0,70.0,59.53846153846154,7.611887308832604,42.0,57.0,61.0,63.0,70.0,,,,,,,,,,2257.0,,,,,,,8615.0,,,,,,10872.0,,,,,,,,,,0.20759749816041206,,,,,,,0.7924025018395879,,,,,,1.0,,,,,,,,,,0.06919916605347069,,,,,,,0.06603354181996567,,,,,,,,,,,,,,,3.0,,,,,,,12.0,,,,,,,,,,,,,,,3.0,,,,,,,10.0,,,,,
三郷町議会議員選挙（2011年04月24日投票）,三郷町議会議員選挙,奈良県,三郷町,20110424.0,2011.0,4.0,24.0,20110419.0,53.6,13.0,15.0,1.1538461538461535,18553.0,,,-240.0,任期満了,58.81,,,,三郷町議会議員選挙（2011年04月24日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.13333333333333333,0.16666666666666666,0.7333333333333333,0.2,0.06666666666666667,0.9166666666666666,0.0,0.08333333333333333,0.8669127447964728,0.02911924536040193,0.1039680098431252,0.07881024952695208,0.009706415120133977,0.1039680098431252,9753.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1954.0,,,,,,,7799.0,,,,,,9753.0,,,,,,,,,,0.20034861068389215,,,,,,,0.7996513893161079,,,,,,1.0,,,,,,,,,,0.06678287022796404,,,,,,,0.06663761577634232,,,,,,,,,,,,,,,3.0,,,,,,,12.0,,,,,,,,,,,,,,,3.0,,,,,,,9.0,,,,,
