,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
おいらせ町議会議員選挙（2007年04月22日投票）,おいらせ町議会議員選挙,青森県,おいらせ町,20070422.0,2007.0,4.0,22.0,20070417.0,74.62,16.0,21.0,1.3125,19178.0,,,,任期満了,,,,,おいらせ町議会議員選挙（2007年04月22日投票）,1.0,21.0,16.0,1.3125,0.0,0.0,0.0,0.19047619047619047,0.125,0.9047619047619048,0.047619047619047616,0.047619047619047616,0.9375,0.0,0.0625,0.8775825720309206,0.013427266338721012,0.1089901616303584,0.04618855642268003,0.013427266338721012,0.1089901616303584,14230.0,1.0,55.80952380952381,6.884205854667124,39.0,54.0,56.0,60.0,69.0,56.0625,6.407698007084916,42.0,54.0,56.0,60.0,69.0,,,,,,14230.0,,,,14230.0,,,,,,1.0,,,,1.0,,,,,,0.047619047619047616,,,,,,,,,21.0,,,,,,,,,16.0,,,
おいらせ町議会議員選挙（2011年04月24日投票）,おいらせ町議会議員選挙,青森県,おいらせ町,20110424.0,2011.0,4.0,24.0,20110419.0,67.02,16.0,20.0,1.25,19599.0,,,421.0,任期満了,74.62,,,,おいらせ町議会議員選挙（2011年04月24日投票）,1.0,20.0,16.0,1.25,0.0,0.0,0.0,0.05,0.0625,0.5,0.3,0.2,0.625,0.25,0.125,0.6135524762271287,0.26369431840092056,0.12275320537195067,0.06135524762271287,0.04394905306682009,0.030688301342987667,13017.990000000002,1.0,,,,,,,,59.1875,6.207039854068927,46.0,56.5,59.5,64.25,68.0,,,,,,13017.990000000002,,,,13017.990000000002,,,,,,1.0,,,,1.0,,,,,,0.05,,,,,,,,,20.0,,,,,,,,,16.0,,,
おいらせ町議会議員選挙（2015年04月26日投票）,おいらせ町議会議員選挙,青森県,おいらせ町,20150426.0,2015.0,4.0,26.0,20150421.0,65.85,16.0,19.0,1.1875,19819.0,,,220.0,任期満了,67.02,,,,おいらせ町議会議員選挙（2015年04月26日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.05263157894736842,0.0,0.7894736842105263,0.15789473684210525,0.05263157894736842,0.75,0.1875,0.0625,0.7550360875548684,0.18778958612965896,0.05717432631547261,0.05033573917032456,0.06259652870988631,0.05717432631547261,12955.99,1.0,62.68421052631579,5.7587702596168135,50.0,59.5,63.0,67.0,72.0,62.1875,6.085009757592834,50.0,58.25,62.0,66.5,72.0,,,,,,12955.99,,,,12955.99,,,,,,1.0,,,,1.0,,,,,,0.05263157894736842,,,,,,,,,19.0,,,,,,,,,16.0,,,
おいらせ町議会議員選挙（2019年04月21日投票）,おいらせ町議会議員選挙,青森県,おいらせ町,20190421.0,2019.0,4.0,21.0,20190416.0,61.12,16.0,18.0,1.125,20414.0,,,595.0,任期満了,65.85,,,,おいらせ町議会議員選挙（2019年04月21日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0625,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.8125,0.0625,0.125,0.8336702514757015,0.07245087733484272,0.09387887118945581,0.05954787510540725,0.03622543866742136,0.04693943559472791,12367.0,1.0,66.05555555555556,5.306936992928555,54.0,63.25,66.0,69.5,75.0,66.5,5.3967582862307255,54.0,63.75,66.5,70.5,75.0,,,,,,12367.0,,,,12367.0,,,,,,1.0,,,,1.0,,,,,,0.05555555555555555,,,,,,,,,18.0,,,,,,,,,16.0,,,
つがる市議会議員選挙（2007年01月21日投票）,つがる市議会議員選挙,青森県,つがる市,20070121.0,2007.0,1.0,21.0,20070114.0,87.97,26.0,40.0,1.5384615384615383,32514.0,,,,任期満了,,,,,つがる市議会議員選挙（2007年01月21日投票）,1.0,40.0,26.0,1.5384615384615385,0.0,0.0,0.0,0.075,0.038461538461538464,0.825,0.175,0.0,0.8846153846153846,0.11538461538461539,0.0,0.8417456399046148,0.1582543600953853,,0.025507443633473178,0.022607765727912184,,28343.989999999998,3.0,57.725,7.632127816015661,29.0,55.75,58.0,61.25,74.0,57.53846153846154,6.743833475170366,42.0,53.5,57.5,60.75,74.0,,,,141.0,,27599.989999999998,603.0,,,28343.989999999998,,,,0.004974599553556151,,0.9737510491642144,0.021274351282229497,,,1.0,,,,0.004974599553556151,,0.02562502760958459,0.021274351282229497,,,,,,1.0,,38.0,1.0,,,,,,0.0,,26.0,0.0,,
つがる市議会議員選挙（2011年01月23日投票）,つがる市議会議員選挙,青森県,つがる市,20110123.0,2011.0,1.0,23.0,20110116.0,無投票,24.0,24.0,1.0,,,,,任期満了,87.97,,,,つがる市議会議員選挙（2011年01月23日投票）,1.0,24.0,24.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,24.0,,,
つがる市議会議員選挙（2015年02月01日投票）,つがる市議会議員選挙,青森県,つがる市,20150201.0,2015.0,2.0,1.0,20150125.0,75.21,20.0,25.0,1.25,,,,,任期満了,,,,,つがる市議会議員選挙（2015年02月01日投票）,1.0,25.0,20.0,1.25,0.0,0.0,0.0,0.08,0.1,0.84,0.16,0.0,0.9,0.1,0.0,0.8931332218254148,0.10686677817458523,,0.042530153420257844,0.026716694543646308,,22121.0,1.0,63.08,6.996684929307594,42.0,59.0,65.0,67.0,76.0,63.15,7.411308926228888,42.0,59.0,65.0,67.25,76.0,,,,,,22121.0,,,,22121.0,,,,,,1.0,,,,1.0,,,,,,0.04,,,,,,,,,25.0,,,,,,,,,20.0,,,
つがる市議会議員選挙（2019年01月27日投票）,つがる市議会議員選挙,青森県,つがる市,20190127.0,2019.0,1.0,27.0,20190120.0,72.36,18.0,23.0,1.2777777777777777,28376.0,,,,任期満了,75.21,,,,つがる市議会議員選挙（2019年01月27日投票）,1.0,23.0,18.0,1.2777777777777777,0.0,0.0,0.0,0.08695652173913043,0.1111111111111111,0.8260869565217391,0.043478260869565216,0.13043478260869565,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.8806329842945805,0.04595842043116159,0.07340859527425797,0.04634910443655687,0.04595842043116159,0.02446953175808599,20387.994,1.0,65.91304347826087,7.790256140669578,46.0,62.5,68.0,71.0,80.0,65.83333333333333,7.2284161474004796,46.0,63.0,68.0,70.75,75.0,,,,,,20387.994,,,,20387.994,,,,,,1.0,,,,1.0,,,,,,0.043478260869565216,,,,,,,,,23.0,,,,,,,,,18.0,,,
むつ市議会議員選挙（1999年10月03日投票）,むつ市議会議員選挙,青森県,むつ市,19991003.0,1999.0,10.0,3.0,19990925.0,75.9,22.0,28.0,1.2727272727272727,38589.0,,,,任期満了,,,,,むつ市議会議員選挙（1999年10月03日投票）,1.0,28.0,22.0,1.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.8181818181818182,0.18181818181818182,0.0,0.763570984026001,0.23642901597399904,,0.03636052304885719,0.03377557371057129,,28922.0,6.0,54.642857142857146,10.570221938858932,30.0,47.0,56.0,59.25,75.0,53.81818181818182,10.052753415839335,30.0,47.0,55.5,58.75,73.0,1306.0,,,1666.0,932.0,22505.0,1452.0,,1061.0,28922.0,0.04515593665721596,,,0.057603208630108566,0.03222460410759975,0.7781273770831892,0.05020399695733352,,0.03668487656455294,1.0,0.04515593665721596,,,0.028801604315054283,0.03222460410759975,0.03536942623105405,0.05020399695733352,,0.03668487656455294,1.0,,,2.0,1.0,22.0,1.0,,1.0,1.0,,,1.0,1.0,17.0,1.0,,1.0
むつ市議会議員選挙（2003年09月28日投票）,むつ市議会議員選挙,青森県,むつ市,20030928.0,2003.0,9.0,28.0,20030921.0,71.65,22.0,28.0,1.2727272727272727,39538.0,,,949.0,任期満了,75.9,,,,むつ市議会議員選挙（2003年09月28日投票）,1.0,28.0,22.0,1.2727272727272727,0.0,0.0,0.0,0.07142857142857142,0.045454545454545456,0.6785714285714286,0.32142857142857145,0.0,0.7272727272727273,0.2727272727272727,0.0,0.7033580087973393,0.29664199120266066,,0.037018842568281016,0.03296022124474007,,27963.0,6.0,55.607142857142854,9.791903673495792,34.0,51.0,56.5,62.0,77.0,54.36363636363637,9.767969243424952,34.0,47.25,54.0,61.75,72.0,1783.0,,,1095.0,871.0,21242.0,1238.0,,1734.0,27963.0,0.06376282945320602,,,0.039158888531273466,0.03114830311483031,0.7596466759646676,0.04427278904266352,,0.062010513893359084,1.0,0.06376282945320602,,,0.039158888531273466,0.03114830311483031,0.03452939436203035,0.04427278904266352,,0.031005256946679542,1.0,,,1.0,1.0,22.0,1.0,,2.0,1.0,,,1.0,1.0,17.0,1.0,,1.0
