,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_次世代の党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_維新政党・新風,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_次世代の党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_維新政党・新風,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_維新政党・新風,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_維新政党・新風,立候補者数_自由民主党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_次世代の党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_維新政党・新風,当選者数_自由民主党
かつらぎ町議会議員補欠選挙（2007年09月30日投票）,かつらぎ町議会議員補欠選挙,和歌山県,かつらぎ町,20070930.0,2007.0,9.0,30.0,20070925.0,65.99,1.0,2.0,2.0,16560.0,,,,その他,,,,,かつらぎ町議会議員補欠選挙（2007年09月30日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,8351.0,1.0,51.5,14.5,37.0,44.25,51.5,58.75,66.0,37.0,0.0,37.0,37.0,37.0,37.0,37.0,,,,,,,,8351.0,,,,,,8351.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,
かつらぎ町議会議員補欠選挙（2011年10月02日投票）,かつらぎ町議会議員補欠選挙,和歌山県,かつらぎ町,20111002.0,2011.0,10.0,2.0,20110927.0,,1.0,4.0,4.0,15745.0,,,-815.0,その他,65.99,,,,かつらぎ町議会議員補欠選挙（2011年10月02日投票）,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.25,0.0,1.0,0.0,,0.7287026182102384,0.27129738178976165,,0.24290087273674613,0.27129738178976165,10236.0,1.0,62.75,3.2691742076555053,60.0,60.0,61.5,64.25,68.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,,,,,,,,10236.0,,,,,,10236.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,0.25,,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,
かつらぎ町議会議員選挙（2006年07月23日投票）,かつらぎ町議会議員選挙,和歌山県,かつらぎ町,20060723.0,2006.0,7.0,23.0,20060718.0,78.9,16.0,18.0,1.125,16792.0,,,,任期満了,,,,,かつらぎ町議会議員選挙（2006年07月23日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0625,0.7777777777777778,0.2222222222222222,0.0,0.8125,0.1875,0.0,0.7948130627193651,0.2051869372806348,,0.056772361622811796,0.0512967343201587,,13106.0,1.0,61.05555555555556,7.137321488113825,46.0,55.5,62.0,67.75,72.0,61.375,7.507288125548399,46.0,55.0,62.5,68.0,72.0,,,,,,,,13106.0,,,,,,13106.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,0.05555555555555555,,,,,,,,,,,,,18.0,,,,,,,,,,,,,16.0,,,,,
かつらぎ町議会議員選挙（2010年07月25日投票）,かつらぎ町議会議員選挙,和歌山県,かつらぎ町,20100725.0,2010.0,7.0,25.0,20100720.0,,14.0,17.0,1.2142857142857142,15988.0,,,-804.0,任期満了,78.9,,,,かつらぎ町議会議員選挙（2010年07月25日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.11764705882352941,0.07142857142857142,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.7857142857142857,0.21428571428571427,0.0,0.8096280087527352,0.16579700387140212,0.02457498737586265,0.0674690007293946,0.04144925096785053,0.02457498737586265,11882.0,2.0,,,,,,,,,,,,,,,,,,1409.0,,,,10473.0,,,,,,11882.0,,,,0.11858273018010436,,,,0.8814172698198957,,,,,,1.0,,,,0.05929136509005218,,,,0.05876115132132638,,,,,,,,,2.0,,,,15.0,,,,,,,,,2.0,,,,12.0,,,,,
かつらぎ町議会議員選挙（2014年07月13日投票）,かつらぎ町議会議員選挙,和歌山県,かつらぎ町,20140713.0,2014.0,7.0,13.0,20140708.0,74.16,14.0,17.0,1.2142857142857142,15272.0,,,-716.0,任期満了,,,,,かつらぎ町議会議員選挙（2014年07月13日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.058823529411764705,0.07142857142857142,0.5882352941176471,0.4117647058823529,0.0,0.6428571428571429,0.35714285714285715,0.0,0.6147804355587291,0.385219564441271,,0.061478043555872906,0.055031366348753,,11204.0,2.0,,,,,,,,,,,,,,,,,,1382.0,,,,9822.0,,,,,,11204.0,,,,0.12334880399857194,,,,0.876651196001428,,,,,,1.0,,,,0.06167440199928597,,,,0.058443413066761866,,,,,,,,,2.0,,,,15.0,,,,,,,,,2.0,,,,12.0,,,,,
かつらぎ町議会議員選挙（2018年07月22日投票）,かつらぎ町議会議員選挙,和歌山県,かつらぎ町,20180722.0,2018.0,7.0,22.0,20180717.0,62.63,14.0,14.0,1.0,14740.0,,,-532.0,任期満了,74.16,,,,かつらぎ町議会議員選挙（2018年07月22日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.9333333333333333,0.06666666666666667,0.0,1.0,0.0,0.0,0.9948430985297345,0.0051569014702655255,,0.07106022132355247,0.0051569014702655255,,9114.0,2.0,63.06666666666667,9.65723677985697,34.0,63.5,66.0,68.0,74.0,62.642857142857146,9.860506672414694,34.0,63.25,65.5,67.0,74.0,,,,1196.0,,,,7918.0,,,,,,9114.0,,,,0.13122668422207592,,,,0.868773315777924,,,,,,1.0,,,,0.06561334211103796,,,,0.06682871659830185,,,,,,,,,2.0,,,,13.0,,,,,,,,,2.0,,,,12.0,,,,,
すさみ町議会議員選挙（2007年04月22日投票）,すさみ町議会議員選挙,和歌山県,すさみ町,20070422.0,2007.0,4.0,22.0,20070417.0,87.84,10.0,12.0,1.2,4491.0,,,,任期満了,,,,,すさみ町議会議員選挙（2007年04月22日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.1,0.6666666666666666,0.3333333333333333,0.0,0.6,0.4,0.0,0.5831195484864032,0.4168804515135967,,0.0728899435608004,0.10422011287839918,,3898.0,2.0,57.583333333333336,7.931564928954577,44.0,53.5,56.0,64.0,72.0,56.0,7.211102550927978,44.0,52.5,55.0,62.25,68.0,,,,701.0,,,,3197.0,,,,,,3898.0,,,,0.17983581323755773,,,,0.8201641867624423,,,,,,1.0,,,,0.08991790661877887,,,,0.08201641867624423,,,,,,,,,2.0,,,,10.0,,,,,,,,,2.0,,,,8.0,,,,,
すさみ町議会議員選挙（2011年04月24日投票）,すさみ町議会議員選挙,和歌山県,すさみ町,20110424.0,2011.0,4.0,24.0,20110419.0,,10.0,13.0,1.3,4186.0,,,-305.0,任期満了,87.84,,,,すさみ町議会議員選挙（2011年04月24日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.07692307692307693,0.1,0.6153846153846154,0.38461538461538464,0.0,0.5,0.5,0.0,0.5485105220005466,0.4514894779994534,,0.06856381525006833,0.09029789559989068,,3659.0,2.0,,,,,,,,,,,,,,,,,,493.0,,,,3166.0,,,,,,3659.0,,,,0.13473626673954633,,,,0.8652637332604537,,,,,,1.0,,,,0.06736813336977317,,,,0.07866033938731397,,,,,,,,,2.0,,,,11.0,,,,,,,,,2.0,,,,8.0,,,,,
すさみ町議会議員選挙（2015年04月26日投票）,すさみ町議会議員選挙,和歌山県,すさみ町,20150426.0,2015.0,4.0,26.0,20150421.0,,10.0,16.0,1.6,3829.0,,,-357.0,任期満了,,,,,すさみ町議会議員選挙（2015年04月26日投票）,1.0,16.0,10.0,1.6,0.0,0.0,0.0,0.0625,0.1,0.4375,0.5625,0.0,0.5,0.5,0.0,0.4842861418736905,0.5157138581263095,,0.06918373455338436,0.05730153979181217,,3341.0,2.0,58.1875,8.69064691205436,36.0,55.75,61.5,63.0,72.0,56.1,8.34805366537614,36.0,55.25,59.0,62.0,63.0,,,,337.0,,,,3004.0,,,,,,3341.0,,,,0.100868003591739,,,,0.899131996408261,,,,,,1.0,,,,0.0504340017958695,,,,0.06422371402916151,,,,,,,,,2.0,,,,14.0,,,,,,,,,1.0,,,,9.0,,,,,
すさみ町議会議員選挙（2019年04月21日投票）,すさみ町議会議員選挙,和歌山県,すさみ町,20190421.0,2019.0,4.0,21.0,20190416.0,,10.0,12.0,1.2,,,,,任期満了,,,,,すさみ町議会議員選挙（2019年04月21日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.1,,,,,,,,,,,,,2974.0,2.0,,,,,,,,,,,,,,,,,,273.0,,,,2701.0,,,,,,2974.0,,,,0.0917955615332885,,,,0.9082044384667115,,,,,,1.0,,,,0.0917955615332885,,,,0.08256403986061013,,,,,,,,,1.0,,,,11.0,,,,,,,,,1.0,,,,9.0,,,,,
