,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_諸,得票数_sum_v,得票率_公明党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_諸,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,一人あたり得票率_諸,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,立候補者数_諸,当選者数_公明党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党,当選者数_諸
三朝町議会議員選挙（2009年11月01日投票）,三朝町議会議員選挙,鳥取県,三朝町,20091101.0,2009.0,11.0,1.0,20091027.0,無投票,12.0,12.0,1.0,6206.0,,,,任期満了,,,,,三朝町議会議員選挙（2009年11月01日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.08333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,3.0,61.083333333333336,7.376294613301601,47.0,58.0,61.5,66.0,72.0,61.083333333333336,7.376294613301601,47.0,58.0,61.5,66.0,72.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,10.0,1.0,,,,1.0,,,,,10.0,1.0,,,
三朝町議会議員選挙（2013年11月10日投票）,三朝町議会議員選挙,鳥取県,三朝町,20131110.0,2013.0,11.0,10.0,20131105.0,,12.0,15.0,1.25,,,,,任期満了,,,,,三朝町議会議員選挙（2013年11月10日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.06666666666666667,0.08333333333333333,0.5333333333333333,0.4666666666666667,0.0,0.5,0.5,0.0,0.513404570461278,0.486595429538722,,0.06417557130765975,0.06951363279124599,,4726.0,1.0,61.4,5.748043145279966,51.0,57.5,63.0,63.5,71.0,60.5,5.937171043518958,51.0,56.25,60.5,63.25,71.0,,,,,,4726.0,,,,,4726.0,,,,,,1.0,,,,,1.0,,,,,,0.06666666666666667,,,,,,,,,,15.0,,,,,,,,,,12.0,,,,
三朝町議会議員選挙（2017年10月29日投票）,三朝町議会議員選挙,鳥取県,三朝町,20171029.0,2017.0,10.0,29.0,20171024.0,,12.0,16.0,1.3333333333333333,5650.0,,,,任期満了,,,,,三朝町議会議員選挙（2017年10月29日投票）,1.0,16.0,12.0,1.3333333333333333,0.0,0.0,0.0,0.125,0.0,0.75,0.1875,0.0625,0.75,0.16666666666666666,0.08333333333333333,0.7330316742081447,0.20678733031674207,0.060180995475113123,0.06108597285067873,0.06892911010558068,0.060180995475113123,4420.0,0.0,63.8125,5.626041570233906,55.0,60.25,63.0,67.0,75.0,64.08333333333333,6.06160503130611,55.0,60.25,63.0,67.25,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伯耆町議会議員選挙（2009年04月26日投票）,伯耆町議会議員選挙,鳥取県,伯耆町,20090426.0,2009.0,4.0,26.0,20090421.0,80.02,14.0,17.0,1.2142857142857142,9877.0,,,,任期満了,,,,,伯耆町議会議員選挙（2009年04月26日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.058823529411764705,0.07142857142857142,0.6470588235294118,0.23529411764705882,0.11764705882352941,0.7142857142857143,0.2857142857142857,0.0,0.6566556375668109,0.2708068210740647,0.07253754135912446,0.05969596705152826,0.06770170526851617,0.03626877067956223,7858.0,3.0,62.411764705882355,6.843277710789591,46.0,60.0,64.0,67.0,71.0,61.142857142857146,6.854166020511517,46.0,58.5,62.5,66.0,70.0,760.0,,,430.0,,6668.0,,,,,7858.0,0.09671672181216595,,,0.054721303130567577,,0.8485619750572665,,,,,1.0,0.09671672181216595,,,0.054721303130567577,,0.0565707983371511,,,,,1.0,,,1.0,,15.0,,,,,1.0,,,1.0,,12.0,,,,
伯耆町議会議員選挙（2013年04月21日投票）,伯耆町議会議員選挙,鳥取県,伯耆町,20130421.0,2013.0,4.0,21.0,20130416.0,無投票,14.0,14.0,1.0,,,,,任期満了,80.02,,,,伯耆町議会議員選挙（2013年04月21日投票）,1.0,14.0,14.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.07142857142857142,0.5714285714285714,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,0.0,,,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,12.0,,,,,1.0,,,1.0,,12.0,,,,
伯耆町議会議員選挙（2017年04月23日投票）,伯耆町議会議員選挙,鳥取県,伯耆町,20170423.0,2017.0,4.0,23.0,20170418.0,無投票,14.0,14.0,1.0,,,,,任期満了,,,,,伯耆町議会議員選挙（2017年04月23日投票）,1.0,14.0,14.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.0,0.9285714285714286,0.07142857142857142,0.0,,,,,,,0.0,0.0,61.214285714285715,11.340059028748934,35.0,57.25,65.5,68.0,74.0,61.214285714285715,11.340059028748934,35.0,57.25,65.5,68.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伯耆町議会議員選挙（2021年04月18日投票）,伯耆町議会議員選挙,鳥取県,伯耆町,20210418.0,2021.0,4.0,18.0,20210413.0,67.31,14.0,16.0,1.1428571428571428,9059.0,4307.0,4752.0,,任期満了,,,,,伯耆町議会議員選挙（2021年04月18日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.125,0.07142857142857142,0.75,0.25,0.0,0.7857142857142857,0.21428571428571427,0.0,0.7545334652159578,0.2454665347840422,,0.06287778876799648,0.06136663369601055,,6066.0,4.0,66.125,11.983712905439615,39.0,63.75,69.0,72.0,89.0,64.28571428571429,11.080411102665893,39.0,61.25,68.5,72.0,78.0,595.0,,,484.0,,4698.0,,289.0,,,6066.0,0.09808770194526871,,,0.07978898780085723,,0.7744807121661721,,0.047642598087701944,,,1.0,0.09808770194526871,,,0.03989449390042862,,0.064540059347181,,0.047642598087701944,,,1.0,,,2.0,,12.0,,1.0,,,1.0,,,1.0,,11.0,,1.0,,
倉吉市議会議員補欠選挙（2002年07月14日投票）,倉吉市議会議員補欠選挙,鳥取県,倉吉市,20020714.0,2002.0,7.0,14.0,20020707.0,60.76,12.0,24.0,2.0,38928.0,,,,その他,,,,,倉吉市議会議員補欠選挙（2002年07月14日投票）,1.0,24.0,12.0,2.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.75,0.25,0.0,0.6666666666666666,0.3333333333333333,,0.6476552086987023,0.35234479130129776,,0.03598084492770568,0.05872413188354963,22808.0,3.0,51.958333333333336,9.089733983395163,27.0,47.75,53.5,56.0,71.0,51.666666666666664,6.599663291074443,37.0,48.5,51.5,56.0,63.0,,,,1028.0,1919.0,19861.0,,,,,22808.0,,,,0.04507190459487899,0.08413714486145213,0.8707909505436688,,,,,1.0,,,,0.04507190459487899,0.08413714486145213,0.03958140684289404,,,,,,,,1.0,1.0,22.0,,,,,,,,1.0,1.0,10.0,,,,
倉吉市議会議員選挙（2001年09月30日投票）,倉吉市議会議員選挙,鳥取県,倉吉市,20010930.0,2001.0,9.0,30.0,20010923.0,73.64,21.0,25.0,1.1904761904761905,39057.0,,,,任期満了,,,,,倉吉市議会議員選挙（2001年09月30日投票）,1.0,25.0,21.0,1.1904761904761905,0.0,0.0,0.0,0.04,0.047619047619047616,0.72,0.16,0.12,0.7619047619047619,0.14285714285714285,0.09523809523809523,0.7355844292847598,0.15110028834657852,0.11331528236866165,0.0408658016269311,0.03777507208664463,0.03777176078955388,28438.0,4.0,53.16,9.259287229587382,29.0,48.0,52.0,58.0,74.0,52.333333333333336,9.362200256926448,29.0,48.0,52.0,58.0,74.0,4345.16,,,973.0,1402.83,21717.010000000002,,,,,28438.000000000004,0.152794148674309,,,0.034214783036781764,0.04932941838385258,0.7636616499050566,,,,,1.0,0.05093138289143633,,,0.034214783036781764,0.04932941838385258,0.03818308249525283,,,,,3.0,,,1.0,1.0,20.0,,,,,3.0,,,1.0,1.0,16.0,,,,
倉吉市議会議員選挙（2005年10月02日投票）,倉吉市議会議員選挙,鳥取県,倉吉市,20051002.0,2005.0,10.0,2.0,20050925.0,71.28,21.0,27.0,1.2857142857142858,42365.0,,,3308.0,任期満了,73.64,,,,倉吉市議会議員選挙（2005年10月02日投票）,1.0,27.0,21.0,1.2857142857142858,0.0,0.0,0.0,0.07407407407407407,0.0,0.7407407407407407,0.2222222222222222,0.037037037037037035,0.8571428571428571,0.14285714285714285,0.0,0.8001675041876047,0.17795644891122278,0.02187604690117253,0.040008375209380234,0.029659408151870462,0.02187604690117253,29850.0,4.0,54.96296296296296,6.368216690207948,40.0,52.0,56.0,58.5,68.0,53.95238095238095,5.686041308295007,40.0,52.0,55.0,57.0,63.0,3847.0,,,1140.0,1400.0,23463.0,,,,,29850.0,0.12887772194304858,,,0.03819095477386935,0.04690117252931323,0.7860301507537688,,,,,1.0,0.04295924064768286,,,0.03819095477386935,0.04690117252931323,0.0357286432160804,,,,,3.0,,,1.0,1.0,22.0,,,,,3.0,,,1.0,1.0,16.0,,,,
