,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_日本第一党,得票数_民主党,得票数_減税日本,得票数_無所属,得票数_燃える市民党,得票数_社会民主党,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_日本第一党,得票率_民主党,得票率_減税日本,得票率_無所属,得票率_燃える市民党,得票率_社会民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本第一党,一人あたり得票率_民主党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_燃える市民党,一人あたり得票率_社会民主党,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本第一党,立候補者数_民主党,立候補者数_減税日本,立候補者数_無所属,立候補者数_燃える市民党,立候補者数_社会民主党,立候補者数_自由民主党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本第一党,当選者数_民主党,当選者数_減税日本,当選者数_無所属,当選者数_燃える市民党,当選者数_社会民主党,当選者数_自由民主党
出雲市議会議員増員選挙（2011年10月30日投票）,出雲市議会議員増員選挙,島根県,出雲市,20111030.0,2011.0,10.0,30.0,20111023.0,66.13,6.0,12.0,2.0,22218.0,,,,増員,,,,,出雲市議会議員増員選挙（2011年10月30日投票）,1.0,12.0,6.0,2.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.08333333333333333,,14567.99,2.0,65.58333333333333,6.12995831053433,53.0,63.75,64.5,67.25,77.0,68.33333333333333,5.849976258261415,63.0,64.0,65.0,73.5,77.0,,,,1540.0,,,,13027.99,,,,14567.99,,,,0.10571122028502217,,,,0.8942887797149779,,,,1.0,,,,0.10571122028502217,,,,0.0812989799740889,,,,,,,1.0,,,,11.0,,,,,,,1.0,,,,5.0,,,
出雲市議会議員選挙（2005年04月17日投票）,出雲市議会議員選挙,島根県,出雲市,20050417.0,2005.0,4.0,17.0,20050410.0,78.03,34.0,45.0,1.3235294117647058,115824.0,,,,その他,,,,,出雲市議会議員選挙（2005年04月17日投票）,1.0,45.0,34.0,1.3235294117647058,0.0,0.0,0.0,0.08888888888888889,0.058823529411764705,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.022222222222222223,,89659.0,5.0,54.51111111111111,9.478917477392125,25.0,51.0,56.0,60.0,72.0,53.44117647058823,10.256106291520958,25.0,50.25,56.0,58.75,72.0,5292.0,,,5350.0,,1841.0,,73227.0,,,3949.0,89659.0,0.059023633991010384,,,0.059670529450473464,,0.020533354152957317,,0.8167278243121159,,,0.044044658093442934,1.0,0.029511816995505192,,,0.019890176483491156,,0.020533354152957317,,0.022073724981408537,,,0.022022329046721467,2.0,,,3.0,,1.0,,37.0,,,2.0,2.0,,,2.0,,1.0,,27.0,,,2.0
出雲市議会議員選挙（2009年04月12日投票）,出雲市議会議員選挙,島根県,出雲市,20090412.0,2009.0,4.0,12.0,20090405.0,78.54,34.0,36.0,1.0588235294117647,115986.0,,,162.0,任期満了,78.03,,,,出雲市議会議員選挙（2009年04月12日投票）,1.0,36.0,34.0,1.0588235294117647,0.0,0.0,0.0,0.05555555555555555,0.058823529411764705,0.7777777777777778,0.2222222222222222,0.0,0.8235294117647058,0.17647058823529413,0.0,0.8111058023511633,0.18889419764883664,,0.028968064369684403,0.02361177470610458,,89998.0,4.0,57.30555555555556,10.429177671973004,29.0,53.5,60.0,64.25,76.0,56.88235294117647,10.462157875163436,29.0,52.5,60.0,63.75,76.0,6273.0,,,9370.34,,2764.0,,71590.66,,,,89998.0,0.0697015489233094,,,0.10411720260450233,,0.03071179359541323,,0.7954694548767751,,,,1.0,0.0348507744616547,,,0.034705734201500776,,0.03071179359541323,,0.026515648495892503,,,,2.0,,,3.0,,1.0,,30.0,,,,2.0,,,3.0,,1.0,,28.0,,,
出雲市議会議員選挙（2013年04月14日投票）,出雲市議会議員選挙,島根県,出雲市,20130414.0,2013.0,4.0,14.0,20130407.0,68.16,32.0,36.0,1.125,138102.0,,,22116.0,任期満了,78.54,,,,出雲市議会議員選挙（2013年04月14日投票）,1.0,36.0,32.0,1.125,0.0,0.0,0.0,0.027777777777777776,0.03125,0.8333333333333334,0.16666666666666666,0.0,0.8125,0.1875,0.0,0.8131861056562469,0.186813894343753,,0.027106203521874896,0.03113564905729217,,93189.0,3.0,58.583333333333336,10.09228253006557,33.0,51.0,60.5,65.25,80.0,57.40625,10.083586214115492,33.0,50.25,58.5,64.0,80.0,7555.0,,,6972.0,,,,78662.0,,,,93189.0,0.08107180031978023,,,0.0748156971316357,,,,0.844112502548584,,,,1.0,0.027023933439926744,,,0.024938565710545233,,,,0.028137083418286135,,,,3.0,,,3.0,,,,30.0,,,,3.0,,,3.0,,,,26.0,,,
出雲市議会議員選挙（2017年04月09日投票）,出雲市議会議員選挙,島根県,出雲市,20170409.0,2017.0,4.0,9.0,20170402.0,63.47,32.0,35.0,1.09375,141004.0,,,2902.0,任期満了,68.16,,,,出雲市議会議員選挙（2017年04月09日投票）,1.0,35.0,32.0,1.09375,0.0,0.0,0.0,0.05714285714285714,0.0625,0.6857142857142857,0.2857142857142857,0.02857142857142857,0.71875,0.25,0.03125,0.7205873957958914,0.24699444204716992,0.03241816215693885,0.03002447482482881,0.02469944420471699,0.03241816215693885,88252.99799999999,0.0,57.4,10.826422704265182,29.0,51.5,60.0,67.5,73.0,58.53125,9.260076859157271,40.0,52.0,60.0,67.25,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出雲市議会議員選挙（2021年04月11日投票）,出雲市議会議員選挙,島根県,出雲市,20210411.0,2021.0,4.0,11.0,20210404.0,63.11,30.0,33.0,1.1,140061.0,67033.0,73028.0,-943.0,任期満了,63.47,,,,出雲市議会議員選挙（2021年04月11日投票）,1.0,33.0,30.0,1.1,0.0,0.0,0.0,0.06060606060606061,0.06666666666666667,0.6363636363636364,0.3333333333333333,0.030303030303030304,0.7,0.26666666666666666,0.03333333333333333,0.7207923580727906,0.2706569937161482,0.008550648211061116,0.03432344562251384,0.024605181246922566,0.008550648211061116,86893.997,3.0,59.878787878787875,11.197287484726408,33.0,55.0,60.0,67.0,78.0,60.86666666666667,11.18550649526232,33.0,56.0,62.5,68.5,78.0,7183.431,,,5227.0,,,,74483.56599999999,,,,86893.99699999999,0.08266889828994747,,,0.06015375262344073,,,,0.8571773490866118,,,,1.0,0.02755629942998249,,,0.030076876311720364,,,,0.03061347675309328,,,,3.0,,,2.0,,,,28.0,,,,3.0,,,2.0,,,,25.0,,,
吉賀町議会議員選挙（2005年10月30日投票）,吉賀町議会議員選挙,島根県,吉賀町,20051030.0,2005.0,10.0,30.0,20051025.0,89.96,18.0,19.0,1.0555555555555556,6143.0,,,,その他,,,,,吉賀町議会議員選挙（2005年10月30日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.05263157894736842,0.05555555555555555,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.05263157894736842,,5472.0,3.0,57.68421052631579,4.8780133097825304,48.0,55.0,57.0,61.0,66.0,58.111111111111114,4.653420353638206,48.0,55.0,57.5,61.5,66.0,291.0,,,668.9300000000001,,,,4512.07,,,,5472.0,0.05317982456140351,,,0.12224597953216375,,,,0.8245741959064327,,,,1.0,0.05317982456140351,,,0.061122989766081874,,,,0.05153588724415204,,,,1.0,,,2.0,,,,16.0,,,,1.0,,,2.0,,,,15.0,,,
吉賀町議会議員選挙（2009年10月18日投票）,吉賀町議会議員選挙,島根県,吉賀町,20091018.0,2009.0,10.0,18.0,20091013.0,84.77,14.0,15.0,1.0714285714285714,5824.0,,,-319.0,任期満了,89.96,,,,吉賀町議会議員選挙（2009年10月18日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.8666666666666667,0.13333333333333333,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8619631901840491,0.13803680981595093,,0.06630486078338839,0.06901840490797546,,4889.999999999999,2.0,62.2,5.443038367186719,52.0,59.0,62.0,67.5,70.0,61.714285714285715,5.310751512983173,52.0,59.0,61.5,66.25,70.0,,,,596.14,,,,4293.86,,,,4890.0,,,,0.12191002044989775,,,,0.8780899795501022,,,,1.0,,,,0.060955010224948876,,,,0.06754538304231555,,,,,,,2.0,,,,13.0,,,,,,,2.0,,,,12.0,,,
吉賀町議会議員選挙（2013年10月20日投票）,吉賀町議会議員選挙,島根県,吉賀町,20131020.0,2013.0,10.0,20.0,20131015.0,,12.0,16.0,1.3333333333333333,,,,,任期満了,84.77,,,,吉賀町議会議員選挙（2013年10月20日投票）,1.0,16.0,12.0,1.3333333333333333,0.0,0.0,0.0,0.0625,0.08333333333333333,0.625,0.375,0.0,0.5833333333333334,0.4166666666666667,0.0,0.5787874920229739,0.42121250797702614,,0.05787874920229739,0.07020208466283769,,4701.0,2.0,62.5,5.545268253204709,52.0,58.0,62.5,66.25,73.0,61.833333333333336,4.487637339278753,52.0,60.25,62.5,65.25,68.0,,,,360.0,,,,4341.0,,,,4701.0,,,,0.07657945118059988,,,,0.9234205488194002,,,,1.0,,,,0.07657945118059988,,,,0.061561369921293345,,,,,,,1.0,,,,15.0,,,,,,,1.0,,,,11.0,,,
吉賀町議会議員選挙（2017年10月22日投票）,吉賀町議会議員選挙,島根県,吉賀町,20171022.0,2017.0,10.0,22.0,20171017.0,,12.0,13.0,1.0833333333333333,,,,,任期満了,,,,,吉賀町議会議員選挙（2017年10月22日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,0.7692307692307693,0.07692307692307693,0.15384615384615385,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.8539114043355325,0.05796418473138549,0.088124410933082,0.08539114043355325,0.05796418473138549,0.044062205466541,4244.0,0.0,66.6923076923077,5.1498262164049375,56.0,65.0,67.0,70.0,77.0,66.5,5.315072906367325,56.0,64.25,66.5,70.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
