,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから自国民を守る党,得票数_あたらしい党,得票数_たちあがれ日本,得票数_たんぽぽ党,得票数_公明党,得票数_国民民主党,得票数_市民の党「自由と責任」,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_権力者から住民を守る党,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_NHKから自国民を守る党,得票率_あたらしい党,得票率_たちあがれ日本,得票率_たんぽぽ党,得票率_公明党,得票率_国民民主党,得票率_市民の党「自由と責任」,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_権力者から住民を守る党,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから自国民を守る党,一人あたり得票率_あたらしい党,一人あたり得票率_たちあがれ日本,一人あたり得票率_たんぽぽ党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_市民の党「自由と責任」,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_権力者から住民を守る党,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_NHKから自国民を守る党,立候補者数_あたらしい党,立候補者数_たちあがれ日本,立候補者数_たんぽぽ党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_市民の党「自由と責任」,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_権力者から住民を守る党,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_NHKから自国民を守る党,当選者数_あたらしい党,当選者数_たちあがれ日本,当選者数_たんぽぽ党,当選者数_公明党,当選者数_国民民主党,当選者数_市民の党「自由と責任」,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_権力者から住民を守る党,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
久米南町議会議員補欠選挙（2012年07月08日投票）,久米南町議会議員補欠選挙,岡山県,久米南町,20120708.0,2012.0,7.0,8.0,20120703.0,60.9,1.0,2.0,2.0,4576.0,,,,死亡,,,,,久米南町議会議員補欠選挙（2012年07月08日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,2723.0,2.0,56.0,3.0,53.0,54.5,56.0,57.5,59.0,59.0,0.0,59.0,59.0,59.0,59.0,59.0,,,,,,,,,1475.0,,,,,,,1248.0,,,,2723.0,,,,,,,,,0.541681968417187,,,,,,,0.4583180315828131,,,,1.0,,,,,,,,,0.541681968417187,,,,,,,0.4583180315828131,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,0.0,,,
久米南町議会議員補欠選挙（2016年07月17日投票）,久米南町議会議員補欠選挙,岡山県,久米南町,20160717.0,2016.0,7.0,17.0,20160712.0,75.76,1.0,2.0,2.0,,,,,辞職,60.9,,,,久米南町議会議員補欠選挙（2016年07月17日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,,0.26244910742248667,0.7375508925775133,,0.26244910742248667,0.7375508925775133,3193.0,0.0,58.5,0.5,58.0,58.25,58.5,58.75,59.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
久米南町議会議員選挙（2006年04月09日投票）,久米南町議会議員選挙,岡山県,久米南町,20060409.0,2006.0,4.0,9.0,20060404.0,80.92,10.0,11.0,1.1,4957.0,,,,任期満了,,,,,久米南町議会議員選挙（2006年04月09日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.9,0.1,0.0,0.8614915595867977,0.13850844041320232,,0.08614915595867977,0.13850844041320232,,3969.0,2.0,58.54545454545455,7.177789433873412,47.0,55.0,58.0,65.0,69.0,57.6,6.843975452907469,47.0,55.0,57.0,61.75,69.0,,,,,,,,,681.0,,,,,,,3288.0,,,,3969.0,,,,,,,,,0.17157974300831444,,,,,,,0.8284202569916855,,,,1.0,,,,,,,,,0.08578987150415722,,,,,,,0.0920466952212984,,,,,,,,,,,,2.0,,,,,,,9.0,,,,,,,,,,,,2.0,,,,,,,8.0,,,
久米南町議会議員選挙（2010年04月04日投票）,久米南町議会議員選挙,岡山県,久米南町,20100404.0,2010.0,4.0,4.0,20100330.0,78.27,8.0,9.0,1.125,4718.0,,,-239.0,任期満了,80.92,,,,久米南町議会議員選挙（2010年04月04日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.75,0.125,0.125,0.6841197375615091,0.17782668124658282,0.13805358119190814,0.11401995626025152,0.08891334062329141,0.13805358119190814,3658.0,3.0,,,,,,,,,,,,,,,,,,,,,,,862.51,,,,505.0,,,2290.49,,,,3658.0,,,,,,,,,0.23578731547293602,,,,0.13805358119190814,,,0.6261591033351558,,,,1.0,,,,,,,,,0.11789365773646801,,,,0.13805358119190814,,,0.1043598505558593,,,,,,,,,,,,2.0,,,,1.0,,,6.0,,,,,,,,,,,,2.0,,,,1.0,,,5.0,,,
久米南町議会議員選挙（2014年04月06日投票）,久米南町議会議員選挙,岡山県,久米南町,20140406.0,2014.0,4.0,6.0,20140401.0,74.43,8.0,10.0,1.25,3350.0,,,-1368.0,任期満了,78.27,,,,久米南町議会議員選挙（2014年04月06日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.1,0.125,0.7,0.3,0.0,0.75,0.25,0.0,0.6836396504971377,0.3163603495028623,,0.09766280721387681,0.10545344983428744,,3319.0,2.0,61.6,11.056219968868204,43.0,56.25,59.0,63.0,85.0,62.875,12.025363819860088,43.0,56.5,62.0,66.25,85.0,,,,,,,,,792.0,,,,,,,2527.0,,,,3319.0,,,,,,,,,0.2386260921964447,,,,,,,0.7613739078035553,,,,1.0,,,,,,,,,0.11931304609822235,,,,,,,0.09517173847544441,,,,,,,,,,,,2.0,,,,,,,8.0,,,,,,,,,,,,2.0,,,,,,,6.0,,,
久米南町議会議員選挙（2018年04月08日投票）,久米南町議会議員選挙,岡山県,久米南町,20180408.0,2018.0,4.0,8.0,20180403.0,73.13,8.0,10.0,1.25,,,,,任期満了,74.43,,,,久米南町議会議員選挙（2018年04月08日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.1,0.0,0.7,0.3,0.0,0.75,0.25,0.0,0.7333978078658929,0.266602192134107,,0.10477111540941328,0.08886739737803567,,3102.0,2.0,66.8,10.92520022699813,47.0,61.0,66.0,70.0,89.0,64.75,8.898735865278843,47.0,60.75,66.0,68.0,80.0,,,,,,,,,604.0,,,,,,,2498.0,,,,3102.0,,,,,,,,,0.1947130883301096,,,,,,,0.8052869116698904,,,,1.0,,,,,,,,,0.0973565441650548,,,,,,,0.1006608639587363,,,,,,,,,,,,2.0,,,,,,,8.0,,,,,,,,,,,,2.0,,,,,,,6.0,,,
井原市議会議員選挙（2009年04月19日投票）,井原市議会議員選挙,岡山県,井原市,20090419.0,2009.0,4.0,19.0,20090412.0,70.79,22.0,26.0,1.181818181818182,37102.0,,,,任期満了,,,,,井原市議会議員選挙（2009年04月19日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.34615384615384615,0.038461538461538464,0.6363636363636364,0.3181818181818182,0.045454545454545456,0.640655945344285,0.33032739694480695,0.029016657710908115,0.040040996584017816,0.03670304410497855,0.029016657710908115,26054.0,3.0,57.73076923076923,7.030470453170215,40.0,52.25,58.5,63.0,69.0,57.13636363636363,7.319311036537987,40.0,52.0,57.0,62.75,69.0,,,,,1591.0,,,,1646.61,,,,,,,22816.39,,,,26054.0,,,,,0.06106547938896139,,,,0.06319989253089736,,,,,,,0.8757346280801412,,,,1.0,,,,,0.06106547938896139,,,,0.03159994626544868,,,,,,,0.038075418612180056,,,,,,,,1.0,,,,2.0,,,,,,,23.0,,,,,,,,1.0,,,,1.0,,,,,,,20.0,,,
井原市議会議員選挙（2013年04月21日投票）,井原市議会議員選挙,岡山県,井原市,20130421.0,2013.0,4.0,21.0,20130414.0,63.78,20.0,22.0,1.1,35859.0,,,-1243.0,任期満了,70.79,,,,井原市議会議員選挙（2013年04月21日投票）,1.0,22.0,20.0,1.1,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.3181818181818182,0.045454545454545456,0.65,0.3,0.05,0.6258821453775583,0.3276287932251235,0.04648906139731828,0.044705867526968444,0.04680411331787478,0.04648906139731828,22672.0,3.0,58.27272727272727,6.58636206788362,43.0,55.25,59.0,62.75,69.0,58.05,6.866403716648185,43.0,54.75,58.5,63.0,69.0,,,,,1507.0,,,,1383.0,,,,,,,19782.0,,,,22672.0,,,,,0.06646965419901199,,,,0.06100035285815102,,,,,,,0.872529992942837,,,,1.0,,,,,0.06646965419901199,,,,0.06100035285815102,,,,,,,0.043626499647141846,,,,,,,,1.0,,,,1.0,,,,,,,20.0,,,,,,,,1.0,,,,1.0,,,,,,,18.0,,,
井原市議会議員選挙（2017年04月23日投票）,井原市議会議員選挙,岡山県,井原市,20170423.0,2017.0,4.0,23.0,20170416.0,59.19,20.0,21.0,1.05,34995.0,,,-864.0,任期満了,63.78,,,,井原市議会議員選挙（2017年04月23日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.047619047619047616,0.05,0.7619047619047619,0.23809523809523808,0.0,0.75,0.25,0.0,0.7427387914230019,0.257261208576998,,0.04642117446393762,0.0514522417153996,,20520.0,3.0,59.714285714285715,8.03055389860297,43.0,56.0,61.0,64.0,73.0,59.95,8.157665107124709,43.0,57.5,61.0,64.5,73.0,,,,,1355.0,,,,1039.0,,,,,,,18126.0,,,,20520.0,,,,,0.06603313840155946,,,,0.05063352826510721,,,,,,,0.8833333333333333,,,,1.0,,,,,0.06603313840155946,,,,0.05063352826510721,,,,,,,0.04649122807017544,,,,,,,,1.0,,,,1.0,,,,,,,19.0,,,,,,,,1.0,,,,1.0,,,,,,,18.0,,,
井原市議会議員選挙（2021年04月18日投票）,井原市議会議員選挙,岡山県,井原市,20210418.0,2021.0,4.0,18.0,20210411.0,55.61,18.0,20.0,1.1111111111111112,33361.0,15849.0,17512.0,-1634.0,任期満了,59.19,,,,井原市議会議員選挙（2021年04月18日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.05,0.05555555555555555,0.85,0.15,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8433264642996006,0.1566735357003994,,0.049607439076447095,0.052224511900133136,,18365.999,3.0,61.3,8.602906485601247,44.0,55.0,64.0,67.0,75.0,62.166666666666664,8.368260140422128,44.0,56.5,65.0,67.0,75.0,,,,,1244.0,,,,781.0,,,,,,,16340.999,,,,18365.999,,,,,0.06773385972633451,,,,0.042524231869989756,,,,,,,0.8897419084036757,,,,1.0,,,,,0.06773385972633451,,,,0.042524231869989756,,,,,,,0.04943010602242643,,,,,,,,1.0,,,,1.0,,,,,,,18.0,,,,,,,,1.0,,,,1.0,,,,,,,16.0,,,
