,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_たちあがれ日本,得票数_みんなの党,得票数_公明党,得票数_地域政党きずな庄原,得票数_希望の党,得票数_幸福実現党,得票数_新社会党,得票数_新社民,得票数_日本共産党,得票数_日本維新の会,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_社民党,得票数_福山維新の会,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_たちあがれ日本,得票率_みんなの党,得票率_公明党,得票率_地域政党きずな庄原,得票率_希望の党,得票率_幸福実現党,得票率_新社会党,得票率_新社民,得票率_日本共産党,得票率_日本維新の会,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_社民党,得票率_福山維新の会,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_たちあがれ日本,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_地域政党きずな庄原,一人あたり得票率_希望の党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_新社民,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_社民党,一人あたり得票率_福山維新の会,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_たちあがれ日本,立候補者数_みんなの党,立候補者数_公明党,立候補者数_地域政党きずな庄原,立候補者数_希望の党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_新社民,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_社民党,立候補者数_福山維新の会,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_たちあがれ日本,当選者数_みんなの党,当選者数_公明党,当選者数_地域政党きずな庄原,当選者数_希望の党,当選者数_幸福実現党,当選者数_新社会党,当選者数_新社民,当選者数_日本共産党,当選者数_日本維新の会,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_社民党,当選者数_福山維新の会,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
三原市議会議員補欠選挙（2008年07月06日投票）,三原市議会議員補欠選挙,広島県,三原市,20080706.0,2008.0,7.0,6.0,20080629.0,67.82,1.0,2.0,2.0,5553.0,,,,その他,,,,,三原市議会議員補欠選挙（2008年07月06日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,3705.0,1.0,60.5,4.5,56.0,58.25,60.5,62.75,65.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,,,3705.0,,,,,,,3705.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
三原市議会議員補欠選挙（2020年08月09日投票）,三原市議会議員補欠選挙,広島県,三原市,20200809.0,2020.0,8.0,9.0,20200802.0,48.34,1.0,2.0,2.0,76879.0,,,71326.0,辞職,67.82,,,,三原市議会議員補欠選挙（2020年08月09日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,,0.43842303651980474,0.5615769634801953,,0.43842303651980474,0.5615769634801953,32366.0,1.0,60.0,12.0,48.0,54.0,60.0,66.0,72.0,48.0,0.0,48.0,48.0,48.0,48.0,48.0,,,,,,,,,,,,,,,32366.0,,,,,,,32366.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
三原市議会議員選挙（2003年04月27日投票）,三原市議会議員選挙,広島県,三原市,20030427.0,2003.0,4.0,27.0,20030420.0,68.31,28.0,31.0,1.1071428571428572,86678.0,,,,任期満了,,,,,三原市議会議員選挙（2003年04月27日投票）,1.0,31.0,28.0,1.1071428571428572,0.0,0.0,0.0,0.06451612903225806,0.07142857142857142,0.7741935483870968,0.16129032258064516,0.06451612903225806,0.8214285714285714,0.14285714285714285,0.03571428571428571,0.7473245528102294,0.17243876947064957,0.08023667771912112,0.031138523033759555,0.03448775389412991,0.04011833885956056,43944.99,5.0,54.83870967741935,7.637330956657518,41.0,48.0,56.0,60.0,74.0,54.214285714285715,7.017107375433794,41.0,47.75,55.0,60.0,66.0,,,,5382.6,,,,2179.1,,2329.1800000000003,,,,,32589.11,1465.0,,,,,,43944.99,,,,0.1224849522095693,,,,0.04958699501353852,,0.053002173854175424,,,,,0.7415887453837173,0.03333713353899956,,,,,,1.0,,,,0.04082831740318977,,,,0.02479349750676926,,0.026501086927087712,,,,,0.03224298892972684,0.03333713353899956,,,,,,,,,3.0,,,,2.0,,2.0,,,,,23.0,1.0,,,,,,,,,3.0,,,,1.0,,2.0,,,,,21.0,1.0,,,,,
三原市議会議員選挙（2005年04月24日投票）,三原市議会議員選挙,広島県,三原市,20050424.0,2005.0,4.0,24.0,20050417.0,72.23,0.0,49.0,,84196.0,,,-2482.0,その他,68.31,,,,三原市議会議員選挙（2005年04月24日投票）,4.0,49.0,37.0,1.3243243243243243,0.0,0.0,0.0,0.08163265306122448,0.08108108108108109,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.02040816326530612,,59952.0,5.0,59.16326530612245,8.008533557770686,45.0,52.0,61.0,65.0,78.0,58.45945945945946,7.171997326670017,45.0,52.0,61.0,64.0,76.0,,,,5689.0,,,,2586.0,,2251.0,,,,,47837.0,1589.0,,,,,,59952.0,,,,0.09489258073125167,,,,0.043134507606084865,,0.037546704029890576,,,,,0.7979216706698692,0.026504536962903655,,,,,,1.0,,,,0.03163086024375056,,,,0.021567253803042433,,0.037546704029890576,,,,,0.018998135015949266,0.026504536962903655,,,,,,,,,3.0,,,,2.0,,1.0,,,,,42.0,1.0,,,,,,,,,3.0,,,,2.0,,1.0,,,,,30.0,1.0,,,,,
三原市議会議員選挙（2009年04月12日投票）,三原市議会議員選挙,広島県,三原市,20090412.0,2009.0,4.0,12.0,20090405.0,64.66,32.0,34.0,1.0625,83262.0,,,-934.0,任期満了,72.23,,,,三原市議会議員選挙（2009年04月12日投票）,1.0,34.0,32.0,1.0625,0.0,0.0,0.0,0.08823529411764706,0.09375,0.9117647058823529,0.08823529411764706,0.0,0.90625,0.09375,0.0,0.9143897996357013,0.08561020036429871,,0.029496445149538753,0.028536733454766237,,53253.0,4.0,61.44117647058823,6.722180915668351,49.0,56.25,61.0,66.0,80.0,61.0625,5.984028221023026,49.0,56.75,61.0,66.0,72.0,,,,5990.0,,,,,,2282.0,,,,,43483.0,1498.0,,,,,,53253.0,,,,0.11248192590088821,,,,,,0.04285204589412803,,,,,0.816536157587366,0.028129870617617788,,,,,,1.0,,,,0.03749397530029607,,,,,,0.04285204589412803,,,,,0.02815641922715055,0.028129870617617788,,,,,,,,,3.0,,,,,,1.0,,,,,29.0,1.0,,,,,,,,,3.0,,,,,,1.0,,,,,27.0,1.0,,,,,
三原市議会議員選挙（2013年04月14日投票）,三原市議会議員選挙,広島県,三原市,20130414.0,2013.0,4.0,14.0,20130407.0,66.46,28.0,36.0,1.2857142857142858,80799.0,,,-2463.0,任期満了,64.66,,,,三原市議会議員選挙（2013年04月14日投票）,1.0,36.0,28.0,1.2857142857142858,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.5833333333333334,0.4166666666666667,0.0,0.6428571428571429,0.35714285714285715,0.0,0.6364563849685427,0.3635436150314572,,0.03030744690326394,0.024236241002097147,,52929.0,3.0,60.611111111111114,8.734598438196413,39.0,57.0,61.0,66.0,76.0,59.714285714285715,9.078456220467155,39.0,56.75,61.0,65.25,76.0,,,,4754.0,,,,,,2796.0,,,,,45379.0,,,,,,,52929.0,,,,0.08981843601806193,,,,,,0.05282548319446806,,,,,0.85735608078747,,,,,,,1.0,,,,0.02993947867268731,,,,,,0.05282548319446806,,,,,0.02679237752460844,,,,,,,,,,3.0,,,,,,1.0,,,,,32.0,,,,,,,,,,3.0,,,,,,1.0,,,,,24.0,,,,,,
三原市議会議員選挙（2017年04月16日投票）,三原市議会議員選挙,広島県,三原市,20170416.0,2017.0,4.0,16.0,20170409.0,57.22,26.0,28.0,1.0769230769230769,79667.0,,,-1132.0,任期満了,66.46,,,,三原市議会議員選挙（2017年04月16日投票）,1.0,28.0,26.0,1.0769230769230769,0.0,0.0,0.0,0.14285714285714285,0.15384615384615385,0.75,0.25,0.0,0.8076923076923077,0.19230769230769232,0.0,0.7760931516608781,0.22390684833912192,,0.0369568167457561,0.03198669261987456,,44916.0,3.0,61.0,9.023778112773575,41.0,57.75,61.5,67.25,76.0,61.61538461538461,8.970365411804682,41.0,60.0,63.0,67.75,76.0,,,,4910.0,,,,,,3151.0,,,,,36855.0,,,,,,,44916.0,,,,0.10931516608780835,,,,,,0.07015317481521062,,,,,0.820531659096981,,,,,,,1.0,,,,0.036438388695936116,,,,,,0.03507658740760531,,,,,0.035675289525955695,,,,,,,,,,3.0,,,,,,2.0,,,,,23.0,,,,,,,,,,3.0,,,,,,1.0,,,,,22.0,,,,,,
三原市議会議員選挙（2021年04月04日投票）,三原市議会議員選挙,広島県,三原市,20210404.0,2021.0,4.0,4.0,20210328.0,50.39,25.0,28.0,1.12,75956.0,35901.0,40055.0,-3711.0,任期満了,57.22,,,,三原市議会議員選挙（2021年04月04日投票）,1.0,28.0,25.0,1.12,0.0,0.0,0.0,0.10714285714285714,0.12,0.75,0.25,0.0,0.84,0.16,0.0,0.7770645315439461,0.22293546845605403,,0.0370030729306641,0.03184792406515057,,37853.998999999996,3.0,62.785714285714285,10.093693727334134,35.0,61.0,65.0,68.25,76.0,62.24,10.41260774253981,35.0,61.0,65.0,68.0,76.0,,,,3991.0,,,,,,2367.0,,,,,31495.999,,,,,,,37853.998999999996,,,,0.10543139708964436,,,,,,0.06252972110027266,,,,,0.8320388818100831,,,,,,,1.0,,,,0.035143799029881455,,,,,,0.06252972110027266,,,,,0.034668286742086794,,,,,,,,,,3.0,,,,,,1.0,,,,,24.0,,,,,,,,,,3.0,,,,,,1.0,,,,,21.0,,,,,,
三次市議会議員補欠選挙（2007年04月22日投票）,三次市議会議員補欠選挙,広島県,三次市,20070422.0,2007.0,4.0,22.0,20070415.0,無投票,1.0,1.0,1.0,3108.0,,,,その他,,,,,三次市議会議員補欠選挙（2007年04月22日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,0.0,1.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
三次市議会議員補欠選挙（2019年04月21日投票）,三次市議会議員補欠選挙,広島県,三次市,20190421.0,2019.0,4.0,21.0,20190414.0,63.29,3.0,5.0,1.6666666666666667,,,,,その他,,,,,三次市議会議員補欠選挙（2019年04月21日投票）,1.0,5.0,3.0,1.6666666666666667,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,25755.0,2.0,,,,,,,,49.0,14.89966442575134,28.0,43.0,58.0,59.5,61.0,,,,,,,,,,2696.0,,,,,23059.0,,,,,,,25755.0,,,,,,,,,,0.10467870316443409,,,,,0.8953212968355659,,,,,,,1.0,,,,,,,,,,0.10467870316443409,,,,,0.22383032420889148,,,,,,,,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,0.0,,,,,3.0,,,,,,
