,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_日本維新の会,得票数_次世代の為の自由福祉党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_維新政党・新風,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_日本維新の会,得票率_次世代の為の自由福祉党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_維新政党・新風,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の為の自由福祉党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_維新政党・新風,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_次世代の為の自由福祉党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_維新政党・新風,立候補者数_自由民主党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_次世代の為の自由福祉党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_維新政党・新風,当選者数_自由民主党
上関町議会議員補欠選挙（2015年09月06日投票）,上関町議会議員補欠選挙,山口県,上関町,20150906.0,2015.0,9.0,6.0,20150901.0,69.76,1.0,2.0,2.0,2847.0,,,,その他,,,,,上関町議会議員補欠選挙（2015年09月06日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,1943.0,1.0,65.5,2.5,63.0,64.25,65.5,66.75,68.0,68.0,0.0,68.0,68.0,68.0,68.0,68.0,,,,,,,,,1943.0,,,,,,1943.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,
上関町議会議員選挙（2002年02月10日投票）,上関町議会議員選挙,山口県,上関町,20020210.0,2002.0,2.0,10.0,20020205.0,93.17,14.0,16.0,1.1428571428571428,3984.0,,,,任期満了,,,,,上関町議会議員選挙（2002年02月10日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.0625,0.07142857142857142,0.8125,0.1875,0.0,0.9285714285714286,0.07142857142857142,0.0,0.8950081389039609,0.10499186109603907,,0.0688467799156893,0.034997287032013026,,3686.0,2.0,61.8125,9.837547649185746,47.0,53.25,62.0,71.0,76.0,62.42857142857143,10.286706301368396,47.0,51.75,65.5,71.0,76.0,,,,,191.0,,,,3495.0,,,,,,3686.0,,,,,0.051817688551275096,,,,0.9481823114487249,,,,,,1.0,,,,,0.051817688551275096,,,,0.06321215409658167,,,,,,,,,,1.0,,,,15.0,,,,,,,,,,1.0,,,,13.0,,,,,
上関町議会議員選挙（2006年02月12日投票）,上関町議会議員選挙,山口県,上関町,20060212.0,2006.0,2.0,12.0,20060207.0,88.11,14.0,15.0,1.0714285714285714,3574.0,,,-410.0,任期満了,93.17,,,,上関町議会議員選挙（2006年02月12日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.13333333333333333,0.07142857142857142,0.6666666666666666,0.13333333333333333,0.2,0.6428571428571429,0.14285714285714285,0.21428571428571427,0.6778846153846154,0.09647435897435898,0.22564102564102564,0.06778846153846155,0.04823717948717949,0.07521367521367521,3120.0000000000005,1.0,61.86666666666667,9.2798467420295,46.0,54.0,62.0,69.5,75.0,62.285714285714285,9.467452300446222,46.0,53.5,63.0,70.75,75.0,,,,,,,,,3120.0000000000005,,,,,,3120.0000000000005,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.06666666666666667,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,14.0,,,,,
上関町議会議員選挙（2010年02月14日投票）,上関町議会議員選挙,山口県,上関町,20100214.0,2010.0,2.0,14.0,20100209.0,90.24,12.0,17.0,1.4166666666666667,3270.0,,,-304.0,任期満了,88.11,,,,上関町議会議員選挙（2010年02月14日投票）,1.0,17.0,12.0,1.4166666666666667,0.0,0.0,0.0,0.17647058823529413,0.08333333333333333,0.5882352941176471,0.35294117647058826,0.058823529411764705,0.6666666666666666,0.3333333333333333,0.0,0.5976815547221275,0.36140470508012273,0.040913740197749744,0.059768155472212744,0.06023411751335379,0.040913740197749744,2933.0,2.0,59.11764705882353,10.921551026141342,37.0,55.0,60.0,66.0,79.0,59.083333333333336,10.003818715315113,43.0,53.75,58.5,63.5,79.0,,,,,85.0,,,,2848.0,,,,,,2933.0,,,,,0.028980565973406067,,,,0.971019434026594,,,,,,1.0,,,,,0.028980565973406067,,,,0.06068871462666212,,,,,,,,,,1.0,,,,16.0,,,,,,,,,,0.0,,,,12.0,,,,,
上関町議会議員選挙（2014年02月16日投票）,上関町議会議員選挙,山口県,上関町,20140216.0,2014.0,2.0,16.0,20140211.0,86.03,10.0,13.0,1.3,,,,,任期満了,90.24,,,,上関町議会議員選挙（2014年02月16日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.15384615384615385,0.1,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.8,0.1,0.1,0.7226590728870035,0.1725123926265337,0.10482853448646286,0.09033238411087544,0.057504130875511233,0.05241426724323143,2559.9900000000002,2.0,59.23076923076923,9.488080345309752,41.0,53.0,62.0,66.0,74.0,60.2,7.56042326857432,47.0,55.25,62.5,65.5,72.0,,,,,149.63,,,,2410.36,,,,,,2559.9900000000002,,,,,0.0584494470681526,,,,0.9415505529318473,,,,,,1.0,,,,,0.0584494470681526,,,,0.07846254607765395,,,,,,,,,,1.0,,,,12.0,,,,,,,,,,0.0,,,,10.0,,,,,
上関町議会議員選挙（2018年02月18日投票）,上関町議会議員選挙,山口県,上関町,20180218.0,2018.0,2.0,18.0,20180213.0,,10.0,11.0,1.1,2634.0,,,,任期満了,86.03,,,,上関町議会議員選挙（2018年02月18日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.18181818181818182,0.2,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.7,0.2,0.1,0.728219696969697,0.19554924242424243,0.07623106060606061,0.09102746212121213,0.09777462121212122,0.07623106060606061,2112.0,0.0,61.36363636363637,9.325163681456235,40.0,55.5,66.0,68.0,71.0,62.4,9.156418513807678,40.0,59.25,66.5,68.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下松市議会議員補欠選挙（2016年04月17日投票）,下松市議会議員補欠選挙,山口県,下松市,20160417.0,2016.0,4.0,17.0,20160410.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,下松市議会議員補欠選挙（2016年04月17日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,0.0,1.0,65.0,0.0,65.0,65.0,65.0,65.0,65.0,65.0,0.0,65.0,65.0,65.0,65.0,65.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
下松市議会議員選挙（2006年04月09日投票）,下松市議会議員選挙,山口県,下松市,20060409.0,2006.0,4.0,9.0,20060402.0,65.37,24.0,26.0,1.0833333333333333,44005.0,,,,任期満了,,,,,下松市議会議員選挙（2006年04月09日投票）,1.0,26.0,24.0,1.0833333333333333,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,0.7692307692307693,0.23076923076923078,0.0,0.75,0.25,0.0,0.7364453473923871,0.2635546526076129,,0.036822267369619355,0.04392577543460215,,28514.010000000002,3.0,56.34615384615385,9.52705583585025,36.0,49.25,57.5,63.5,70.0,55.75,9.627434756984853,36.0,47.5,56.0,62.5,70.0,4011.0,,,,2958.0,,,,21545.01,,,,,,28514.01,0.1406676928288936,,,,0.10373847803237778,,,,0.7555938291387286,,,,,,1.0,0.0703338464144468,,,,0.03457949267745926,,,,0.03598065853041565,,,,,,2.0,,,,3.0,,,,21.0,,,,,,2.0,,,,3.0,,,,19.0,,,,,
下松市議会議員選挙（2010年04月11日投票）,下松市議会議員選挙,山口県,下松市,20100411.0,2010.0,4.0,11.0,20100404.0,60.67,20.0,23.0,1.15,44793.0,,,788.0,任期満了,65.37,,,,下松市議会議員選挙（2010年04月11日投票）,1.0,23.0,20.0,1.15,0.0,0.0,0.0,0.08695652173913043,0.05,0.7391304347826086,0.2608695652173913,0.0,0.75,0.25,0.0,0.716462281679673,0.28353771832032704,,0.042144840098804294,0.04725628638672117,,26910.0,3.0,,,,,,,,,,,,,,,3769.0,,,,2790.0,,,,20351.0,,,,,,26910.0,0.1400594574507618,,,,0.10367892976588629,,,,0.7562616127833519,,,,,,1.0,0.0700297287253809,,,,0.03455964325529543,,,,0.04201453404351955,,,,,,2.0,,,,3.0,,,,18.0,,,,,,2.0,,,,2.0,,,,16.0,,,,,
下松市議会議員選挙（2014年04月13日投票）,下松市議会議員選挙,山口県,下松市,20140413.0,2014.0,4.0,13.0,20140406.0,46.56,20.0,21.0,1.05,,,,,任期満了,60.67,,,,下松市議会議員選挙（2014年04月13日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.047619047619047616,0.05,0.8571428571428571,0.09523809523809523,0.047619047619047616,0.85,0.1,0.05,0.8879735855673471,0.08090333970727207,0.03112307472538079,0.049331865864852616,0.04045166985363603,0.03112307472538079,20678.998000000003,3.0,59.095238095238095,10.532963052132878,34.0,51.0,62.0,67.0,78.0,58.9,10.75592859775482,34.0,50.75,59.5,67.25,78.0,3155.0,,,,1752.0,,,,15771.998,,,,,,20678.998,0.15257025509649935,,,,0.08472364086499742,,,,0.7627061040385033,,,,,,1.0,0.07628512754824968,,,,0.04236182043249871,,,,0.04486506494344137,,,,,,2.0,,,,2.0,,,,17.0,,,,,,2.0,,,,2.0,,,,16.0,,,,,
