,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_たちあがれ日本,得票数_みんなの党,得票数_公明党,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_無所属,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_たちあがれ日本,得票率_みんなの党,得票率_公明党,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_無所属,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_たちあがれ日本,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_たちあがれ日本,立候補者数_みんなの党,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_無所属,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_たちあがれ日本,当選者数_みんなの党,当選者数_公明党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_無所属,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
つるぎ町議会議員補欠選挙（2017年03月19日投票）,つるぎ町議会議員補欠選挙,徳島県,つるぎ町,20170319.0,2017.0,3.0,19.0,20170314.0,36.6,1.0,2.0,2.0,8465.0,,,,その他/田村昭仁議員の公選法違反による辞職のため,,,,,つるぎ町議会議員補欠選挙（2017年03月19日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,,0.31132410365637203,0.688675896343628,,0.31132410365637203,0.688675896343628,2817.0,0.0,33.5,1.5,32.0,32.75,33.5,34.25,35.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
つるぎ町議会議員選挙（2006年11月19日投票）,つるぎ町議会議員選挙,徳島県,つるぎ町,20061119.0,2006.0,11.0,19.0,20061114.0,89.91,0.0,23.0,,10366.0,,,,任期満了,,,,,つるぎ町議会議員選挙（2006年11月19日投票）,3.0,23.0,18.0,1.2777777777777777,0.0,0.0,0.0,0.17391304347826086,0.1111111111111111,0.7391304347826086,0.21739130434782608,0.043478260869565216,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.7878622197922361,0.14904319300164023,0.06309458720612357,0.04634483645836683,0.029808638600328046,0.06309458720612357,9145.0,2.0,57.95652173913044,10.062752069193056,25.0,56.0,58.0,63.0,71.0,59.833333333333336,6.229410530343586,45.0,56.25,58.5,62.0,71.0,,,,,334.0,,,8811.0,,,,9145.0,,,,,0.03652268999453253,,,0.9634773100054674,,,,1.0,,,,,0.03652268999453253,,,0.0437944231820667,,,,,,,,1.0,,,22.0,,,,,,,,0.0,,,18.0,,,
つるぎ町議会議員選挙（2010年11月19日投票）,つるぎ町議会議員選挙,徳島県,つるぎ町,20101119.0,2010.0,11.0,19.0,20101114.0,無投票,16.0,16.0,1.0,9797.0,,,-569.0,任期満了,89.91,,,,つるぎ町議会議員選挙（2010年11月19日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.1875,0.1875,0.875,0.125,0.0,0.875,0.125,0.0,,,,,,,0.0,1.0,59.8125,9.248099466917514,29.0,60.0,62.0,63.25,73.0,59.8125,9.248099466917514,29.0,60.0,62.0,63.25,73.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,16.0,,,
つるぎ町議会議員選挙（2014年11月16日投票）,つるぎ町議会議員選挙,徳島県,つるぎ町,20141116.0,2014.0,11.0,16.0,20141111.0,81.46,14.0,16.0,1.1428571428571428,8853.0,,,-944.0,任期満了,,,,,つるぎ町議会議員選挙（2014年11月16日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.1875,0.21428571428571427,0.8125,0.1875,0.0,0.7857142857142857,0.21428571428571427,0.0,0.752103196859226,0.24789680314077397,,0.057854092066094306,0.08263226771359132,,7132.0,1.0,59.0625,12.044027306096579,33.0,55.25,64.5,66.0,70.0,60.42857142857143,10.581076678366403,36.0,58.0,64.5,66.0,70.0,,,,,,,,7132.0,,,,7132.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.0625,,,,,,,,,,,16.0,,,,,,,,,,,14.0,,,
つるぎ町議会議員選挙（2018年11月11日投票）,つるぎ町議会議員選挙,徳島県,つるぎ町,20181111.0,2018.0,11.0,11.0,20181106.0,76.2,12.0,14.0,1.1666666666666667,8060.0,,,-793.0,任期満了,81.46,,,,つるぎ町議会議員選挙（2018年11月11日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.21428571428571427,0.25,0.8571428571428571,0.14285714285714285,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9423361261705273,0.05766387382947265,,0.07852801051421061,0.028831936914736324,,6087.0,2.0,61.857142857142854,12.380036596167598,37.0,57.75,68.0,70.0,74.0,60.5,12.880864360230902,37.0,53.25,68.0,70.0,74.0,,,,,308.0,,,5779.0,,,,6087.0,,,,,0.05059963857401019,,,0.9494003614259898,,,,1.0,,,,,0.05059963857401019,,,0.07303079703276845,,,,,,,,1.0,,,13.0,,,,,,,,1.0,,,11.0,,,
三好市議会議員補欠選挙（2007年08月12日投票）,三好市議会議員補欠選挙,徳島県,三好市,20070812.0,2007.0,8.0,12.0,20070805.0,85.18,1.0,2.0,2.0,1781.0,,,,その他,,,,,三好市議会議員補欠選挙（2007年08月12日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,1490.0,1.0,61.5,1.5,60.0,60.75,61.5,62.25,63.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,,,,,,,,1490.0,,,,1490.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.5,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,
三好市議会議員補欠選挙（2021年07月11日投票）,三好市議会議員補欠選挙,徳島県,三好市,20210711.0,2021.0,7.0,11.0,20210704.0,54.77,1.0,3.0,3.0,21556.0,10075.0,11481.0,19775.0,その他,85.18,,,,三好市議会議員補欠選挙（2021年07月11日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.6775895584559845,0.32241044154401555,,0.3387947792279922,0.32241044154401555,10803.0,2.0,58.666666666666664,13.199326582148887,40.0,54.0,68.0,68.0,68.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0,,,,,3483.0,,,7320.0,,,,10803.0,,,,,0.32241044154401555,,,0.6775895584559845,,,,1.0,,,,,0.32241044154401555,,,0.3387947792279922,,,,,,,,1.0,,,2.0,,,,,,,,0.0,,,1.0,,,
三好市議会議員選挙（2006年04月16日投票）,三好市議会議員選挙,徳島県,三好市,20060416.0,2006.0,4.0,16.0,20060409.0,80.63,0.0,52.0,,28889.0,,,,その他,,,,,三好市議会議員選挙（2006年04月16日投票）,6.0,52.0,38.0,1.368421052631579,0.057692307692307696,0.16666666666666666,0.16666666666666666,0.057692307692307696,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.02040816326530612,,22865.0,2.0,57.75,6.7135769441196835,43.0,53.75,57.0,63.0,73.0,57.44736842105263,7.0624931054313915,43.0,53.0,56.5,62.5,73.0,,,,,1017.0,,,,,,,1017.0,,,,,1.0,,,,,,,1.0,,,,,0.5,,,,,,,,,,,2.0,,,50.0,,,,,,,,2.0,,,36.0,,,
三好市議会議員選挙（2010年04月11日投票）,三好市議会議員選挙,徳島県,三好市,20100411.0,2010.0,4.0,11.0,20100404.0,84.5,24.0,28.0,1.1666666666666667,27025.0,,,-1864.0,任期満了,80.63,,,,三好市議会議員選挙（2010年04月11日投票）,1.0,28.0,24.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.03571428571428571,,,22404.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三好市議会議員選挙（2014年04月13日投票）,三好市議会議員選挙,徳島県,三好市,20140413.0,2014.0,4.0,13.0,20140406.0,77.19,22.0,27.0,1.2272727272727273,,,,,任期満了,84.5,,,,三好市議会議員選挙（2014年04月13日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.038461538461538464,0.0,0.8076923076923077,0.15384615384615385,0.038461538461538464,0.8636363636363636,0.09090909090909091,0.045454545454545456,0.777066722618548,0.14750314729332772,0.07543013008812421,0.037003177267549904,0.03687578682333193,0.07543013008812421,19064.0,3.0,62.38461538461539,6.939723576167098,41.0,59.25,64.5,66.0,73.0,61.95454545454545,7.201497778096851,41.0,59.25,63.0,66.0,73.0,,,1125.0,,573.0,,,17366.0,,,,19064.0,,,0.05901174989509022,,0.030056651279899288,,,0.9109315988250105,,,,1.0,,,0.05901174989509022,,0.030056651279899288,,,0.03795548328437544,,,,,,1.0,,1.0,,,24.0,,,,,,1.0,,1.0,,,20.0,,,
