,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_たちあがれ日本,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_民主党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_たちあがれ日本,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_民主党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_たちあがれ日本,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_たちあがれ日本,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_たちあがれ日本,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_民主党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
さぬき市議会議員補欠選挙（2006年04月23日投票）,さぬき市議会議員補欠選挙,香川県,さぬき市,20060423.0,2006.0,4.0,23.0,20060416.0,25.69,1.0,3.0,3.0,45441.0,,,,その他,,,,,さぬき市議会議員補欠選挙（2006年04月23日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,11040.0,1.0,60.333333333333336,2.8674417556808756,57.0,58.5,60.0,62.0,64.0,57.0,0.0,57.0,57.0,57.0,57.0,57.0,,,,,,,,,,11040.0,,,,11040.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,
さぬき市議会議員補欠選挙（2014年04月27日投票）,さぬき市議会議員補欠選挙,香川県,さぬき市,20140427.0,2014.0,4.0,27.0,20140420.0,18.33,1.0,3.0,3.0,,,,,その他,25.69,,,,さぬき市議会議員補欠選挙（2014年04月27日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,,0.5325314379442319,0.4674685620557682,,0.26626571897211593,0.4674685620557682,7316.0,2.0,52.333333333333336,8.055363982396381,41.0,49.0,57.0,58.0,59.0,59.0,0.0,59.0,59.0,59.0,59.0,59.0,,,,,,,1943.0,,,5373.0,,,,7316.0,,,,,,,0.26558228540185896,,,0.7344177145981411,,,,1.0,,,,,,,0.26558228540185896,,,0.36720885729907055,,,,,,,,,,1.0,,,2.0,,,,,,,,,,0.0,,,1.0,,,
さぬき市議会議員選挙（2007年04月22日投票）,さぬき市議会議員選挙,香川県,さぬき市,20070422.0,2007.0,4.0,22.0,20070415.0,71.09,26.0,29.0,1.1153846153846154,45285.0,,,,任期満了,,,,,さぬき市議会議員選挙（2007年04月22日投票）,1.0,29.0,26.0,1.1153846153846154,0.0,0.0,0.0,0.06896551724137931,0.038461538461538464,0.7586206896551724,0.13793103448275862,0.10344827586206896,0.8076923076923077,0.11538461538461539,0.07692307692307693,0.7766593268323372,0.12223969801824473,0.10110097514941806,0.035302696674197144,0.030559924504561183,0.03370032504980602,31790.0,4.0,56.58620689655172,8.723797185658558,30.0,53.0,58.0,62.0,72.0,57.57692307692308,7.448144203155973,43.0,53.25,58.0,62.75,72.0,,,2670.0,,,,665.0,986.0,,27469.0,,,,31790.0,,,0.08398867568417741,,,,0.020918527838943064,0.031016042780748664,,0.8640767536961309,,,,1.0,,,0.041994337842088704,,,,0.020918527838943064,0.031016042780748664,,0.03456307014784524,,,,,,2.0,,,,1.0,1.0,,25.0,,,,,,2.0,,,,0.0,1.0,,23.0,,,
さぬき市議会議員選挙（2011年04月24日投票）,さぬき市議会議員選挙,香川県,さぬき市,20110424.0,2011.0,4.0,24.0,20110417.0,63.02,22.0,25.0,1.1363636363636365,43981.0,,,-1304.0,任期満了,71.09,,,,さぬき市議会議員選挙（2011年04月24日投票）,1.0,25.0,22.0,1.1363636363636365,0.0,0.0,0.0,0.08,0.09090909090909091,0.72,0.28,0.0,0.7727272727272727,0.22727272727272727,0.0,0.7592422078159909,0.24075779218400908,,0.04218012265644394,0.034393970312001296,,27303.0,4.0,,,,,,,,,,,,,,,,,2569.0,,,,,2229.0,,21029.59,1475.41,,,27303.0,,,0.09409222429769622,,,,,0.08163938028788045,,0.7702300113540637,0.05403838406035967,,,1.0,,,0.04704611214884811,,,,,0.04081969014394023,,0.03851150056770318,0.05403838406035967,,,,,2.0,,,,,2.0,,20.0,1.0,,,,,2.0,,,,,2.0,,17.0,1.0,,
さぬき市議会議員選挙（2015年04月26日投票）,さぬき市議会議員選挙,香川県,さぬき市,20150426.0,2015.0,4.0,26.0,20150419.0,57.7,21.0,22.0,1.0476190476190477,42473.0,,,-1508.0,任期満了,63.02,,,,さぬき市議会議員選挙（2015年04月26日投票）,1.0,22.0,21.0,1.0476190476190477,0.0,0.0,0.0,0.09090909090909091,0.09523809523809523,0.8181818181818182,0.18181818181818182,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8396702450589153,0.16032975494108473,,0.046648346947717516,0.04008243873527118,,24143.989999999998,4.0,59.5,10.69303086551746,34.0,52.5,63.0,66.75,73.0,60.333333333333336,10.222912330052356,34.0,54.0,63.0,67.0,73.0,,,2508.0,,,,733.0,,,19716.5,1186.49,,,24143.99,,,0.1038767825864739,,,,0.03035952218336737,,,0.8166214449227323,0.0491422503074264,,,1.0,,,0.05193839129323695,,,,0.03035952218336737,,,0.0453678580512629,0.0491422503074264,,,,,2.0,,,,1.0,,,18.0,1.0,,,,,2.0,,,,0.0,,,18.0,1.0,,
さぬき市議会議員選挙（2019年04月21日投票）,さぬき市議会議員選挙,香川県,さぬき市,20190421.0,2019.0,4.0,21.0,20190414.0,54.35,20.0,22.0,1.1,41556.0,,,-917.0,任期満了,57.7,,,,さぬき市議会議員選挙（2019年04月21日投票）,1.0,22.0,20.0,1.1,0.0,0.0,0.0,0.045454545454545456,0.05,0.7272727272727273,0.2727272727272727,0.0,0.7,0.3,0.0,0.6862075025268612,0.3137924974731387,,0.04288796890792883,0.05229874957885645,,22243.999,5.0,59.22727272727273,11.167858988193096,38.0,49.0,60.0,68.5,77.0,58.7,11.554652742510266,38.0,49.0,57.0,69.25,77.0,,,2547.0,2723.0,,,671.0,,,15340.688,962.311,,,22243.999000000003,,,0.1145027924160579,0.12241503877068145,,,0.030165439227002298,,,0.6896551290080528,0.04326160057820538,,,1.0,,,0.05725139620802895,0.061207519385340727,,,0.030165439227002298,,,0.0431034455630033,0.04326160057820538,,,,,2.0,2.0,,,1.0,,,16.0,1.0,,,,,2.0,2.0,,,1.0,,,14.0,1.0,,
まんのう町議会議員選挙（2006年04月23日投票）,まんのう町議会議員選挙,香川県,まんのう町,20060423.0,2006.0,4.0,23.0,20060418.0,,0.0,29.0,,17192.0,,,,その他,,,,,まんのう町議会議員選挙（2006年04月23日投票）,3.0,29.0,21.0,1.380952380952381,0.0,0.0,0.0,0.06896551724137931,0.047619047619047616,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.034482758620689655,,13828.0,2.0,59.793103448275865,8.615860716483883,30.0,58.0,61.0,65.0,70.0,59.0,9.191092996819828,30.0,58.0,61.0,65.0,70.0,,,,,,,705.46,,,13122.54,,,,13828.0,,,,,,,0.05101677755279144,,,0.9489832224472087,,,,1.0,,,,,,,0.05101677755279144,,,0.03389225794454317,,,,,,,,,,1.0,,,28.0,,,,,,,,,,1.0,,,20.0,,,
まんのう町議会議員選挙（2010年04月18日投票）,まんのう町議会議員選挙,香川県,まんのう町,20100418.0,2010.0,4.0,18.0,20100413.0,77.15,18.0,25.0,1.3888888888888888,17010.0,,,-182.0,任期満了,,,,,まんのう町議会議員選挙（2010年04月18日投票）,1.0,25.0,18.0,1.3888888888888888,0.0,0.0,0.0,0.08,0.05555555555555555,0.6,0.4,0.0,0.7222222222222222,0.2777777777777778,0.0,0.6226942326942327,0.37730576730576726,,0.041512948846282184,0.037730576730576726,,12987.0,4.0,,,,,,,,59.72222222222222,8.503630306819653,34.0,57.25,61.5,65.75,69.0,,,648.0,,,,323.0,,,11583.0,433.0,,,12987.0,,,0.0498960498960499,,,,0.024871024871024872,,,0.8918918918918919,0.03334103334103334,,,1.0,,,0.0498960498960499,,,,0.024871024871024872,,,0.04054054054054054,0.03334103334103334,,,,,1.0,,,,1.0,,,22.0,1.0,,,,,1.0,,,,0.0,,,16.0,1.0,,
まんのう町議会議員選挙（2014年04月13日投票）,まんのう町議会議員選挙,香川県,まんのう町,20140413.0,2014.0,4.0,13.0,20140408.0,,16.0,18.0,1.125,,,,,任期満了,77.15,,,,まんのう町議会議員選挙（2014年04月13日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.0625,0.7222222222222222,0.16666666666666666,0.1111111111111111,0.8125,0.125,0.0625,0.7647380635585714,0.14523655317307618,0.09002538326835238,0.05882600488912088,0.0484121843910254,0.04501269163417619,10736.994,3.0,63.333333333333336,8.459051693633013,38.0,61.25,64.5,68.0,77.0,62.4375,8.245974396637429,38.0,60.0,64.5,68.0,73.0,,,754.0,,,,357.602,,,9625.392,,,,10736.993999999999,,,0.0702244967259924,,,,0.033305597451204684,,,0.8964699058228031,,,,1.0,,,0.0702244967259924,,,,0.033305597451204684,,,0.05602936911392519,,,,,,1.0,,,,1.0,,,16.0,,,,,,1.0,,,,0.0,,,15.0,,,
まんのう町議会議員選挙（2018年04月15日投票）,まんのう町議会議員選挙,香川県,まんのう町,20180415.0,2018.0,4.0,15.0,20180410.0,63.42,16.0,18.0,1.125,,,,,任期満了,,,,,まんのう町議会議員選挙（2018年04月15日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,,,,,,,,,,,,,9884.997000000001,3.0,65.88888888888889,7.943473134095612,43.0,61.0,68.0,71.75,77.0,65.375,8.252840420122032,43.0,60.25,67.5,71.25,77.0,,,695.0,,,,364.0,,,8825.997,,,,9884.997,,,0.0703085696434708,,,,0.03682348107945809,,,0.8928679492770711,,,,1.0,,,0.0703085696434708,,,,0.03682348107945809,,,0.055804246829816946,,,,,,1.0,,,,1.0,,,16.0,,,,,,1.0,,,,1.0,,,14.0,,,
