,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_みんなの党,得票数_公明党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_西予維新の会,得票数_財政再建の会,得票数_sum_v,得票率_みんなの党,得票率_公明党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_西予維新の会,得票率_財政再建の会,得票率_sum_v,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,一人あたり得票率_西予維新の会,一人あたり得票率_財政再建の会,立候補者数_みんなの党,立候補者数_公明党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,立候補者数_西予維新の会,立候補者数_財政再建の会,当選者数_みんなの党,当選者数_公明党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党,当選者数_西予維新の会,当選者数_財政再建の会
上島町議会議員選挙（2012年11月04日投票）,上島町議会議員選挙,愛媛県,上島町,20121104.0,2012.0,11.0,4.0,20121030.0,,14.0,15.0,1.0714285714285714,,,,,任期満了,,,,,上島町議会議員選挙（2012年11月04日投票）,4.0,15.0,13.0,1.1538461538461537,0.5333333333333333,0.75,0.0,0.06666666666666667,0.07692307692307693,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.6923076923076923,0.15384615384615385,0.15384615384615385,0.7875929102344197,0.0,0.21240708976558034,0.13126548503906996,,0.21240708976558034,3498.0,3.0,65.53333333333333,8.131147247194308,40.0,63.0,67.0,71.5,74.0,65.15384615384616,8.529100898112153,40.0,63.0,67.0,71.0,74.0,,,,,368.0,,,,,,,376.0,,,744.0,,,,,0.4946236559139785,,,,,,,0.5053763440860215,,,1.0,,,,,0.4946236559139785,,,,,,,0.5053763440860215,,,,,,,1.0,,,,13.0,,,1.0,,,,,,,1.0,,,,11.0,,,1.0,,
上島町議会議員選挙（2016年10月23日投票）,上島町議会議員選挙,愛媛県,上島町,20161023.0,2016.0,10.0,23.0,20161018.0,84.8,14.0,16.0,1.1428571428571428,6018.0,,,,任期満了,,,,,上島町議会議員選挙（2016年10月23日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.0625,0.07142857142857142,0.6875,0.25,0.0625,0.7857142857142857,0.21428571428571427,0.0,0.7017517538542787,0.2538392755336578,0.04440897061206364,0.06379561398675261,0.06345981888341445,0.04440897061206364,4998.99,0.0,63.5,12.757350822173073,41.0,57.25,67.5,73.5,78.0,64.85714285714286,12.129404312644203,41.0,61.25,69.5,74.5,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上島町議会議員選挙（2020年10月25日投票）,上島町議会議員選挙,愛媛県,上島町,20201025.0,2020.0,10.0,25.0,20201020.0,85.59,14.0,15.0,1.0714285714285714,,,,,任期満了,84.8,,,,上島町議会議員選挙（2020年10月25日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.6,0.3333333333333333,0.06666666666666667,0.5714285714285714,0.35714285714285715,0.07142857142857142,0.5076002628597287,0.4301025005851181,0.062297236555153165,0.056400029206636525,0.08602050011702363,0.062297236555153165,4622.9980000000005,3.0,63.46666666666667,13.190232076132029,36.0,53.5,66.0,73.5,80.0,62.642857142857146,13.27514940920571,36.0,51.75,65.5,71.75,80.0,,,,,222.0,,,,4130.9980000000005,,,270.0,,,4622.9980000000005,,,,,0.048020786511263895,,,,0.89357555421828,,,0.05840365927045609,,,1.0,,,,,0.048020786511263895,,,,0.06873658109371385,,,0.05840365927045609,,,,,,,1.0,,,,13.0,,,1.0,,,,,,,1.0,,,,12.0,,,1.0,,
久万高原町議会議員補欠選挙（2011年08月28日投票）,久万高原町議会議員補欠選挙,愛媛県,久万高原町,20110828.0,2011.0,8.0,28.0,20110823.0,無投票,1.0,1.0,1.0,911.0,,,,その他,,,,,久万高原町議会議員補欠選挙（2011年08月28日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
久万高原町議会議員補欠選挙（2012年08月26日投票）,久万高原町議会議員補欠選挙,愛媛県,久万高原町,20120826.0,2012.0,8.0,26.0,20120821.0,81.51,1.0,2.0,2.0,5467.0,,,4556.0,死亡/久万選挙区/,,,,,久万高原町議会議員補欠選挙（2012年08月26日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.8739226791430682,0.1260773208569318,,0.8739226791430682,0.1260773208569318,4061.0,1.0,63.0,7.0,56.0,59.5,63.0,66.5,70.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,,,,4061.0,,,,,,4061.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,
久万高原町議会議員補欠選挙（2016年07月10日投票）,久万高原町議会議員補欠選挙,愛媛県,久万高原町,20160710.0,2016.0,7.0,10.0,20160705.0,無投票,1.0,1.0,1.0,,,,,その他/上岡正文議員の道交法違反（無免許運転）容疑逮捕による辞職のため,81.51,,,,久万高原町議会議員補欠選挙（2016年07月10日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
久万高原町議会議員補欠選挙（2016年08月28日投票）,久万高原町議会議員補欠選挙,愛媛県,久万高原町,20160828.0,2016.0,8.0,28.0,20160823.0,81.74,1.0,2.0,2.0,5186.0,,,,その他/小川光雄議員の死去による,,,,,久万高原町議会議員補欠選挙（2016年08月28日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,3934.0,0.0,65.5,1.5,64.0,64.75,65.5,66.25,67.0,67.0,0.0,67.0,67.0,67.0,67.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
久万高原町議会議員補欠選挙（2020年08月30日投票）,久万高原町議会議員補欠選挙,愛媛県,久万高原町,20200830.0,2020.0,8.0,30.0,20200825.0,無投票,1.0,1.0,1.0,,,,,死亡/2019年4月20日土居通秀議員の逝去による,81.74,,,,久万高原町議会議員補欠選挙（2020年08月30日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
久万高原町議会議員選挙（2009年04月12日投票）,久万高原町議会議員選挙,愛媛県,久万高原町,20090412.0,2009.0,4.0,12.0,20090407.0,86.38,14.0,18.0,1.2857142857142858,8461.0,,,,任期満了,,,,,久万高原町議会議員選挙（2009年04月12日投票）,4.0,18.0,14.0,1.2857142857142858,0.05555555555555555,0.25,0.25,0.0,0.0,0.6111111111111112,0.2777777777777778,0.1111111111111111,0.5,0.35714285714285715,0.14285714285714285,0.5575179955703212,0.3368618493909191,0.10562015503875968,0.05575179955703212,0.06737236987818382,0.05281007751937984,7224.0,1.0,61.22222222222222,6.996471773969407,41.0,59.25,61.0,66.75,70.0,61.42857142857143,7.8985919695880495,41.0,59.25,63.0,67.0,70.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,14.0,,,,,
久万高原町議会議員選挙（2013年04月14日投票）,久万高原町議会議員選挙,愛媛県,久万高原町,20130414.0,2013.0,4.0,14.0,20130409.0,,14.0,16.0,1.1428571428571428,24101.0,,,15640.0,任期満了,86.38,,,,久万高原町議会議員選挙（2013年04月14日投票）,4.0,16.0,14.0,1.1428571428571428,0.125,0.5,0.0,0.0625,0.07142857142857142,0.4375,0.5,0.0,0.42857142857142855,0.5,0.0,0.3670027816411683,0.5756258692628651,,0.07340055632823365,0.07195323365785813,,5752.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,14.0,,,,,
久万高原町議会議員選挙（2017年04月16日投票）,久万高原町議会議員選挙,愛媛県,久万高原町,20170416.0,2017.0,4.0,16.0,20170411.0,81.06,13.0,16.0,1.2307692307692308,7682.0,,,-16419.0,任期満了,,,,,久万高原町議会議員選挙（2017年04月16日投票）,1.0,16.0,13.0,1.2307692307692308,0.0,0.0,0.0,0.125,0.07692307692307693,0.6875,0.25,0.0625,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.7187297472456254,0.23379779650032403,0.04747245625405055,0.0653390679314205,0.05844944912508101,0.04747245625405055,6172.0,2.0,65.0625,9.195574682965715,42.0,62.75,68.0,70.5,77.0,64.23076923076923,10.008871804199483,42.0,59.0,65.0,72.0,77.0,,,,,266.0,,,,5906.0,,,,,,6172.0,,,,,0.04309786130913804,,,,0.9569021386908619,,,,,,1.0,,,,,0.04309786130913804,,,,0.06379347591272413,,,,,,,,,,1.0,,,,15.0,,,,,,,,,,0.0,,,,13.0,,,,,
久万高原町議会議員選挙（2021年04月18日投票）,久万高原町議会議員選挙,愛媛県,久万高原町,20210418.0,2021.0,4.0,18.0,20210413.0,76.99,13.0,14.0,1.0769230769230769,6957.0,3260.0,3697.0,-725.0,任期満了,81.06,,,,久万高原町議会議員選挙（2021年04月18日投票）,1.0,14.0,13.0,1.0769230769230769,0.0,0.0,0.0,0.14285714285714285,0.15384615384615385,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.6025455165530206,0.33071260212682874,0.06674188132015066,0.0669495018392245,0.08267815053170718,0.06674188132015066,5318.999,2.0,67.07142857142857,9.852224445809801,46.0,61.5,70.5,73.75,81.0,66.15384615384616,9.63044973665184,46.0,61.0,69.0,73.0,81.0,,,,,397.0,,,,4921.999,,,,,,5318.999,,,,,0.07463810389887271,,,,0.9253618961011273,,,,,,1.0,,,,,0.07463810389887271,,,,0.07118168431547132,,,,,,,,,,1.0,,,,13.0,,,,,,,,,,1.0,,,,12.0,,,,,
今治市議会議員選挙（2005年02月20日投票）,今治市議会議員選挙,愛媛県,今治市,20050220.0,2005.0,2.0,20.0,20050213.0,100.0,34.0,53.0,1.5588235294117647,146031.0,,,,その他,,,,,今治市議会議員選挙（2005年02月20日投票）,1.0,53.0,34.0,1.5588235294117647,0.0,0.0,0.0,0.018867924528301886,0.029411764705882353,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.018867924528301886,,107812.0,5.0,54.43396226415094,8.596860844281155,31.0,48.0,56.0,59.0,76.0,54.1764705882353,9.366619668473831,31.0,47.25,56.0,58.0,76.0,,9871.0,,,3621.0,,,,81970.0,1948.0,,10402.0,,,107812.0,,0.09155752606388899,,,0.033586242718806815,,,,0.7603049753274218,0.018068489592995216,,0.09648276629688718,,,1.0,,0.022889381515972248,,,0.016793121359403407,,,,0.018544023788473703,0.018068489592995216,,0.019296553259377437,,,,4.0,,,2.0,,,,41.0,1.0,,5.0,,,,4.0,,,1.0,,,,26.0,0.0,,3.0,,
