,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_新党市民,得票数_新社会党,得票数_日本共産党,得票数_日本社会党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_新党市民,得票率_新社会党,得票率_日本共産党,得票率_日本社会党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新党市民,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本社会党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新党市民,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本社会党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新党市民,当選者数_新社会党,当選者数_日本共産党,当選者数_日本社会党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由党,当選者数_自由民主党
いの町議会議員補欠選挙（2016年10月16日投票）,いの町議会議員補欠選挙,高知県,いの町,20161016.0,2016.0,10.0,16.0,20161011.0,56.06,2.0,3.0,1.5,20785.0,,,,その他,,,,,いの町議会議員補欠選挙（2016年10月16日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,,0.39681908548707756,0.6031809145129224,,0.19840954274353878,0.6031809145129224,10060.0,0.0,61.666666666666664,6.182412330330469,53.0,59.0,65.0,66.0,67.0,66.0,1.0,65.0,65.5,66.0,66.5,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
いの町議会議員補欠選挙（2020年10月18日投票）,いの町議会議員補欠選挙,高知県,いの町,20201018.0,2020.0,10.0,18.0,20201013.0,32.36,1.0,3.0,3.0,19520.0,,,-1265.0,その他/岡田竜平氏の高知県議会議員選挙出馬による辞職のため,56.06,,,,いの町議会議員補欠選挙（2020年10月18日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,6164.0,1.0,56.0,7.483314773547883,46.0,52.0,58.0,61.0,64.0,46.0,0.0,46.0,46.0,46.0,46.0,46.0,,,,,,,,,,,6164.0,,,,,6164.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,
いの町議会議員選挙（2009年05月17日投票）,いの町議会議員選挙,高知県,いの町,20090517.0,2009.0,5.0,17.0,20090512.0,60.92,22.0,24.0,1.0909090909090908,22317.0,,,,任期満了,,,,,いの町議会議員選挙（2009年05月17日投票）,1.0,24.0,22.0,1.0909090909090908,0.0,0.0,0.0,0.16666666666666666,0.13636363636363635,0.9166666666666666,0.08333333333333333,0.0,0.9090909090909091,0.09090909090909091,0.0,0.8938782143808641,0.10612178561913589,,0.040630827926402914,0.053060892809567946,,13474.989999999998,3.0,61.625,8.199657005021612,44.0,58.75,61.5,66.25,76.0,61.95454545454545,8.439502746700795,44.0,60.0,62.0,66.75,76.0,,,1541.0,,,,,678.0,,,11255.99,,,,,13474.99,,,0.11436001065677971,,,,,0.050315436226668814,,,0.8353245531165515,,,,,1.0,,,0.057180005328389856,,,,,0.050315436226668814,,,0.03977735967221674,,,,,,,2.0,,,,,1.0,,,21.0,,,,,,,2.0,,,,,1.0,,,19.0,,,,
いの町議会議員選挙（2013年05月19日投票）,いの町議会議員選挙,高知県,いの町,20130519.0,2013.0,5.0,19.0,20130514.0,60.5,20.0,26.0,1.3,,,,,任期満了,60.92,,,,いの町議会議員選挙（2013年05月19日投票）,1.0,26.0,20.0,1.3,0.0,0.0,0.0,0.19230769230769232,0.2,0.7307692307692307,0.2692307692307692,0.0,0.75,0.25,0.0,0.7250876322311268,0.27491236776887323,,0.038162506959532994,0.039273195395553316,,12774.98,3.0,61.65384615384615,10.36244071224501,36.0,56.5,64.0,69.75,80.0,60.85,10.427247959073382,36.0,54.75,64.0,69.25,78.0,,,1305.0,,,,,1035.0,,,10434.98,,,,,12774.98,,,0.10215280180477777,,,,,0.08101773936240997,,,0.8168294588328122,,,,,1.0,,,0.05107640090238889,,,,,0.040508869681204984,,,0.03712861176512783,,,,,,,2.0,,,,,2.0,,,22.0,,,,,,,2.0,,,,,2.0,,,16.0,,,,
いの町議会議員選挙（2017年05月21日投票）,いの町議会議員選挙,高知県,いの町,20170521.0,2017.0,5.0,21.0,20170516.0,57.07,18.0,22.0,1.2222222222222223,20477.0,,,,任期満了,60.5,,,,いの町議会議員選挙（2017年05月21日投票）,1.0,22.0,18.0,1.2222222222222223,0.0,0.0,0.0,0.18181818181818182,0.2222222222222222,0.8181818181818182,0.18181818181818182,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8173350582147477,0.18266494178525228,,0.04540750323415265,0.04566623544631307,,11595.0,0.0,63.04545454545455,9.929191456267052,40.0,56.0,62.5,68.0,82.0,64.16666666666667,10.161200716450788,40.0,59.25,64.0,71.75,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
いの町議会議員選挙（2021年05月23日投票）,いの町議会議員選挙,高知県,いの町,20210523.0,2021.0,5.0,23.0,20210518.0,51.64,18.0,20.0,1.1111111111111112,19261.0,9062.0,10199.0,-1216.0,任期満了,57.07,,,,いの町議会議員選挙（2021年05月23日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.2,0.2222222222222222,0.75,0.25,0.0,0.7777777777777778,0.2222222222222222,0.0,0.7751234469236185,0.22487655307638152,,0.05167489646157456,0.04497531061527631,,9834.996000000001,4.0,65.3,8.764131445842196,47.0,58.75,65.0,72.0,82.0,65.77777777777777,9.089405038318915,47.0,58.25,66.5,72.0,82.0,,,977.0,,,,,992.452,,,7433.544,432.0,,,,9834.996,,,0.09933913547092445,,,,,0.10091025964830083,,,0.7558258285005912,0.043924776380183585,,,,1.0,,,0.09933913547092445,,,,,0.050455129824150416,,,0.04723911428128695,0.043924776380183585,,,,,,1.0,,,,,2.0,,,16.0,1.0,,,,,,1.0,,,,,2.0,,,14.0,1.0,,,
三原村議会議員補欠選挙（2013年12月22日投票）,三原村議会議員補欠選挙,高知県,三原村,20131222.0,2013.0,12.0,22.0,20131217.0,,2.0,3.0,1.5,,,,,その他,,,,,三原村議会議員補欠選挙（2013年12月22日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,,0.8111111111111111,0.18888888888888888,,0.40555555555555556,0.18888888888888888,1260.0,1.0,63.333333333333336,10.780641085864152,49.0,57.5,66.0,70.5,75.0,57.5,8.5,49.0,53.25,57.5,61.75,66.0,,,,,,,,,,,1260.0,,,,,1260.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,,,,
三原村議会議員選挙（2007年04月22日投票）,三原村議会議員選挙,高知県,三原村,20070422.0,2007.0,4.0,22.0,20070417.0,92.11,10.0,13.0,1.3,1584.0,,,,任期満了,,,,,三原村議会議員選挙（2007年04月22日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.7,0.1,0.2,0.5854671280276816,0.22214532871972317,0.19238754325259516,0.0731833910034602,0.07404844290657439,0.09619377162629758,1445.0,2.0,59.76923076923077,7.7375592072181965,48.0,51.0,63.0,64.0,72.0,58.7,6.986415389883427,48.0,51.75,61.5,63.75,69.0,,,,,,,,115.0,,,1330.0,,,,,1445.0,,,,,,,,0.07958477508650519,,,0.9204152249134948,,,,,1.0,,,,,,,,0.07958477508650519,,,0.07670126874279123,,,,,,,,,,,,1.0,,,12.0,,,,,,,,,,,,1.0,,,9.0,,,,
三原村議会議員選挙（2011年04月24日投票）,三原村議会議員選挙,高知県,三原村,20110424.0,2011.0,4.0,24.0,20110419.0,91.77,10.0,13.0,1.3,1494.0,,,-90.0,任期満了,92.11,,,,三原村議会議員選挙（2011年04月24日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.7,0.3,0.0,0.5961395694135115,0.4038604305864885,,0.07451744617668894,0.0807720861172977,,1347.0,2.0,,,,,,,,,,,,,,,,,,,,,,86.0,,,1261.0,,,,,1347.0,,,,,,,,0.06384558277654045,,,0.9361544172234595,,,,,1.0,,,,,,,,0.06384558277654045,,,0.07801286810195496,,,,,,,,,,,,1.0,,,12.0,,,,,,,,,,,,1.0,,,9.0,,,,
三原村議会議員選挙（2015年04月26日投票）,三原村議会議員選挙,高知県,三原村,20150426.0,2015.0,4.0,26.0,20150421.0,87.79,8.0,9.0,1.125,,,,,任期満了,91.77,,,,三原村議会議員選挙（2015年04月26日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.125,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.625,0.25,0.125,0.578264395782644,0.3236009732360097,0.09813463098134631,0.09637739929710733,0.16180048661800486,0.09813463098134631,1233.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1233.0,,,,,1233.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,8.0,,,,
