,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_地域政党いわて,得票数_幸福実現党,得票数_政党こどもの涙ゼロ,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_青年自由,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_地域政党いわて,得票率_幸福実現党,得票率_政党こどもの涙ゼロ,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_青年自由,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党いわて,一人あたり得票率_幸福実現党,一人あたり得票率_政党こどもの涙ゼロ,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,一人あたり得票率_青年自由,立候補者数_公明党,立候補者数_国民民主党,立候補者数_地域政党いわて,立候補者数_幸福実現党,立候補者数_政党こどもの涙ゼロ,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,立候補者数_青年自由,当選者数_公明党,当選者数_国民民主党,当選者数_地域政党いわて,当選者数_幸福実現党,当選者数_政党こどもの涙ゼロ,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党,当選者数_青年自由
一戸町議会議員選挙（2005年11月13日投票）,一戸町議会議員選挙,岩手県,一戸町,20051113.0,2005.0,11.0,13.0,20051108.0,77.65,16.0,19.0,1.1875,13320.0,,,,任期満了,,,,,一戸町議会議員選挙（2005年11月13日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.10526315789473684,0.0625,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.6875,0.25,0.0625,0.5981881940385739,0.33781414377556984,0.06399766218585623,0.05438074491259763,0.04825916339650998,0.06399766218585623,10266.0,2.0,57.21052631578947,8.37652702414011,36.0,55.5,58.0,61.0,72.0,57.0625,9.113648761610248,36.0,53.75,59.0,61.25,72.0,,,,,,701.0,,9565.0,,,,,10266.0,,,,,,0.0682836547827781,,0.9317163452172219,,,,,1.0,,,,,,0.0682836547827781,,0.05176201917873455,,,,,,,,,,1.0,,18.0,,,,,,,,,,1.0,,15.0,,,,
一戸町議会議員選挙（2009年11月08日投票）,一戸町議会議員選挙,岩手県,一戸町,20091108.0,2009.0,11.0,8.0,20091103.0,80.55,16.0,20.0,1.25,12692.0,,,-628.0,任期満了,77.65,,,,一戸町議会議員選挙（2009年11月08日投票）,1.0,20.0,16.0,1.25,0.0,0.0,0.0,0.1,0.0625,0.65,0.35,0.0,0.6875,0.3125,0.0,0.6770709472849782,0.3229290527150218,,0.05208238056038294,0.04613272181643169,,10092.0,2.0,58.75,8.926785535678562,40.0,56.75,61.5,65.0,73.0,59.1875,9.368956385318484,40.0,56.75,62.0,65.0,73.0,,,,,,676.0,,9416.0,,,,,10092.0,,,,,,0.06698374950455807,,0.9330162504954419,,,,,1.0,,,,,,0.06698374950455807,,0.04910611844712852,,,,,,,,,,1.0,,19.0,,,,,,,,,,1.0,,15.0,,,,
一戸町議会議員選挙（2013年11月10日投票）,一戸町議会議員選挙,岩手県,一戸町,20131110.0,2013.0,11.0,10.0,20131105.0,,16.0,17.0,1.0625,,,,,任期満了,80.55,,,,一戸町議会議員選挙（2013年11月10日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.8235294117647058,0.058823529411764705,0.11764705882352941,0.875,0.0,0.125,0.8737864077669902,0.02446601941747573,0.10174757281553398,0.0624133148404993,0.02446601941747573,0.05087378640776699,7725.0,2.0,65.88235294117646,9.329790067250277,46.0,65.0,66.0,69.0,87.0,64.5625,7.929129444649015,46.0,64.25,66.0,69.0,77.0,,,,,,667.0,,7058.0,,,,,7725.0,,,,,,0.08634304207119742,,0.9136569579288026,,,,,1.0,,,,,,0.08634304207119742,,0.057103559870550165,,,,,,,,,,1.0,,16.0,,,,,,,,,,1.0,,15.0,,,,
一戸町議会議員選挙（2017年11月12日投票）,一戸町議会議員選挙,岩手県,一戸町,20171112.0,2017.0,11.0,12.0,20171107.0,,16.0,21.0,1.3125,11225.0,,,,任期満了,,,,,一戸町議会議員選挙（2017年11月12日投票）,1.0,21.0,14.0,1.5,0.0,0.0,0.0,0.09523809523809523,0.14285714285714285,0.6190476190476191,0.38095238095238093,0.0,0.6428571428571429,0.35714285714285715,0.0,0.6382013962844635,0.3617986037155366,,0.04909241509880488,0.04522482546444208,,8451.0,0.0,67.14285714285714,8.055082478876091,48.0,64.0,69.0,73.0,81.0,66.64285714285714,8.706378145254389,48.0,63.25,69.0,72.75,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一関市議会議員増員選挙（2011年11月13日投票）,一関市議会議員増員選挙,岩手県,一関市,20111113.0,2011.0,11.0,13.0,20111106.0,75.97,3.0,4.0,1.3333333333333333,7710.0,,,,増員,,,,,一関市議会議員増員選挙（2011年11月13日投票）,1.0,4.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,5808.0,2.0,,,,,,,,,,,,,,,,,,,,1044.0,,4764.0,,,,,5808.0,,,,,,0.1797520661157025,,0.8202479338842975,,,,,1.0,,,,,,0.1797520661157025,,0.2734159779614325,,,,,,,,,,1.0,,3.0,,,,,,,,,,0.0,,3.0,,,,
一関市議会議員選挙（2005年10月09日投票）,一関市議会議員選挙,岩手県,一関市,20051009.0,2005.0,10.0,9.0,20051002.0,75.99,0.0,64.0,,103027.0,,,,その他,,,,,一関市議会議員選挙（2005年10月09日投票）,7.0,64.0,41.0,1.5609756097560976,0.0,0.0,0.0,0.046875,0.04878048780487805,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.015625,,77299.0,4.0,57.5,8.418729120241368,27.0,53.75,57.0,63.25,77.0,59.292682926829265,7.272547453295868,44.0,54.0,59.0,65.0,73.0,1927.0,,,,,9304.0,,64322.0,1746.0,,,,77299.0,0.024929171140635715,,,,,0.12036378219640616,,0.8321194323341828,0.022587614328775277,,,,1.0,0.024929171140635715,,,,,0.01719482602805802,,0.01512944422425787,0.022587614328775277,,,,1.0,,,,,7.0,,55.0,1.0,,,,1.0,,,,,6.0,,33.0,1.0,,,
一関市議会議員選挙（2009年10月04日投票）,一関市議会議員選挙,岩手県,一関市,20091004.0,2009.0,10.0,4.0,20090927.0,70.43,34.0,35.0,1.0294117647058822,99679.0,,,-3348.0,任期満了,75.99,,,,一関市議会議員選挙（2009年10月04日投票）,1.0,35.0,34.0,1.0294117647058822,0.0,0.0,0.0,0.08571428571428572,0.08823529411764706,0.7142857142857143,0.2857142857142857,0.0,0.7352941176470589,0.2647058823529412,0.0,0.7247412194725115,0.27525878052748853,,0.028989648778900458,0.027525878052748854,,68959.98000000001,5.0,59.8,6.506260721138414,46.0,56.0,60.0,64.5,77.0,59.64705882352941,6.538943757758437,46.0,56.0,60.0,63.75,77.0,2763.45,,,,,9294.31,2134.58,53232.61,1535.03,,,,68959.98,0.04007324248063877,,,,,0.13477831635101983,0.030953895288252695,0.7719348236469906,0.022259722233098096,,,,1.0,0.04007324248063877,,,,,0.026955663270203968,0.030953895288252695,0.028590178653592244,0.022259722233098096,,,,1.0,,,,,5.0,1.0,27.0,1.0,,,,1.0,,,,,5.0,1.0,26.0,1.0,,,
一関市議会議員選挙（2013年09月29日投票）,一関市議会議員選挙,岩手県,一関市,20130929.0,2013.0,9.0,29.0,20130922.0,65.22,30.0,34.0,1.1333333333333333,,,,,任期満了,70.43,,,,一関市議会議員選挙（2013年09月29日投票）,1.0,34.0,30.0,1.1333333333333333,0.0,0.0,0.0,0.08823529411764706,0.1,0.7941176470588235,0.17647058823529413,0.029411764705882353,0.8333333333333334,0.16666666666666666,0.0,0.7899675795127219,0.18929040367232297,0.020742016814955043,0.029258058500471182,0.03154840061205383,0.020742016814955043,67370.98000000001,4.0,62.970588235294116,5.903564696398903,50.0,59.0,64.0,67.0,74.0,62.766666666666666,5.760111881629462,50.0,59.0,63.5,66.75,74.0,4692.93,,,,,9983.0,,51218.770000000004,1476.28,,,,67370.98000000001,0.06965803377062349,,,,,0.14817952774325086,,0.7602497395762983,0.021912698909827343,,,,1.0,0.034829016885311745,,,,,0.02963590554865017,,0.029240374599088396,0.021912698909827343,,,,2.0,,,,,5.0,,26.0,1.0,,,,2.0,,,,,5.0,,22.0,1.0,,,
一関市議会議員選挙（2017年10月01日投票）,一関市議会議員選挙,岩手県,一関市,20171001.0,2017.0,10.0,1.0,20170924.0,,30.0,32.0,1.0666666666666669,101931.0,,,,任期満了,65.22,,,,一関市議会議員選挙（2017年10月01日投票）,1.0,32.0,30.0,1.0666666666666667,0.0,0.0,0.0,0.125,0.13333333333333333,0.75,0.21875,0.03125,0.7666666666666667,0.2,0.03333333333333333,0.7461978674833616,0.2169409576409356,0.03686117487570272,0.03109157781180673,0.030991565377276514,0.03686117487570272,62965.979999999996,0.0,64.34375,7.490032439015201,43.0,62.75,64.5,70.0,76.0,64.1,7.564610587025174,43.0,62.25,64.5,69.75,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
久慈市市議会議員選挙（2019年07月21日投票）,久慈市市議会議員選挙,岩手県,久慈市,20190721.0,2019.0,7.0,21.0,20190714.0,66.74,20.0,22.0,1.1,,,,,任期満了,69.72,,,,久慈市市議会議員選挙（2019年07月21日投票）,1.0,22.0,20.0,1.1,0.0,0.0,0.0,0.13636363636363635,0.15,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.75,0.15,0.1,0.7461378952825298,0.15660964230171073,0.09725246241575947,0.046633618455158114,0.03915241057542768,0.04862623120787973,19290.0,4.0,65.31818181818181,4.29996156046628,55.0,63.0,65.0,68.75,73.0,65.15,4.2927264063762545,55.0,62.75,65.0,68.25,73.0,705.0,,,,,2343.0,,15230.0,1012.0,,,,19290.0,0.03654743390357698,,,,,0.12146189735614307,,0.7895282529808191,0.05246241575946086,,,,1.0,0.03654743390357698,,,,,0.060730948678071536,,0.043862680721156615,0.05246241575946086,,,,1.0,,,,,2.0,,18.0,1.0,,,,1.0,,,,,2.0,,16.0,1.0,,,
