,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
みやき町議会議員補欠選挙（2017年04月02日投票）,みやき町議会議員補欠選挙,佐賀県,みやき町,20170402.0,2017.0,4.0,2.0,20170328.0,30.97,1.0,3.0,3.0,21476.0,,,,その他/田中満子議員の辞職による,,,,,みやき町議会議員補欠選挙（2017年04月02日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,,0.6457820197044335,0.3542179802955665,,0.32289100985221675,0.3542179802955665,6496.0,0.0,63.0,1.632993161855452,61.0,62.0,63.0,64.0,65.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
みやき町議会議員補欠選挙（2021年04月04日投票）,みやき町議会議員補欠選挙,佐賀県,みやき町,20210404.0,2021.0,4.0,4.0,20210330.0,59.8,1.0,2.0,2.0,21320.0,10087.0,11233.0,-156.0,辞職/古賀秀実議員の辞職にともなう,30.97,,,,みやき町議会議員補欠選挙（2021年04月04日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,11741.0,1.0,53.0,10.0,43.0,48.0,53.0,58.0,63.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,,,,,,,,11741.0,,,,11741.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.5,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,
みやき町議会議員選挙（2006年02月19日投票）,みやき町議会議員選挙,佐賀県,みやき町,20060219.0,2006.0,2.0,19.0,20060214.0,77.3,18.0,29.0,1.6111111111111112,22133.0,,,,任期満了,,,,,みやき町議会議員選挙（2006年02月19日投票）,1.0,29.0,18.0,1.6111111111111112,0.0,0.0,0.0,0.06896551724137931,0.05555555555555555,0.896551724137931,0.10344827586206896,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8937175247992443,0.10628247520075579,,0.03437375095381709,0.03542749173358526,,16936.0,5.0,57.93103448275862,6.952702448950231,42.0,54.0,58.0,64.0,70.0,59.5,6.491447364716815,44.0,56.0,60.0,64.75,70.0,,999.0,,,1327.0,,,12729.0,453.0,,1428.0,16936.0,,0.05898677373641946,,,0.07835380255077941,,,0.7515942371280113,0.026747756258856874,,0.08431743032593292,1.0,,0.05898677373641946,,,0.039176901275389704,,,0.0341633744149096,0.026747756258856874,,0.028105810108644307,,1.0,,,2.0,,,22.0,1.0,,3.0,,1.0,,,2.0,,,13.0,0.0,,2.0
みやき町議会議員選挙（2010年02月21日投票）,みやき町議会議員選挙,佐賀県,みやき町,20100221.0,2010.0,2.0,21.0,20100216.0,71.2,18.0,20.0,1.1111111111111112,21761.0,,,-372.0,任期満了,77.3,,,,みやき町議会議員選挙（2010年02月21日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.1,0.1111111111111111,0.6,0.15,0.25,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.609143962653423,0.11306706220537616,0.27778897514120093,0.050761996887785245,0.03768902073512539,0.05555779502824019,15330.99,4.0,60.9,4.968903299521937,51.0,57.0,60.5,64.0,70.0,61.388888888888886,5.001542971800345,51.0,58.25,61.5,64.0,70.0,,1299.78,,,1557.0,,,11663.21,,,811.0,15330.99,,0.08478121765130628,,,0.10155899912530111,,,0.7607603944689808,,,0.052899388754411816,1.0,,0.08478121765130628,,,0.05077949956265056,,,0.0475475246543113,,,0.052899388754411816,,1.0,,,2.0,,,16.0,,,1.0,,1.0,,,2.0,,,14.0,,,1.0
みやき町議会議員選挙（2014年02月23日投票）,みやき町議会議員選挙,佐賀県,みやき町,20140223.0,2014.0,2.0,23.0,20140218.0,63.73,16.0,19.0,1.1875,21266.0,,,-495.0,任期満了,71.2,,,,みやき町議会議員選挙（2014年02月23日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.10526315789473684,0.125,0.7894736842105263,0.15789473684210525,0.05263157894736842,0.9375,0.0625,0.0,0.8754291685326168,0.09187938498283325,0.032691446484549934,0.05836194456884112,0.030626461660944418,0.032691446484549934,13398.0,4.0,63.8421052631579,4.183465673523717,55.0,61.0,64.0,67.5,72.0,64.375,4.342738191510052,55.0,61.75,64.5,68.0,72.0,,1179.0,,,1215.0,,,10262.0,,,742.0,13398.0,,0.08799820868786386,,,0.09068517689207345,,,0.7659352142110762,,,0.055381400208986416,1.0,,0.08799820868786386,,,0.045342588446036725,,,0.05106234761407175,,,0.055381400208986416,,1.0,,,2.0,,,15.0,,,1.0,,1.0,,,2.0,,,12.0,,,1.0
みやき町議会議員選挙（2018年02月18日投票）,みやき町議会議員選挙,佐賀県,みやき町,20180218.0,2018.0,2.0,18.0,20180213.0,59.9,16.0,19.0,1.1875,21391.0,,,125.0,任期満了,63.73,,,,みやき町議会議員選挙（2018年02月18日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.10526315789473684,0.125,0.7894736842105263,0.21052631578947367,0.0,0.875,0.125,0.0,0.8094186321684941,0.19058136783150587,,0.053961242144566275,0.047645341957876466,,12677.0,0.0,67.47368421052632,4.694548025469002,58.0,65.0,68.0,71.5,76.0,67.875,4.998437255783052,58.0,65.0,68.5,72.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上峰町議会議員選挙（2007年01月14日投票）,上峰町議会議員選挙,佐賀県,上峰町,20070114.0,2007.0,1.0,14.0,20070109.0,77.54,10.0,11.0,1.1,7052.0,,,,任期満了,,,,,上峰町議会議員選挙（2007年01月14日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.1,0.7272727272727273,0.2727272727272727,0.0,0.7,0.3,0.0,0.6754073796591122,0.3245926203408878,,0.08442592245738903,0.10819754011362927,,5339.0,1.0,64.18181818181819,5.669987683459155,56.0,60.0,62.0,67.5,75.0,63.1,4.742362280551751,56.0,60.0,62.0,66.75,72.0,,,,,,,,5339.0,,,,5339.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.09090909090909091,,,,,,,,,,,11.0,,,,,,,,,,,10.0,,,
上峰町議会議員選挙（2011年01月16日投票）,上峰町議会議員選挙,佐賀県,上峰町,20110116.0,2011.0,1.0,16.0,20110111.0,71.48,10.0,13.0,1.3,7149.0,,,97.0,任期満了,77.54,,,,上峰町議会議員選挙（2011年01月16日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.07692307692307693,0.0,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.4,0.5,0.1,0.31144947597389755,0.5904686573067036,0.09808186671939885,0.05190824599564959,0.0984114428844506,0.09808186671939885,5057.0,1.0,,,,,,,,,,,,,,,,,,,,,,5057.0,,,,5057.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.07692307692307693,,,,,,,,,,,13.0,,,,,,,,,,,10.0,,,
上峰町議会議員選挙（2015年01月18日投票）,上峰町議会議員選挙,佐賀県,上峰町,20150118.0,2015.0,1.0,18.0,20150113.0,64.71,10.0,12.0,1.2,7339.0,,,190.0,任期満了,71.48,,,,上峰町議会議員選挙（2015年01月18日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.1,0.5833333333333334,0.4166666666666667,0.0,0.5,0.5,0.0,0.5705782312925171,0.429421768707483,,0.081511175898931,0.0858843537414966,,4704.0,1.0,64.5,11.31739074757664,35.0,62.75,67.5,72.5,76.0,63.2,11.906300852909775,35.0,62.25,65.5,71.5,76.0,,,,,,,,4704.0,,,,4704.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.08333333333333333,,,,,,,,,,,12.0,,,,,,,,,,,10.0,,,
上峰町議会議員選挙（2019年01月13日投票）,上峰町議会議員選挙,佐賀県,上峰町,20190113.0,2019.0,1.0,13.0,20190108.0,63.49,10.0,12.0,1.2,,,,,任期満了,64.71,,,,上峰町議会議員選挙（2019年01月13日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.0,0.5,0.4166666666666667,0.08333333333333333,0.6,0.3,0.1,0.46165068778657775,0.4639433097123802,0.0744060025010421,0.07694178129776295,0.09278866194247604,0.0744060025010421,4798.0,1.0,59.833333333333336,13.87944123114792,37.0,51.0,60.5,71.25,80.0,60.1,15.109268678529745,37.0,47.0,63.0,71.75,80.0,,,,,,,,4798.0,,,,4798.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.08333333333333333,,,,,,,,,,,12.0,,,,,,,,,,,10.0,,,
