,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由党,立候補者数_自由民主党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由党,当選者数_自由民主党
五島市議会議員選挙（2009年02月08日投票）,五島市議会議員選挙,長崎県,五島市,20090208.0,2009.0,2.0,8.0,20090201.0,80.42,22.0,26.0,1.181818181818182,36056.0,,,,任期満了,,,,,五島市議会議員選挙（2009年02月08日投票）,1.0,26.0,22.0,1.1818181818181819,0.0,0.0,0.0,0.038461538461538464,0.045454545454545456,0.6538461538461539,0.2692307692307692,0.07692307692307693,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.6320590488127568,0.2865747510619038,0.08136620012533946,0.03717994404780922,0.04093925015170054,0.04068310006266973,28722.0,6.0,55.30769230769231,8.08021910769766,29.0,52.5,55.5,61.0,67.0,57.0,6.338913012640115,42.0,54.25,56.0,61.75,67.0,1629.0,,,3064.0,1049.0,,18737.0,1005.0,,,3238.0,28722.0,0.05671610612074368,,,0.10667780795209247,0.0365225262864703,,0.6523570781978971,0.034990599540421975,,,0.11273588190237449,1.0,0.05671610612074368,,,0.03555926931736416,0.0365225262864703,,0.03837394577634689,0.034990599540421975,,,0.0375786273007915,1.0,,,3.0,1.0,,17.0,1.0,,,3.0,1.0,,,2.0,1.0,,14.0,1.0,,,3.0
五島市議会議員選挙（2013年02月03日投票）,五島市議会議員選挙,長崎県,五島市,20130203.0,2013.0,2.0,3.0,20130127.0,75.41,22.0,25.0,1.1363636363636365,34224.0,,,-1832.0,任期満了,80.42,,,,五島市議会議員選挙（2013年02月03日投票）,1.0,25.0,22.0,1.1363636363636365,0.0,0.0,0.0,0.12,0.045454545454545456,0.68,0.28,0.04,0.7727272727272727,0.18181818181818182,0.045454545454545456,0.6986283654034566,0.23670886075949368,0.06466277383704981,0.04109578620020333,0.033815551537070526,0.06466277383704981,25517.0,5.0,57.0,7.4565407529228995,36.0,53.0,59.0,61.0,68.0,56.77272727272727,7.919663779489967,36.0,52.25,58.5,62.5,68.0,1251.0,,,2933.0,1168.0,,14887.0,,,,5278.0,25517.0,0.049026139436454126,,,0.11494297919034369,0.045773405964651015,,0.5834149782497943,,,,0.2068424971587569,1.0,0.049026139436454126,,,0.05747148959517184,0.045773405964651015,,0.03646343614061214,,,,0.04136849943175138,1.0,,,2.0,1.0,,16.0,,,,5.0,1.0,,,2.0,1.0,,13.0,,,,5.0
五島市議会議員選挙（2017年02月05日投票）,五島市議会議員選挙,長崎県,五島市,20170205.0,2017.0,2.0,5.0,20170129.0,72.32,20.0,22.0,1.1,33024.0,,,-1200.0,任期満了,75.41,,,,五島市議会議員選挙（2017年02月05日投票）,1.0,22.0,20.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.1,0.8181818181818182,0.18181818181818182,0.0,0.9,0.1,0.0,0.8222542128884749,0.1777457871115251,,0.04568078960491527,0.04443644677788128,,23618.0,5.0,58.90909090909091,7.561319575246657,44.0,53.25,59.5,63.75,72.0,59.75,7.381564874740315,44.0,55.5,61.0,64.0,72.0,1335.0,,,2551.0,,1266.0,9401.0,,,,9065.0,23618.0,0.05652468456262173,,,0.10801083919044796,,0.05360318401219409,0.3980438648488441,,,,0.38381742738589214,1.0,0.05652468456262173,,,0.05400541959522398,,0.05360318401219409,0.03980438648488441,,,,0.04797717842323652,1.0,,,2.0,,1.0,10.0,,,,8.0,1.0,,,2.0,,1.0,8.0,,,,8.0
五島市議会議員選挙（2021年02月07日投票）,五島市議会議員選挙,長崎県,五島市,20210207.0,2021.0,2.0,7.0,20210131.0,68.62,18.0,21.0,1.1666666666666667,31316.0,14685.0,16631.0,-1708.0,任期満了,72.32,,,,五島市議会議員選挙（2021年02月07日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.6666666666666666,0.2857142857142857,0.047619047619047616,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.6939428141459744,0.2625094055680963,0.04354778028592927,0.0495673438675696,0.04375156759468272,0.04354778028592927,21264.0,5.0,61.61904761904762,9.87288827560073,31.0,57.0,65.0,67.0,74.0,61.388888888888886,10.499412094064489,31.0,57.25,65.0,67.75,74.0,1228.0,,,1360.0,,,10563.0,,882.0,,7231.0,21264.0,0.05775018811136193,,,0.06395786305492852,,,0.496755079006772,,0.04147855530474041,,0.34005831452219715,1.0,0.05775018811136193,,,0.06395786305492852,,,0.045159552636979274,,0.04147855530474041,,0.04857975921745673,1.0,,,1.0,,,11.0,,1.0,,7.0,1.0,,,1.0,,,9.0,,1.0,,6.0
佐々町議会議員選挙（2009年06月21日投票）,佐々町議会議員選挙,長崎県,佐々町,20090621.0,2009.0,6.0,21.0,20090616.0,70.51,10.0,13.0,1.3,10586.0,,,,任期満了,,,,,佐々町議会議員選挙（2009年06月21日投票）,1.0,13.0,10.0,1.3,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.7,0.2,0.1,0.6596298834818368,0.24742974640164497,0.09294037011651816,0.0824537354352296,0.06185743660041124,0.09294037011651816,7295.0,2.0,60.46153846153846,8.025108526612293,38.0,59.0,60.0,64.0,71.0,59.6,8.464041587799532,38.0,58.25,61.0,63.75,70.0,,,,773.0,,,6522.0,,,,,7295.0,,,,0.10596298834818368,,,0.8940370116518163,,,,,1.0,,,,0.10596298834818368,,,0.07450308430431803,,,,,,,,1.0,,,12.0,,,,,,,,1.0,,,9.0,,,,
佐々町議会議員選挙（2013年06月16日投票）,佐々町議会議員選挙,長崎県,佐々町,20130616.0,2013.0,6.0,16.0,20130611.0,69.74,10.0,12.0,1.2,,,,,任期満了,70.51,,,,佐々町議会議員選挙（2013年06月16日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.45403167546540707,0.545968324534593,,0.07567194591090118,0.09099472075576549,,7198.0,2.0,63.666666666666664,7.261006970263988,46.0,61.0,64.0,68.75,74.0,61.9,6.640030120413612,46.0,59.0,63.0,64.75,72.0,,,,564.0,,,6634.0,,,,,7198.0,,,,0.0783550986385107,,,0.9216449013614894,,,,,1.0,,,,0.0783550986385107,,,0.08378590012377175,,,,,,,,1.0,,,11.0,,,,,,,,1.0,,,9.0,,,,
佐々町議会議員選挙（2017年06月18日投票）,佐々町議会議員選挙,長崎県,佐々町,20170618.0,2017.0,6.0,18.0,20170613.0,64.84,10.0,12.0,1.2,,,,,任期満了,69.74,,,,佐々町議会議員選挙（2017年06月18日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.6,0.3,0.1,0.5511322659743257,0.3600173085244483,0.08885042550122602,0.07873318085347511,0.09000432713111207,0.08885042550122602,6933.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佐々町議会議員選挙（2021年06月20日投票）,佐々町議会議員選挙,長崎県,佐々町,20210620.0,2021.0,6.0,20.0,20210615.0,60.88,10.0,12.0,1.2,11048.0,5152.0,5896.0,,任期満了,64.84,,,,佐々町議会議員選挙（2021年06月20日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.8,0.2,0.0,0.6895558587236623,0.31044414127633774,,0.08619448234045779,0.07761103531908443,,6597.0,3.0,62.0,12.556538801224908,34.0,52.75,68.5,70.5,74.0,64.0,10.019980039900279,45.0,57.25,68.5,71.5,74.0,,,347.0,547.0,,,5703.0,,,,,6597.0,,,0.05259966651508261,0.08291647718659997,,,0.8644838562983174,,,,,1.0,,,0.05259966651508261,0.08291647718659997,,,0.08644838562983173,,,,,,,1.0,1.0,,,10.0,,,,,,,0.0,1.0,,,9.0,,,,
佐世保市議会議員選挙（1999年04月25日投票）,佐世保市議会議員選挙,長崎県,佐世保市,19990425.0,1999.0,4.0,25.0,19990418.0,63.4,36.0,45.0,1.25,186957.0,,,,任期満了,,,,,佐世保市議会議員選挙（1999年04月25日投票）,1.0,45.0,36.0,1.25,0.0,0.0,0.0,0.0,0.0,0.5777777777777777,0.4222222222222222,0.0,0.6944444444444444,0.3055555555555556,0.0,0.6377321653351145,0.36226783466488555,,0.02452816020519671,0.019066728140257134,,116781.0,5.0,,,,,,,,,,,,,,,11805.0,,,3385.0,,,64978.0,14632.0,,,21981.0,116781.0,0.10108664936933234,,,0.028985879552324435,,,0.556409004889494,0.12529435438984082,,,0.1882241117990084,1.0,0.025271662342333086,,,0.014492939776162218,,,0.021400346341903614,0.025058870877968164,,,0.02352801397487605,4.0,,,2.0,,,26.0,5.0,,,8.0,4.0,,,0.0,,,20.0,5.0,,,7.0
佐世保市議会議員選挙（2003年04月27日投票）,佐世保市議会議員選挙,長崎県,佐世保市,20030427.0,2003.0,4.0,27.0,20030420.0,60.23,36.0,44.0,1.2222222222222223,188608.0,,,1651.0,任期満了,63.4,,,,佐世保市議会議員選挙（2003年04月27日投票）,1.0,44.0,36.0,1.2222222222222223,0.0,0.0,0.0,0.13636363636363635,0.1111111111111111,0.6590909090909091,0.3181818181818182,0.022727272727272728,0.7222222222222222,0.25,0.027777777777777776,0.717012762119504,0.2528796392333709,0.03010759864712514,0.02472457800412083,0.01806283137381221,0.03010759864712514,110875.0,6.0,54.70454545454545,6.10729647617781,39.0,50.0,55.5,58.25,68.0,54.638888888888886,5.774237697536734,39.0,50.75,55.0,58.0,68.0,13985.48,,,3338.18,944.0,,66047.34,11692.0,,,14868.0,110875.0,0.1261373618940248,,,0.03010759864712514,0.008514092446448704,,0.5956919052987598,0.10545208568207441,,,0.13409695603156707,1.0,0.02522747237880496,,,0.03010759864712514,0.008514092446448704,,0.022062663159213326,0.026363021420518603,,,0.022349492671927845,5.0,,,1.0,1.0,,27.0,4.0,,,6.0,5.0,,,1.0,0.0,,21.0,4.0,,,5.0
