,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_プロジェク：くまもと再生,得票数_公明党,得票数_国の冨源党,得票数_国民新党,得票数_国民民主党,得票数_幸福実現党,得票数_新社会党,得票数_日本共和党,得票数_日本共産党,得票数_日本森海党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_減税日本,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_sum_v,得票率_プロジェク：くまもと再生,得票率_公明党,得票率_国の冨源党,得票率_国民新党,得票率_国民民主党,得票率_幸福実現党,得票率_新社会党,得票率_日本共和党,得票率_日本共産党,得票率_日本森海党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_減税日本,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_プロジェク：くまもと再生,一人あたり得票率_公明党,一人あたり得票率_国の冨源党,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共和党,一人あたり得票率_日本共産党,一人あたり得票率_日本森海党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_減税日本,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,立候補者数_プロジェク：くまもと再生,立候補者数_公明党,立候補者数_国の冨源党,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共和党,立候補者数_日本共産党,立候補者数_日本森海党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_減税日本,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,当選者数_プロジェク：くまもと再生,当選者数_公明党,当選者数_国の冨源党,当選者数_国民新党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共和党,当選者数_日本共産党,当選者数_日本森海党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_減税日本,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党
あさぎり町議会議員補欠選挙（2011年04月24日投票）,あさぎり町議会議員補欠選挙,熊本県,あさぎり町,20110424.0,2011.0,4.0,24.0,20110419.0,83.46,2.0,3.0,1.5,13479.0,,,,その他,,,,,あさぎり町議会議員補欠選挙（2011年04月24日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,10636.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10636.0,,,,,10636.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,
あさぎり町議会議員補欠選挙（2019年04月21日投票）,あさぎり町議会議員補欠選挙,熊本県,あさぎり町,20190421.0,2019.0,4.0,21.0,20190416.0,75.21,1.0,3.0,3.0,12601.0,,,-878.0,その他,83.46,,,,あさぎり町議会議員補欠選挙（2019年04月21日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,8577.0,1.0,60.666666666666664,4.921607686744467,55.0,57.5,60.0,63.5,67.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,,,,,,,,,,,,,,,8577.0,,,,,8577.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,
あさぎり町議会議員選挙（2004年04月25日投票）,あさぎり町議会議員選挙,熊本県,あさぎり町,20040425.0,2004.0,4.0,25.0,20040420.0,89.95,22.0,36.0,1.6363636363636365,14079.0,,,,任期満了,,,,,あさぎり町議会議員選挙（2004年04月25日投票）,1.0,36.0,22.0,1.6363636363636365,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.7727272727272727,0.18181818181818182,0.045454545454545456,0.711989816214496,0.24632031187843106,0.041689871907072955,0.02738422370055754,0.030790038984803883,0.020844935953536477,12569.0,1.0,57.083333333333336,5.950606878480735,45.0,54.0,56.0,60.0,71.0,55.45454545454545,4.3768738608039,45.0,52.25,55.0,58.5,64.0,,,,,,,,,,,,,,,12569.0,,,,,12569.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.027777777777777776,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,22.0,,,,
あさぎり町議会議員選挙（2008年04月27日投票）,あさぎり町議会議員選挙,熊本県,あさぎり町,20080427.0,2008.0,4.0,27.0,20080422.0,84.99,18.0,21.0,1.1666666666666667,13833.0,,,-246.0,任期満了,89.95,,,,あさぎり町議会議員選挙（2008年04月27日投票）,1.0,21.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.047619047619047616,0.05555555555555555,0.6666666666666666,0.3333333333333333,0.0,0.7222222222222222,0.2777777777777778,0.0,0.6809295146630081,0.31907048533699195,,0.04863782247592915,0.04558149790528456,,11662.0,1.0,58.285714285714285,6.655773413202342,47.0,56.0,58.0,60.0,78.0,57.22222222222222,5.370242654930921,47.0,56.0,58.0,60.0,68.0,,,,,,,,,,,,,,,11662.0,,,,,11662.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.047619047619047616,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,18.0,,,,
あさぎり町議会議員選挙（2012年04月22日投票）,あさぎり町議会議員選挙,熊本県,あさぎり町,20120422.0,2012.0,4.0,22.0,20120417.0,80.24,16.0,17.0,1.0625,13484.0,,,-349.0,任期満了,84.99,,,,あさぎり町議会議員選挙（2012年04月22日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.11764705882352941,0.125,0.5882352941176471,0.29411764705882354,0.11764705882352941,0.5625,0.3125,0.125,0.5422102124487514,0.29043980618710397,0.1673499813641446,0.05422102124487514,0.05808796123742079,0.0836749906820723,10732.0,1.0,58.588235294117645,5.168442973291482,50.0,54.0,60.0,62.0,68.0,58.25,5.141740950300783,50.0,53.75,59.5,62.0,68.0,,,,,,,,,,,,,,,10732.0,,,,,10732.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,16.0,,,,
あさぎり町議会議員選挙（2016年04月24日投票）,あさぎり町議会議員選挙,熊本県,あさぎり町,20160424.0,2016.0,4.0,24.0,20160419.0,77.84,16.0,20.0,1.25,12853.0,,,-631.0,任期満了,80.24,,,,あさぎり町議会議員選挙（2016年04月24日投票）,1.0,20.0,16.0,1.25,0.0,0.0,0.0,0.15,0.1875,0.7,0.3,0.0,0.875,0.125,0.0,0.7807459677419355,0.21925403225806453,,0.05576756912442397,0.03654233870967742,,9920.0,0.0,58.6,6.476109943476872,42.0,54.75,59.0,64.0,68.0,59.3125,6.89853924755089,42.0,55.0,61.0,64.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あさぎり町議会議員選挙（2020年04月26日投票）,あさぎり町議会議員選挙,熊本県,あさぎり町,20200426.0,2020.0,4.0,26.0,20200421.0,70.87,14.0,17.0,1.2142857142857142,,,,,任期満了,77.84,,,,あさぎり町議会議員選挙（2020年04月26日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.23529411764705882,0.21428571428571427,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.7479571872482449,0.161583611462769,0.09045920128898607,0.062329765604020405,0.04039590286569225,0.09045920128898607,8689.0,1.0,62.294117647058826,7.135369283343966,43.0,59.0,63.0,68.0,72.0,63.357142857142854,5.6265587409451365,53.0,59.0,63.5,67.75,72.0,,,,,,,,,,,,,,,8689.0,,,,,8689.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,14.0,,,,
上天草市議会議員補欠選挙（2007年04月22日投票）,上天草市議会議員補欠選挙,熊本県,上天草市,20070422.0,2007.0,4.0,22.0,20070415.0,81.88,2.0,5.0,2.5,27615.0,,,,その他,,,,,上天草市議会議員補欠選挙（2007年04月22日投票）,1.0,5.0,2.0,2.5,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.4,0.0,1.0,0.0,,0.6701848181776282,0.32981518182237174,,0.22339493939254274,0.16490759091118587,21697.0,2.0,49.2,7.547184905645283,36.0,49.0,49.0,53.0,59.0,42.5,6.5,36.0,39.25,42.5,45.75,49.0,,,,,,,,,3943.0,,,,,,17754.0,,,,,21697.0,,,,,,,,,0.18173019311425542,,,,,,0.8182698068857446,,,,,1.0,,,,,,,,,0.18173019311425542,,,,,,0.20456745172143614,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,0.0,,,,,,2.0,,,,
上天草市議会議員補欠選挙（2011年04月25日投票）,上天草市議会議員補欠選挙,熊本県,上天草市,20110425.0,2011.0,4.0,25.0,20110417.0,80.83,1.0,3.0,3.0,26076.0,,,-1539.0,その他,81.88,,,,上天草市議会議員補欠選挙（2011年04月25日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,1.0,,,0.3333333333333333,20010.0,1.0,53.0,6.377042156569663,48.0,48.5,49.0,55.5,62.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,,,20010.0,,,,,20010.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,
上天草市議会議員補欠選挙（2014年12月14日投票）,上天草市議会議員補欠選挙,熊本県,上天草市,20141214.0,2014.0,12.0,14.0,20141207.0,無投票,3.0,3.0,1.0,,,,,その他,80.83,,,,上天草市議会議員補欠選挙（2014年12月14日投票）,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,
