,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_庶民党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_老人福祉人権党,得票数_老人福祉党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_庶民党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_老人福祉人権党,得票率_老人福祉党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_庶民党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_老人福祉人権党,一人あたり得票率_老人福祉党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_庶民党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_老人福祉人権党,立候補者数_老人福祉党,立候補者数_自由党,立候補者数_自由民主党,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_庶民党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_老人福祉人権党,当選者数_老人福祉党,当選者数_自由党,当選者数_自由民主党
中津市議会議員選挙（2003年04月27日投票）,中津市議会議員選挙,大分県,中津市,20030427.0,2003.0,4.0,27.0,20030420.0,76.47,26.0,33.0,1.2692307692307692,51508.0,,,,任期満了,,,,,中津市議会議員選挙（2003年04月27日投票）,1.0,33.0,26.0,1.2692307692307692,0.0,0.0,0.0,0.15151515151515152,0.11538461538461539,0.6363636363636364,0.3333333333333333,0.030303030303030304,0.6538461538461539,0.3076923076923077,0.038461538461538464,0.6421910227505636,0.33300881328141013,0.024800163968026236,0.03058052489288398,0.030273528480128195,0.024800163968026236,39032.0,5.0,55.24242424242424,7.207026466351087,38.0,50.0,55.0,60.0,75.0,55.57692307692308,7.711994039871006,38.0,50.25,55.0,60.0,75.0,,2964.0,,,,2367.1099999999997,,,,31588.89,805.0,,,,,1307.0,39032.0,,0.07593769215003074,,,,0.060645367903258855,,,,0.8093074912891985,0.020624103299856526,,,,,0.03348534535765526,1.0,,0.03796884607501537,,,,0.030322683951629428,,,,0.029974351529229577,0.020624103299856526,,,,,0.03348534535765526,,2.0,,,,2.0,,,,27.0,1.0,,,,,1.0,,2.0,,,,2.0,,,,21.0,0.0,,,,,1.0
中津市議会議員選挙（2007年04月22日投票）,中津市議会議員選挙,大分県,中津市,20070422.0,2007.0,4.0,22.0,20070415.0,76.22,30.0,49.0,1.6333333333333333,67779.0,,,16271.0,任期満了,76.47,,,,中津市議会議員選挙（2007年04月22日投票）,1.0,49.0,30.0,1.6333333333333333,0.0,0.0,0.0,0.08163265306122448,0.13333333333333333,0.6938775510204082,0.16326530612244897,0.14285714285714285,0.7666666666666667,0.1,0.13333333333333333,0.7456307229738964,0.12173216970264941,0.13263710732345418,0.02193031538158519,0.015216521212831177,0.018948158189064885,51219.0,5.0,57.326530612244895,9.19047367281445,33.0,54.0,58.0,64.0,88.0,56.1,7.318242047559418,33.0,53.25,57.0,60.0,68.0,,3377.0,,,,3272.46,,622.0,,42894.54,,,,,,1053.0,51219.0,,0.06593256408754564,,,,0.06389152462953201,,0.012143930963119155,,0.8374732033034616,,,,,,0.02055877701634159,1.0,,0.03296628204377282,,,,0.02129717487651067,,0.012143930963119155,,0.019939838173891944,,,,,,0.02055877701634159,,2.0,,,,3.0,,1.0,,42.0,,,,,,1.0,,2.0,,,,2.0,,0.0,,25.0,,,,,,1.0
中津市議会議員選挙（2011年04月24日投票）,中津市議会議員選挙,大分県,中津市,20110424.0,2011.0,4.0,24.0,20110417.0,70.61,28.0,33.0,1.1785714285714286,67847.0,,,68.0,任期満了,76.22,,,,中津市議会議員選挙（2011年04月24日投票）,1.0,33.0,28.0,1.1785714285714286,0.0,0.0,0.0,0.12121212121212122,0.14285714285714285,0.696969696969697,0.24242424242424243,0.06060606060606061,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.6880677866070865,0.2531458803195413,0.058786333073372256,0.029915990722047238,0.031643235039942666,0.029393166536686128,47443.0,3.0,,,,,,,,56.67857142857143,8.19430800455227,37.0,51.75,58.5,61.25,72.0,,3512.0,,,,3887.0,,,,40044.0,,,,,,,47443.0,,0.07402567291275847,,,,0.0819298948211538,,,,0.8440444322660877,,,,,,,1.0,,0.03701283645637923,,,,0.0273099649403846,,,,0.030144444009503134,,,,,,,,2.0,,,,3.0,,,,28.0,,,,,,,,2.0,,,,3.0,,,,23.0,,,,,,
中津市議会議員選挙（2015年04月26日投票）,中津市議会議員選挙,大分県,中津市,20150426.0,2015.0,4.0,26.0,20150419.0,61.43,26.0,27.0,1.0384615384615383,67645.0,,,-202.0,任期満了,70.61,,,,中津市議会議員選挙（2015年04月26日投票）,1.0,27.0,26.0,1.0384615384615385,0.0,0.0,0.0,0.18518518518518517,0.19230769230769232,0.7407407407407407,0.25925925925925924,0.0,0.7692307692307693,0.23076923076923078,0.0,0.7526873875188482,0.2473126124811518,,0.03763436937594241,0.035330373211593116,,41118.0,4.0,59.629629629629626,6.418423414054658,41.0,55.5,59.0,64.0,73.0,59.34615384615385,6.372671868656202,41.0,55.25,59.0,63.75,73.0,,3690.0,,,,3803.01,,,,31902.989999999998,,,,,,1722.0,41118.0,,0.0897417189552021,,,,0.09249015029913907,,,,0.7758886618998978,,,,,,0.04187946884576098,1.0,,0.04487085947760105,,,,0.030830050099713024,,,,0.03694707913809037,,,,,,0.04187946884576098,,2.0,,,,3.0,,,,21.0,,,,,,1.0,,2.0,,,,3.0,,,,20.0,,,,,,1.0
中津市議会議員選挙（2019年04月21日投票）,中津市議会議員選挙,大分県,中津市,20190421.0,2019.0,4.0,21.0,20190414.0,57.82,24.0,28.0,1.1666666666666667,67848.0,,,203.0,任期満了,61.43,,,,中津市議会議員選挙（2019年04月21日投票）,1.0,28.0,24.0,1.1666666666666667,0.0,0.0,0.0,0.21428571428571427,0.20833333333333334,0.75,0.25,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8442525773195876,0.15574742268041236,,0.040202503681885125,0.02224963181148748,,38800.0,5.0,59.964285714285715,7.674085068114183,42.0,57.0,62.0,66.0,70.0,59.208333333333336,7.98946789355976,42.0,56.75,61.0,64.5,70.0,,3726.0,,596.0,,3803.0,,,,29130.0,,,,,,1545.0,38800.0,,0.09603092783505154,,0.01536082474226804,,0.09801546391752577,,,,0.7507731958762887,,,,,,0.03981958762886598,1.0,,0.04801546391752577,,0.01536082474226804,,0.032671821305841925,,,,0.03575110456553755,,,,,,0.03981958762886598,,2.0,,1.0,,3.0,,,,21.0,,,,,,1.0,,2.0,,0.0,,3.0,,,,18.0,,,,,,1.0
九重町議会議員補欠選挙（2016年10月16日投票）,九重町議会議員補欠選挙,大分県,九重町,20161016.0,2016.0,10.0,16.0,20161011.0,無投票,1.0,1.0,1.0,,,,,任期満了,,,,,九重町議会議員補欠選挙（2016年10月16日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九重町議会議員選挙（2007年02月04日投票）,九重町議会議員選挙,大分県,九重町,20070204.0,2007.0,2.0,4.0,20070130.0,無投票,13.0,13.0,1.0,9621.0,,,,任期満了,,,,,九重町議会議員選挙（2007年02月04日投票）,1.0,13.0,13.0,1.0,1.0,1.0,0.0,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.15384615384615385,0.0,0.8461538461538461,0.15384615384615385,0.0,,,,,,,0.0,1.0,60.23076923076923,7.287015281716948,47.0,55.0,61.0,65.0,71.0,60.23076923076923,7.287015281716948,47.0,55.0,61.0,65.0,71.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,13.0,,,,,,
九重町議会議員選挙（2011年02月06日投票）,九重町議会議員選挙,大分県,九重町,20110206.0,2011.0,2.0,6.0,20110201.0,80.7,13.0,15.0,1.1538461538461535,9165.0,,,-456.0,任期満了,,,,,九重町議会議員選挙（2011年02月06日投票）,1.0,15.0,13.0,1.1538461538461537,0.0,0.0,0.0,0.13333333333333333,0.07692307692307693,0.5333333333333333,0.4666666666666667,0.0,0.6153846153846154,0.38461538461538464,0.0,0.5570285012955134,0.44297149870448654,,0.06962856266193918,0.06328164267206951,,7333.0,1.0,57.86666666666667,6.984427121978023,47.0,51.5,59.0,61.0,75.0,58.92307692307692,6.9111007523742165,47.0,56.0,59.0,62.0,75.0,,,,,,,,,,7333.0,,,,,,,7333.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,0.06666666666666667,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,13.0,,,,,,
九重町議会議員選挙（2015年02月08日投票）,九重町議会議員選挙,大分県,九重町,20150208.0,2015.0,2.0,8.0,20150203.0,75.37,13.0,14.0,1.0769230769230769,8664.0,,,-501.0,任期満了,80.7,,,,九重町議会議員選挙（2015年02月08日投票）,1.0,14.0,13.0,1.0769230769230769,0.0,0.0,0.0,0.14285714285714285,0.15384615384615385,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.7842894696149683,0.15122931807638781,0.06448121230864388,0.07129904269226985,0.07561465903819391,0.06448121230864388,6467.0,1.0,63.42857142857143,6.275966467568228,54.0,62.0,63.0,65.75,79.0,62.84615384615385,6.137478232405752,54.0,62.0,63.0,65.0,79.0,,,,,,,,,,6467.0,,,,,,,6467.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,0.07142857142857142,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,13.0,,,,,,
九重町議会議員選挙（2019年02月03日投票）,九重町議会議員選挙,大分県,九重町,20190203.0,2019.0,2.0,3.0,20190129.0,75.25,12.0,15.0,1.25,8178.0,,,-486.0,任期満了,75.37,,,,九重町議会議員選挙（2019年02月03日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.13333333333333333,0.16666666666666666,0.7333333333333333,0.26666666666666666,0.0,0.75,0.25,0.0,0.803389272787101,0.196610727212899,,0.073035388435191,0.04915268180322475,,6078.0,1.0,62.733333333333334,7.5141348285895315,39.0,58.5,66.0,67.0,70.0,63.833333333333336,4.199867722784718,58.0,58.75,65.5,67.0,70.0,,,,,,,,,,6078.0,,,,,,,6078.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,0.06666666666666667,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,12.0,,,,,,
