,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_国民民主党,得票数_宮崎ネットワーク運動かどかわ,得票数_市民第一の会,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_門川ネットワーク２１,得票数_sum_v,得票率_公明党,得票率_国民民主党,得票率_宮崎ネットワーク運動かどかわ,得票率_市民第一の会,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_門川ネットワーク２１,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_宮崎ネットワーク運動かどかわ,一人あたり得票率_市民第一の会,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,一人あたり得票率_門川ネットワーク２１,立候補者数_公明党,立候補者数_国民民主党,立候補者数_宮崎ネットワーク運動かどかわ,立候補者数_市民第一の会,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,立候補者数_門川ネットワーク２１,当選者数_公明党,当選者数_国民民主党,当選者数_宮崎ネットワーク運動かどかわ,当選者数_市民第一の会,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党,当選者数_門川ネットワーク２１
えびの市議会議員選挙（2007年10月21日投票）,えびの市議会議員選挙,宮崎県,えびの市,20071021.0,2007.0,10.0,21.0,20071014.0,76.78,15.0,21.0,1.4,19374.0,,,,任期満了,,,,,えびの市議会議員選挙（2007年10月21日投票）,1.0,21.0,15.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.047619047619047616,,,14739.999999999998,4.0,60.23809523809524,7.921668666835301,44.0,52.0,60.0,67.0,73.0,58.6,7.631513611335565,44.0,52.0,58.0,65.5,72.0,1003.86,,,,,763.61,,11962.53,1010.0,,,,14740.000000000002,0.06810447761194029,,,,,0.05180529172320217,,0.8115691994572591,0.06852103120759837,,,,1.0,0.06810447761194029,,,,,0.05180529172320217,,0.04508717774762551,0.06852103120759837,,,,1.0,,,,,1.0,,18.0,1.0,,,,1.0,,,,,1.0,,12.0,1.0,,,
えびの市議会議員選挙（2009年09月26日投票）,えびの市議会議員選挙,宮崎県,えびの市,20090926.0,2009.0,9.0,26.0,20090919.0,75.66,15.0,19.0,1.2666666666666666,18982.0,,,-392.0,解散,76.78,,,,えびの市議会議員選挙（2009年09月26日投票）,1.0,19.0,15.0,1.2666666666666666,0.0,0.0,0.0,0.05263157894736842,0.06666666666666667,0.0,0.21052631578947367,0.05263157894736842,0.0,0.13333333333333333,0.0,,0.1700225288651084,0.03933328639819769,,0.0425056322162771,0.03933328639819769,14204.0,4.0,60.94736842105263,7.243680979130971,44.0,55.5,60.0,67.0,74.0,62.06666666666667,6.506065546003121,53.0,56.5,61.0,67.5,74.0,1087.0,,,,,826.25,,11472.75,818.0,,,,14204.0,0.07652773866516474,,,,,0.0581702337369755,,0.8077126161644607,0.057589411433399046,,,,1.0,0.07652773866516474,,,,,0.0581702337369755,,0.05048203851027879,0.057589411433399046,,,,1.0,,,,,1.0,,16.0,1.0,,,,1.0,,,,,1.0,,12.0,1.0,,,
えびの市議会議員選挙（2013年09月22日投票）,えびの市議会議員選挙,宮崎県,えびの市,20130922.0,2013.0,9.0,22.0,20130915.0,73.63,15.0,16.0,1.0666666666666669,,,,,任期満了,75.66,,,,えびの市議会議員選挙（2013年09月22日投票）,1.0,16.0,15.0,1.0666666666666667,0.0,0.0,0.0,0.125,0.06666666666666667,0.6875,0.3125,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6888886496644749,0.31111135033552506,,0.06262624087858863,0.06222227006710501,,13004.99,3.0,62.0,9.38083151964686,37.0,58.0,63.5,69.5,74.0,61.86666666666667,9.673790478515764,37.0,58.0,63.0,70.0,74.0,,,,,,807.7,,11533.29,664.0,,,,13004.990000000002,,,,,,0.06210692972466722,,0.8868357453562056,0.05105732491912719,,,,1.0,,,,,,0.06210692972466722,,0.0633454103825861,0.05105732491912719,,,,,,,,,1.0,,14.0,1.0,,,,,,,,,1.0,,13.0,1.0,,,
えびの市議会議員選挙（2017年09月24日投票）,えびの市議会議員選挙,宮崎県,えびの市,20170924.0,2017.0,9.0,24.0,20170917.0,,15.0,18.0,1.2,,,,,任期満了,73.63,,,,えびの市議会議員選挙（2017年09月24日投票）,1.0,18.0,15.0,1.2,0.0,0.0,0.0,0.2222222222222222,0.26666666666666666,0.6111111111111112,0.3333333333333333,0.05555555555555555,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.6293700316266347,0.31925805624412346,0.05137191212924182,0.05721545742060316,0.05320967604068724,0.05137191212924182,11699.0,0.0,62.22222222222222,9.052658023141635,41.0,61.0,64.5,68.0,75.0,62.86666666666667,9.520971005569173,41.0,61.5,67.0,68.5,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三股町議会議員補欠選挙（2006年09月10日投票）,三股町議会議員補欠選挙,宮崎県,三股町,20060910.0,2006.0,9.0,10.0,20060905.0,無投票,1.0,1.0,1.0,19010.0,,,,その他,,,,,三股町議会議員補欠選挙（2006年09月10日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,0.0,1.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
三股町議会議員補欠選挙（2018年09月09日投票）,三股町議会議員補欠選挙,宮崎県,三股町,20180909.0,2018.0,9.0,9.0,20180904.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,三股町議会議員補欠選挙（2018年09月09日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,67.0,0.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,67.0,67.0,67.0,67.0,67.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
三股町議会議員選挙（2003年04月27日投票）,三股町議会議員選挙,宮崎県,三股町,20030427.0,2003.0,4.0,27.0,20030422.0,無投票,18.0,18.0,1.0,18682.0,,,,任期満了,,,,,三股町議会議員選挙（2003年04月27日投票）,1.0,18.0,18.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.7777777777777778,0.2222222222222222,0.0,0.7777777777777778,0.2222222222222222,0.0,,,,,,,0.0,4.0,61.888888888888886,5.98970309864158,50.0,58.5,62.5,67.5,70.0,61.888888888888886,5.98970309864158,50.0,58.5,62.5,67.5,70.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,15.0,1.0,,,,1.0,,,,,1.0,,15.0,1.0,,,
三股町議会議員選挙（2007年04月22日投票）,三股町議会議員選挙,宮崎県,三股町,20070422.0,2007.0,4.0,22.0,20070417.0,60.07,12.0,16.0,1.3333333333333333,18995.0,,,313.0,任期満了,,,,,三股町議会議員選挙（2007年04月22日投票）,1.0,16.0,12.0,1.3333333333333333,0.0,0.0,0.0,0.1875,0.16666666666666666,0.8125,0.125,0.0625,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.7624636018706432,0.12070943263037148,0.11682696549898526,0.05865104629774179,0.06035471631518574,0.11682696549898526,11333.0,4.0,62.375,10.76379928278115,28.0,57.75,65.5,68.5,74.0,64.33333333333333,6.141841924229427,54.0,58.75,65.5,67.75,74.0,1229.0,,,,,703.0,,8436.0,965.0,,,,11333.0,0.10844436601076503,,,,,0.06203123621282979,,0.7443748345539575,0.08514956322244772,,,,1.0,0.10844436601076503,,,,,0.06203123621282979,,0.057259602657996726,0.08514956322244772,,,,1.0,,,,,1.0,,13.0,1.0,,,,1.0,,,,,1.0,,9.0,1.0,,,
三股町議会議員選挙（2011年04月24日投票）,三股町議会議員選挙,宮崎県,三股町,20110424.0,2011.0,4.0,24.0,20110419.0,52.58,12.0,14.0,1.1666666666666667,19333.0,,,338.0,任期満了,60.07,,,,三股町議会議員選挙（2011年04月24日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.5,0.3333333333333333,0.16666666666666666,0.5663366336633663,0.32801980198019803,0.10564356435643564,0.09438943894389439,0.054669966996699675,0.05282178217821782,10100.0,4.0,,,,,,,,,,,,,,,1135.0,,,,,633.0,,7464.0,868.0,,,,10100.0,0.11237623762376238,,,,,0.06267326732673267,,0.739009900990099,0.08594059405940593,,,,1.0,0.11237623762376238,,,,,0.06267326732673267,,0.06718271827182719,0.08594059405940593,,,,1.0,,,,,1.0,,11.0,1.0,,,,1.0,,,,,1.0,,9.0,1.0,,,
三股町議会議員選挙（2015年04月26日投票）,三股町議会議員選挙,宮崎県,三股町,20150426.0,2015.0,4.0,26.0,20150421.0,49.69,12.0,14.0,1.1666666666666667,,,,,任期満了,52.58,,,,三股町議会議員選挙（2015年04月26日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.07142857142857142,0.08333333333333333,0.7142857142857143,0.2857142857142857,0.0,0.75,0.25,0.0,0.6881485192038357,0.31185148079616437,,0.06881485192038357,0.07796287019904109,,9781.9,4.0,58.714285714285715,10.659861774958648,30.0,53.25,62.0,64.5,73.0,59.0,11.224972160321824,30.0,57.75,62.0,65.25,73.0,1090.0,,,,,881.0,,7083.9,727.0,,,,9781.9,0.11143029472801808,,,,,0.09006430243613205,,0.7241844631411075,0.07432093969474234,,,,1.0,0.11143029472801808,,,,,0.09006430243613205,,0.06583495119464614,0.07432093969474234,,,,1.0,,,,,1.0,,11.0,1.0,,,,1.0,,,,,1.0,,9.0,1.0,,,
三股町議会議員選挙（2019年04月21日投票）,三股町議会議員選挙,宮崎県,三股町,20190421.0,2019.0,4.0,21.0,20190416.0,41.82,12.0,13.0,1.0833333333333333,20268.0,,,,任期満了,49.69,,,,三股町議会議員選挙（2019年04月21日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.15384615384615385,0.16666666666666666,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.75,0.16666666666666666,0.08333333333333333,0.6549031261143469,0.2766314037798645,0.06846547010578866,0.0727670140127052,0.0922104679266215,0.06846547010578866,8413.0,4.0,64.53846153846153,6.743833475170366,50.0,64.0,66.0,67.0,78.0,64.41666666666667,7.005454224309005,50.0,62.5,66.0,67.5,78.0,1151.0,,,,,576.0,,5965.0,721.0,,,,8413.0,0.1368120765481992,,,,,0.06846547010578866,,0.7090217520503982,0.08570070129561393,,,,1.0,0.1368120765481992,,,,,0.06846547010578866,,0.07090217520503982,0.08570070129561393,,,,1.0,,,,,1.0,,10.0,1.0,,,,1.0,,,,,1.0,,9.0,1.0,,,
串間市議会議員補欠選挙（2006年07月23日投票）,串間市議会議員補欠選挙,宮崎県,串間市,20060723.0,2006.0,7.0,23.0,20060716.0,80.71,1.0,2.0,2.0,18702.0,,,,その他,,,,,串間市議会議員補欠選挙（2006年07月23日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,13813.0,1.0,61.0,7.0,54.0,57.5,61.0,64.5,68.0,54.0,0.0,54.0,54.0,54.0,54.0,54.0,,,,,,,,13813.0,,,,,13813.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,
串間市議会議員補欠選挙（2014年07月13日投票）,串間市議会議員補欠選挙,宮崎県,串間市,20140713.0,2014.0,7.0,13.0,20140706.0,無投票,1.0,1.0,1.0,,,,,その他,80.71,,,,串間市議会議員補欠選挙（2014年07月13日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
串間市議会議員補欠選挙（2017年10月08日投票）,串間市議会議員補欠選挙,宮崎県,串間市,20171008.0,2017.0,10.0,8.0,20171001.0,無投票,3.0,3.0,1.0,,,,,"その他/福留成人議員、武田浩一議員の県議選出馬、武田政英議員の市長選挙出馬による",,,,,串間市議会議員補欠選挙（2017年10月08日投票）,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,,,,,,,0.0,0.0,54.333333333333336,16.048537489614297,32.0,47.0,62.0,65.5,69.0,54.333333333333336,16.048537489614297,32.0,47.0,62.0,65.5,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
