,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_世直し連合,得票数_公明党,得票数_国民民主党,得票数_尊王義塾蒼龍社,得票数_市役所を改革する会,得票数_幸福実現党,得票数_日本共産党,得票数_日本維新の会,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自動車販売・修理業,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_世直し連合,得票率_公明党,得票率_国民民主党,得票率_尊王義塾蒼龍社,得票率_市役所を改革する会,得票率_幸福実現党,得票率_日本共産党,得票率_日本維新の会,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自動車販売・修理業,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_世直し連合,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_尊王義塾蒼龍社,一人あたり得票率_市役所を改革する会,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自動車販売・修理業,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_世直し連合,立候補者数_公明党,立候補者数_国民民主党,立候補者数_尊王義塾蒼龍社,立候補者数_市役所を改革する会,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自動車販売・修理業,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_世直し連合,当選者数_公明党,当選者数_国民民主党,当選者数_尊王義塾蒼龍社,当選者数_市役所を改革する会,当選者数_幸福実現党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自動車販売・修理業,当選者数_自由民主党
いちき串木野市議会議員選挙（2005年11月13日投票）,いちき串木野市議会議員選挙,鹿児島県,いちき串木野市,20051113.0,2005.0,11.0,13.0,20051106.0,79.72,0.0,28.0,,26657.0,,,,その他,,,,,いちき串木野市議会議員選挙（2005年11月13日投票）,2.0,28.0,22.0,1.2727272727272727,0.0,0.0,0.0,0.07142857142857142,0.045454545454545456,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.03571428571428571,,21048.0,4.0,58.785714285714285,8.063839668798085,40.0,54.75,58.0,62.5,78.0,57.59090909090909,7.371068079193081,40.0,54.5,58.0,60.75,78.0,,,1002.0,,,,,1050.76,,,17744.239999999998,1251.0,,,,21048.0,,,0.0476054732041049,,,,,0.04992208285822881,,,0.8430368681109843,0.05943557582668187,,,,1.0,,,0.0476054732041049,,,,,0.04992208285822881,,,0.03372147472443937,0.05943557582668187,,,,,,1.0,,,,,1.0,,,25.0,1.0,,,,,,1.0,,,,,1.0,,,19.0,1.0,,,
いちき串木野市議会議員選挙（2009年11月08日投票）,いちき串木野市議会議員選挙,鹿児島県,いちき串木野市,20091108.0,2009.0,11.0,8.0,20091101.0,79.11,18.0,20.0,1.1111111111111112,25788.0,,,-869.0,任期満了,79.72,,,,いちき串木野市議会議員選挙（2009年11月08日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.05,0.05555555555555555,0.85,0.15,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8268363960572589,0.1731636039427411,,0.0486374350621917,0.05772120131424704,,20188.999999999996,4.0,61.15,7.498499849969993,44.0,58.25,62.0,64.0,82.0,61.0,7.874007874011811,44.0,56.75,62.0,63.75,82.0,,,1153.0,,,,,923.26,,,17131.739999999998,981.0,,,,20189.0,,,0.05711030759324385,,,,,0.04573084352865422,,,0.8485680320966862,0.04859081678141562,,,,1.0,,,0.05711030759324385,,,,,0.04573084352865422,,,0.04991576659392272,0.04859081678141562,,,,,,1.0,,,,,1.0,,,17.0,1.0,,,,,,1.0,,,,,1.0,,,15.0,1.0,,,
いちき串木野市議会議員選挙（2013年11月10日投票）,いちき串木野市議会議員選挙,鹿児島県,いちき串木野市,20131110.0,2013.0,11.0,10.0,20131103.0,,18.0,19.0,1.0555555555555556,,,,,任期満了,79.11,,,,いちき串木野市議会議員選挙（2013年11月10日投票）,1.0,19.0,18.0,1.0555555555555556,0.0,0.0,0.0,0.10526315789473684,0.1111111111111111,0.7894736842105263,0.15789473684210525,0.05263157894736842,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.804875657712545,0.13935031847133758,0.055774023816117416,0.05365837718083633,0.04645010615711253,0.055774023816117416,18055.0,5.0,63.05263157894737,6.345107391654955,48.0,60.0,65.0,67.0,73.0,63.05555555555556,6.518965683315637,48.0,60.0,65.0,67.0,73.0,,,1095.0,,,,,719.97,,,14219.03,1071.0,,,950.0,18055.0,,,0.06064801993907505,,,,,0.03987648850733869,,,0.787539739684298,0.05931874826917751,,,0.052617003600110776,1.0,,,0.06064801993907505,,,,,0.03987648850733869,,,0.052502649312286535,0.05931874826917751,,,0.052617003600110776,,,1.0,,,,,1.0,,,15.0,1.0,,,1.0,,,1.0,,,,,1.0,,,14.0,1.0,,,1.0
いちき串木野市議会議員選挙（2017年10月22日投票）,いちき串木野市議会議員選挙,鹿児島県,いちき串木野市,20171022.0,2017.0,10.0,22.0,20171015.0,無投票,18.0,17.0,0.9444444444444444,24024.0,,,,任期満了,,,,,いちき串木野市議会議員選挙（2017年10月22日投票）,1.0,17.0,16.0,1.0625,1.0,1.0,0.0,0.17647058823529413,0.125,0.8823529411764706,0.11764705882352941,0.0,0.875,0.125,0.0,,,,,,,18002.000000000004,0.0,65.88235294117646,5.717695473046056,52.0,64.0,68.0,70.0,73.0,65.5625,5.744222641054227,52.0,63.25,67.5,70.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
さつま町議会議員選挙（2005年04月24日投票）,さつま町議会議員選挙,鹿児島県,さつま町,20050424.0,2005.0,4.0,24.0,20050419.0,,0.0,38.0,,21584.0,,,,その他,,,,,さつま町議会議員選挙（2005年04月24日投票）,3.0,38.0,27.0,1.4074074074074074,0.0,0.0,0.0,0.02631578947368421,0.037037037037037035,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.02631578947368421,,17795.0,1.0,57.94736842105263,7.384006074372581,42.0,53.0,58.5,64.0,70.0,57.925925925925924,6.554195297251453,42.0,53.0,58.0,62.5,70.0,,,,,,,,,,,17795.0,,,,,17795.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.02631578947368421,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,27.0,,,,
さつま町議会議員選挙（2009年04月19日投票）,さつま町議会議員選挙,鹿児島県,さつま町,20090419.0,2009.0,4.0,19.0,20090414.0,84.22,20.0,24.0,1.2,20585.0,,,-999.0,任期満了,,,,,さつま町議会議員選挙（2009年04月19日投票）,1.0,24.0,20.0,1.2,0.0,0.0,0.0,0.041666666666666664,0.05,0.75,0.25,0.0,0.85,0.15,0.0,0.7698175606136413,0.2301824393863588,,0.0427676422563134,0.038363739897726463,,17168.989999999998,1.0,60.583333333333336,5.14714052222742,50.0,57.0,61.0,63.25,71.0,61.25,5.018714974971183,51.0,57.0,61.5,64.25,71.0,,,,,,,,,,,17168.989999999998,,,,,17168.989999999998,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.041666666666666664,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,20.0,,,,
さつま町議会議員選挙（2013年04月14日投票）,さつま町議会議員選挙,鹿児島県,さつま町,20130414.0,2013.0,4.0,14.0,20130409.0,72.84,16.0,17.0,1.0625,19917.0,,,-668.0,任期満了,84.22,,,,さつま町議会議員選挙（2013年04月14日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.058823529411764705,0.0625,0.8235294117647058,0.17647058823529413,0.0,0.8125,0.1875,0.0,0.7949020697319072,0.20509793026809278,,0.0567787192665648,0.06836597675603093,,14398.0,1.0,62.8235294117647,4.2872628607737875,54.0,60.0,62.0,66.0,69.0,62.4375,4.1226318960101205,54.0,60.0,62.0,65.25,69.0,,,,,,,,,,,14398.0,,,,,14398.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,16.0,,,,
さつま町議会議員選挙（2017年04月16日投票）,さつま町議会議員選挙,鹿児島県,さつま町,20170416.0,2017.0,4.0,16.0,20170411.0,無投票,16.0,16.0,1.0,,,,,任期満了,72.84,,,,さつま町議会議員選挙（2017年04月16日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.75,0.25,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
さつま町議会議員選挙（2021年04月18日投票）,さつま町議会議員選挙,鹿児島県,さつま町,20210418.0,2021.0,4.0,18.0,20210413.0,64.92,16.0,17.0,1.0625,17028.0,7880.0,9148.0,,任期満了,,,,,さつま町議会議員選挙（2021年04月18日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.11764705882352941,0.125,0.6470588235294118,0.35294117647058826,0.0,0.625,0.375,0.0,0.5667849919680409,0.4332150080319592,,0.05152590836073099,0.07220250133865987,,10982.999,1.0,66.70588235294117,9.034344312822585,40.0,64.0,69.0,72.0,76.0,66.25,9.12071817347735,40.0,64.0,69.0,72.0,76.0,,,,,,,,,,,10982.999,,,,,10982.999,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,16.0,,,,
三島村議会議員選挙（2007年04月22日投票）,三島村議会議員選挙,鹿児島県,三島村,20070422.0,2007.0,4.0,22.0,20070417.0,98.33,7.0,9.0,1.2857142857142858,299.0,,,,任期満了,,,,,三島村議会議員選挙（2007年04月22日投票）,1.0,9.0,7.0,1.2857142857142858,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.7777777777777778,0.2222222222222222,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8482758620689655,0.15172413793103448,,0.12118226600985223,0.07586206896551724,,290.0,1.0,60.111111111111114,5.704665623552638,50.0,57.0,60.0,63.0,71.0,58.857142857142854,4.763809143009447,50.0,56.0,60.0,63.0,64.0,,,,,,,,,,,290.0,,,,,290.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,7.0,,,,
