,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_ざおう民衆党,得票数_みんなの党,得票数_仙台市を福祉のまちにする会,得票数_公明党,得票数_国民民主党,得票数_地域政党富谷町民党 ,得票数_地域政党輝くまち ,得票数_幸福実現党,得票数_日本共産党,得票数_杜の市民・県民会議,得票数_民主党,得票数_清き碧の女川をつくる会,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_ざおう民衆党,得票率_みんなの党,得票率_仙台市を福祉のまちにする会,得票率_公明党,得票率_国民民主党,得票率_地域政党富谷町民党 ,得票率_地域政党輝くまち ,得票率_幸福実現党,得票率_日本共産党,得票率_杜の市民・県民会議,得票率_民主党,得票率_清き碧の女川をつくる会,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_ざおう民衆党,一人あたり得票率_みんなの党,一人あたり得票率_仙台市を福祉のまちにする会,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_地域政党富谷町民党 ,一人あたり得票率_地域政党輝くまち ,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_杜の市民・県民会議,一人あたり得票率_民主党,一人あたり得票率_清き碧の女川をつくる会,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_ざおう民衆党,立候補者数_みんなの党,立候補者数_仙台市を福祉のまちにする会,立候補者数_公明党,立候補者数_国民民主党,立候補者数_地域政党富谷町民党 ,立候補者数_地域政党輝くまち ,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_杜の市民・県民会議,立候補者数_民主党,立候補者数_清き碧の女川をつくる会,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由党,立候補者数_自由民主党,当選者数_ざおう民衆党,当選者数_みんなの党,当選者数_仙台市を福祉のまちにする会,当選者数_公明党,当選者数_国民民主党,当選者数_地域政党富谷町民党 ,当選者数_地域政党輝くまち ,当選者数_幸福実現党,当選者数_日本共産党,当選者数_杜の市民・県民会議,当選者数_民主党,当選者数_清き碧の女川をつくる会,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由党,当選者数_自由民主党
七ヶ宿町議会議員補欠選挙（2009年04月26日投票）,七ヶ宿町議会議員補欠選挙,宮城県,七ヶ宿町,20090426.0,2009.0,4.0,26.0,20090421.0,無投票,2.0,2.0,1.0,1539.0,,,,その他,,,,,七ヶ宿町議会議員補欠選挙（2009年04月26日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,58.0,1.0,57.0,57.5,58.0,58.5,59.0,58.0,1.0,57.0,57.5,58.0,58.5,59.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,
七ヶ宿町議会議員選挙（2006年09月24日投票）,七ヶ宿町議会議員選挙,宮城県,七ヶ宿町,20060924.0,2006.0,9.0,24.0,20060919.0,93.88,10.0,11.0,1.1,1584.0,,,,解散,,,,,七ヶ宿町議会議員選挙（2006年09月24日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.2,0.0,,0.1876274643099932,,,0.0938137321549966,,1471.0,2.0,61.27272727272727,7.989662742807211,49.0,55.5,62.0,67.5,72.0,60.9,8.287943049997388,49.0,54.75,61.0,68.5,72.0,,,,,,,,,175.0,,,,1296.0,,,,,,1471.0,,,,,,,,,0.11896668932698844,,,,0.8810333106730116,,,,,,1.0,,,,,,,,,0.11896668932698844,,,,0.08810333106730116,,,,,,,,,,,,,,1.0,,,,10.0,,,,,,,,,,,,,,1.0,,,,9.0,,,,,
七ヶ宿町議会議員選挙（2010年09月19日投票）,七ヶ宿町議会議員選挙,宮城県,七ヶ宿町,20100919.0,2010.0,9.0,19.0,20100914.0,92.26,10.0,12.0,1.2,1485.0,,,-99.0,任期満了,93.88,,,,七ヶ宿町議会議員選挙（2010年09月19日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.0,0.6666666666666666,0.25,0.08333333333333333,0.8,0.1,0.1,0.6994640234948605,0.18453010279001467,0.11600587371512482,0.08743300293685756,0.061510034263338224,0.11600587371512482,1362.0,2.0,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,1302.0,,,,,,1362.0,,,,,,,,,0.04405286343612335,,,,0.9559471365638766,,,,,,1.0,,,,,,,,,0.04405286343612335,,,,0.0869042851421706,,,,,,,,,,,,,,1.0,,,,11.0,,,,,,,,,,,,,,0.0,,,,10.0,,,,,
七ヶ宿町議会議員選挙（2014年09月14日投票）,七ヶ宿町議会議員選挙,宮城県,七ヶ宿町,20140914.0,2014.0,9.0,14.0,20140909.0,90.65,9.0,10.0,1.1111111111111112,1347.0,,,-138.0,任期満了,92.26,,,,七ヶ宿町議会議員選挙（2014年09月14日投票）,1.0,10.0,9.0,1.1111111111111112,0.0,0.0,0.0,0.1,0.0,0.8,0.2,0.0,0.8888888888888888,0.1111111111111111,0.0,0.813670648197393,0.18632935180260693,,0.10170883102467412,0.09316467590130346,,1208.9989999999998,2.0,65.9,6.670082458260917,57.0,62.25,64.0,70.25,80.0,66.66666666666667,6.599663291074444,57.0,63.0,64.0,72.0,80.0,,,,,,,,,180.0,,,,1028.999,,,,,,1208.999,,,,,,,,,0.14888349783581292,,,,0.8511165021641871,,,,,,1.0,,,,,,,,,0.14888349783581292,,,,0.09456850024046523,,,,,,,,,,,,,,1.0,,,,9.0,,,,,,,,,,,,,,1.0,,,,8.0,,,,,
七ヶ宿町議会議員選挙（2018年09月16日投票）,七ヶ宿町議会議員選挙,宮城県,七ヶ宿町,20180916.0,2018.0,9.0,16.0,20180911.0,84.46,8.0,9.0,1.125,1235.0,,,-112.0,任期満了,90.65,,,,七ヶ宿町議会議員選挙（2018年09月16日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.1111111111111111,0.0,0.6666666666666666,0.3333333333333333,0.0,0.75,0.25,0.0,0.6592877767083735,0.34071222329162654,,0.10988129611806224,0.11357074109720884,,1039.0,2.0,68.77777777777777,6.494061864978869,63.0,65.0,67.0,68.0,84.0,69.5,6.5383484153110105,63.0,65.75,67.0,70.0,84.0,,,,,,,,,92.0,,,,947.0,,,,,,1039.0,,,,,,,,,0.08854667949951876,,,,0.9114533205004812,,,,,,1.0,,,,,,,,,0.08854667949951876,,,,0.11393166506256015,,,,,,,,,,,,,,1.0,,,,8.0,,,,,,,,,,,,,,1.0,,,,7.0,,,,,
七ヶ浜町議会議員選挙（2007年04月22日投票）,七ヶ浜町議会議員選挙,宮城県,七ヶ浜町,20070422.0,2007.0,4.0,22.0,20070417.0,65.76,16.0,19.0,1.1875,16610.0,,,,任期満了,,,,,七ヶ浜町議会議員選挙（2007年04月22日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.0,0.0,0.7368421052631579,0.21052631578947367,0.05263157894736842,0.8125,0.125,0.0625,0.7673708289848011,0.1347237563197899,0.09790541469540895,0.05481220207034294,0.03368093907994747,0.09790541469540895,10836.99,3.0,60.526315789473685,8.165191982482918,37.0,58.5,62.0,65.0,71.0,62.0,6.490377492873585,47.0,58.75,62.5,66.75,71.0,,,,877.0,,,,,698.0,,,,9261.99,,,,,,10836.99,,,,0.08092653033729846,,,,,0.06440902870631052,,,,0.854664440956391,,,,,,1.0,,,,0.08092653033729846,,,,,0.06440902870631052,,,,0.05027437887978771,,,,,,,,,1.0,,,,,1.0,,,,17.0,,,,,,,,,1.0,,,,,1.0,,,,14.0,,,,,
七ヶ浜町議会議員選挙（2011年09月11日投票）,七ヶ浜町議会議員選挙,宮城県,七ヶ浜町,20110911.0,2011.0,9.0,11.0,20110907.0,無投票,16.0,16.0,1.0,16597.0,,,-13.0,任期満了,65.76,,,,七ヶ浜町議会議員選挙（2011年09月11日投票）,1.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6875,0.25,0.0625,0.6875,0.25,0.0625,,,,,,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,13.0,,,,,,,1.0,,1.0,,,,,1.0,,,,13.0,,,,,
七ヶ浜町議会議員選挙（2015年08月30日投票）,七ヶ浜町議会議員選挙,宮城県,七ヶ浜町,20150830.0,2015.0,8.0,30.0,20150825.0,57.95,14.0,17.0,1.2142857142857142,15767.0,,,-830.0,任期満了,,,,,七ヶ浜町議会議員選挙（2015年08月30日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.058823529411764705,0.07142857142857142,0.6470588235294118,0.35294117647058826,0.0,0.5714285714285714,0.42857142857142855,0.0,0.5555126926061412,0.4444873073938588,,0.05050115387328557,0.07408121789897647,,9021.0,3.0,59.05882352941177,11.015874044707397,35.0,55.0,60.0,67.0,73.0,58.714285714285715,10.957245296596946,35.0,55.25,59.5,66.75,71.0,,,,774.0,,,,,890.0,,,,7357.0,,,,,,9021.0,,,,0.0857998004655803,,,,,0.09865868528987917,,,,0.8155415142445405,,,,,,1.0,,,,0.0857998004655803,,,,,0.049329342644939586,,,,0.05825296530318146,,,,,,,,,1.0,,,,,2.0,,,,14.0,,,,,,,,,1.0,,,,,2.0,,,,11.0,,,,,
七ヶ浜町議会議員選挙（2019年09月01日投票）,七ヶ浜町議会議員選挙,宮城県,七ヶ浜町,20190901.0,2019.0,9.0,1.0,20190827.0,無投票,14.0,14.0,1.0,,,,,任期満了,57.95,,,,七ヶ浜町議会議員選挙（2019年09月01日投票）,1.0,14.0,14.0,1.0,1.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.7857142857142857,0.14285714285714285,0.07142857142857142,,,,,,,0.0,3.0,58.357142857142854,11.90802336276526,39.0,47.5,61.5,66.25,75.0,58.357142857142854,11.90802336276526,39.0,47.5,61.5,66.25,75.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,11.0,,,,,,,,,1.0,,,,,2.0,,,,11.0,,,,,
丸森町議会議員補欠選挙（2014年12月21日投票）,丸森町議会議員補欠選挙,宮城県,丸森町,20141221.0,2014.0,12.0,21.0,20141216.0,30.33,1.0,2.0,2.0,,,,,その他,,,,,丸森町議会議員補欠選挙（2014年12月21日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,3688.0,1.0,60.5,8.5,52.0,56.25,60.5,64.75,69.0,52.0,0.0,52.0,52.0,52.0,52.0,52.0,,,,,,,,,,,,,3688.0,,,,,,3688.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,
