,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_公明党,得票数_公民党,得票数_国民新党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_公明党,得票率_公民党,得票率_国民新党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_公明党,一人あたり得票率_公民党,一人あたり得票率_国民新党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_公明党,立候補者数_公民党,立候補者数_国民新党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_公明党,当選者数_公民党,当選者数_国民新党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
にかほ市議会議員選挙（2006年04月23日投票）,にかほ市議会議員選挙,秋田県,にかほ市,20060423.0,2006.0,4.0,23.0,20060416.0,86.03,24.0,37.0,1.5416666666666667,23693.0,,,,任期満了,,,,,にかほ市議会議員選挙（2006年04月23日投票）,1.0,37.0,24.0,1.5416666666666667,0.0,0.0,0.0,0.02702702702702703,0.0,0.8108108108108109,0.1891891891891892,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7597684550918897,0.24023154490811027,,0.025325615169729657,0.03431879212973004,,20255.250000000004,2.0,59.810810810810814,6.63258882169858,38.0,56.0,61.0,64.0,70.0,58.5,7.427426651719064,38.0,54.0,58.5,64.0,69.0,,,,,,561.0,,19694.250000000004,,,,20255.250000000004,,,,,,0.027696523123634607,,0.9723034768763654,,,,1.0,,,,,,0.027696523123634607,,0.027008429913232372,,,,,,,,,1.0,,36.0,,,,,,,,,1.0,,23.0,,,
にかほ市議会議員選挙（2010年04月25日投票）,にかほ市議会議員選挙,秋田県,にかほ市,20100425.0,2010.0,4.0,25.0,20100418.0,78.5,20.0,21.0,1.05,23117.0,,,-576.0,任期満了,86.03,,,,にかほ市議会議員選挙（2010年04月25日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.047619047619047616,0.05,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.8,0.15,0.05,0.7924284006598195,0.17686812329583215,0.03070347604434848,0.04661343533293055,0.05895604109861072,0.03070347604434848,18010.989999999998,2.0,,,,,,,,,,,,,,,,,,,,930.0,,17080.989999999998,,,,18010.989999999998,,,,,,0.05163514054474519,,0.9483648594552548,,,,1.0,,,,,,0.05163514054474519,,0.047418242972762745,,,,,,,,,1.0,,20.0,,,,,,,,,1.0,,19.0,,,
にかほ市議会議員選挙（2014年04月27日投票）,にかほ市議会議員選挙,秋田県,にかほ市,20140427.0,2014.0,4.0,27.0,20140420.0,,20.0,21.0,1.05,,,,,任期満了,78.5,,,,にかほ市議会議員選挙（2014年04月27日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.047619047619047616,0.05,0.6666666666666666,0.23809523809523808,0.09523809523809523,0.7,0.2,0.1,0.6036711892964045,0.29839584852921647,0.09793296217437897,0.04311937066402889,0.05967916970584329,0.048966481087189484,15923.995000000003,2.0,60.285714285714285,9.228025931098916,29.0,58.0,63.0,65.0,72.0,59.8,9.190212184710427,29.0,58.0,62.5,65.0,72.0,,,,,,801.2489999999999,,15122.746000000001,,,,15923.995,,,,,,0.05031708437486949,,0.9496829156251305,,,,1.0,,,,,,0.05031708437486949,,0.04748414578125652,,,,,,,,,1.0,,20.0,,,,,,,,,1.0,,19.0,,,
にかほ市議会議員選挙（2018年04月22日投票）,にかほ市議会議員選挙,秋田県,にかほ市,20180422.0,2018.0,4.0,22.0,20180415.0,73.31,18.0,25.0,1.3888888888888888,,,,,任期満了,,,,,にかほ市議会議員選挙（2018年04月22日投票）,1.0,25.0,18.0,1.3888888888888888,0.0,0.0,0.0,0.04,0.05555555555555555,0.52,0.48,0.0,0.4444444444444444,0.5555555555555556,0.0,0.39797821932442606,0.6020217806755739,,0.030613709178802004,0.05016848172296449,,15619.993,4.0,63.96,7.523190812414636,36.0,63.0,66.0,68.0,71.0,62.833333333333336,8.388153021441079,36.0,62.25,65.5,68.0,69.0,808.074,,,,121.154,477.635,,14213.13,,,,15619.993,0.05173331383695242,,,,0.007756341504122312,0.030578438799556438,,0.9099319058593688,,,,1.0,0.05173331383695242,,,,0.007756341504122312,0.030578438799556438,,0.041360541175425855,,,,1.0,,,,1.0,1.0,,22.0,,,,1.0,,,,0.0,1.0,,16.0,,,
三種町議会議員選挙（2006年06月25日投票）,三種町議会議員選挙,秋田県,三種町,20060625.0,2006.0,6.0,25.0,20060620.0,84.16,22.0,23.0,1.0454545454545454,17598.0,,,,任期満了,,,,,三種町議会議員選挙（2006年06月25日投票）,1.0,23.0,21.0,1.0952380952380953,0.0,0.0,0.0,0.13043478260869565,0.14285714285714285,0.8695652173913043,0.13043478260869565,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8784602791579966,0.12153972084200333,,0.04392301395789983,0.04051324028066778,,14085.929999999998,2.0,57.47826086956522,6.071097352405235,46.0,54.0,58.0,60.0,70.0,56.76190476190476,5.664465358747771,46.0,54.0,58.0,60.0,67.0,,,,,,1353.6100000000001,,12732.32,,,,14085.93,,,,,,0.09609660136036458,,0.9039033986396354,,,,1.0,,,,,,0.04804830068018229,,0.043043018982839784,,,,,,,,,2.0,,21.0,,,,,,,,,2.0,,19.0,,,
三種町議会議員選挙（2010年05月16日投票）,三種町議会議員選挙,秋田県,三種町,20100516.0,2010.0,5.0,16.0,20100511.0,85.37,20.0,21.0,1.05,16845.0,,,-753.0,任期満了,84.16,,,,三種町議会議員選挙（2010年05月16日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.14285714285714285,0.15,0.9047619047619048,0.09523809523809523,0.0,0.9,0.1,0.0,0.872313438094567,0.127686561905433,,0.04591123358392458,0.0638432809527165,,14191.0,2.0,,,,,,,,,,,,,,,,,,,,1263.0,,12928.0,,,,14191.0,,,,,,0.08900007046719752,,0.9109999295328025,,,,1.0,,,,,,0.04450003523359876,,0.04794736471225276,,,,,,,,,2.0,,19.0,,,,,,,,,2.0,,18.0,,,
三種町議会議員選挙（2014年05月13日投票）,三種町議会議員選挙,秋田県,三種町,20140513.0,2014.0,5.0,13.0,20140508.0,無投票,18.0,18.0,1.0,,,,,任期満了,85.37,,,,三種町議会議員選挙（2014年05月13日投票）,1.0,18.0,18.0,1.0,1.0,1.0,0.0,0.05555555555555555,0.05555555555555555,0.7777777777777778,0.2222222222222222,0.0,0.7777777777777778,0.2222222222222222,0.0,,,,,,,0.0,2.0,60.94444444444444,6.328702010349552,44.0,58.0,60.0,67.0,71.0,60.94444444444444,6.328702010349552,44.0,58.0,60.0,67.0,71.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,16.0,,,,,,,,,2.0,,16.0,,,
三種町議会議員選挙（2018年05月13日投票）,三種町議会議員選挙,秋田県,三種町,20180513.0,2018.0,5.0,13.0,20180508.0,,16.0,19.0,1.1875,,,,,任期満了,,,,,三種町議会議員選挙（2018年05月13日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.05263157894736842,0.0625,0.7894736842105263,0.21052631578947367,0.0,0.9375,0.0625,0.0,0.8461885838150289,0.1538114161849711,,0.05641257225433526,0.038452854046242775,,11072.0,2.0,64.05263157894737,8.029378190583865,43.0,61.0,64.0,71.0,75.0,65.0625,6.465956522433475,48.0,62.0,65.0,71.0,75.0,,,,,,1123.0,,9949.0,,,,11072.0,,,,,,0.10142702312138728,,0.8985729768786127,,,,1.0,,,,,,0.05071351156069364,,0.05285723393403604,,,,,,,,,2.0,,17.0,,,,,,,,,2.0,,14.0,,,
上小阿仁村議会議員選挙（2007年04月22日投票）,上小阿仁村議会議員選挙,秋田県,上小阿仁村,20070422.0,2007.0,4.0,22.0,20070417.0,92.74,8.0,10.0,1.25,2673.0,,,,任期満了,,,,,上小阿仁村議会議員選挙（2007年04月22日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.1,0.125,0.6,0.4,0.0,0.75,0.25,0.0,0.5854575846218136,0.41454241537818637,,0.09757626410363561,0.10363560384454659,,2393.0,1.0,58.9,10.338762014864255,36.0,56.25,61.5,66.75,71.0,57.5,10.641898326896381,36.0,53.5,61.0,66.25,67.0,,,,,,,,2393.0,,,,2393.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.1,,,,,,,,,,,10.0,,,,,,,,,,,8.0,,,
上小阿仁村議会議員選挙（2011年04月24日投票）,上小阿仁村議会議員選挙,秋田県,上小阿仁村,20110424.0,2011.0,4.0,24.0,20110419.0,90.44,8.0,10.0,1.25,2490.0,,,-183.0,任期満了,92.74,,,,上小阿仁村議会議員選挙（2011年04月24日投票）,1.0,10.0,8.0,1.25,0.0,0.0,0.0,0.1,0.125,0.5,0.5,0.0,0.5,0.5,0.0,0.540045766590389,0.459954233409611,,0.10800915331807781,0.0919908466819222,,2185.0,1.0,57.2,10.186265262597475,40.0,50.75,60.0,63.5,71.0,57.375,8.774074025217704,40.0,52.25,60.0,62.5,70.0,,,,,,,,2185.0,,,,2185.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.1,,,,,,,,,,,10.0,,,,,,,,,,,8.0,,,
