,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_新社会党,得票数_日本共産党,得票数_民主党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_新社会党,得票率_日本共産党,得票率_民主党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新社会党,当選者数_日本共産党,当選者数_民主党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由民主党
三川町議会議員補欠選挙（2007年01月28日投票）,三川町議会議員補欠選挙,山形県,三川町,20070128.0,2007.0,1.0,28.0,20070123.0,85.32,1.0,3.0,3.0,6375.0,,,,任期満了,,,,,三川町議会議員補欠選挙（2007年01月28日投票）,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,,0.4420443587270974,0.5579556412729026,,0.4420443587270974,0.2789778206364513,5185.0,1.0,51.666666666666664,3.6817870057290873,47.0,49.5,52.0,54.0,56.0,52.0,0.0,52.0,52.0,52.0,52.0,52.0,,,,,,,,,5185.0,,,,5185.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,
三川町議会議員補欠選挙（2019年01月27日投票）,三川町議会議員補欠選挙,山形県,三川町,20190127.0,2019.0,1.0,27.0,20190122.0,無投票,1.0,1.0,1.0,,,,,辞職/田中晃氏の辞職による,85.32,,,,三川町議会議員補欠選挙（2019年01月27日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
三川町議会議員選挙（2009年02月15日投票）,三川町議会議員選挙,山形県,三川町,20090215.0,2009.0,2.0,15.0,20090210.0,76.96,10.0,12.0,1.2,6280.0,,,,任期満了,,,,,三川町議会議員選挙（2009年02月15日投票）,1.0,12.0,10.0,1.2,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.6,0.2,0.2,0.5991444629475438,0.22939217318900915,0.17146336386344713,0.09985741049125729,0.07646405772966972,0.05715445462114904,4804.0,2.0,60.583333333333336,5.964594612284132,52.0,57.75,58.5,63.0,73.0,58.4,3.6932370625238775,52.0,57.25,58.0,59.75,66.0,,,,,,,532.17,,4271.83,,,,4804.0,,,,,,,0.11077643630308076,,0.8892235636969192,,,,1.0,,,,,,,0.11077643630308076,,0.08083850579062903,,,,,,,,,,1.0,,11.0,,,,,,,,,,1.0,,9.0,,,
三川町議会議員選挙（2013年01月27日投票）,三川町議会議員選挙,山形県,三川町,20130127.0,2013.0,1.0,27.0,20130122.0,70.71,10.0,11.0,1.1,6218.0,,,-62.0,任期満了,76.96,,,,三川町議会議員選挙（2013年01月27日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.7,0.3,0.0,0.69798032936871,0.30201967063129004,,0.08724754117108875,0.10067322354376335,,4372.0,2.0,60.63636363636363,3.59981634058606,54.0,57.5,62.0,63.0,66.0,60.3,3.606937759374287,54.0,57.25,62.0,62.75,66.0,,,,,,,459.0,,3913.0,,,,4372.0,,,,,,,0.10498627630375114,,0.8950137236962489,,,,1.0,,,,,,,0.10498627630375114,,0.08950137236962488,,,,,,,,,,1.0,,10.0,,,,,,,,,,1.0,,9.0,,,
三川町議会議員選挙（2017年02月05日投票）,三川町議会議員選挙,山形県,三川町,20170205.0,2017.0,2.0,5.0,20170131.0,70.86,10.0,11.0,1.1,6252.0,,,34.0,任期満了,70.71,,,,三川町議会議員選挙（2017年02月05日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.7,0.2,0.1,0.6544917546487646,0.23797646052097562,0.10753178483025973,0.08181146933109558,0.11898823026048781,0.10753178483025973,4407.999,0.0,59.90909090909091,9.472011838277169,34.0,59.0,62.0,66.0,68.0,59.2,9.651942809610924,34.0,58.5,61.5,66.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三川町議会議員選挙（2021年02月07日投票）,三川町議会議員選挙,山形県,三川町,20210207.0,2021.0,2.0,7.0,20210202.0,無投票,10.0,10.0,1.0,6132.0,2949.0,3183.0,-120.0,任期満了,70.86,,,,三川町議会議員選挙（2021年02月07日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.8,0.2,0.0,,,,,,,0.0,2.0,61.2,9.293008124391154,38.0,57.5,62.5,69.0,70.0,61.2,9.293008124391154,38.0,57.5,62.5,69.0,70.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,9.0,,,,,,,,,,1.0,,9.0,,,
上山市議会議員選挙（2007年04月22日投票）,上山市議会議員選挙,山形県,上山市,20070422.0,2007.0,4.0,22.0,20070415.0,68.52,15.0,17.0,1.1333333333333333,29255.0,,,,任期満了,,,,,上山市議会議員選挙（2007年04月22日投票）,1.0,17.0,15.0,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.29411764705882354,0.058823529411764705,0.7333333333333333,0.2,0.06666666666666667,0.647635639370714,0.2031565147236789,0.1492078459056071,0.05887596721551946,0.040631302944735784,0.1492078459056071,19832.0,2.0,60.294117647058826,6.951637182388831,48.0,57.0,59.0,66.0,74.0,61.06666666666667,6.990151802516325,48.0,57.0,60.0,66.0,74.0,,,,,,,2598.91,,17233.09,,,,19832.0,,,,,,,0.13104628882613956,,0.8689537111738604,,,,1.0,,,,,,,0.06552314441306978,,0.057930247411590696,,,,,,,,,,2.0,,15.0,,,,,,,,,,2.0,,13.0,,,
上山市議会議員選挙（2011年03月27日投票）,上山市議会議員選挙,山形県,上山市,20110327.0,2011.0,3.0,27.0,20110320.0,60.69,15.0,17.0,1.1333333333333333,28416.0,,,-839.0,任期満了,68.52,,,,上山市議会議員選挙（2011年03月27日投票）,1.0,17.0,15.0,1.1333333333333333,0.0,0.0,0.0,0.058823529411764705,0.06666666666666667,0.47058823529411764,0.5294117647058824,0.0,0.4,0.6,0.0,0.43734875759900843,0.5626512424009915,,0.054668594699876054,0.06251680471122129,,16943.0,2.0,55.8235294117647,12.286938517445584,29.0,56.0,59.0,62.0,78.0,55.2,12.952219886953742,29.0,51.0,59.0,62.5,78.0,,,,,,,2589.0,,14354.0,,,,16943.0,,,,,,,0.1528064687481556,,0.8471935312518444,,,,1.0,,,,,,,0.0764032343740778,,0.05647956875012296,,,,,,,,,,2.0,,15.0,,,,,,,,,,2.0,,13.0,,,
上山市議会議員選挙（2015年04月26日投票）,上山市議会議員選挙,山形県,上山市,20150426.0,2015.0,4.0,26.0,20150419.0,61.8,15.0,18.0,1.2,27062.0,,,-1354.0,任期満了,60.69,,,,上山市議会議員選挙（2015年04月26日投票）,1.0,18.0,15.0,1.2,0.0,0.0,0.0,0.05555555555555555,0.06666666666666667,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.6349110277206149,0.22975426703788887,0.13533470524149618,0.052909252310051245,0.05743856675947222,0.06766735262074809,16522.0,3.0,57.55555555555556,11.710499667782576,33.0,51.0,60.0,63.75,82.0,55.266666666666666,10.742232335765019,33.0,50.5,59.0,63.0,69.0,,,,,,,1844.0,,13529.0,,,1149.0,16522.0,,,,,,,0.11160876407214623,,0.818847597143203,,,0.06954363878465077,1.0,,,,,,,0.055804382036073116,,0.058489114081657356,,,0.03477181939232538,,,,,,,2.0,,14.0,,,2.0,,,,,,,2.0,,13.0,,,0.0
上山市議会議員選挙（2019年04月21日投票）,上山市議会議員選挙,山形県,上山市,20190421.0,2019.0,4.0,21.0,20190414.0,62.51,15.0,18.0,1.2,26250.0,,,-812.0,任期満了,61.8,,,,上山市議会議員選挙（2019年04月21日投票）,1.0,18.0,15.0,1.2,0.0,0.0,0.0,0.1111111111111111,0.13333333333333333,0.6666666666666666,0.2777777777777778,0.05555555555555555,0.7333333333333333,0.2,0.06666666666666667,0.709613478691774,0.25161050545094155,0.03877601585728444,0.05913445655764784,0.05032210109018831,0.03877601585728444,16144.0,2.0,58.44444444444444,10.935275346948528,33.0,54.25,61.0,67.0,73.0,56.333333333333336,10.674996747332317,33.0,53.0,57.0,65.5,69.0,,,,,,,806.0,,15338.0,,,,16144.0,,,,,,,0.049925668979187314,,0.9500743310208127,,,,1.0,,,,,,,0.049925668979187314,,0.05588672535416545,,,,,,,,,,1.0,,17.0,,,,,,,,,,1.0,,14.0,,,
