,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_　,得票数_ふくしま県民党,得票数_みんなの党,得票数_公明党,得票数_国民民主党,得票数_幸福実現党,得票数_日本共産党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_社民党,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_草民党,得票数_sum_v,得票率_　,得票率_ふくしま県民党,得票率_みんなの党,得票率_公明党,得票率_国民民主党,得票率_幸福実現党,得票率_日本共産党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_社民党,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_草民党,得票率_sum_v,一人あたり得票率_　,一人あたり得票率_ふくしま県民党,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_日本共産党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_社民党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,一人あたり得票率_草民党,立候補者数_　,立候補者数_ふくしま県民党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_日本共産党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_社民党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,立候補者数_草民党,当選者数_　,当選者数_ふくしま県民党,当選者数_みんなの党,当選者数_公明党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_日本共産党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_社民党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党,当選者数_草民党
いわき市議会議員補欠選挙（2005年09月11日投票）,いわき市議会議員補欠選挙,福島県,いわき市,20050911.0,2005.0,9.0,11.0,20050904.0,69.28,3.0,4.0,1.3333333333333333,285798.0,,,,その他,,,,,いわき市議会議員補欠選挙（2005年09月11日投票）,1.0,4.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.25,,184653.0,4.0,48.75,2.8613807855648994,44.0,47.75,50.0,51.0,51.0,48.666666666666664,3.299831645537222,44.0,47.5,51.0,51.0,51.0,,,,,,,32546.0,,,42192.0,31992.0,,,,77923.0,,184653.0,,,,,,,0.17625492139309948,,,0.22849344446069114,0.17325469935500643,,,,0.421996934791203,,1.0,,,,,,,0.17625492139309948,,,0.22849344446069114,0.17325469935500643,,,,0.421996934791203,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,1.0,0.0,,,,1.0,
いわき市議会議員補欠選挙（2009年09月13日投票）,いわき市議会議員補欠選挙,福島県,いわき市,20090913.0,2009.0,9.0,13.0,20090906.0,56.0,2.0,7.0,3.5,282207.0,,,-3591.0,その他,69.28,,,,いわき市議会議員補欠選挙（2009年09月13日投票）,1.0,7.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,1.0,0.0,,0.932146082004706,0.06785391799529406,,0.15535768033411765,0.06785391799529406,151723.0,4.0,45.857142857142854,13.474086997201825,29.0,35.0,44.0,57.0,64.0,35.0,6.0,29.0,32.0,35.0,38.0,41.0,,,,,,,24358.0,37211.0,,79859.0,10295.0,,,,,,151723.0,,,,,,,0.16054256770562142,0.2452561576030002,,0.5263473566960843,0.06785391799529406,,,,,,1.0,,,,,,,0.16054256770562142,0.2452561576030002,,0.1315868391740211,0.06785391799529406,,,,,,,,,,,,1.0,1.0,,4.0,1.0,,,,,,,,,,,,0.0,1.0,,1.0,0.0,,,,,
いわき市議会議員選挙（2004年09月05日投票）,いわき市議会議員選挙,福島県,いわき市,20040905.0,2004.0,9.0,5.0,20040829.0,59.28,40.0,44.0,1.1,285714.0,,,,任期満了,,,,,いわき市議会議員選挙（2004年09月05日投票）,1.0,44.0,40.0,1.1,0.0,0.0,0.0,0.11363636363636363,0.125,0.6818181818181818,0.2727272727272727,0.045454545454545456,0.75,0.225,0.025,0.7164846372926142,0.2450945907480083,0.03842077195937745,0.023882821243087143,0.02042454922900069,0.019210385979688726,166029.98,6.0,54.25,8.81662943224079,31.0,49.0,54.0,60.0,74.0,54.4,8.873556220591606,31.0,49.0,54.5,60.0,74.0,,,,17311.77,,,16437.0,8152.0,,34929.28,9940.08,,,,79259.85,,166029.98,,,,0.10426893986254772,,,0.09900019261581552,0.04909956623496552,,0.21037935437925123,0.05986918748047792,,,,0.477382759426942,,1.0,,,,0.034756313287515904,,,0.02475004815395388,0.02454978311748276,,0.019125395852659204,0.019956395826825974,,,,0.022732512353663907,,,,,3.0,,,4.0,2.0,,11.0,3.0,,,,21.0,,,,,3.0,,,4.0,2.0,,8.0,3.0,,,,20.0,
いわき市議会議員選挙（2008年09月21日投票）,いわき市議会議員選挙,福島県,いわき市,20080921.0,2008.0,9.0,21.0,20080914.0,58.2,40.0,45.0,1.125,283480.0,,,-2234.0,任期満了,59.28,,,,いわき市議会議員選挙（2008年09月21日投票）,1.0,45.0,40.0,1.125,0.0,0.0,0.0,0.13333333333333333,0.125,0.7111111111111111,0.28888888888888886,0.0,0.775,0.225,0.0,0.7131956421713147,0.2868043578286853,,0.022287363817853584,0.022061873679129637,,162848.99,6.0,52.91111111111111,9.1671447686767,28.0,47.0,54.0,59.0,70.0,53.025,8.442415234990518,35.0,47.75,53.5,59.0,70.0,,,,16837.34,,,14198.0,13894.0,,38109.87,8475.53,,,,71334.25,,162848.99,,,,0.1033923514048199,,,0.08718506636117301,0.08531830624187477,,0.2340196890382925,0.05204533353261817,,,,0.43803925342122174,,1.0,,,,0.034464117134939964,,,0.021796266590293253,0.028439435413958256,,0.01950164075319104,0.026022666766309085,,,,0.020859012067677225,,,,,3.0,,,4.0,3.0,,12.0,2.0,,,,21.0,,,,,3.0,,,4.0,3.0,,8.0,2.0,,,,20.0,
いわき市議会議員選挙（2012年09月09日投票）,いわき市議会議員選挙,福島県,いわき市,20120909.0,2012.0,9.0,9.0,20120902.0,50.05,37.0,41.0,1.108108108108108,274304.0,,,-9176.0,任期満了,58.2,,,,いわき市議会議員選挙（2012年09月09日投票）,1.0,41.0,37.0,1.1081081081081081,0.0,0.0,0.0,0.14634146341463414,0.16216216216216217,0.7317073170731707,0.24390243902439024,0.024390243902439025,0.7567567567567568,0.21621621621621623,0.02702702702702703,0.7165817356403644,0.25073977791351487,0.03267848644612066,0.023886057854678813,0.02507397779135149,0.03267848644612066,135195.98,6.0,53.853658536585364,9.400469566916573,36.0,47.0,55.0,60.0,72.0,54.32432432432432,9.03163824609507,37.0,47.0,56.0,60.0,72.0,,,,17405.89,,,13987.0,7862.0,,36098.79,6204.0,,,,53638.3,,135195.98,,,,0.12874561802799164,,,0.10345721818059975,0.058152616668039975,,0.2670108238425432,0.04588893841370135,,,,0.396744784867124,,1.0,,,,0.03218640450699791,,,0.025864304545149937,0.019384205556013324,,0.02427371125841302,0.022944469206850674,,,,0.023337928521595528,,,,,4.0,,,4.0,3.0,,11.0,2.0,,,,17.0,,,,,4.0,,,4.0,2.0,,9.0,2.0,,,,16.0,
いわき市議会議員選挙（2016年09月11日投票）,いわき市議会議員選挙,福島県,いわき市,20160911.0,2016.0,9.0,11.0,20160904.0,46.66,37.0,42.0,1.135135135135135,277046.0,,,2742.0,任期満了,50.05,,,,いわき市議会議員選挙（2016年09月11日投票）,1.0,42.0,37.0,1.135135135135135,0.0,0.0,0.0,0.14285714285714285,0.16216216216216217,0.7380952380952381,0.21428571428571427,0.047619047619047616,0.8108108108108109,0.16216216216216217,0.02702702702702703,0.79914114495435,0.14697045075494947,0.0538884042907006,0.025778746611430644,0.016330050083883274,0.0269442021453503,127509.992,6.0,53.642857142857146,9.618487725336504,34.0,47.0,53.0,60.75,76.0,54.83783783783784,9.086709967186003,36.0,47.0,55.0,62.0,76.0,,,,14357.829,,,12208.201000000001,,7234.7970000000005,23816.309,6701.0,,,,63191.85600000001,,127509.992,,,,0.11260159909664177,,,0.09574309282365888,,0.056739059320151164,0.18677994270441176,0.05255274425866171,,,,0.4955835617964748,,1.0,,,,0.028150399774160444,,,0.02393577320591472,,0.028369529660075582,0.02075332696715686,0.026276372129330854,,,,0.023599217228403562,,,,,4.0,,,4.0,,2.0,9.0,2.0,,,,21.0,,,,,4.0,,,4.0,,2.0,5.0,2.0,,,,20.0,
いわき市議会議員選挙（2020年09月13日投票）,いわき市議会議員選挙,福島県,いわき市,20200913.0,2020.0,9.0,13.0,20200906.0,44.77,37.0,41.0,1.108108108108108,,,,,任期満了,46.66,,,,いわき市議会議員選挙（2020年09月13日投票）,1.0,41.0,37.0,1.1081081081081081,0.0,0.0,0.0,0.17073170731707318,0.1891891891891892,0.7073170731707317,0.24390243902439024,0.04878048780487805,0.7567567567567568,0.1891891891891892,0.05405405405405406,0.7288895277973972,0.19873784967663025,0.07237262252597247,0.02513412164818611,0.019873784967663025,0.036186311262986236,119091.995,7.0,53.829268292682926,11.88543367365894,27.0,46.0,55.0,63.0,78.0,55.21621621621622,11.096956327616791,27.0,49.0,55.0,64.0,78.0,,,,14064.357,2122.0,,8059.0,,,25564.75,6855.0,,3149.087,,59277.801,,119091.99500000001,,,,0.11809657735601792,0.017818158139008416,,0.06767037532623414,,,0.21466388232055394,0.05756054384679675,,0.026442474156218473,,0.4977479888551703,,1.0,,,,0.02952414433900448,0.017818158139008416,,0.03383518766311707,,,0.021466388232055395,0.028780271923398375,,0.026442474156218473,,0.023702285183579537,,,,,4.0,1.0,,2.0,,,10.0,2.0,,1.0,,21.0,,,,,4.0,1.0,,2.0,,,6.0,2.0,,1.0,,21.0,
三島町議会議員補欠選挙（2011年05月15日投票）,三島町議会議員補欠選挙,福島県,三島町,20110515.0,2011.0,5.0,15.0,20110510.0,無投票,1.0,1.0,1.0,1806.0,,,,その他,,,,,三島町議会議員補欠選挙（2011年05月15日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
三島町議会議員選挙（2008年04月20日投票）,三島町議会議員選挙,福島県,三島町,20080420.0,2008.0,4.0,20.0,20080415.0,無投票,8.0,8.0,1.0,1927.0,,,,任期満了,,,,,三島町議会議員選挙（2008年04月20日投票）,1.0,8.0,8.0,1.0,1.0,1.0,0.0,0.125,0.125,0.875,0.125,0.0,0.875,0.125,0.0,,,,,,,0.0,2.0,67.625,10.534912197071222,46.0,63.0,71.5,74.0,80.0,67.625,10.534912197071222,46.0,63.0,71.5,74.0,80.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,7.0,,,,,,,,,,,,,1.0,,,7.0,,,,,,
三島町議会議員選挙（2012年04月15日投票）,三島町議会議員選挙,福島県,三島町,20120415.0,2012.0,4.0,15.0,20120410.0,88.82,8.0,9.0,1.125,1736.0,,,-191.0,任期満了,,,,,三島町議会議員選挙（2012年04月15日投票）,1.0,9.0,8.0,1.125,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,0.5,0.5,0.0,0.46962769431743956,0.5303723056825604,,0.11740692357935989,0.10607446113651209,,1531.0,1.0,60.666666666666664,9.006170724070865,47.0,53.0,61.0,68.0,75.0,61.625,9.109576005501024,47.0,55.25,63.5,68.25,75.0,,,,,,,,,,1531.0,,,,,,,1531.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,8.0,,,,,,
