,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_　,得票数_かしま志民党,得票数_つくば　維新の会,得票数_つくば・市民ネットワーク,得票数_とりで生活者ネットワーク,得票数_みんなの党,得票数_公明党,得票数_再建党,得票数_国民民主党,得票数_幸福実現党,得票数_新党もりや,得票数_新社会党,得票数_日本共産党,得票数_日本維新の会,得票数_明るい平和と立憲取手民主市民連合会,得票数_東海第2原発の再稼働を止める会 ,得票数_民主党,得票数_民進党,得票数_消費税を廃止する市民の党,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_維新の党,得票数_自由民主党,得票数_２１世紀倶楽部,得票数_sum_v,得票率_NHKから国民を守る党,得票率_　,得票率_かしま志民党,得票率_つくば　維新の会,得票率_つくば・市民ネットワーク,得票率_とりで生活者ネットワーク,得票率_みんなの党,得票率_公明党,得票率_再建党,得票率_国民民主党,得票率_幸福実現党,得票率_新党もりや,得票率_新社会党,得票率_日本共産党,得票率_日本維新の会,得票率_明るい平和と立憲取手民主市民連合会,得票率_東海第2原発の再稼働を止める会 ,得票率_民主党,得票率_民進党,得票率_消費税を廃止する市民の党,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_維新の党,得票率_自由民主党,得票率_２１世紀倶楽部,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_　,一人あたり得票率_かしま志民党,一人あたり得票率_つくば　維新の会,一人あたり得票率_つくば・市民ネットワーク,一人あたり得票率_とりで生活者ネットワーク,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_再建党,一人あたり得票率_国民民主党,一人あたり得票率_幸福実現党,一人あたり得票率_新党もりや,一人あたり得票率_新社会党,一人あたり得票率_日本共産党,一人あたり得票率_日本維新の会,一人あたり得票率_明るい平和と立憲取手民主市民連合会,一人あたり得票率_東海第2原発の再稼働を止める会 ,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_消費税を廃止する市民の党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_自由民主党,一人あたり得票率_２１世紀倶楽部,立候補者数_NHKから国民を守る党,立候補者数_　,立候補者数_かしま志民党,立候補者数_つくば　維新の会,立候補者数_つくば・市民ネットワーク,立候補者数_とりで生活者ネットワーク,立候補者数_みんなの党,立候補者数_公明党,立候補者数_再建党,立候補者数_国民民主党,立候補者数_幸福実現党,立候補者数_新党もりや,立候補者数_新社会党,立候補者数_日本共産党,立候補者数_日本維新の会,立候補者数_明るい平和と立憲取手民主市民連合会,立候補者数_東海第2原発の再稼働を止める会 ,立候補者数_民主党,立候補者数_民進党,立候補者数_消費税を廃止する市民の党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_自由民主党,立候補者数_２１世紀倶楽部,当選者数_NHKから国民を守る党,当選者数_　,当選者数_かしま志民党,当選者数_つくば　維新の会,当選者数_つくば・市民ネットワーク,当選者数_とりで生活者ネットワーク,当選者数_みんなの党,当選者数_公明党,当選者数_再建党,当選者数_国民民主党,当選者数_幸福実現党,当選者数_新党もりや,当選者数_新社会党,当選者数_日本共産党,当選者数_日本維新の会,当選者数_明るい平和と立憲取手民主市民連合会,当選者数_東海第2原発の再稼働を止める会 ,当選者数_民主党,当選者数_民進党,当選者数_消費税を廃止する市民の党,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_維新の党,当選者数_自由民主党,当選者数_２１世紀倶楽部
かすみがうら市議会議員補欠選挙（2014年07月13日投票）,かすみがうら市議会議員補欠選挙,茨城県,かすみがうら市,20140713.0,2014.0,7.0,13.0,20140706.0,62.19,2.0,3.0,1.5,,,,,その他,,,,,かすみがうら市議会議員補欠選挙（2014年07月13日投票）,1.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,19249.0,1.0,63.333333333333336,8.73053390247253,54.0,57.5,61.0,68.0,75.0,57.5,3.5,54.0,55.75,57.5,59.25,61.0,,,,,,,,,,,,,,,,,,,,,19249.0,,,,,,19249.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
かすみがうら市議会議員補欠選挙（2018年07月08日投票）,かすみがうら市議会議員補欠選挙,茨城県,かすみがうら市,20180708.0,2018.0,7.0,8.0,20180701.0,56.21,1.0,2.0,2.0,,,,,辞職/宮嶋謙氏の市長選挙出馬に伴う辞職,62.19,,,,かすみがうら市議会議員補欠選挙（2018年07月08日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,18307.0,1.0,49.5,0.5,49.0,49.25,49.5,49.75,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,18307.0,,,,,,18307.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
かすみがうら市議会議員選挙（2007年01月21日投票）,かすみがうら市議会議員選挙,茨城県,かすみがうら市,20070121.0,2007.0,1.0,21.0,20070114.0,67.7,20.0,23.0,1.15,36239.0,,,,任期満了,,,,,かすみがうら市議会議員選挙（2007年01月21日投票）,1.0,23.0,20.0,1.15,0.0,0.0,0.0,0.0,0.0,0.782608695652174,0.21739130434782608,0.0,0.75,0.25,0.0,0.7085305131476071,0.2914694868523929,,0.03936280628597817,0.058293897370478576,,24301.0,3.0,59.65217391304348,7.866321695254555,35.0,57.0,60.0,65.5,69.0,59.0,8.1117199162693,35.0,56.75,59.5,64.5,69.0,,,,,,,,2191.0,,,,,,1516.0,,,,,,,20594.0,,,,,,24301.0,,,,,,,,0.09016089872844739,,,,,,0.062384264022056705,,,,,,,0.8474548372494959,,,,,,1.0,,,,,,,,0.045080449364223694,,,,,,0.062384264022056705,,,,,,,0.04237274186247479,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,20.0,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,17.0,,,,,
かすみがうら市議会議員選挙（2011年01月23日投票）,かすみがうら市議会議員選挙,茨城県,かすみがうら市,20110123.0,2011.0,1.0,23.0,20110116.0,62.01,16.0,18.0,1.125,35636.0,,,-603.0,任期満了,67.7,,,,かすみがうら市議会議員選挙（2011年01月23日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0625,0.6666666666666666,0.3333333333333333,0.0,0.75,0.25,0.0,0.6912987843889955,0.3087012156110045,,0.057608232032416294,0.05145020260183408,,21882.0,3.0,,,,,,,,,,,,,,,,,,,,,,2458.0,,,,,,1712.0,,,,,,,17712.0,,,,,,21882.0,,,,,,,,0.11232976875971118,,,,,,0.0782378210401243,,,,,,,0.8094324102001645,,,,,,1.0,,,,,,,,0.05616488437985559,,,,,,0.0782378210401243,,,,,,,0.053962160680010966,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,15.0,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,13.0,,,,,
かすみがうら市議会議員選挙（2015年01月25日投票）,かすみがうら市議会議員選挙,茨城県,かすみがうら市,20150125.0,2015.0,1.0,25.0,20150118.0,59.21,16.0,18.0,1.125,34798.0,,,-838.0,任期満了,62.01,,,,かすみがうら市議会議員選挙（2015年01月25日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0625,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.75,0.1875,0.0625,0.7118619134016574,0.20879713627225027,0.07934095032609229,0.05475860872320441,0.05219928406806257,0.07934095032609229,20393.0,3.0,58.388888888888886,8.387417089432168,39.0,55.25,60.5,65.0,67.0,59.0,8.2915619758885,39.0,55.75,61.5,65.25,67.0,,,,,,,,1886.0,,,,,,1314.0,,,,,,,17193.0,,,,,,20393.0,,,,,,,,0.09248271465699015,,,,,,0.06443387436865591,,,,,,,0.8430834109743539,,,,,,1.0,,,,,,,,0.046241357328495075,,,,,,0.06443387436865591,,,,,,,0.0562055607316236,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,15.0,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,13.0,,,,,
かすみがうら市議会議員選挙（2019年01月20日投票）,かすみがうら市議会議員選挙,茨城県,かすみがうら市,20190120.0,2019.0,1.0,20.0,20190113.0,54.51,16.0,18.0,1.125,,,,,任期満了,59.21,,,,かすみがうら市議会議員選挙（2019年01月20日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0625,0.7222222222222222,0.16666666666666666,0.1111111111111111,0.8125,0.0625,0.125,0.7652270518042736,0.08656368331261596,0.1482092648831105,0.058863619369559514,0.028854561104205322,0.07410463244155525,18790.998000000003,4.0,60.111111111111114,9.266959760885797,43.0,51.5,62.0,69.0,71.0,61.1875,9.268351727788495,43.0,54.0,64.0,69.25,71.0,,,,,,,,1569.0,,723.398,,,,1000.0,,,,,,,15498.6,,,,,,18790.998,,,,,,,,0.0834974278641294,,0.038497050555803373,,,,0.05321697123271473,,,,,,,0.8247885503473525,,,,,,1.0,,,,,,,,0.0834974278641294,,0.038497050555803373,,,,0.05321697123271473,,,,,,,0.054985903356490166,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,15.0,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,13.0,,,,,
つくばみらい市議会議員補欠選挙（2010年04月25日投票）,つくばみらい市議会議員補欠選挙,茨城県,つくばみらい市,20100425.0,2010.0,4.0,25.0,20100418.0,54.86,2.0,4.0,2.0,36132.0,,,,その他,,,,,つくばみらい市議会議員補欠選挙（2010年04月25日投票）,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.25,,,18663.0,2.0,56.5,11.412712210513327,37.0,55.0,61.5,63.0,66.0,49.0,12.0,37.0,43.0,49.0,55.0,61.0,,,,,,,,,,,,,,,,,,4169.0,,,14494.0,,,,,,18663.0,,,,,,,,,,,,,,,,,,0.2233831645501795,,,0.7766168354498205,,,,,,1.0,,,,,,,,,,,,,,,,,,0.2233831645501795,,,0.2588722784832735,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,
つくばみらい市議会議員補欠選挙（2014年04月27日投票）,つくばみらい市議会議員補欠選挙,茨城県,つくばみらい市,20140427.0,2014.0,4.0,27.0,20140420.0,無投票,1.0,1.0,1.0,,,,,その他,54.86,,,,つくばみらい市議会議員補欠選挙（2014年04月27日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
つくばみらい市議会議員補欠選挙（2018年04月22日投票）,つくばみらい市議会議員補欠選挙,茨城県,つくばみらい市,20180422.0,2018.0,4.0,22.0,20180415.0,無投票,2.0,2.0,1.0,,,,,任期満了,,,,,つくばみらい市議会議員補欠選挙（2018年04月22日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,,,,,,,0.0,1.0,49.5,11.5,38.0,43.75,49.5,55.25,61.0,49.5,11.5,38.0,43.75,49.5,55.25,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
つくばみらい市議会議員選挙（2008年02月03日投票）,つくばみらい市議会議員選挙,茨城県,つくばみらい市,20080203.0,2008.0,2.0,3.0,20080127.0,55.43,20.0,24.0,1.2,34703.0,,,,任期満了,,,,,つくばみらい市議会議員選挙（2008年02月03日投票）,1.0,24.0,20.0,1.2,0.0,0.0,0.0,0.20833333333333334,0.15,0.9166666666666666,0.08333333333333333,0.0,0.9,0.1,0.0,0.8895634150181035,0.11043658498189643,,0.04043470068264107,0.055218292490948215,,19057.0,4.0,61.083333333333336,5.337888679576931,49.0,57.75,60.5,65.25,70.0,60.85,5.217997700267795,49.0,57.75,60.5,64.25,70.0,,,,,,,,2417.59,,,,,,1843.0,,,,530.0,,,14266.41,,,,,,19057.0,,,,,,,,0.12686099595948996,,,,,,0.0967098703888335,,,,0.027811302933305346,,,0.7486178307183712,,,,,,1.0,,,,,,,,0.06343049797974498,,,,,,0.04835493519441675,,,,0.027811302933305346,,,0.03940093845886164,,,,,,,,,,,,,2.0,,,,,,2.0,,,,1.0,,,19.0,,,,,,,,,,,,,2.0,,,,,,2.0,,,,0.0,,,16.0,,,,,
