,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_みんなの党,得票数_公明党,得票数_公明政治連,得票数_国民民主党,得票数_希望の風那須,得票数_幸福実現党,得票数_政治結社憂思会総本部,得票数_日本共産党,得票数_日本民主,得票数_日本社会党,得票数_民主党,得票数_民主社会,得票数_民社,得票数_無所属,得票数_社会民主党,得票数_立憲民主党,得票数_自由党,得票数_自由民主党,得票数_諸,得票数_足利市政刷新連盟,得票数_sum_v,得票率_NHKから国民を守る党,得票率_みんなの党,得票率_公明党,得票率_公明政治連,得票率_国民民主党,得票率_希望の風那須,得票率_幸福実現党,得票率_政治結社憂思会総本部,得票率_日本共産党,得票率_日本民主,得票率_日本社会党,得票率_民主党,得票率_民主社会,得票率_民社,得票率_無所属,得票率_社会民主党,得票率_立憲民主党,得票率_自由党,得票率_自由民主党,得票率_諸,得票率_足利市政刷新連盟,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_みんなの党,一人あたり得票率_公明党,一人あたり得票率_公明政治連,一人あたり得票率_国民民主党,一人あたり得票率_希望の風那須,一人あたり得票率_幸福実現党,一人あたり得票率_政治結社憂思会総本部,一人あたり得票率_日本共産党,一人あたり得票率_日本民主,一人あたり得票率_日本社会党,一人あたり得票率_民主党,一人あたり得票率_民主社会,一人あたり得票率_民社,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_立憲民主党,一人あたり得票率_自由党,一人あたり得票率_自由民主党,一人あたり得票率_諸,一人あたり得票率_足利市政刷新連盟,立候補者数_NHKから国民を守る党,立候補者数_みんなの党,立候補者数_公明党,立候補者数_公明政治連,立候補者数_国民民主党,立候補者数_希望の風那須,立候補者数_幸福実現党,立候補者数_政治結社憂思会総本部,立候補者数_日本共産党,立候補者数_日本民主,立候補者数_日本社会党,立候補者数_民主党,立候補者数_民主社会,立候補者数_民社,立候補者数_無所属,立候補者数_社会民主党,立候補者数_立憲民主党,立候補者数_自由党,立候補者数_自由民主党,立候補者数_諸,立候補者数_足利市政刷新連盟,当選者数_NHKから国民を守る党,当選者数_みんなの党,当選者数_公明党,当選者数_公明政治連,当選者数_国民民主党,当選者数_希望の風那須,当選者数_幸福実現党,当選者数_政治結社憂思会総本部,当選者数_日本共産党,当選者数_日本民主,当選者数_日本社会党,当選者数_民主党,当選者数_民主社会,当選者数_民社,当選者数_無所属,当選者数_社会民主党,当選者数_立憲民主党,当選者数_自由党,当選者数_自由民主党,当選者数_諸,当選者数_足利市政刷新連盟
さくら市議会議員補欠選挙（2009年04月19日投票）,さくら市議会議員補欠選挙,栃木県,さくら市,20090419.0,2009.0,4.0,19.0,20090412.0,58.07,1.0,2.0,2.0,34020.0,,,,その他,,,,,さくら市議会議員補欠選挙（2009年04月19日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,,0.5562634989200864,0.4437365010799136,,0.5562634989200864,0.4437365010799136,18520.0,1.0,41.0,6.0,35.0,38.0,41.0,44.0,47.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0,,,,,,,,,,,,,,,18520.0,,,,,,,18520.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
さくら市議会議員選挙（2006年11月19日投票）,さくら市議会議員選挙,栃木県,さくら市,20061119.0,2006.0,11.0,19.0,20061112.0,71.52,24.0,34.0,1.4166666666666667,33176.0,,,,任期満了,,,,,さくら市議会議員選挙（2006年11月19日投票）,1.0,34.0,24.0,1.4166666666666667,0.0,0.0,0.0,0.058823529411764705,0.041666666666666664,0.7352941176470589,0.23529411764705882,0.029411764705882353,0.7083333333333334,0.25,0.041666666666666664,0.6532885106382978,0.28472340425531917,0.06198808510638298,0.026131540425531914,0.035590425531914896,0.06198808510638298,23500.0,4.0,56.029411764705884,9.510011115592091,33.0,54.25,58.0,62.0,73.0,56.625,7.532222447591415,37.0,55.5,58.0,62.0,67.0,,,1610.0,,,,,,372.0,,,,,,20669.0,,,,849.0,,,23500.0,,,0.06851063829787234,,,,,,0.015829787234042554,,,,,,0.879531914893617,,,,0.036127659574468084,,,1.0,,,0.06851063829787234,,,,,,0.015829787234042554,,,,,,0.028371997254632807,,,,0.036127659574468084,,,,,1.0,,,,,,1.0,,,,,,31.0,,,,1.0,,,,,1.0,,,,,,0.0,,,,,,22.0,,,,1.0,,
さくら市議会議員選挙（2010年11月21日投票）,さくら市議会議員選挙,栃木県,さくら市,20101121.0,2010.0,11.0,21.0,20101114.0,62.18,21.0,23.0,1.0952380952380951,34753.0,,,1577.0,任期満了,71.52,,,,さくら市議会議員選挙（2010年11月21日投票）,1.0,23.0,21.0,1.0952380952380953,0.0,0.0,0.0,0.08695652173913043,0.09523809523809523,0.782608695652174,0.17391304347826086,0.043478260869565216,0.7619047619047619,0.19047619047619047,0.047619047619047616,0.8007298928554718,0.16095073223225564,0.03831937491227249,0.04448499404752621,0.04023768305806391,0.03831937491227249,21373.0,3.0,,,,,,,,,,,,,,,,,1465.0,,,,,,,,,,,,18306.0,,,,1602.0,,,21373.0,,,0.06854442520937631,,,,,,,,,,,,0.8565011930940907,,,,0.07495438169653301,,,1.0,,,0.06854442520937631,,,,,,,,,,,,0.04282505965470453,,,,0.037477190848266506,,,,,1.0,,,,,,,,,,,,20.0,,,,2.0,,,,,1.0,,,,,,,,,,,,19.0,,,,1.0,,
さくら市議会議員選挙（2014年11月16日投票）,さくら市議会議員選挙,栃木県,さくら市,20141116.0,2014.0,11.0,16.0,20141109.0,56.06,18.0,20.0,1.1111111111111112,,,,,任期満了,62.18,,,,さくら市議会議員選挙（2014年11月16日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.1,0.1111111111111111,0.8,0.2,0.0,0.7777777777777778,0.2222222222222222,0.0,0.7828056628056628,0.2171943371943372,,0.04892535392535392,0.0542985842985843,,19425.0,2.0,57.0,10.14889156509222,31.0,52.0,61.0,65.0,71.0,56.333333333333336,10.46687897873839,31.0,50.0,59.0,64.75,71.0,,,1715.0,,,,,,,,,,,,17710.0,,,,,,,19425.0,,,0.08828828828828829,,,,,,,,,,,,0.9117117117117117,,,,,,,1.0,,,0.08828828828828829,,,,,,,,,,,,0.04798482693219536,,,,,,,,,1.0,,,,,,,,,,,,19.0,,,,,,,,,1.0,,,,,,,,,,,,17.0,,,,,,
さくら市議会議員選挙（2018年11月18日投票）,さくら市議会議員選挙,栃木県,さくら市,20181118.0,2018.0,11.0,18.0,20181111.0,51.06,18.0,20.0,1.1111111111111112,,,,,任期満了,56.06,,,,さくら市議会議員選挙（2018年11月18日投票）,1.0,20.0,18.0,1.1111111111111112,0.0,0.0,0.0,0.15,0.1111111111111111,0.75,0.2,0.05,0.8333333333333334,0.1111111111111111,0.05555555555555555,0.8472743323769587,0.09777091149856544,0.05495475612447583,0.056484955491797245,0.02444272787464136,0.05495475612447583,18124.0,2.0,57.95,11.088169371000786,35.0,48.75,60.0,67.25,75.0,59.666666666666664,10.24152766382481,35.0,51.75,62.5,67.75,75.0,,,1573.0,,,,,,,,,,,,16551.0,,,,,,,18124.0,,,0.08679099536526153,,,,,,,,,,,,0.9132090046347384,,,,,,,1.0,,,0.08679099536526153,,,,,,,,,,,,0.04806363182288097,,,,,,,,,1.0,,,,,,,,,,,,19.0,,,,,,,,,1.0,,,,,,,,,,,,17.0,,,,,,
上三川町議会議員補欠選挙（2003年04月27日投票）,上三川町議会議員補欠選挙,栃木県,上三川町,20030427.0,2003.0,4.0,27.0,20030422.0,61.15,1.0,2.0,2.0,22810.0,,,,その他,,,,,上三川町議会議員補欠選挙（2003年04月27日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,12464.0,2.0,44.5,8.5,36.0,40.25,44.5,48.75,53.0,36.0,0.0,36.0,36.0,36.0,36.0,36.0,,,,,,,,,5264.0,,,,,,7200.0,,,,,,,12464.0,,,,,,,,,0.42233632862644416,,,,,,0.5776636713735558,,,,,,,1.0,,,,,,,,,0.42233632862644416,,,,,,0.5776636713735558,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,
上三川町議会議員補欠選挙（2007年04月22日投票）,上三川町議会議員補欠選挙,栃木県,上三川町,20070422.0,2007.0,4.0,22.0,20070417.0,無投票,2.0,2.0,1.0,24447.0,,,1637.0,その他,61.15,,,,上三川町議会議員補欠選挙（2007年04月22日投票）,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,58.5,3.5,55.0,56.75,58.5,60.25,62.0,58.5,3.5,55.0,56.75,58.5,60.25,62.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
上三川町議会議員選挙（1999年12月26日投票）,上三川町議会議員選挙,栃木県,上三川町,19991226.0,1999.0,12.0,26.0,19991221.0,68.85,22.0,23.0,1.0454545454545454,21563.0,,,,任期満了,,,,,上三川町議会議員選挙（1999年12月26日投票）,1.0,23.0,22.0,1.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.7391304347826086,0.2608695652173913,0.0,0.7727272727272727,0.22727272727272727,0.0,0.6720854305536662,0.32791456944633385,,0.03953443709139213,0.054652428241055644,,14702.0,3.0,58.91304347826087,7.862475788188399,46.0,53.0,60.0,64.5,75.0,58.27272727272727,7.429559011639789,46.0,52.5,58.0,63.75,75.0,,,971.0,,,,,,619.0,,,,,,13112.0,,,,,,,14702.0,,,0.06604543599510271,,,,,,0.04210311522241872,,,,,,0.8918514487824786,,,,,,,1.0,,,0.06604543599510271,,,,,,0.04210311522241872,,,,,,0.042469116608689454,,,,,,,,,1.0,,,,,,1.0,,,,,,21.0,,,,,,,,,1.0,,,,,,1.0,,,,,,20.0,,,,,,
上三川町議会議員選挙（2003年12月23日投票）,上三川町議会議員選挙,栃木県,上三川町,20031223.0,2003.0,12.0,23.0,20031218.0,61.37,20.0,21.0,1.05,23236.0,,,1673.0,任期満了,68.85,,,,上三川町議会議員選挙（2003年12月23日投票）,1.0,21.0,20.0,1.05,0.0,0.0,0.0,0.047619047619047616,0.05,0.8095238095238095,0.19047619047619047,0.0,0.8,0.2,0.0,0.7407199943418913,0.25928000565810877,,0.04357176437305243,0.06482000141452719,,14139.0,3.0,58.76190476190476,8.847408885709404,37.0,53.0,58.0,66.0,71.0,58.2,8.692525524840292,37.0,53.0,57.0,66.0,71.0,,,1070.0,,,,,,463.0,,,,,,12606.0,,,,,,,14139.0,,,0.07567720489426409,,,,,,0.03274630454770493,,,,,,0.891576490558031,,,,,,,1.0,,,0.07567720489426409,,,,,,0.03274630454770493,,,,,,0.04692507845042269,,,,,,,,,1.0,,,,,,1.0,,,,,,19.0,,,,,,,,,1.0,,,,,,1.0,,,,,,18.0,,,,,,
上三川町議会議員選挙（2007年12月23日投票）,上三川町議会議員選挙,栃木県,上三川町,20071223.0,2007.0,12.0,23.0,20071218.0,58.55,16.0,19.0,1.1875,24263.0,,,1027.0,任期満了,61.37,,,,上三川町議会議員選挙（2007年12月23日投票）,1.0,19.0,16.0,1.1875,0.0,0.0,0.0,0.05263157894736842,0.0625,0.7368421052631579,0.21052631578947367,0.05263157894736842,0.8125,0.125,0.0625,0.7821220083800866,0.15041545344790852,0.06746253817200483,0.05586585774143476,0.03760386336197713,0.06746253817200483,14081.0,3.0,57.78947368421053,6.970456055218234,40.0,55.5,59.0,61.0,71.0,59.5,5.488624600025037,48.0,56.0,59.5,62.0,71.0,,,1192.0,,,,,,540.0,,,,,,12349.0,,,,,,,14081.0,,,0.08465307861657553,,,,,,0.03834954903771039,,,,,,0.8769973723457141,,,,,,,1.0,,,0.08465307861657553,,,,,,0.03834954903771039,,,,,,0.051588080726218476,,,,,,,,,1.0,,,,,,1.0,,,,,,17.0,,,,,,,,,1.0,,,,,,1.0,,,,,,14.0,,,,,,
