ele_ymd,prefecture,ele_ymd,ncand_inc,ncand_new,ncand_form,ratio_inc_cand,ratio_new_cand,ratio_form_cand,nwins_inc,nwins_new,nwins_form,ratio_inc_wins,ratio_new_wins,ratio_form_wins,n_b_inc_cand,n_b_new_cand,n_b_form_cand,n_b_notinc_cand,n_inc_votes,n_new_votes,n_form_votes,n_notinc_votes,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_notinc_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,ratio_notinc_votes_percand,all_votes,n_battle,n_forfeit_deposit,ratio_forfeit_deposit
静岡市議会議員選挙（2021年03月28日投票）,静岡県,静岡市議会議員選挙（2021年03月28日投票）,,,,,,,35.0,11.0,2.0,0.7291666666666666,0.22916666666666666,0.041666666666666664,,,,,,,,,,,,,,,,,230293.99800000002,63,3.0,0.047619047619047616
静岡市議会議員補欠選挙（2019年04月07日投票）,静岡県,静岡市議会議員補欠選挙（2019年04月07日投票）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88215.0,2,0.0,0.0
静岡市議会議員選挙（2017年03月26日投票）,静岡県,静岡市議会議員選挙（2017年03月26日投票）,38.0,20.0,1.0,0.6440677966101694,0.3389830508474576,0.01694915254237288,36.0,11.0,1.0,0.75,0.22916666666666666,0.020833333333333332,38.0,20.0,1.0,21.0,175209.544,61680.451,3505.0,65185.451,0.7288402323018414,0.2565795972582541,0.014580170439904542,0.27115976769815864,0.01918000611320635,0.012828979862912704,0.014580170439904542,0.012912369890388506,240394.995,59,2.0,0.03389830508474576
静岡市議会議員選挙（2013年03月24日投票）,静岡県,静岡市議会議員選挙（2013年03月24日投票）,37.0,17.0,4.0,0.6379310344827587,0.29310344827586204,0.06896551724137931,36.0,8.0,4.0,0.75,0.16666666666666666,0.08333333333333333,37.0,17.0,4.0,21.0,183212.94,58981.24,21594.0,80575.23999999999,0.6945456767623174,0.22359318753402824,0.08186113570365434,0.30545432323768257,0.018771504777359928,0.013152540443178132,0.020465283925913586,0.01454544396369917,263788.18,58,,
静岡市議会議員選挙（2009年03月29日投票）,静岡県,静岡市議会議員選挙（2009年03月29日投票）,46.0,18.0,2.0,0.696969696969697,0.2727272727272727,0.030303030303030304,41.0,10.0,2.0,0.7735849056603774,0.18867924528301888,0.03773584905660377,46.0,18.0,2.0,20.0,219348.65,70642.34,8290.0,78932.34,0.7353758950578781,0.23683151916587108,0.027792585776250777,0.26462410494212185,0.01598643250125822,0.013157306620326171,0.013896292888125389,0.013231205247106092,298280.99,66,,
静岡市議会議員補欠選挙（2007年04月08日投票）,静岡県,静岡市議会議員補欠選挙（2007年04月08日投票）,0.0,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,32627.0,61110.0,93737.0,,0.3480695989843925,0.6519304010156075,1.0,,0.3480695989843925,0.6519304010156075,0.5,93737.0,2,,
静岡市議会議員増員選挙（2006年05月14日投票）,静岡県,静岡市議会議員増員選挙（2006年05月14日投票）,0.0,3.0,0.0,0.0,1.0,0.0,0.0,True,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,6739.0,0.0,6739.0,,1.0,,1.0,,0.3333333333333333,,0.3333333333333333,6739.0,3,0.0,0.0
静岡市議会議員選挙（2005年03月27日投票）,静岡県,静岡市議会議員選挙（2005年03月27日投票）,55.0,19.0,4.0,0.7051282051282052,0.24358974358974358,0.05128205128205128,43.0,9.0,1.0,0.8113207547169812,0.16981132075471697,0.018867924528301886,55.0,19.0,4.0,23.0,229975.33,60304.229999999996,9633.43,69937.66,0.7668068328750949,0.20107241770354795,0.032120749421357175,0.23319316712490515,0.013941942415910817,0.010582758826502524,0.008030187355339294,0.010138833353256745,299912.99,78,,
静岡市議会議員選挙（1999年04月25日投票）,静岡県,静岡市議会議員選挙（1999年04月25日投票）,36.0,23.0,0.0,0.6101694915254238,0.3898305084745763,0.0,32.0,13.0,0,0.7111111111111111,0.28888888888888886,0.0,36.0,23.0,0.0,23.0,135284.96000000002,64076.020000000004,0.0,64076.020000000004,0.6785929724061348,0.32140702759386514,,0.32140702759386514,0.018849804789059302,0.013974218591037615,,0.013974218591037615,199360.98,59,1.0,0.01694915254237288
静岡市議会議員補欠選挙（1998年08月02日投票）,静岡県,静岡市議会議員補欠選挙（1998年08月02日投票）,0.0,4.0,1.0,0.0,0.8,0.2,0.0,True,True,0.0,0.5,0.5,0.0,4.0,1.0,5.0,0.0,80057.0,28609.0,108666.0,,0.7367253786833048,0.2632746213166952,1.0,,0.1841813446708262,0.2632746213166952,0.2,108666.0,5,0.0,0.0
