,ele_ID,prefecture_x,municipality_x,ymd,year,month,day,kokuji_dt,time_pm,pres_pm,nendo,kokuji_f1
173,宮崎県日南市議会議員選挙（2006年01月29日投票）,宮崎県,日南市,20060129.0,2006,1.0,29.0,2006-01-22,宮崎県日南市,宮崎県日南市,2005.0,2011-04-17
203,奈良県東吉野村議会議員選挙（2006年03月12日投票）,奈良県,東吉野村,20060312.0,2006,3.0,12.0,2006-03-07,奈良県東吉野村,奈良県東吉野村,2005.0,2010-04-20
223,山口県下松市議会議員選挙（2006年04月09日投票）,山口県,下松市,20060409.0,2006,4.0,9.0,2006-04-02,山口県下松市,山口県下松市,2006.0,2010-04-04
225,栃木県高根沢町議会議員選挙（2006年04月09日投票）,栃木県,高根沢町,20060409.0,2006,4.0,9.0,2006-04-05,栃木県高根沢町,栃木県高根沢町,2006.0,2010-04-06
226,岡山県勝央町議会議員選挙（2006年04月09日投票）,岡山県,勝央町,20060409.0,2006,4.0,9.0,2006-04-04,岡山県勝央町,岡山県勝央町,2006.0,2010-04-06
227,京都府井手町議会議員選挙（2006年04月09日投票）,京都府,井手町,20060409.0,2006,4.0,9.0,2006-04-04,京都府井手町,京都府井手町,2006.0,2010-04-06
228,京都府与謝野町議会議員選挙（2006年04月16日投票）,京都府,与謝野町,20060416.0,2006,4.0,16.0,2006-04-11,京都府与謝野町,京都府与謝野町,2006.0,2010-04-06
230,埼玉県上里町議会議員選挙（2006年04月16日投票）,埼玉県,上里町,20060416.0,2006,4.0,16.0,2006-04-11,埼玉県上里町,埼玉県上里町,2006.0,2010-04-13
231,徳島県東みよし町議会議員選挙（2006年04月16日投票）,徳島県,東みよし町,20060416.0,2006,4.0,16.0,2006-04-11,徳島県東みよし町,徳島県東みよし町,2006.0,2010-04-06
232,高知県日高村議会議員選挙（2006年04月16日投票）,高知県,日高村,20060416.0,2006,4.0,16.0,2006-04-11,高知県日高村,高知県日高村,2006.0,2010-04-06
233,佐賀県有田町議会議員選挙（2006年04月16日投票）,佐賀県,有田町,20060416.0,2006,4.0,16.0,2006-04-11,佐賀県有田町,佐賀県有田町,2006.0,2010-04-06
234,北海道士別市議会議員選挙（2006年04月16日投票）,北海道,士別市,20060416.0,2006,4.0,16.0,2006-04-09,北海道士別市,北海道士別市,2006.0,2010-04-04
