,ori_id,level_1,start_date,end_date,ele_ID,prefecture_x,municipality_x,ymd,year,month,day,kokuji_dt,time_pm,pres_pm,nendo,kokuji_f1,ele_dt,ele_1y,ele_2y,ele_3y,count_jyorei,salary_am_kokuji,salary_ch_kokuji,salary_vc_kokuji,salary_mayor_kokuji,salary_vice_mayor_kokuji,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai,pref_muni,municipality,salary_mayor_f1,salary_am_f1,mayor_apply_f1,am_apply_f1,am_apply_f1_dt,may_apply_f1_dt,salary_am_start,nendo_start,salary_mayor_start
0,223,ele_3y,2009-04-09,2010-04-04,山口県下松市議会議員選挙（2006年04月09日投票）,山口県,下松市,20060409.0,2009,4.0,9.0,2006-04-02,山口県下松市,山口県下松市,2009,2010-04-04,2006-04-09,2007-04-09 00:00:00,2008-04-09 00:00:00,2009-04-09 00:00:00,0.0,3770.0,4750.0,4150.0,8415.0,7372.0,下松市,山口県,35,2009,20090401,459.0,42.3,3296.0,11176.0,239.0,42.8,3349.0,11609.0,下松市,178800.0,158700.0,144500.0,14.0,34.0,8415.0,7220.0,4750.0,4150.0,3770.0,6365.0,12.10.1,9.10.1,19.1.1,Ⅱ−２,山口県下松市,下松市,8415.0,3770.0,12.10.1,9.10.1,1997-10-01,2000-10-01,3770.0,2009-04-01,8415.0
1,225,ele_3y,2009-04-09,2010-04-06,栃木県高根沢町議会議員選挙（2006年04月09日投票）,栃木県,高根沢町,20060409.0,2009,4.0,9.0,2006-04-05,栃木県高根沢町,栃木県高根沢町,2009,2010-04-06,2006-04-09,2007-04-09 00:00:00,2008-04-09 00:00:00,2009-04-09 00:00:00,0.0,2400.0,3450.0,2700.0,7500.0,5890.0,高根沢町,栃木県,9,2009,20090401,199.0,43.9,3246.0,10247.0,142.0,44.3,3371.0,10777.0,高根沢町,172200.0,152800.0,140100.0,1.0,9.0,7500.0,5890.0,3450.0,2700.0,2400.0,5460.0,18.4.1,6.10.1,18.4.1,Ⅴ−２,栃木県高根沢町,高根沢町,7275.0,2328.0,22.4.1,22.4.1,2010-04-01,2010-04-01,2400.0,2009-04-01,7500.0
2,226,ele_3y,2009-04-09,2010-04-06,岡山県勝央町議会議員選挙（2006年04月09日投票）,岡山県,勝央町,20060409.0,2009,4.0,9.0,2006-04-04,岡山県勝央町,岡山県勝央町,2009,2010-04-06,2006-04-09,2007-04-09 00:00:00,2008-04-09 00:00:00,2009-04-09 00:00:00,0.0,2200.0,3000.0,2400.0,7200.0,6100.0,勝央町,岡山県,33,2009,20090401,136.0,43.1,3074.0,10188.0,71.0,43.4,3250.0,10818.0,勝央町,172200.0,155700.0,144500.0,9.0,7.0,7200.0,6100.0,3000.0,2400.0,2200.0,5500.0,17.6.1,17.6.1,17.6.1,Ⅲ−１,岡山県勝央町,勝央町,7200.0,2200.0,17.6.1,17.6.1,2005-06-01,2005-06-01,2200.0,2009-04-01,7200.0
3,227,ele_3y,2009-04-09,2010-04-06,京都府井手町議会議員選挙（2006年04月09日投票）,京都府,井手町,20060409.0,2009,4.0,9.0,2006-04-04,京都府井手町,京都府井手町,2009,2010-04-06,2006-04-09,2007-04-09 00:00:00,2008-04-09 00:00:00,2009-04-09 00:00:00,0.0,2000.0,2900.0,2200.0,7300.0,6000.0,井手町,京都府,26,2009,20090401,111.0,43.1,3164.0,10278.0,70.0,43.3,3178.0,10283.0,井手町,178800.0,161600.0,149800.0,7.0,11.0,7300.0,6000.0,2900.0,2200.0,2000.0,5500.0,17.4.1,17.4.1,17.4.1,Ⅱ−２,京都府井手町,井手町,7300.0,2000.0,17.4.1,17.4.1,2005-04-01,2005-04-01,2000.0,2009-04-01,7300.0
4,228,ele_3y,2009-04-16,2010-04-06,京都府与謝野町議会議員選挙（2006年04月16日投票）,京都府,与謝野町,20060416.0,2009,4.0,16.0,2006-04-11,京都府与謝野町,京都府与謝野町,2009,2010-04-06,2006-04-16,2007-04-16 00:00:00,2008-04-16 00:00:00,2009-04-16 00:00:00,0.0,2500.0,3100.0,2800.0,7140.0,5830.0,与謝野町,京都府,26,2009,20090401,285.0,42.8,2938.0,9733.0,152.0,41.4,2985.0,9968.0,与謝野町,167034.0,148216.0,135897.0,3.0,14.0,6783.0,5538.0,2945.0,2660.0,2375.0,5187.0,20.4.1,20.4.1,20.4.1,Ⅴ−１,京都府与謝野町,与謝野町,7140.0,2500.0,22.4.1,22.4.1,2010-04-01,2010-04-01,2375.0,2009-04-01,6783.0
5,230,ele_3y,2009-04-16,2010-04-13,埼玉県上里町議会議員選挙（2006年04月16日投票）,埼玉県,上里町,20060416.0,2009,4.0,16.0,2006-04-11,埼玉県上里町,埼玉県上里町,2009,2010-04-13,2006-04-16,2007-04-16 00:00:00,2008-04-16 00:00:00,2009-04-16 00:00:00,0.0,2220.0,3110.0,2530.0,6160.0,5120.0,上里町,埼玉県,11,2009,20090401,181.0,43.9,3304.0,11093.0,120.0,45.9,3460.0,11799.0,上里町,178800.0,161600.0,149800.0,6.0,9.0,6160.0,5120.0,3110.0,2530.0,2220.0,5117.0,17.4.1,8.4.1,17.4.1,Ⅴ−１,埼玉県上里町,上里町,6160.0,2220.0,17.4.1,8.4.1,1996-04-01,2005-04-01,2220.0,2009-04-01,6160.0
6,231,ele_3y,2009-04-16,2010-04-06,徳島県東みよし町議会議員選挙（2006年04月16日投票）,徳島県,東みよし町,20060416.0,2009,4.0,16.0,2006-04-11,徳島県東みよし町,徳島県東みよし町,2009,2010-04-06,2006-04-16,2007-04-16 00:00:00,2008-04-16 00:00:00,2009-04-16 00:00:00,0.0,1950.0,2770.0,2330.0,7430.0,5950.0,東みよし町,徳島県,36,2009,20090401,189.0,47.0,3405.0,11841.0,113.0,45.6,3373.0,11747.0,東みよし町,167034.0,148216.0,135897.0,4.0,9.0,6687.0,5653.0,2687.0,2260.0,1892.0,5273.0,19.4.1,20.7.1,19.4.1,Ⅳ−２,徳島県東みよし町,東みよし町,7430.0,1950.0,22.4.1,22.4.1,2010-04-01,2010-04-01,1892.0,2009-04-01,6687.0
7,232,ele_3y,2009-04-16,2010-04-06,高知県日高村議会議員選挙（2006年04月16日投票）,高知県,日高村,20060416.0,2009,4.0,16.0,2006-04-11,高知県日高村,高知県日高村,2009,2010-04-06,2006-04-16,2007-04-16 00:00:00,2008-04-16 00:00:00,2009-04-16 00:00:00,0.0,1800.0,2490.0,1990.0,6140.0,5220.0,日高村,高知県,39,2009,20090401,65.0,44.3,3333.0,11215.0,52.0,44.5,3357.0,11303.0,日高村,161600.0,149800.0,140100.0,3.0,4.0,6140.0,5220.0,2490.0,1990.0,1800.0,5030.0,17.4.1,18.4.1,17.4.1,Ⅱ−２,高知県日高村,日高村,6140.0,1800.0,17.4.1,18.4.1,2006-04-01,2005-04-01,1800.0,2009-04-01,6140.0
8,233,ele_3y,2009-04-16,2010-04-06,佐賀県有田町議会議員選挙（2006年04月16日投票）,佐賀県,有田町,20060416.0,2009,4.0,16.0,2006-04-11,佐賀県有田町,佐賀県有田町,2009,2010-04-06,2006-04-16,2007-04-16 00:00:00,2008-04-16 00:00:00,2009-04-16 00:00:00,0.0,2520.0,3240.0,2690.0,7770.0,6300.0,有田町,佐賀県,41,2009,20090401,373.0,42.5,3089.0,9896.0,116.0,42.4,3127.0,10247.0,有田町,158368.0,146804.0,137298.0,16.0,32.0,7226.0,5859.0,3240.0,2690.0,2520.0,4864.0,20.4.1,18.3.1,20.4.1,Ⅴ−２,佐賀県有田町,有田町,7770.0,2520.0,22.4.1,18.3.1,2006-03-01,2010-04-01,2520.0,2009-04-01,7226.0
9,234,ele_3y,2009-04-16,2010-04-04,北海道士別市議会議員選挙（2006年04月16日投票）,北海道,士別市,20060416.0,2009,4.0,16.0,2006-04-09,北海道士別市,北海道士別市,2009,2010-04-04,2006-04-16,2007-04-16 00:00:00,2008-04-16 00:00:00,2009-04-16 00:00:00,0.0,3100.0,3800.0,3340.0,8360.0,6793.0,士別市,北海道,1,2009,20090401,551.0,41.8,3219.0,8974.0,260.0,42.9,3148.0,8972.0,士別市,163590.0,145160.0,133095.0,28.0,57.0,7500.0,6100.0,3610.0,3170.0,2950.0,5300.0,19.4.1,19.4.1,19.4.1,Ⅰ−１,北海道士別市,士別市,6700.0,2950.0,21.11.1,19.4.1,2007-04-01,2009-11-01,2950.0,2009-04-01,7500.0
